fare,from_location,from_station,leaving_date,leaving_time,to_location,to_station,transfers,travelers
37,Fresno,Fresno Station,3/10/2019,17:10,Long Beach,Downtown Station,0,
37,Fresno,Fresno Station,3/10/2019,18:40,Long Beach,Downtown Station,0,
38,Fresno,Fresno Station,3/10/2019,19:00,Long Beach,Downtown Station,0,
49,Los Angeles,Union Station,3/4/2019,11:20,Sacramento,Sacramento Valley Station,0,
39,Los Angeles,Union Station,3/4/2019,12:20,Sacramento,Sacramento Valley Station,0,
52,Los Angeles,Union Station,3/4/2019,15:30,Sacramento,Sacramento Valley Station,0,
44,Los Angeles,Union Station,3/4/2019,6:20,San Francisco,Salesforce Transit Center,0,
50,Los Angeles,Union Station,3/4/2019,8:20,San Francisco,Salesforce Transit Center,0,
45,Los Angeles,Union Station,3/4/2019,8:30,San Francisco,Salesforce Transit Center,0,
42,Los Angeles,Union Station,3/4/2019,9:50,San Francisco,Salesforce Transit Center,0,
45,Los Angeles,Union Station,3/4/2019,13:30,San Francisco,Salesforce Transit Center,0,
42,Los Angeles,Union Station,3/4/2019,14:20,San Francisco,Salesforce Transit Center,0,
50,Los Angeles,Union Station,3/4/2019,14:40,San Francisco,Salesforce Transit Center,0,
45,Los Angeles,Union Station,3/4/2019,16:10,San Francisco,Salesforce Transit Center,0,
47,Los Angeles,Union Station,3/4/2019,19:00,San Francisco,Salesforce Transit Center,0,
44,Los Angeles,Union Station,3/4/2019,19:40,San Francisco,Salesforce Transit Center,0,
22,San Diego,Santa Fe Depot,3/13/2019,10:10,Anaheim,Anaheim Intermodal Center,0,
24,San Diego,Santa Fe Depot,3/13/2019,10:40,Anaheim,Anaheim Intermodal Center,0,
26,San Diego,Santa Fe Depot,3/13/2019,13:20,Anaheim,Anaheim Intermodal Center,0,
25,San Diego,Santa Fe Depot,3/13/2019,14:00,Anaheim,Anaheim Intermodal Center,0,
22,San Diego,Santa Fe Depot,3/13/2019,14:10,Anaheim,Anaheim Intermodal Center,0,
24,San Diego,Santa Fe Depot,3/13/2019,16:50,Anaheim,Anaheim Intermodal Center,0,
22,San Diego,Santa Fe Depot,3/13/2019,18:00,Anaheim,Anaheim Intermodal Center,0,
25,San Diego,Santa Fe Depot,3/13/2019,18:10,Anaheim,Anaheim Intermodal Center,0,
21,San Diego,Santa Fe Depot,3/13/2019,18:40,Anaheim,Anaheim Intermodal Center,0,
45,Portland,Portland Bus Station,3/1/2019,6:50,Vancouver,Pacific Central Station,0,
37,Portland,Portland Bus Station,3/1/2019,8:10,Vancouver,Pacific Central Station,0,
41,Portland,Portland Bus Station,3/1/2019,10:20,Vancouver,Pacific Central Station,0,
41,Portland,Portland Bus Station,3/1/2019,10:50,Vancouver,Pacific Central Station,0,
40,Portland,Portland Bus Station,3/1/2019,16:30,Vancouver,Pacific Central Station,0,
38,Portland,Portland Bus Station,3/1/2019,18:00,Vancouver,Pacific Central Station,0,
40,Portland,Portland Bus Station,3/1/2019,18:20,Vancouver,Pacific Central Station,0,
38,Portland,Portland Bus Station,3/1/2019,19:20,Vancouver,Pacific Central Station,0,
30,Fresno,Fresno Station,3/5/2019,7:00,San Francisco,Salesforce Transit Center,0,
35,Fresno,Fresno Station,3/5/2019,7:50,San Francisco,Salesforce Transit Center,0,
30,Fresno,Fresno Station,3/5/2019,9:00,San Francisco,Salesforce Transit Center,0,
32,Fresno,Fresno Station,3/5/2019,10:20,San Francisco,Salesforce Transit Center,0,
38,Fresno,Fresno Station,3/5/2019,11:20,San Francisco,Salesforce Transit Center,0,
34,Fresno,Fresno Station,3/5/2019,12:20,San Francisco,Salesforce Transit Center,0,
31,Fresno,Fresno Station,3/5/2019,13:10,San Francisco,Salesforce Transit Center,0,
30,Fresno,Fresno Station,3/5/2019,13:30,San Francisco,Salesforce Transit Center,0,
34,Fresno,Fresno Station,3/5/2019,16:50,San Francisco,Salesforce Transit Center,0,
40,Fresno,Fresno Station,3/5/2019,9:00,Los Angeles,Union Station,0,
34,Fresno,Fresno Station,3/5/2019,9:50,Los Angeles,Union Station,0,
37,Fresno,Fresno Station,3/5/2019,13:00,Los Angeles,Union Station,0,
31,Fresno,Fresno Station,3/5/2019,13:10,Los Angeles,Union Station,0,
34,Fresno,Fresno Station,3/5/2019,13:30,Los Angeles,Union Station,0,
36,Fresno,Fresno Station,3/5/2019,14:00,Los Angeles,Union Station,0,
35,Fresno,Fresno Station,3/5/2019,15:40,Los Angeles,Union Station,0,
43,Fresno,Fresno Station,3/5/2019,16:00,Los Angeles,Union Station,0,
38,Fresno,Fresno Station,3/5/2019,19:20,Los Angeles,Union Station,0,
59,Anaheim,Anaheim Intermodal Center,3/3/2019,6:40,Sacramento,Sacramento Valley Station,1,
67,Anaheim,Anaheim Intermodal Center,3/3/2019,8:00,Sacramento,Sacramento Valley Station,1,
59,Anaheim,Anaheim Intermodal Center,3/3/2019,8:40,Sacramento,Sacramento Valley Station,1,
67,Anaheim,Anaheim Intermodal Center,3/3/2019,10:10,Sacramento,Sacramento Valley Station,1,
64,Anaheim,Anaheim Intermodal Center,3/3/2019,11:40,Sacramento,Sacramento Valley Station,1,
75,Anaheim,Anaheim Intermodal Center,3/3/2019,11:50,Sacramento,Sacramento Valley Station,1,
53,Anaheim,Anaheim Intermodal Center,3/3/2019,12:10,Sacramento,Sacramento Valley Station,1,
57,Anaheim,Anaheim Intermodal Center,3/3/2019,13:30,Sacramento,Sacramento Valley Station,1,
55,Anaheim,Anaheim Intermodal Center,3/3/2019,13:50,Sacramento,Sacramento Valley Station,1,
71,Anaheim,Anaheim Intermodal Center,3/3/2019,14:00,Sacramento,Sacramento Valley Station,1,
23,San Diego,Santa Fe Depot,3/8/2019,10:10,Anaheim,Anaheim Intermodal Center,0,
22,San Diego,Santa Fe Depot,3/8/2019,10:40,Anaheim,Anaheim Intermodal Center,0,
25,San Diego,Santa Fe Depot,3/8/2019,13:20,Anaheim,Anaheim Intermodal Center,0,
22,San Diego,Santa Fe Depot,3/8/2019,14:00,Anaheim,Anaheim Intermodal Center,0,
21,San Diego,Santa Fe Depot,3/8/2019,14:10,Anaheim,Anaheim Intermodal Center,0,
25,San Diego,Santa Fe Depot,3/8/2019,16:50,Anaheim,Anaheim Intermodal Center,0,
22,San Diego,Santa Fe Depot,3/8/2019,18:00,Anaheim,Anaheim Intermodal Center,0,
21,San Diego,Santa Fe Depot,3/8/2019,18:10,Anaheim,Anaheim Intermodal Center,0,
27,San Diego,Santa Fe Depot,3/8/2019,18:40,Anaheim,Anaheim Intermodal Center,0,
31,Los Angeles,Union Station,3/1/2019,19:20,Fresno,Fresno Station,0,
63,Anaheim,Anaheim Intermodal Center,3/5/2019,6:40,Sacramento,Sacramento Valley Station,1,
65,Anaheim,Anaheim Intermodal Center,3/5/2019,8:00,Sacramento,Sacramento Valley Station,1,
56,Anaheim,Anaheim Intermodal Center,3/5/2019,8:40,Sacramento,Sacramento Valley Station,1,
65,Anaheim,Anaheim Intermodal Center,3/5/2019,10:10,Sacramento,Sacramento Valley Station,1,
62,Anaheim,Anaheim Intermodal Center,3/5/2019,11:40,Sacramento,Sacramento Valley Station,1,
67,Anaheim,Anaheim Intermodal Center,3/5/2019,11:50,Sacramento,Sacramento Valley Station,1,
59,Anaheim,Anaheim Intermodal Center,3/5/2019,12:10,Sacramento,Sacramento Valley Station,1,
55,Anaheim,Anaheim Intermodal Center,3/5/2019,13:30,Sacramento,Sacramento Valley Station,1,
59,Anaheim,Anaheim Intermodal Center,3/5/2019,13:50,Sacramento,Sacramento Valley Station,1,
66,Long Beach,Downtown Station,3/5/2019,6:50,Sacramento,Sacramento Valley Station,1,
70,Long Beach,Downtown Station,3/5/2019,7:00,Sacramento,Sacramento Valley Station,1,
67,Long Beach,Downtown Station,3/5/2019,8:30,Sacramento,Sacramento Valley Station,1,
70,Long Beach,Downtown Station,3/5/2019,10:20,Sacramento,Sacramento Valley Station,1,
63,Long Beach,Downtown Station,3/5/2019,10:30,Sacramento,Sacramento Valley Station,1,
56,Long Beach,Downtown Station,3/5/2019,10:40,Sacramento,Sacramento Valley Station,1,
52,Long Beach,Downtown Station,3/5/2019,13:40,Sacramento,Sacramento Valley Station,1,
52,Long Beach,Downtown Station,3/5/2019,13:50,Sacramento,Sacramento Valley Station,1,
52,Long Beach,Downtown Station,3/5/2019,15:20,Sacramento,Sacramento Valley Station,1,
36,Los Angeles,Union Station,3/2/2019,7:30,Fresno,Fresno Station,0,
35,Los Angeles,Union Station,3/2/2019,10:40,Fresno,Fresno Station,0,
35,Los Angeles,Union Station,3/2/2019,12:40,Fresno,Fresno Station,0,
35,Los Angeles,Union Station,3/2/2019,13:10,Fresno,Fresno Station,0,
38,Los Angeles,Union Station,3/2/2019,15:30,Fresno,Fresno Station,0,
36,Los Angeles,Union Station,3/2/2019,17:30,Fresno,Fresno Station,0,
35,Los Angeles,Union Station,3/2/2019,17:40,Fresno,Fresno Station,0,
33,Los Angeles,Union Station,3/2/2019,18:10,Fresno,Fresno Station,0,
35,Los Angeles,Union Station,3/2/2019,19:20,Fresno,Fresno Station,0,
22,New York,Port Authority Station,3/11/2019,7:40,Philadelphia,Intercity Terminal,0,
21,New York,Port Authority Station,3/11/2019,8:00,Philadelphia,Intercity Terminal,0,
22,New York,Port Authority Station,3/11/2019,11:30,Philadelphia,Intercity Terminal,0,
18,New York,Port Authority Station,3/11/2019,14:10,Philadelphia,Intercity Terminal,0,
18,New York,Port Authority Station,3/11/2019,16:30,Philadelphia,Intercity Terminal,0,
21,New York,Port Authority Station,3/11/2019,18:30,Philadelphia,Intercity Terminal,0,
26,New York,Port Authority Station,3/11/2019,19:40,Philadelphia,Intercity Terminal,0,
21,Sacramento,Sacramento Valley Station,3/9/2019,7:40,San Francisco,Salesforce Transit Center,0,
22,Sacramento,Sacramento Valley Station,3/9/2019,8:30,San Francisco,Salesforce Transit Center,0,
21,Sacramento,Sacramento Valley Station,3/9/2019,10:20,San Francisco,Salesforce Transit Center,0,
26,Sacramento,Sacramento Valley Station,3/9/2019,10:50,San Francisco,Salesforce Transit Center,0,
26,Sacramento,Sacramento Valley Station,3/9/2019,11:00,San Francisco,Salesforce Transit Center,0,
21,Sacramento,Sacramento Valley Station,3/9/2019,12:50,San Francisco,Salesforce Transit Center,0,
20,Sacramento,Sacramento Valley Station,3/9/2019,13:00,San Francisco,Salesforce Transit Center,0,
23,Sacramento,Sacramento Valley Station,3/9/2019,13:20,San Francisco,Salesforce Transit Center,0,
22,Sacramento,Sacramento Valley Station,3/9/2019,17:50,San Francisco,Salesforce Transit Center,0,
18,Sacramento,Sacramento Valley Station,3/9/2019,18:00,San Francisco,Salesforce Transit Center,0,
19,San Francisco,Salesforce Transit Center,3/8/2019,7:20,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/8/2019,9:40,Sacramento,Sacramento Valley Station,0,
20,San Francisco,Salesforce Transit Center,3/8/2019,10:00,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/8/2019,11:40,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/8/2019,12:30,Sacramento,Sacramento Valley Station,0,
25,San Francisco,Salesforce Transit Center,3/8/2019,13:20,Sacramento,Sacramento Valley Station,0,
22,San Francisco,Salesforce Transit Center,3/8/2019,14:10,Sacramento,Sacramento Valley Station,0,
25,San Francisco,Salesforce Transit Center,3/8/2019,16:40,Sacramento,Sacramento Valley Station,0,
22,San Francisco,Salesforce Transit Center,3/8/2019,17:30,Sacramento,Sacramento Valley Station,0,
24,San Francisco,Salesforce Transit Center,3/8/2019,18:10,Sacramento,Sacramento Valley Station,0,
52,San Francisco,Salesforce Transit Center,3/13/2019,11:00,San Diego,Santa Fe Depot,0,
49,San Francisco,Salesforce Transit Center,3/13/2019,13:40,San Diego,Santa Fe Depot,0,
64,San Francisco,Salesforce Transit Center,3/13/2019,13:50,San Diego,Santa Fe Depot,0,
58,San Francisco,Salesforce Transit Center,3/13/2019,15:00,San Diego,Santa Fe Depot,0,
57,San Francisco,Salesforce Transit Center,3/13/2019,15:20,San Diego,Santa Fe Depot,0,
50,San Francisco,Salesforce Transit Center,3/13/2019,18:30,San Diego,Santa Fe Depot,0,
46,Fresno,Fresno Station,3/13/2019,6:00,San Diego,Santa Fe Depot,0,
52,Fresno,Fresno Station,3/13/2019,6:50,San Diego,Santa Fe Depot,0,
42,Fresno,Fresno Station,3/13/2019,12:00,San Diego,Santa Fe Depot,0,
39,Fresno,Fresno Station,3/13/2019,13:10,San Diego,Santa Fe Depot,0,
45,Fresno,Fresno Station,3/13/2019,13:50,San Diego,Santa Fe Depot,0,
43,Fresno,Fresno Station,3/13/2019,18:30,San Diego,Santa Fe Depot,0,
39,Los Angeles,Union Station,3/8/2019,7:40,Las Vegas,Union Plaza,0,
39,Los Angeles,Union Station,3/8/2019,12:30,Las Vegas,Union Plaza,0,
35,Los Angeles,Union Station,3/8/2019,13:40,Las Vegas,Union Plaza,0,
33,Los Angeles,Union Station,3/8/2019,17:10,Las Vegas,Union Plaza,0,
58,San Francisco,Salesforce Transit Center,3/10/2019,11:00,San Diego,Santa Fe Depot,0,
56,San Francisco,Salesforce Transit Center,3/10/2019,13:40,San Diego,Santa Fe Depot,0,
62,San Francisco,Salesforce Transit Center,3/10/2019,13:50,San Diego,Santa Fe Depot,0,
48,San Francisco,Salesforce Transit Center,3/10/2019,15:00,San Diego,Santa Fe Depot,0,
60,San Francisco,Salesforce Transit Center,3/10/2019,15:20,San Diego,Santa Fe Depot,0,
54,San Francisco,Salesforce Transit Center,3/10/2019,18:30,San Diego,Santa Fe Depot,0,
38,Washington,Union Station,3/4/2019,8:10,New York,Port Authority Station,0,
39,Washington,Union Station,3/4/2019,8:20,New York,Port Authority Station,0,
40,Washington,Union Station,3/4/2019,11:10,New York,Port Authority Station,0,
42,Washington,Union Station,3/4/2019,12:00,New York,Port Authority Station,0,
32,Washington,Union Station,3/4/2019,12:30,New York,Port Authority Station,0,
32,Washington,Union Station,3/4/2019,13:40,New York,Port Authority Station,0,
36,Washington,Union Station,3/4/2019,14:00,New York,Port Authority Station,0,
39,Washington,Union Station,3/4/2019,19:30,New York,Port Authority Station,0,
27,Washington,Union Station,3/9/2019,7:10,Philadelphia,Intercity Terminal,0,
24,Washington,Union Station,3/9/2019,7:50,Philadelphia,Intercity Terminal,0,
25,Washington,Union Station,3/9/2019,8:40,Philadelphia,Intercity Terminal,0,
31,Washington,Union Station,3/9/2019,9:00,Philadelphia,Intercity Terminal,0,
31,Washington,Union Station,3/9/2019,12:00,Philadelphia,Intercity Terminal,0,
26,Washington,Union Station,3/9/2019,14:10,Philadelphia,Intercity Terminal,0,
29,Washington,Union Station,3/9/2019,15:30,Philadelphia,Intercity Terminal,0,
33,Washington,Union Station,3/9/2019,17:40,Philadelphia,Intercity Terminal,0,
33,Los Angeles,Union Station,3/13/2019,7:40,Las Vegas,Union Plaza,0,
36,Los Angeles,Union Station,3/13/2019,12:30,Las Vegas,Union Plaza,0,
40,Los Angeles,Union Station,3/13/2019,13:40,Las Vegas,Union Plaza,0,
44,Los Angeles,Union Station,3/13/2019,17:10,Las Vegas,Union Plaza,0,
28,Vancouver,Pacific Central Station,3/2/2019,6:40,Seattle,King Street Station,0,
26,Vancouver,Pacific Central Station,3/2/2019,8:10,Seattle,King Street Station,0,
25,Vancouver,Pacific Central Station,3/2/2019,8:30,Seattle,King Street Station,0,
29,Vancouver,Pacific Central Station,3/2/2019,8:50,Seattle,King Street Station,0,
27,Vancouver,Pacific Central Station,3/2/2019,10:00,Seattle,King Street Station,0,
30,Vancouver,Pacific Central Station,3/2/2019,12:30,Seattle,King Street Station,0,
28,Vancouver,Pacific Central Station,3/2/2019,17:50,Seattle,King Street Station,0,
25,Vancouver,Pacific Central Station,3/2/2019,18:30,Seattle,King Street Station,0,
26,Vancouver,Pacific Central Station,3/2/2019,18:40,Seattle,King Street Station,0,
30,Vancouver,Pacific Central Station,3/2/2019,19:10,Seattle,King Street Station,0,
24,Philadelphia,Intercity Terminal,3/5/2019,8:30,New York,Port Authority Station,0,
26,Philadelphia,Intercity Terminal,3/5/2019,9:50,New York,Port Authority Station,0,
22,Philadelphia,Intercity Terminal,3/5/2019,10:10,New York,Port Authority Station,0,
24,Philadelphia,Intercity Terminal,3/5/2019,10:20,New York,Port Authority Station,0,
24,Philadelphia,Intercity Terminal,3/5/2019,11:50,New York,Port Authority Station,0,
23,Philadelphia,Intercity Terminal,3/5/2019,14:00,New York,Port Authority Station,0,
23,Philadelphia,Intercity Terminal,3/5/2019,16:10,New York,Port Authority Station,0,
20,Philadelphia,Intercity Terminal,3/5/2019,17:30,New York,Port Authority Station,0,
49,San Francisco,Salesforce Transit Center,3/5/2019,7:20,Las Vegas,Union Plaza,0,
54,San Francisco,Salesforce Transit Center,3/5/2019,7:50,Las Vegas,Union Plaza,0,
50,San Francisco,Salesforce Transit Center,3/5/2019,8:00,Las Vegas,Union Plaza,0,
55,San Francisco,Salesforce Transit Center,3/5/2019,12:20,Las Vegas,Union Plaza,0,
51,San Francisco,Salesforce Transit Center,3/5/2019,14:20,Las Vegas,Union Plaza,0,
54,San Francisco,Salesforce Transit Center,3/5/2019,16:30,Las Vegas,Union Plaza,0,
51,San Francisco,Salesforce Transit Center,3/5/2019,19:10,Las Vegas,Union Plaza,0,
39,Las Vegas,Union Plaza,3/11/2019,7:20,Los Angeles,Union Station,0,
43,Las Vegas,Union Plaza,3/11/2019,10:20,Los Angeles,Union Station,0,
43,Las Vegas,Union Plaza,3/11/2019,11:50,Los Angeles,Union Station,0,
58,San Francisco,Salesforce Transit Center,3/1/2019,11:00,San Diego,Santa Fe Depot,0,
51,San Francisco,Salesforce Transit Center,3/1/2019,13:40,San Diego,Santa Fe Depot,0,
62,San Francisco,Salesforce Transit Center,3/1/2019,13:50,San Diego,Santa Fe Depot,0,
54,San Francisco,Salesforce Transit Center,3/1/2019,15:00,San Diego,Santa Fe Depot,0,
62,San Francisco,Salesforce Transit Center,3/1/2019,15:20,San Diego,Santa Fe Depot,0,
59,San Francisco,Salesforce Transit Center,3/1/2019,18:30,San Diego,Santa Fe Depot,0,
42,Las Vegas,Union Plaza,3/9/2019,15:50,San Diego,Santa Fe Depot,0,
56,San Francisco,Salesforce Transit Center,3/3/2019,11:00,San Diego,Santa Fe Depot,0,
51,San Francisco,Salesforce Transit Center,3/3/2019,13:40,San Diego,Santa Fe Depot,0,
59,San Francisco,Salesforce Transit Center,3/3/2019,13:50,San Diego,Santa Fe Depot,0,
64,San Francisco,Salesforce Transit Center,3/3/2019,15:00,San Diego,Santa Fe Depot,0,
49,San Francisco,Salesforce Transit Center,3/3/2019,15:20,San Diego,Santa Fe Depot,0,
58,San Francisco,Salesforce Transit Center,3/3/2019,18:30,San Diego,Santa Fe Depot,0,
43,San Diego,Santa Fe Depot,3/12/2019,18:50,Las Vegas,Union Plaza,0,
43,Los Angeles,Union Station,3/12/2019,6:20,San Francisco,Salesforce Transit Center,0,
56,Los Angeles,Union Station,3/12/2019,8:20,San Francisco,Salesforce Transit Center,0,
43,Los Angeles,Union Station,3/12/2019,8:30,San Francisco,Salesforce Transit Center,0,
43,Los Angeles,Union Station,3/12/2019,9:50,San Francisco,Salesforce Transit Center,0,
42,Los Angeles,Union Station,3/12/2019,13:30,San Francisco,Salesforce Transit Center,0,
48,Los Angeles,Union Station,3/12/2019,14:20,San Francisco,Salesforce Transit Center,0,
45,Los Angeles,Union Station,3/12/2019,14:40,San Francisco,Salesforce Transit Center,0,
42,Los Angeles,Union Station,3/12/2019,16:10,San Francisco,Salesforce Transit Center,0,
54,Los Angeles,Union Station,3/12/2019,19:00,San Francisco,Salesforce Transit Center,0,
53,Los Angeles,Union Station,3/12/2019,19:40,San Francisco,Salesforce Transit Center,0,
45,Las Vegas,Union Plaza,3/13/2019,10:50,San Francisco,Salesforce Transit Center,0,
55,Las Vegas,Union Plaza,3/13/2019,12:50,San Francisco,Salesforce Transit Center,0,
53,Las Vegas,Union Plaza,3/13/2019,14:40,San Francisco,Salesforce Transit Center,0,
50,Las Vegas,Union Plaza,3/13/2019,14:50,San Francisco,Salesforce Transit Center,0,
52,Las Vegas,Union Plaza,3/13/2019,15:50,San Francisco,Salesforce Transit Center,0,
54,Las Vegas,Union Plaza,3/13/2019,19:40,San Francisco,Salesforce Transit Center,0,
46,San Francisco,Salesforce Transit Center,3/3/2019,7:20,Las Vegas,Union Plaza,0,
56,San Francisco,Salesforce Transit Center,3/3/2019,7:50,Las Vegas,Union Plaza,0,
54,San Francisco,Salesforce Transit Center,3/3/2019,8:00,Las Vegas,Union Plaza,0,
47,San Francisco,Salesforce Transit Center,3/3/2019,12:20,Las Vegas,Union Plaza,0,
55,San Francisco,Salesforce Transit Center,3/3/2019,14:20,Las Vegas,Union Plaza,0,
49,San Francisco,Salesforce Transit Center,3/3/2019,16:30,Las Vegas,Union Plaza,0,
44,San Francisco,Salesforce Transit Center,3/3/2019,19:10,Las Vegas,Union Plaza,0,
50,San Francisco,Salesforce Transit Center,3/6/2019,7:20,Las Vegas,Union Plaza,0,
48,San Francisco,Salesforce Transit Center,3/6/2019,7:50,Las Vegas,Union Plaza,0,
53,San Francisco,Salesforce Transit Center,3/6/2019,8:00,Las Vegas,Union Plaza,0,
42,San Francisco,Salesforce Transit Center,3/6/2019,12:20,Las Vegas,Union Plaza,0,
57,San Francisco,Salesforce Transit Center,3/6/2019,14:20,Las Vegas,Union Plaza,0,
52,San Francisco,Salesforce Transit Center,3/6/2019,16:30,Las Vegas,Union Plaza,0,
50,San Francisco,Salesforce Transit Center,3/6/2019,19:10,Las Vegas,Union Plaza,0,
32,Washington,Union Station,3/13/2019,8:10,New York,Port Authority Station,0,
39,Washington,Union Station,3/13/2019,8:20,New York,Port Authority Station,0,
38,Washington,Union Station,3/13/2019,11:10,New York,Port Authority Station,0,
33,Washington,Union Station,3/13/2019,12:00,New York,Port Authority Station,0,
34,Washington,Union Station,3/13/2019,12:30,New York,Port Authority Station,0,
35,Washington,Union Station,3/13/2019,13:40,New York,Port Authority Station,0,
38,Washington,Union Station,3/13/2019,14:00,New York,Port Authority Station,0,
36,Washington,Union Station,3/13/2019,19:30,New York,Port Authority Station,0,
30,Seattle,King Street Station,3/5/2019,6:10,Portland,Portland Bus Station,0,
29,Seattle,King Street Station,3/5/2019,6:30,Portland,Portland Bus Station,0,
33,Seattle,King Street Station,3/5/2019,8:30,Portland,Portland Bus Station,0,
29,Seattle,King Street Station,3/5/2019,9:10,Portland,Portland Bus Station,0,
30,Seattle,King Street Station,3/5/2019,9:20,Portland,Portland Bus Station,0,
28,Seattle,King Street Station,3/5/2019,9:50,Portland,Portland Bus Station,0,
29,Seattle,King Street Station,3/5/2019,13:10,Portland,Portland Bus Station,0,
32,Seattle,King Street Station,3/5/2019,16:10,Portland,Portland Bus Station,0,
34,Seattle,King Street Station,3/5/2019,19:20,Portland,Portland Bus Station,0,
33,Seattle,King Street Station,3/5/2019,19:30,Portland,Portland Bus Station,0,
46,San Francisco,Salesforce Transit Center,3/8/2019,7:20,Las Vegas,Union Plaza,0,
61,San Francisco,Salesforce Transit Center,3/8/2019,7:50,Las Vegas,Union Plaza,0,
45,San Francisco,Salesforce Transit Center,3/8/2019,8:00,Las Vegas,Union Plaza,0,
54,San Francisco,Salesforce Transit Center,3/8/2019,12:20,Las Vegas,Union Plaza,0,
54,San Francisco,Salesforce Transit Center,3/8/2019,14:20,Las Vegas,Union Plaza,0,
53,San Francisco,Salesforce Transit Center,3/8/2019,16:30,Las Vegas,Union Plaza,0,
50,San Francisco,Salesforce Transit Center,3/8/2019,19:10,Las Vegas,Union Plaza,0,
45,San Francisco,Salesforce Transit Center,3/4/2019,7:00,Los Angeles,Union Station,0,
45,San Francisco,Salesforce Transit Center,3/4/2019,7:40,Los Angeles,Union Station,0,
56,San Francisco,Salesforce Transit Center,3/4/2019,8:40,Los Angeles,Union Station,0,
47,San Francisco,Salesforce Transit Center,3/4/2019,8:50,Los Angeles,Union Station,0,
50,San Francisco,Salesforce Transit Center,3/4/2019,10:40,Los Angeles,Union Station,0,
49,San Francisco,Salesforce Transit Center,3/4/2019,11:10,Los Angeles,Union Station,0,
44,San Francisco,Salesforce Transit Center,3/4/2019,13:10,Los Angeles,Union Station,0,
45,San Francisco,Salesforce Transit Center,3/4/2019,14:10,Los Angeles,Union Station,0,
52,San Francisco,Salesforce Transit Center,3/4/2019,16:20,Los Angeles,Union Station,0,
48,San Francisco,Salesforce Transit Center,3/4/2019,17:50,Los Angeles,Union Station,0,
45,San Francisco,Salesforce Transit Center,3/5/2019,7:00,Los Angeles,Union Station,0,
45,San Francisco,Salesforce Transit Center,3/5/2019,7:40,Los Angeles,Union Station,0,
44,San Francisco,Salesforce Transit Center,3/5/2019,8:40,Los Angeles,Union Station,0,
47,San Francisco,Salesforce Transit Center,3/5/2019,8:50,Los Angeles,Union Station,0,
51,San Francisco,Salesforce Transit Center,3/5/2019,10:40,Los Angeles,Union Station,0,
46,San Francisco,Salesforce Transit Center,3/5/2019,11:10,Los Angeles,Union Station,0,
47,San Francisco,Salesforce Transit Center,3/5/2019,13:10,Los Angeles,Union Station,0,
49,San Francisco,Salesforce Transit Center,3/5/2019,14:10,Los Angeles,Union Station,0,
41,San Francisco,Salesforce Transit Center,3/5/2019,16:20,Los Angeles,Union Station,0,
47,San Francisco,Salesforce Transit Center,3/5/2019,17:50,Los Angeles,Union Station,0,
55,San Francisco,Salesforce Transit Center,3/2/2019,11:00,San Diego,Santa Fe Depot,0,
56,San Francisco,Salesforce Transit Center,3/2/2019,13:40,San Diego,Santa Fe Depot,0,
55,San Francisco,Salesforce Transit Center,3/2/2019,13:50,San Diego,Santa Fe Depot,0,
53,San Francisco,Salesforce Transit Center,3/2/2019,15:00,San Diego,Santa Fe Depot,0,
52,San Francisco,Salesforce Transit Center,3/2/2019,15:20,San Diego,Santa Fe Depot,0,
44,San Francisco,Salesforce Transit Center,3/2/2019,18:30,San Diego,Santa Fe Depot,0,
39,Portland,Portland Bus Station,3/11/2019,6:50,Vancouver,Pacific Central Station,0,
36,Portland,Portland Bus Station,3/11/2019,8:10,Vancouver,Pacific Central Station,0,
35,Portland,Portland Bus Station,3/11/2019,10:20,Vancouver,Pacific Central Station,0,
43,Portland,Portland Bus Station,3/11/2019,10:50,Vancouver,Pacific Central Station,0,
39,Portland,Portland Bus Station,3/11/2019,16:30,Vancouver,Pacific Central Station,0,
41,Portland,Portland Bus Station,3/11/2019,18:00,Vancouver,Pacific Central Station,0,
37,Portland,Portland Bus Station,3/11/2019,18:20,Vancouver,Pacific Central Station,0,
41,Portland,Portland Bus Station,3/11/2019,19:20,Vancouver,Pacific Central Station,0,
45,Portland,Portland Bus Station,3/3/2019,6:50,Vancouver,Pacific Central Station,0,
47,Portland,Portland Bus Station,3/3/2019,8:10,Vancouver,Pacific Central Station,0,
36,Portland,Portland Bus Station,3/3/2019,10:20,Vancouver,Pacific Central Station,0,
37,Portland,Portland Bus Station,3/3/2019,10:50,Vancouver,Pacific Central Station,0,
42,Portland,Portland Bus Station,3/3/2019,16:30,Vancouver,Pacific Central Station,0,
44,Portland,Portland Bus Station,3/3/2019,18:00,Vancouver,Pacific Central Station,0,
43,Portland,Portland Bus Station,3/3/2019,18:20,Vancouver,Pacific Central Station,0,
39,Portland,Portland Bus Station,3/3/2019,19:20,Vancouver,Pacific Central Station,0,
39,Vancouver,Pacific Central Station,3/10/2019,9:20,Portland,Portland Bus Station,0,
41,Vancouver,Pacific Central Station,3/10/2019,9:30,Portland,Portland Bus Station,0,
36,Vancouver,Pacific Central Station,3/10/2019,15:10,Portland,Portland Bus Station,0,
