album,artist,genre,track,year,device
Madame X,Madonna,Pop,God Control,2019,Kitchen
Journals,Justin Bieber,Pop,All That Matters,2013,Kitchen
Cloud Nine,Kygo,Downtempo,Carry Me,2016,
Rim Elghezlen,Cheb Bachir,Pop,Rim Elghezlen,2018,
Must Have Been The Wind,Alec Benjamin,Pop,Must Have Been The Wind,2019,
When Was The Last Time,Darius Rucker,Country,If I Told You,2017,
Peter Pan,Groove Delight,Brazil,Peter Pan,2019,
Cloud Nine,Kygo,Downtempo,Carry Me,2016,Kitchen
Hat Nhan,Phan Dinh Tung,Pop,Khuc Hat Mung Sinh Nhat,2011,
Sexability,Vybz Kartel,Reggae,Fuckability,2019,
Victorious,Skillet,Rock,Legendary,2019,
Old Dominion,Old Dominion,Country,One Man Band,2019,
Pure Heroine,Lorde,Electropop,Tennis Court,2013,
The Awakening,Onlap,Rock,The Awakening,2011,
Meliora,Ghost,Metal,Cirice,2015,
Wintersaga,Wind Rose,Metal,Diggy Diggy Hole,2019,
Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,2012,
Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,2012,Patio
Strange Pleasures,Still Corners,Electropop,The Trip,2013,
Icona Pop,Icona Pop,Electropop,I Love It,2012,
Best Kind Of Mess,Get Scared,Rock,Sarcasm,2010,
Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,2018,
Strange Pleasures,Still Corners,Electropop,The Trip,2013,Kitchen
Globalization,Pitbull,Pop,Celebrate,2014,Living room
Ores Aixmis,Malou Kyriakopoulou,Pop,Nixta Ginontai Ta Thavmata,2019,Patio
Rainbow,Kesha,Pop,Praying,2017,
Rainbow,Kesha,Pop,Praying,2017,Living room
Naked,James Arthur,Pop,Naked,2017,
California Sunrise,Jon Pardi,Country,Night Shift,2016,
Sunday,Dawin,Pop,Jumpshot,2016,
Yours Truly,Ariana Grande,Pop,Honeymoon Avenue,2013,Patio
Joanne,Lady Gaga,Pop,Million Reasons,2016,Kitchen
The Martin Garrix Experience,Martin Garrix,House,No Sleep,2019,Living room
Symbiotic,The Green Children,Pop,Symbiotic,2019,
Wilmer,Patoranking,Reggae,Wilmer,2019,
Tell Me You Love Me,Cheat Codes,Pop,No Promises,2017,
Speak Now,Taylor Swift,Country,Never Grow Up,2010,
Muse Box,Madilyn Bailey,Pop,Titanium,2012,
The Great War,Sabaton,Metal,A Ghost In The Trenches,2019,Living room
When Legends Rise,Godsmack,Rock,Under Your Scars,2018,
When Legends Rise,Godsmack,Rock,Under Your Scars,2018,Living room
Sexability,Vybz Kartel,Reggae,Fuckability,2019,Living room
King Of Everything,Jinjer,Metal,Pisces,2016,Patio
Halcyon,Ellie Goulding,Pop,Burn,2012,
Halcyon,Ellie Goulding,Pop,Burn,2012,Patio
Free Spirit,Khalid,Pop,Better,2018,
Kiss,Carly Rae Jepsen,Pop,Call Me Maybe,2011,
Salam,Harris J,Pop,Salam Alaikum,2015,
Cloud Nine,Kygo,Downtempo,Carry Me,2016,Living room
Jim,Ziyoda Qobilova,Pop,Jim,2016,
Built On Glass,Nick Murphy,Electronica,Gold,2014,
Demi,Demi Lovato,Pop,Neon Lights,2013,Living room
Night Visions,Imagine Dragons,Rock,Radioactive,2012,Living room
The Getaway,Red Hot Chili Peppers,Rock,Sick Love,2016,
Instant Regrets,Instant Regrets,Rock,Instant Regret,2018,
Forbidden Voices,Martin Garrix,Pop,Forbidden Voices,2015,
Lindsey Stirling,Lindsey Stirling,Pop,Elements,2012,
The Getaway,Red Hot Chili Peppers,Rock,Sick Love,2016,Kitchen
Isolation,Kali Uchis,Funk,Tyrant,2016,
Stars Dance,Selena Gomez,Pop,Love Will Remember,2013,
My Type,Popcaan,Reggae,My Type,2018,
Isolation,Kali Uchis,Funk,Tyrant,2016,Living room
Cry Pretty,Carrie Underwood,Pop,The Champion,2018,
Cry Pretty,Carrie Underwood,Pop,Southbound,2018,Living room
Speak Now,Taylor Swift,Pop,Long Live,2010,
Speak Now,Taylor Swift,Pop,Long Live,2010,Living room
Fly,Eric Rylee,Pop,Fly,2019,
Crazy Glue Riddim,Shenseea,Reggae,Nothing Dem Kno Have Ova Me,2017,
Atonement,Killswitch Engage,Metal,I Am Broken Too,2019,
You Should Be Here,Cole Swindell,Country,You Should Be Here,2015,
Brave Enough,Lindsey Stirling,Pop,The Arena,2016,
Hey Matty,Matthew David Morris,Pop,Hey Matty,2017,
Salam,Harris J,Pop,Salam Alaikum,2015,Living room
Only Love,Jordan Smith,Pop,Only Love,2018,
Parts Of The Puzzle,Busy Signal,Reggae,Stay So,2017,
Hotel,Rasta,Pop,Hotel,2016,
Sabrina,Sabrina,Pop,My Chico,2011,
Victorious,Skillet,Rock,Legendary,2019,Kitchen
Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,2018,Living room
Lover,Taylor Swift,Pop,The Archer,2019,
Lover,Taylor Swift,Pop,The Archer,2019,Kitchen
Whip My Hair,Willow Smith,Pop,Whip My Hair,2010,
Femme Fatale,Britney Spears,Pop,Criminal,2011,
We Are Not Your Kind,Slipknot,Rock,Birth Of The Cruel,2019,Kitchen
I Feel The Muzik,Luis Alvarado,House,The Muzik,2011,
Rockefeller Street,Getter Jaani,Pop,Rockefeller Street,2011,
Sing To Me Instead,Ben Platt,Pop,Grow As We Go,2019,
No Roots,Alice Merton,Pop,No Roots,2016,
I Feel The Muzik,Luis Alvarado,House,The Muzik,2011,Kitchen
Happiness Begins,Jonas Brothers,Pop,Cool,2019,
Happiness Begins,Jonas Brothers,Pop,Only Human,2019,
Happiness Begins,Jonas Brothers,Pop,Sucker,2019,
Happiness Begins,Jonas Brothers,Pop,Cool,2019,Patio
Winter Collection,Sivik,Pop,High,2015,Living room
Late Night Feelings,Mark Ronson,Pop,Find U Again,2019,
Get Weird,Little Mix,Pop,Love Me Like You,2015,
Surfers Paradise,Cody Simpson,Pop,La Da Dee,2013,
Who You Are,Jessie J,Electropop,Price Tag,2011,
Crash My Party,Luke Bryan,Country,Crash My Party,2013,
Narrated For You,Alec Benjamin,Pop,Outrunning Karma,2018,
Late Night Feelings,Mark Ronson,Pop,Find U Again,2019,Kitchen
Different World,Alan Walker,Pop,Darkside,2018,
The Getaway,Red Hot Chili Peppers,Rock,Dark Necessities,2016,Living room
Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,
Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,Patio
Dangerous Woman,Ariana Grande,Pop,Be Alright,2016,Patio
Presence,Petit Biscuit,Electronica,Sunset Lover,2015,
Presence,Petit Biscuit,Electronica,Sunset Lover,2015,Kitchen
Left Me Yet,Daya,Pop,Left Me Yet,2019,
Together Through Time,Tupper Ware Remix Party,Rock,Starlight Brigade,2018,Kitchen
Tradition,Runtown,Pop,Emotions,2019,
Times We Had,Taylor Ray Holbrook,Country,Times We Had,2017,
Avril Lavigne,Avril Lavigne,Pop,Let Me Go,2013,
Laps Around The Sun,Chris Lane,Country,Take Back Home Girl,2017,Living room
We Are Not Your Kind,Slipknot,Metal,Solway Firth,2019,
Without Me,Halsey,Pop,Without Me,2018,
We Are Not Your Kind,Slipknot,Metal,Solway Firth,2019,Kitchen
Teenage Dream,Katy Perry,Pop,Teenage Dream,2010,
Blonde,Frank Ocean,Pop,Nights,2016,
The Gereg,The Hu,Rock,Wolf Totem,2018,Living room
Freaking Me Out,Ava Max,Pop,Freaking Me Out,2019,
Loud,Rihanna,Pop,California King Bed,2011,
Happiness,Hurts,Electropop,Wonderful Life,2010,
Unapologetic,Rihanna,Pop,Pour It Up,2012,Living room
The Gaza Don,Vybz Kartel,Dancehall,Summer Time,2011,
Chill Bill,Rob Stone,Pop,Chill Bill,2016,
Shallow,Pentatonix,Pop,Shallow,2019,
The Gaza Don,Vybz Kartel,Dancehall,Summer Time,2011,Living room
Lush Life,Zara Larsson,Pop,Lush Life,2015,
Skin,Flume,Electronica,Never Be Like You,2016,
Summer House,Concorde,Pop,Just Kiss Her,2012,
Hold You,Basto,Pop,Hold You,2015,
Icarus Falls,Zayn Malik,Pop,Still Got Time,2017,Living room
Blonde,Frank Ocean,Pop,Ivy,2016,
Blonde,Frank Ocean,Pop,Ivy,2016,Living room
Spectrum,Westlife,Pop,Hello My Love,2019,
Family,Popcaan,Reggae,Family,2017,
I Hope,Gabby Barrett,Country,I Hope,2019,
Rainbow,Kesha,Pop,Praying,2017,Patio
Free Wired,Far East Movement,Electropop,Rocketeer,2010,
Free Wired,Far East Movement,Electropop,Rocketeer,2010,Living room
The Martin Garrix Experience,Martin Garrix,House,Ocean,2018,Kitchen
Your Name,Radwimps,Rock,Zenzenzense,2016,
Yours Truly,Ariana Grande,Pop,The Way,2013,Living room
Cry Pretty,Carrie Underwood,Pop,The Champion,2018,Living room
Run,Matthew Mole,Pop,Running After You,2016,
Singular Act I,Sabrina Carpenter,Pop,Sue Me,2018,
Gold Cobra,Limp Bizkit,Metal,Gold Cobra,2011,
Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,Kitchen
Sucker Punch,Sigrid,Pop,Strangers,2017,Kitchen
Captured,Spice,Reggae,Cool It,2018,Kitchen
Hat Nhan,Phan Dinh Tung,Pop,Khuc Hat Mung Sinh Nhat,2011,Kitchen
It Feel Good,Konshens,Reggae,Bruk Off Yuh Back,2016,Living room
Nayutan Sei Kara No Buttai Y,Nayutalien,Rock,Planet Loop,2016,
Victorious,Skillet,Rock,Save Me,2019,
Nayutan Sei Kara No Buttai Y,Nayutalien,Rock,Planet Loop,2016,Living room
Philosophical Sessions,Jacob Lee,Pop,Demons,2017,
Gotta Be Me,Cody Johnson,Country,With You I Am,2016,Patio
The Great War,Sabaton,Metal,A Ghost In The Trenches,2019,Kitchen
Bollywood Monsoon Special,Meet Bros,South Asia,Cham Cham,2016,
Fitness,Lizzo,Pop,Fitness,2018,
Phobia,Savannah Sgro,Pop,Phobia,2018,
Everyday Is Christmas,Sia,Holiday,Snowman,2017,Living room
Borbena,Teodora,Folk,Tom Ford,2019,
Borbena,Teodora,Folk,Tom Ford,2019,Kitchen
Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,2019,Living room
July,Noah Cyrus,Pop,July,2019,
Raise Vibration,Lenny Kravitz,Rock,Low,2018,
Blood,In This Moment,Metalcore,Adrenalize,2012,Living room
Speak Now,Taylor Swift,Pop,Long Live,2010,Kitchen
Born This Way,Lady Gaga,Pop,Born This Way,2011,
Ardhito Pramono,Ardhito Pramono,Jazz,The Bitterlove,2017,
The Older I Get,Alan Jackson,Country,The Older I Get,2017,
Phobia,Savannah Sgro,Pop,Happy Anymore,2019,
Isolation,Kali Uchis,Funk,After The Storm,2018,Patio
Best Kind Of Mess,Get Scared,Rock,Sarcasm,2010,Living room
Your Name,Radwimps,Rock,Nandemonaiya,2016,
Your Name,Radwimps,Rock,Sparkle,2016,
Your Name,Radwimps,Rock,Dream Lantern,2016,Living room
Confident,Demi Lovato,Pop,Confident,2015,
Honky Tonk Time Machine,George Strait,Country,Every Little Honky Tonk Bar,2019,
Nine Track Mind,Charlie Puth,Pop,Dangerously,2015,Living room
Rearview Town,Jason Aldean,Country,Girl Like You,2018,
Rearview Town,Jason Aldean,Country,Rearview Town,2018,
Rearview Town,Jason Aldean,Country,You Make It Easy,2018,
Rearview Town,Jason Aldean,Country,Girl Like You,2018,Living room
Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,
Pobrecita,Mo Temsamani,Pop,Mana Zina,2018,
Sucker Punch,Sigrid,Pop,Mine Right Now,2019,
Breadwinner,Prince Swanny,Reggae,Bread Winner,2019,Living room
Still Standing,Monica,Pop,Love All Over Me,2010,
Never Give Up,Harmonize,Pop,Never Give Up,2019,
Blood,In This Moment,Metalcore,Blood,2012,
All The Little Lights,Passenger,Pop,Let Her Go,2012,Kitchen
Soul Rasta,Fantan Mojah,Reggae,Rasta Got Soul,2011,
True Colors,Zedd,House,Beautiful Now,2015,Kitchen
Reincarnation,Tommy Lee Sparta,Reggae,Top Shotta,2019,Living room
Dream Girl,Ir Sais,Latin Pop,Dream Girl,2019,
Jara Sa Muskura Dena,Rakesh Sutradhar,Folk,Jara Sa Muskura Dena,2018,
Happiness Begins,Jonas Brothers,Pop,Sucker,2019,Kitchen
Built On Glass,Nick Murphy,Electronica,Gold,2014,Kitchen
Run,Matthew Mole,Pop,Running After You,2016,Living room
Hozier,Hozier,Blues,Work Song,2014,
Pass The Jar,Zac Brown Band,Country,Colder Weather,2010,Kitchen
Outsider,Three Days Grace,Rock,The Mountain,2018,
You Get What You Give,Zac Brown Band,Country,Knee Deep,2010,
Outsider,Three Days Grace,Rock,The Mountain,2018,Living room
Speak Now,Taylor Swift,Pop,Mine,2010,Patio
Narrated For You,Alec Benjamin,Pop,Let Me Down Slowly,2018,
Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,2018,Patio
Stronger,Sara Evans,Country,A Little Bit Stronger,2010,Living room
Victorious,Skillet,Rock,Victorious,2019,
The Unforgiving,Within Temptation,Metal,Faster,2010,Patio
Where We Come From,Popcaan,Reggae,Everything Nice,2013,Living room
So Mi Like It,Spice,Reggae,So Mi Like It,2014,
Unapologetically,Kelsea Ballerini,Country,Miss Me More,2017,
Yours,Russell Dickerson,Country,Yours,2015,
Camila,Camila Cabello,Pop,Consequences,2018,
Last Daze Of Summer,Maleek Berry,Africa,Kontrol,2016,
Camila,Camila Cabello,Pop,Consequences,2018,Living room
Sinner,Aaron Lewis,Country,Lost And Lonely,2016,Living room
Loud,Rihanna,Reggae,Man Down,2010,
Unapologetic,Rihanna,Pop,Stay,2012,
Loud,Rihanna,Reggae,Man Down,2010,Living room
Strange Pleasures,Still Corners,Electropop,The Trip,2013,Living room
Intuition,Tyler Shaw,Pop,With You,2018,
Home State,Jordan Davis,Country,Singles You Up,2017,
Intuition,Tyler Shaw,Pop,With You,2018,Living room
Lover,Taylor Swift,Pop,You Need To Calm Down,2019,Living room
Crust Fm,Engelwood,Future Funk,Crystal Dolphin,2017,Living room
Amos,Michael Ray,Country,Her World Or Mine,2018,Living room
My World Untouched,Emma Bale,Pop,All I Want,2014,Kitchen
Gone,Matthew David Morris,Pop,Gone,2017,
Sanam,Janob Rasul,Pop,Sanam,2018,
Run,Matthew Mole,Pop,Running After You,2016,Kitchen
True Believers,Darius Rucker,Country,Wagon Wheel,2013,
True Believers,Darius Rucker,Country,Wagon Wheel,2013,Kitchen
The Unforgiving,Within Temptation,Metal,Faster,2010,Living room
Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,
Middle Finger,Bohnes,Pop,Middle Finger,2015,
Heartache Medication,Jon Pardi,Country,Heartache Medication,2019,
Goddess,Cepheid,Metal,Goddess,2018,
Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,Patio
New Light,John Mayer,Pop,New Light,2018,
Anthropology,Baby Genius,Pop,Arty Hearty,2014,Living room
The Mountain,Dierks Bentley,Country,Burning Man,2018,Living room
Loud,Rihanna,Pop,California King Bed,2011,Living room
The Martin Garrix Experience,Martin Garrix,House,No Sleep,2019,Kitchen
Golden Hour,Kacey Musgraves,Country,Rainbow,2018,
Borbena,Teodora,Folk,Tom Ford,2019,Living room
Lifelines,I Prevail,Metalcore,Scars,2016,
The Colossus,Cairo Knife Fight,Rock,Rezlord,2014,Kitchen
Ancient Future,Protoje,Reggae,Who Knows,2014,Kitchen
True Colors,Zedd,House,Beautiful Now,2015,Patio
Wicked Game,Frederick Lloyd,Classical,Wicked Game,2016,
The Purple Heart Riddim,Nadia Batson,Reggae,So Long,2018,Living room
Tell Me You Love Me,Cheat Codes,Pop,No Promises,2017,Living room
Creeker,Upchurch,Rock,Pond Creek Road,2018,
Money Fever,Squash,Reggae,Money Fever,2018,
Creeker,Upchurch,Rock,Pond Creek Road,2018,Living room
Ancient Future,Protoje,Reggae,Who Knows,2014,Living room
Love Town,Kolohe Kai,Reggae,First True Love,2011,Patio
Lifelines,I Prevail,Metalcore,Scars,2016,Living room
Speak Now,Taylor Swift,Pop,Mine,2010,Kitchen
Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,Living room
Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,2014,Living room
New Eyes,Clean Bandit,Electropop,Rather Be,2014,
California Sunrise,Jon Pardi,Country,Head Over Boots,2015,Kitchen
Beautiful Life,Seantonio,Downtempo,Beautiful Life,2018,
Cold Water,Major Lazer,Electropop,Cold Water,2016,
Who You Are,Jessie J,Electropop,Domino,2011,
One More Light,Linkin Park,Electropop,Battle Symphony,2017,Living room
Chronologic,Caravan Palace,Pop,Plume,2019,Living room
Madame X,Madonna,Pop,God Control,2019,Living room
Sing To Me Instead,Ben Platt,Pop,Grow As We Go,2019,Living room
Holo,Limbo,Pop,Airplane Mode,2017,Kitchen
Love Always,Shane Filan,Pop,Beautiful In White,2017,Patio
Boo Thang,Verse Simmonds,Pop,Boo Thang,2011,
Surfers Paradise,Cody Simpson,Pop,La Da Dee,2013,Living room
Current Mood,Dustin Lynch,Country,Small Town Boy,2017,
Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,2012,Living room
Bangarang,Skrillex,Soundtracks,Bangarang,2011,
Title,Meghan Trainor,Pop,All About That Bass,2014,Kitchen
G I R L,Pharrell Williams,Pop,Come Get It Bae,2014,
Royalty,Chris Brown,Funk,Liquor,2015,
G I R L,Pharrell Williams,Pop,Come Get It Bae,2014,Living room
Moon Landing,James Blunt,Pop,Always Hate Me,2013,Living room
Unorthodox Jukebox,Bruno Mars,Disco,Treasure,2012,
Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Express,2010,
Believe,Justin Bieber,Pop,Boyfriend,2012,Living room
Shub Out,Tee Jay,Reggae,Shub Out,2019,
If I Know Me,Morgan Wallen,Country,Whiskey Glasses,2018,
Yomonsan,Janob Rasul,Pop,Yomonsan,2017,
My Everything,Ariana Grande,Pop,One Last Time,2014,Living room
The New Classic,Iggy Azalea,Pop,Black Widow,2014,Kitchen
Your Name,Radwimps,Rock,Dream Lantern,2016,Kitchen
Old Dominion,Old Dominion,Country,Some People Do,2019,
El Anillo,Jennifer Lopez,Pop,El Anillo,2018,
Lahure,Chhewang Lama,Folk,Lahure,2019,
Melodrama,Lorde,Electropop,Supercut,2017,
Assume Form,James Blake,Pop,Barefoot In The Park,2019,Living room
A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,2012,Patio
Nick Jonas,Nick Jonas,Pop,Jealous,2014,
Originals,Prince,Pop,Holly Rock,2019,
Your Name,Radwimps,Rock,Nandemonaiya,2016,Living room
Expectations,Hayley Kiyoko,Pop,Curious,2018,Living room
Mantra,Rasta,Pop,Mantra,2019,
Lee Brice,Lee Brice,Country,Rumor,2017,
Good Company,The Dead South,Folk,Banjo Odyssey,2013,Living room
Loser,Sasha Sloan,Pop,Older,2018,
Joanne,Lady Gaga,Pop,Perfect Illusion,2016,Patio
Who You Are,Jessie J,Electropop,Mamma Knows Best,2011,Living room
Glory Days,Little Mix,Pop,No More Sad Songs,2016,
More Than That,Lauren Jauregui,Pop,More Than That,2019,
Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,2012,Living room
Yours,Russell Dickerson,Country,Blue Tacoma,2016,Living room
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,Kitchen
One More Light,Linkin Park,Electropop,Battle Symphony,2017,Patio
My Darkest Days,My Darkest Days,Rock,Porn Star Dancing,2010,
Rage Valley,Knife Party,Dubstep,Centipede,2012,Living room
Starboy,The Weeknd,Disco,I Feel It Coming,2016,
Victorious,Skillet,Rock,Legendary,2019,Patio
Honey,Johnny Balik,Pop,Honey,2018,
Undefined,Simply Three,Rock,Rain,2017,Living room
The Great War,Sabaton,Metal,The Red Baron,2019,Living room
Hate How Much I Love You,Conor Maynard,Pop,Hate How Much I Love You,2019,
Cry Pretty,Carrie Underwood,Pop,The Champion,2018,Kitchen
Illinois,Brett Eldredge,Country,Lose My Mind,2015,
Illinois,Brett Eldredge,Country,Lose My Mind,2015,Kitchen
Camila,Camila Cabello,Pop,She Loves Control,2018,
Camila,Camila Cabello,Pop,Real Friends,2017,
The New Classic,Iggy Azalea,Pop,Bounce,2013,Living room
Raabta,Arijit Singh,South Asia,Ik Vaari Aa,2017,
Summer House,Concorde,Pop,Just Kiss Her,2012,Living room
Euphoria,Enrique Iglesias,Pop,I Like It,2010,Kitchen
The First Time,Kelsea Ballerini,Country,Peter Pan,2015,
The First Time,Kelsea Ballerini,Country,Peter Pan,2015,Living room
Welcome To The Fishbowl,Kenny Chesney,Country,Come Over,2012,Living room
Madame X,Madonna,Pop,Batuka,2019,Patio
My Dream,Karolina Protsenko,Pop,Despacito,2018,
Kill The Lights,Luke Bryan,Country,Strip It Down,2015,
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Look What I Found,2018,
Climate Change,Pitbull,Pop,Options,2017,Living room
Halcyon,Ellie Goulding,Pop,Burn,2012,Living room
Gotta Be Me,Cody Johnson,Country,With You I Am,2016,Kitchen
The Nothing,Korn,Metal,Cold,2019,Living room
The Getaway,Red Hot Chili Peppers,Rock,Dark Necessities,2016,Kitchen
Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Tough Lover,2010,Kitchen
Slow Air,Still Corners,Pop,Black Lagoon,2018,Patio
Believe,Justin Bieber,Pop,Boyfriend,2012,Kitchen
When Was The Last Time,Darius Rucker,Country,If I Told You,2017,Patio
Pain Killer,Little Big Town,Country,Girl Crush,2014,Living room
My Everything,Ariana Grande,Pop,Best Mistake,2014,Living room
Outsider,Three Days Grace,Rock,The Mountain,2018,Patio
Single,Maggie Lindemann,Pop,Pretty Girl,2016,
Do It Again,Pia Mia,Pop,Do It Again,2015,
Raabta,Arijit Singh,South Asia,Ik Vaari Aa,2017,Living room
Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,2018,Living room
Hold On,Chord Overstreet,Pop,Hold On,2017,
I Have Questions,Camila Cabello,Pop,I Have Questions,2017,
California Sunrise,Jon Pardi,Country,Night Shift,2016,Living room
Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,Living room
Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,2017,Kitchen
Black Widow,In This Moment,Metalcore,Sick Like Me,2014,Patio
Never Know,Discrete,Pop,Never Know,2018,
Witness,Katy Perry,Pop,Hey Hey Hey,2017,Living room
Get Weird,Little Mix,Pop,Love Me Like You,2015,Living room
Camila,Camila Cabello,Pop,Real Friends,2017,Living room
Get Weird,Little Mix,Pop,Love Me Like You,2015,Patio
The Story,Fivefold,Rock,Lost Within,2012,
The Black,Asking Alexandria,Metalcore,The Black,2016,
Wintersaga,Wind Rose,Metal,Diggy Diggy Hole,2019,Patio
Brett Young,Brett Young,Country,Mercy,2017,
The Story,Fivefold,Rock,Lost Within,2012,Living room
Charice,Jake Zyrus,Pop,Pyramid,2010,Patio
Money,Michael Kiwanuka,Disco,Money,2019,
Starting Over,Niykee Heaton,Pop,Mascara,2018,Patio
Intuition,Tyler Shaw,Pop,With You,2018,Kitchen
Starboy,The Weeknd,Disco,I Feel It Coming,2016,Patio
Current Mood,Dustin Lynch,Country,Small Town Boy,2017,Patio
Lady Wood,Tove Lo,Electropop,Cool Girl,2016,Kitchen
The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,Patio
Me Kemaste,El Taiger,Latin,Me Kemaste,2018,
The New Classic,Iggy Azalea,Pop,Work,2013,Living room
Love I Got For U,Shenseea,Reggae,Love I Got For U,2018,
Unapologetic,Rihanna,Pop,Stay,2012,Living room
Always In Between,Jess Glynne,Pop,Thursday,2018,Living room
The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,2012,Kitchen
Raees,Pavni Pandey,South Asia,Laila Main Laila,2017,Kitchen
