car_name,car_type,city,end_date,pickup_location,pickup_time,price_per_day,start_date,add_insurance
Renault Clio,Hatchback,Anaheim,2019-03-09,John Wayne Airport,16:30,29.00,2019-03-06,
SEAT Leon,Hatchback,Anaheim,2019-03-09,Anaheim Intermodal Center,16:30,23.00,2019-03-06,
Skoda Kodiaq,SUV,Anaheim,2019-03-09,John Wayne Airport,16:30,46.00,2019-03-06,
Skoda Octavia,Sedan,Anaheim,2019-03-09,Anaheim Intermodal Center,16:30,27.00,2019-03-06,
Volvo S90,Sedan,,2019-03-09,John Wayne Airport,16:30,52.00,2019-03-06,True
Audi A8,Sedan,San Francisco,2019-03-10,Salesforce Transit Center,17:00,31.00,2019-03-09,
Buick Regal Sportback,Sedan,San Francisco,2019-03-10,Salesforce Transit Center,17:00,32.00,2019-03-09,
Fiat Panda,Hatchback,San Francisco,2019-03-10,SFO International Airport,17:00,24.00,2019-03-09,
GMC Terrain,SUV,San Francisco,2019-03-10,SFO International Airport,17:00,42.00,2019-03-09,
Hyundai Ioniq,Sedan,San Francisco,2019-03-10,SFO International Airport,17:00,35.00,2019-03-09,
Jaguar F-Pace,SUV,San Francisco,2019-03-10,Salesforce Transit Center,17:00,41.00,2019-03-09,
Kia Ceed,Hatchback,San Francisco,2019-03-10,SFO International Airport,17:00,28.00,2019-03-09,
Lexus GS,Sedan,San Francisco,2019-03-10,Salesforce Transit Center,17:00,30.00,2019-03-09,
Mazda 3,Hatchback,San Francisco,2019-03-10,Salesforce Transit Center,17:00,31.00,2019-03-09,
Mitsubishi Outlander,SUV,San Francisco,2019-03-10,SFO International Airport,17:00,47.00,2019-03-09,
Buick Regal Sportback,Sedan,,2019-03-10,Salesforce Transit Center,17:00,32.00,2019-03-09,False
Fiat Panda,Hatchback,Long Beach,2019-03-14,LGB Airport,11:00,28.00,2019-03-12,
Mazda 3,Hatchback,Long Beach,2019-03-14,LGB Airport,11:00,25.00,2019-03-12,
Vauxhaull Astra,Hatchback,Long Beach,2019-03-14,LGB Airport,11:00,26.00,2019-03-12,
Mazda 3,Hatchback,,2019-03-14,LGB Airport,11:00,25.00,2019-03-12,False
Alfa Romeo Stelvio,SUV,Sacramento,2019-03-14,Sacramento Valley Station,19:30,52.00,2019-03-10,
Buick Regal Sportback,Sedan,Sacramento,2019-03-14,Sacramento Valley Station,19:30,33.00,2019-03-10,
Jaguar F-Pace,SUV,Sacramento,2019-03-14,Sacramento Valley Station,19:30,33.00,2019-03-10,
Kia Ceed,Hatchback,Sacramento,2019-03-14,Sacramento Valley Station,19:30,23.00,2019-03-10,
Mitsubishi Outlander,SUV,Sacramento,2019-03-14,Sacramento Valley Station,19:30,43.00,2019-03-10,
Nissan Qashqai,Hatchback,Sacramento,2019-03-14,Sacramento Valley Station,19:30,26.00,2019-03-10,
Renault Clio,Hatchback,Sacramento,2019-03-14,Sacramento Valley Station,19:30,26.00,2019-03-10,
Skoda Octavia,Sedan,Sacramento,2019-03-14,Sacramento Valley Station,19:30,33.00,2019-03-10,
Mitsubishi Outlander,SUV,,2019-03-14,Sacramento Valley Station,19:30,43.00,2019-03-10,False
Dacia Duster,SUV,Los Angeles,2019-03-07,LAX International Airport,13:30,41.00,2019-03-03,
Fiat Panda,Hatchback,Los Angeles,2019-03-07,LAX International Airport,13:30,28.00,2019-03-03,
Ford Focus,Hatchback,Los Angeles,2019-03-07,Union Station,13:30,27.00,2019-03-03,
GMC Terrain,SUV,Los Angeles,2019-03-07,Union Station,13:30,44.00,2019-03-03,
Hyundai Ioniq,Sedan,Los Angeles,2019-03-07,LAX International Airport,13:30,27.00,2019-03-03,
Lexus GS,Sedan,Los Angeles,2019-03-07,Union Station,13:30,28.00,2019-03-03,
Mitsubishi Outlander,SUV,Los Angeles,2019-03-07,Union Station,13:30,32.00,2019-03-03,
Nissan Qashqai,Hatchback,Los Angeles,2019-03-07,LAX International Airport,13:30,34.00,2019-03-03,
Renault Clio,Hatchback,Los Angeles,2019-03-07,LAX International Airport,13:30,27.00,2019-03-03,
SEAT Cordoba,Sedan,Los Angeles,2019-03-07,Union Station,13:30,26.00,2019-03-03,
Skoda Kodiaq,SUV,,2019-03-07,LAX International Airport,13:30,38.00,2019-03-03,False
Audi A8,Sedan,San Francisco,2019-03-14,Salesforce Transit Center,15:00,31.00,2019-03-12,
Buick Regal Sportback,Sedan,San Francisco,2019-03-14,Salesforce Transit Center,15:00,32.00,2019-03-12,
Fiat Panda,Hatchback,San Francisco,2019-03-14,SFO International Airport,15:00,30.00,2019-03-12,
GMC Terrain,SUV,San Francisco,2019-03-14,SFO International Airport,15:00,48.00,2019-03-12,
Hyundai Ioniq,Sedan,San Francisco,2019-03-14,SFO International Airport,15:00,33.00,2019-03-12,
Jaguar F-Pace,SUV,San Francisco,2019-03-14,Salesforce Transit Center,15:00,35.00,2019-03-12,
Kia Ceed,Hatchback,San Francisco,2019-03-14,SFO International Airport,15:00,26.00,2019-03-12,
Lexus GS,Sedan,San Francisco,2019-03-14,Salesforce Transit Center,15:00,32.00,2019-03-12,
Mazda 3,Hatchback,San Francisco,2019-03-14,Salesforce Transit Center,15:00,26.00,2019-03-12,
Mitsubishi Outlander,SUV,San Francisco,2019-03-14,SFO International Airport,15:00,45.00,2019-03-12,
Buick Regal Sportback,Sedan,,2019-03-14,Salesforce Transit Center,15:00,44.00,2019-03-12,True
Dodge Charger,Sedan,Fresno,2019-03-13,Fresno Yosemite International Airport,14:00,31.00,2019-03-11,
Ford Focus,Hatchback,Fresno,2019-03-13,Fresno Station,14:00,30.00,2019-03-11,
GMC Terrain,SUV,Fresno,2019-03-13,Fresno Station,14:00,46.00,2019-03-11,
Jaguar F-Pace,SUV,Fresno,2019-03-13,Fresno Yosemite International Airport,14:00,37.00,2019-03-11,
Kia Ceed,Hatchback,Fresno,2019-03-13,Fresno Station,14:00,24.00,2019-03-11,
Lexus GS,Sedan,Fresno,2019-03-13,Fresno Station,14:00,35.00,2019-03-11,
Mazda CX-5,SUV,Fresno,2019-03-13,Fresno Station,14:00,43.00,2019-03-11,
Peugeot 208,Hatchback,Fresno,2019-03-13,Fresno Yosemite International Airport,14:00,23.00,2019-03-11,
SEAT Cordoba,Sedan,Fresno,2019-03-13,Fresno Yosemite International Airport,14:00,32.00,2019-03-11,
SEAT Leon,Hatchback,Fresno,2019-03-13,Fresno Station,14:00,23.00,2019-03-11,
Skoda Octavia,Sedan,,2019-03-13,Fresno Yosemite International Airport,14:00,33.00,2019-03-11,False
Alfa Romeo Stelvio,SUV,Long Beach,2019-03-11,LGB Airport,12:00,49.00,2019-03-10,
Audi A8,Sedan,Long Beach,2019-03-11,LGB Airport,12:00,32.00,2019-03-10,
Buick Regal Sportback,Sedan,Long Beach,2019-03-11,Downtown Station,12:00,31.00,2019-03-10,
Citroen C5,SUV,Long Beach,2019-03-11,LGB Airport,12:00,40.00,2019-03-10,
Fiat Panda,Hatchback,Long Beach,2019-03-11,LGB Airport,12:00,28.00,2019-03-10,
Hyundai Ioniq,Sedan,Long Beach,2019-03-11,LGB Airport,12:00,37.00,2019-03-10,
Jaguar F-Pace,SUV,Long Beach,2019-03-11,Downtown Station,12:00,38.00,2019-03-10,
Kia Ceed,Hatchback,Long Beach,2019-03-11,Downtown Station,12:00,29.00,2019-03-10,
Mazda 3,Hatchback,Long Beach,2019-03-11,LGB Airport,12:00,29.00,2019-03-10,
Peugeot 208,Hatchback,Long Beach,2019-03-11,Downtown Station,12:00,29.00,2019-03-10,
Buick Regal Sportback,Sedan,,2019-03-11,Downtown Station,12:00,31.00,2019-03-10,False
Alfa Romeo Stelvio,SUV,Long Beach,2019-03-13,LGB Airport,17:00,41.00,2019-03-09,
Audi A8,Sedan,Long Beach,2019-03-13,LGB Airport,17:00,35.00,2019-03-09,
Buick Regal Sportback,Sedan,Long Beach,2019-03-13,Downtown Station,17:00,29.00,2019-03-09,
Citroen C5,SUV,Long Beach,2019-03-13,LGB Airport,17:00,38.00,2019-03-09,
Fiat Panda,Hatchback,Long Beach,2019-03-13,LGB Airport,17:00,26.00,2019-03-09,
Hyundai Ioniq,Sedan,Long Beach,2019-03-13,LGB Airport,17:00,32.00,2019-03-09,
Jaguar F-Pace,SUV,Long Beach,2019-03-13,Downtown Station,17:00,36.00,2019-03-09,
Kia Ceed,Hatchback,Long Beach,2019-03-13,Downtown Station,17:00,27.00,2019-03-09,
Mazda 3,Hatchback,Long Beach,2019-03-13,LGB Airport,17:00,24.00,2019-03-09,
Peugeot 208,Hatchback,Long Beach,2019-03-13,Downtown Station,17:00,28.00,2019-03-09,
Fiat Panda,Hatchback,Long Beach,2019-03-13,LGB Airport,17:00,26.00,2019-03-08,
Kia Ceed,Hatchback,Long Beach,2019-03-13,Downtown Station,17:00,27.00,2019-03-08,
Mazda 3,Hatchback,Long Beach,2019-03-13,LGB Airport,17:00,28.00,2019-03-08,
Peugeot 208,Hatchback,Long Beach,2019-03-13,Downtown Station,17:00,25.00,2019-03-08,
Vauxhaull Astra,Hatchback,Long Beach,2019-03-13,Downtown Station,17:00,29.00,2019-03-08,
Mazda 3,Hatchback,,2019-03-13,LGB Airport,17:00,28.00,2019-03-08,False
Alfa Romeo Stelvio,SUV,Sacramento,2019-03-12,Sacramento Valley Station,19:30,40.00,2019-03-09,
Buick Regal Sportback,Sedan,Sacramento,2019-03-12,Sacramento Valley Station,19:30,30.00,2019-03-09,
Jaguar F-Pace,SUV,Sacramento,2019-03-12,Sacramento Valley Station,19:30,48.00,2019-03-09,
Kia Ceed,Hatchback,Sacramento,2019-03-12,Sacramento Valley Station,19:30,24.00,2019-03-09,
Mitsubishi Outlander,SUV,Sacramento,2019-03-12,Sacramento Valley Station,19:30,41.00,2019-03-09,
Nissan Qashqai,Hatchback,Sacramento,2019-03-12,Sacramento Valley Station,19:30,20.00,2019-03-09,
Renault Clio,Hatchback,Sacramento,2019-03-12,Sacramento Valley Station,19:30,23.00,2019-03-09,
Skoda Octavia,Sedan,Sacramento,2019-03-12,Sacramento Valley Station,19:30,30.00,2019-03-09,
Mitsubishi Outlander,SUV,,2019-03-12,Sacramento Valley Station,19:30,41.00,2019-03-09,False
Jaguar F-Pace,SUV,Fresno,2019-03-09,Fresno Station,15:00,39.00,2019-03-03,
Lexus GS,Sedan,Fresno,2019-03-09,Fresno Station,15:00,27.00,2019-03-03,
Peugeot 208,Hatchback,Fresno,2019-03-09,Fresno Yosemite International Airport,15:00,30.00,2019-03-03,
SEAT Cordoba,Sedan,Fresno,2019-03-09,Fresno Yosemite International Airport,15:00,38.00,2019-03-03,
Skoda Octavia,Sedan,Fresno,2019-03-09,Fresno Station,15:00,29.00,2019-03-03,
Jaguar F-Pace,SUV,,2019-03-09,Fresno Station,15:00,39.00,2019-03-03,False
Dacia Duster,SUV,Vancouver,2019-03-08,YVR International Airport,10:30,43.00,2019-03-06,
Ford Focus,Hatchback,Vancouver,2019-03-08,YVR International Airport,10:30,25.00,2019-03-06,
Jaguar F-Pace,SUV,Vancouver,2019-03-08,YVR International Airport,10:30,45.00,2019-03-06,
Mazda 3,Hatchback,Vancouver,2019-03-08,YVR International Airport,10:30,29.00,2019-03-06,
Peugeot 208,Hatchback,Vancouver,2019-03-08,YVR International Airport,10:30,28.00,2019-03-06,
Skoda Octavia,Sedan,Vancouver,2019-03-08,YVR International Airport,10:30,33.00,2019-03-06,
Volvo S90,Sedan,Vancouver,2019-03-08,YVR International Airport,10:30,37.00,2019-03-06,
Dacia Duster,SUV,,2019-03-08,YVR International Airport,10:30,43.00,2019-03-06,False
Alfa Romeo Stelvio,SUV,Long Beach,2019-03-14,LGB Airport,17:00,40.00,2019-03-09,
Buick Regal Sportback,Sedan,Long Beach,2019-03-14,Downtown Station,17:00,24.00,2019-03-09,
Fiat Panda,Hatchback,Long Beach,2019-03-14,LGB Airport,17:00,31.00,2019-03-09,
Hyundai Ioniq,Sedan,Long Beach,2019-03-14,LGB Airport,17:00,33.00,2019-03-09,
Jaguar F-Pace,SUV,Long Beach,2019-03-14,Downtown Station,17:00,44.00,2019-03-09,
Kia Ceed,Hatchback,Long Beach,2019-03-14,Downtown Station,17:00,24.00,2019-03-09,
Mazda 3,Hatchback,Long Beach,2019-03-14,LGB Airport,17:00,25.00,2019-03-09,
Peugeot 208,Hatchback,Long Beach,2019-03-14,Downtown Station,17:00,25.00,2019-03-09,
Vauxhaull Astra,Hatchback,Long Beach,2019-03-14,Downtown Station,17:00,27.00,2019-03-09,
Volvo S90,Sedan,Long Beach,2019-03-14,Downtown Station,17:00,36.00,2019-03-09,
Mazda 3,Hatchback,,2019-03-14,LGB Airport,17:00,43.00,2019-03-09,True
Fiat Panda,Hatchback,San Francisco,2019-03-13,SFO International Airport,15:30,29.00,2019-03-12,
Kia Ceed,Hatchback,San Francisco,2019-03-13,SFO International Airport,15:30,24.00,2019-03-12,
Mazda 3,Hatchback,San Francisco,2019-03-13,Salesforce Transit Center,15:30,30.00,2019-03-12,
Renault Clio,Hatchback,San Francisco,2019-03-13,SFO International Airport,15:30,26.00,2019-03-12,
SEAT Leon,Hatchback,San Francisco,2019-03-13,SFO International Airport,15:30,26.00,2019-03-12,
Vauxhaull Astra,Hatchback,San Francisco,2019-03-13,Salesforce Transit Center,15:30,23.00,2019-03-12,
Fiat Panda,Hatchback,London,2019-03-13,Heathrow International Airport,12:00,26.00,2019-03-12,
Ford Focus,Hatchback,London,2019-03-13,Gatwick International Airport,12:00,31.00,2019-03-12,
Mazda 3,Hatchback,London,2019-03-13,Gatwick International Airport,12:00,28.00,2019-03-12,
Nissan Qashqai,Hatchback,London,2019-03-13,Heathrow International Airport,12:00,29.00,2019-03-12,
Renault Clio,Hatchback,London,2019-03-13,Gatwick International Airport,12:00,27.00,2019-03-12,
Mazda 3,Hatchback,,2019-03-13,Gatwick International Airport,12:00,38.00,2019-03-12,True
Alfa Romeo Stelvio,SUV,Sacramento,2019-03-06,Sacramento Valley Station,16:30,40.00,2019-03-04,
Audi A8,Sedan,Sacramento,2019-03-06,SMF International Airport,16:30,32.00,2019-03-04,
Buick Regal Sportback,Sedan,Sacramento,2019-03-06,Sacramento Valley Station,16:30,31.00,2019-03-04,
Ford Focus,Hatchback,Sacramento,2019-03-06,SMF International Airport,16:30,32.00,2019-03-04,
GMC Terrain,SUV,Sacramento,2019-03-06,SMF International Airport,16:30,43.00,2019-03-04,
Jaguar F-Pace,SUV,Sacramento,2019-03-06,Sacramento Valley Station,16:30,40.00,2019-03-04,
Kia Ceed,Hatchback,Sacramento,2019-03-06,SMF International Airport,16:30,30.00,2019-03-04,
Lexus GS,Sedan,Sacramento,2019-03-06,SMF International Airport,16:30,36.00,2019-03-04,
Mitsubishi Outlander,SUV,Sacramento,2019-03-06,SMF International Airport,16:30,51.00,2019-03-04,
Nissan Qashqai,Hatchback,Sacramento,2019-03-06,Sacramento Valley Station,16:30,21.00,2019-03-04,
Lexus GS,Sedan,,2019-03-06,SMF International Airport,16:30,36.00,2019-03-04,False
Ford Focus,Hatchback,Sacramento,2019-03-09,SMF International Airport,13:30,30.00,2019-03-08,
Kia Ceed,Hatchback,Sacramento,2019-03-09,SMF International Airport,13:30,30.00,2019-03-08,
Nissan Qashqai,Hatchback,Sacramento,2019-03-09,Sacramento Valley Station,13:30,26.00,2019-03-08,
Renault Clio,Hatchback,Sacramento,2019-03-09,Sacramento Valley Station,13:30,25.00,2019-03-08,
Kia Ceed,Hatchback,,2019-03-09,SMF International Airport,13:30,30.00,2019-03-08,False
Alfa Romeo Stelvio,SUV,Sacramento,2019-03-14,Sacramento Valley Station,18:00,36.00,2019-03-11,
Buick Regal Sportback,Sedan,Sacramento,2019-03-14,Sacramento Valley Station,18:00,31.00,2019-03-11,
Jaguar F-Pace,SUV,Sacramento,2019-03-14,Sacramento Valley Station,18:00,40.00,2019-03-11,
Kia Ceed,Hatchback,Sacramento,2019-03-14,Sacramento Valley Station,18:00,26.00,2019-03-11,
Mitsubishi Outlander,SUV,Sacramento,2019-03-14,Sacramento Valley Station,18:00,41.00,2019-03-11,
Nissan Qashqai,Hatchback,Sacramento,2019-03-14,Sacramento Valley Station,18:00,24.00,2019-03-11,
Renault Clio,Hatchback,Sacramento,2019-03-14,Sacramento Valley Station,18:00,28.00,2019-03-11,
Skoda Octavia,Sedan,Sacramento,2019-03-14,Sacramento Valley Station,18:00,29.00,2019-03-11,
Alfa Romeo Stelvio,SUV,Sacramento,2019-03-12,Sacramento Valley Station,18:00,40.00,2019-03-11,
Buick Regal Sportback,Sedan,Sacramento,2019-03-12,Sacramento Valley Station,18:00,31.00,2019-03-11,
Jaguar F-Pace,SUV,Sacramento,2019-03-12,Sacramento Valley Station,18:00,46.00,2019-03-11,
Kia Ceed,Hatchback,Sacramento,2019-03-12,Sacramento Valley Station,18:00,28.00,2019-03-11,
Mitsubishi Outlander,SUV,Sacramento,2019-03-12,Sacramento Valley Station,18:00,41.00,2019-03-11,
Nissan Qashqai,Hatchback,Sacramento,2019-03-12,Sacramento Valley Station,18:00,28.00,2019-03-11,
Renault Clio,Hatchback,Sacramento,2019-03-12,Sacramento Valley Station,18:00,23.00,2019-03-11,
Buick Regal Sportback,Sedan,,2019-03-12,Sacramento Valley Station,18:00,41.00,2019-03-11,True
Alfa Romeo Stelvio,SUV,Long Beach,2019-03-11,LGB Airport,15:30,49.00,2019-03-10,
Audi A8,Sedan,Long Beach,2019-03-11,LGB Airport,15:30,32.00,2019-03-10,
Buick Regal Sportback,Sedan,Long Beach,2019-03-11,Downtown Station,15:30,31.00,2019-03-10,
Citroen C5,SUV,Long Beach,2019-03-11,LGB Airport,15:30,40.00,2019-03-10,
Fiat Panda,Hatchback,Long Beach,2019-03-11,LGB Airport,15:30,28.00,2019-03-10,
Hyundai Ioniq,Sedan,Long Beach,2019-03-11,LGB Airport,15:30,37.00,2019-03-10,
Jaguar F-Pace,SUV,Long Beach,2019-03-11,Downtown Station,15:30,38.00,2019-03-10,
Kia Ceed,Hatchback,Long Beach,2019-03-11,Downtown Station,15:30,29.00,2019-03-10,
Mazda 3,Hatchback,Long Beach,2019-03-11,LGB Airport,15:30,29.00,2019-03-10,
Peugeot 208,Hatchback,Long Beach,2019-03-11,Downtown Station,15:30,29.00,2019-03-10,
Audi A8,Sedan,London,2019-03-11,Heathrow International Airport,15:30,36.00,2019-03-10,
Buick Regal Sportback,Sedan,London,2019-03-11,Gatwick International Airport,15:30,32.00,2019-03-10,
Citroen C5,SUV,London,2019-03-11,Heathrow International Airport,15:30,41.00,2019-03-10,
Dacia Duster,SUV,London,2019-03-11,Heathrow International Airport,15:30,41.00,2019-03-10,
Fiat Panda,Hatchback,London,2019-03-11,Heathrow International Airport,15:30,28.00,2019-03-10,
Ford Focus,Hatchback,London,2019-03-11,Gatwick International Airport,15:30,28.00,2019-03-10,
GMC Terrain,SUV,London,2019-03-11,Heathrow International Airport,15:30,44.00,2019-03-10,
Hyundai Ioniq,Sedan,London,2019-03-11,Gatwick International Airport,15:30,33.00,2019-03-10,
Lexus GS,Sedan,London,2019-03-11,Heathrow International Airport,15:30,35.00,2019-03-10,
Volvo S90,Sedan,,2019-03-11,Gatwick International Airport,15:30,33.00,2019-03-10,False
Dacia Duster,SUV,Los Angeles,2019-03-14,LAX International Airport,17:00,40.00,2019-03-13,
Fiat Panda,Hatchback,Los Angeles,2019-03-14,LAX International Airport,17:00,34.00,2019-03-13,
Ford Focus,Hatchback,Los Angeles,2019-03-14,Union Station,17:00,27.00,2019-03-13,
GMC Terrain,SUV,Los Angeles,2019-03-14,Union Station,17:00,42.00,2019-03-13,
Hyundai Ioniq,Sedan,Los Angeles,2019-03-14,LAX International Airport,17:00,32.00,2019-03-13,
Lexus GS,Sedan,Los Angeles,2019-03-14,Union Station,17:00,33.00,2019-03-13,
Mitsubishi Outlander,SUV,Los Angeles,2019-03-14,Union Station,17:00,43.00,2019-03-13,
Nissan Qashqai,Hatchback,Los Angeles,2019-03-14,LAX International Airport,17:00,25.00,2019-03-13,
Renault Clio,Hatchback,Los Angeles,2019-03-14,LAX International Airport,17:00,29.00,2019-03-13,
SEAT Cordoba,Sedan,Los Angeles,2019-03-14,Union Station,17:00,27.00,2019-03-13,
Skoda Kodiaq,SUV,,2019-03-14,LAX International Airport,17:00,43.00,2019-03-13,False
Audi A8,Sedan,San Francisco,2019-03-10,Salesforce Transit Center,18:00,31.00,2019-03-09,
Buick Regal Sportback,Sedan,San Francisco,2019-03-10,Salesforce Transit Center,18:00,32.00,2019-03-09,
Jaguar F-Pace,SUV,San Francisco,2019-03-10,Salesforce Transit Center,18:00,41.00,2019-03-09,
Lexus GS,Sedan,San Francisco,2019-03-10,Salesforce Transit Center,18:00,30.00,2019-03-09,
Mazda 3,Hatchback,San Francisco,2019-03-10,Salesforce Transit Center,18:00,31.00,2019-03-09,
SEAT Cordoba,Sedan,San Francisco,2019-03-10,Salesforce Transit Center,18:00,30.00,2019-03-09,
Vauxhaull Astra,Hatchback,San Francisco,2019-03-10,Salesforce Transit Center,18:00,25.00,2019-03-09,
Buick Regal Sportback,Sedan,,2019-03-10,Salesforce Transit Center,18:00,32.00,2019-03-09,False
Audi A8,Sedan,Seattle,2019-03-12,King Street Station,14:00,32.00,2019-03-08,
Citroen C5,SUV,Seattle,2019-03-12,Seattle-Tacoma International Airport,14:00,37.00,2019-03-08,
Dacia Duster,SUV,Seattle,2019-03-12,King Street Station,14:00,38.00,2019-03-08,
Dodge Charger,Sedan,Seattle,2019-03-12,King Street Station,14:00,28.00,2019-03-08,
GMC Terrain,SUV,Seattle,2019-03-12,Seattle-Tacoma International Airport,14:00,39.00,2019-03-08,
Hyundai Ioniq,Sedan,Seattle,2019-03-12,Seattle-Tacoma International Airport,14:00,40.00,2019-03-08,
Lexus GS,Sedan,Seattle,2019-03-12,Seattle-Tacoma International Airport,14:00,32.00,2019-03-08,
Mazda 3,Hatchback,Seattle,2019-03-12,King Street Station,14:00,21.00,2019-03-08,
Mitsubishi Outlander,SUV,Seattle,2019-03-12,King Street Station,14:00,39.00,2019-03-08,
Nissan Qashqai,Hatchback,Seattle,2019-03-12,Seattle-Tacoma International Airport,14:00,27.00,2019-03-08,
Audi A8,Sedan,,2019-03-12,King Street Station,14:00,48.00,2019-03-08,True
Citroen C5,SUV,San Diego,2019-03-14,SAN International Airport,13:30,40.00,2019-03-13,
Hyundai Ioniq,Sedan,San Diego,2019-03-14,Santa Fe Depot,13:30,30.00,2019-03-13,
Jaguar F-Pace,SUV,San Diego,2019-03-14,Santa Fe Depot,13:30,44.00,2019-03-13,
Lexus GS,Sedan,San Diego,2019-03-14,SAN International Airport,13:30,33.00,2019-03-13,
Mazda 3,Hatchback,San Diego,2019-03-14,SAN International Airport,13:30,26.00,2019-03-13,
Mitsubishi Outlander,SUV,San Diego,2019-03-14,SAN International Airport,13:30,41.00,2019-03-13,
SEAT Cordoba,Sedan,San Diego,2019-03-14,Santa Fe Depot,13:30,36.00,2019-03-13,
SEAT Leon,Hatchback,San Diego,2019-03-14,SAN International Airport,13:30,27.00,2019-03-13,
Skoda Octavia,Sedan,San Diego,2019-03-14,SAN International Airport,13:30,32.00,2019-03-13,
Vauxhaull Astra,Hatchback,San Diego,2019-03-14,SAN International Airport,13:30,31.00,2019-03-13,
Jaguar F-Pace,SUV,,2019-03-14,Santa Fe Depot,13:30,44.00,2019-03-13,False
Citroen C5,SUV,,2019-03-11,LGB Airport,12:00,40.00,2019-03-10,False
Buick Regal Sportback,Sedan,Anaheim,2019-03-14,John Wayne Airport,10:30,35.00,2019-03-13,
Dacia Duster,SUV,Anaheim,2019-03-14,Anaheim Intermodal Center,10:30,36.00,2019-03-13,
Hyundai Ioniq,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,10:30,32.00,2019-03-13,
Kia Ceed,Hatchback,Anaheim,2019-03-14,John Wayne Airport,10:30,34.00,2019-03-13,
Mazda 3,Hatchback,Anaheim,2019-03-14,John Wayne Airport,10:30,24.00,2019-03-13,
Peugeot 208,Hatchback,Anaheim,2019-03-14,John Wayne Airport,10:30,25.00,2019-03-13,
Renault Clio,Hatchback,Anaheim,2019-03-14,John Wayne Airport,10:30,24.00,2019-03-13,
SEAT Leon,Hatchback,Anaheim,2019-03-14,Anaheim Intermodal Center,10:30,21.00,2019-03-13,
Skoda Kodiaq,SUV,Anaheim,2019-03-14,John Wayne Airport,10:30,40.00,2019-03-13,
Skoda Octavia,Sedan,Anaheim,2019-03-14,Anaheim Intermodal Center,10:30,27.00,2019-03-13,
Volvo S90,Sedan,,2019-03-14,John Wayne Airport,10:30,46.00,2019-03-13,True
Hyundai Ioniq,Sedan,San Diego,2019-03-11,Santa Fe Depot,13:30,36.00,2019-03-10,
Lexus GS,Sedan,San Diego,2019-03-11,SAN International Airport,13:30,43.00,2019-03-10,
SEAT Cordoba,Sedan,San Diego,2019-03-11,Santa Fe Depot,13:30,28.00,2019-03-10,
Skoda Octavia,Sedan,San Diego,2019-03-11,SAN International Airport,13:30,35.00,2019-03-10,
Volvo S90,Sedan,San Diego,2019-03-11,SAN International Airport,13:30,29.00,2019-03-10,
SEAT Cordoba,Sedan,,2019-03-11,Santa Fe Depot,13:30,38.00,2019-03-10,True
Audi A8,Sedan,Las Vegas,2019-03-06,Union Plaza,12:30,32.00,2019-03-05,
Buick Regal Sportback,Sedan,Las Vegas,2019-03-06,McCarran International Airport,12:30,37.00,2019-03-05,
Dodge Charger,Sedan,Las Vegas,2019-03-06,McCarran International Airport,12:30,36.00,2019-03-05,
Fiat Panda,Hatchback,Las Vegas,2019-03-06,McCarran International Airport,12:30,26.00,2019-03-05,
GMC Terrain,SUV,Las Vegas,2019-03-06,Union Plaza,12:30,42.00,2019-03-05,
Lexus GS,Sedan,Las Vegas,2019-03-06,Union Plaza,12:30,39.00,2019-03-05,
Mazda CX-5,SUV,Las Vegas,2019-03-06,McCarran International Airport,12:30,49.00,2019-03-05,
Nissan Qashqai,Hatchback,Las Vegas,2019-03-06,Union Plaza,12:30,26.00,2019-03-05,
Peugeot 208,Hatchback,Las Vegas,2019-03-06,McCarran International Airport,12:30,20.00,2019-03-05,
Renault Clio,Hatchback,Las Vegas,2019-03-06,McCarran International Airport,12:30,28.00,2019-03-05,
Dodge Charger,Sedan,,2019-03-06,McCarran International Airport,12:30,36.00,2019-03-05,False
Buick Regal Sportback,Sedan,Anaheim,2019-03-08,John Wayne Airport,11:00,31.00,2019-03-03,
Dacia Duster,SUV,Anaheim,2019-03-08,Anaheim Intermodal Center,11:00,42.00,2019-03-03,
Hyundai Ioniq,Sedan,Anaheim,2019-03-08,Anaheim Intermodal Center,11:00,26.00,2019-03-03,
Kia Ceed,Hatchback,Anaheim,2019-03-08,John Wayne Airport,11:00,26.00,2019-03-03,
Mazda 3,Hatchback,Anaheim,2019-03-08,John Wayne Airport,11:00,27.00,2019-03-03,
Renault Clio,Hatchback,Anaheim,2019-03-08,John Wayne Airport,11:00,24.00,2019-03-03,
Skoda Kodiaq,SUV,Anaheim,2019-03-08,John Wayne Airport,11:00,42.00,2019-03-03,
Subaru Impreza,Sedan,Anaheim,2019-03-08,John Wayne Airport,11:00,31.00,2019-03-03,
Volvo S90,Sedan,Anaheim,2019-03-08,John Wayne Airport,11:00,37.00,2019-03-03,
Volvo S90,Sedan,,2019-03-08,John Wayne Airport,11:00,55.00,2019-03-03,True
Buick Regal Sportback,Sedan,Anaheim,2019-03-12,John Wayne Airport,15:00,38.00,2019-03-08,
Dacia Duster,SUV,Anaheim,2019-03-12,Anaheim Intermodal Center,15:00,36.00,2019-03-08,
Hyundai Ioniq,Sedan,Anaheim,2019-03-12,Anaheim Intermodal Center,15:00,27.00,2019-03-08,
Kia Ceed,Hatchback,Anaheim,2019-03-12,John Wayne Airport,15:00,29.00,2019-03-08,
