average_rating,city,doctor_name,phone_number,street_address,type,appointment_date,appointment_time
5,Antioch,Baart Antioch: Quismorio William L MD,925-522-0124,5161 Clayton Road Suite F,General Practitioner,,
5,Antioch,Howard L Friesen Inc,925-757-2250,3436 Hillcrest Avenue # 200,General Practitioner,,
5,Antioch,"Jessica Roberts, MD",925-779-1331,3720 Sunset Lane # A,General Practitioner,,
4.3,Antioch,"Randolph J. Clarke, MD",925-777-0477,3741 Sunset Lane # A,General Practitioner,,
4,Antioch,Spring Hill Medical Group: Elyasi Siamak MD,925-779-9601,7667 Amador Valley Boulevard,General Practitioner,,
4.3,Antioch,Williams Clark E DO,925-778-4062,1111 A Street,General Practitioner,,
5,,Howard L Friesen Inc,925-757-2250,3436 Hillcrest Avenue # 200,General Practitioner,,
5,Lafayette,"Neil Fruman, MD - Retired",925-296-7490,1450 Treat Boulevard Suite 120B,General Practitioner,,
5,,"Neil Fruman, MD - Retired",925-296-7490,1450 Treat Boulevard Suite 120B,General Practitioner,,
5,Lafayette,Dr. Ani Tajirian,510-839-2937,20400 Lake Chabot Road #202,Dermatologist,,
4.3,Lafayette,"Dr. Kelly T. Hood, MD",925-283-5500,3807 Lone Tree Way,Dermatologist,,
5,Lafayette,"Lesley Plotke, MD",925-283-4820,970 Dewing Avenue # 301,Dermatologist,,
5,,Dr. Ani Tajirian,510-839-2937,20400 Lake Chabot Road #202,Dermatologist,,
4,Hayward,Optima Ophthalmic Med Associates: Mandel Mark R MD,510-886-3937,706 Webster Street,Ophthalmologist,,
4,,Optima Ophthalmic Med Associates: Mandel Mark R MD,510-886-3937,706 Webster Street,Ophthalmologist,,
5,San Mateo,"Arthur D. Fu, MD",650-342-7137,1391 Woodside Road #200,Ophthalmologist,,
5,San Mateo,Filer Eye MD: Filer Robert S MD,650-342-4595,101 South San Mateo Drive #306,Ophthalmologist,,
5,San Mateo,"Walter H. Stern, MD",650-340-0111,50 South San Mateo Drive,Ophthalmologist,,
5,Santa Rosa,"Dr. Dan R. Lightfoot, MD",707-575-3800,3536 Mendocino Avenue #380,Ophthalmologist,,
5,Santa Rosa,"Dr. James E. Hunt, MD",707-838-3232,4501 Rosewood Drive,Ophthalmologist,,
5,Santa Rosa,"Rona Silkiss, MD, FACS",707-544-3375,1460 North Camino Alto,Ophthalmologist,,
4.5,Santa Rosa,"Thomas Schlesinger, M.D., Ph.D.",707-575-5353,3536 Mendocino Avenue #380,Ophthalmologist,,
5,,"Dr. James E. Hunt, MD",707-838-3232,4501 Rosewood Drive,Ophthalmologist,,
5,Castro Valley,"Dr. Arthur C. O'brien Jr, MD",510-581-7677,22101 Redwood Road,General Practitioner,,
5,Castro Valley,"Dr. Maryam Fortani, MD",510-357-3023,13851 East 14th Street #102,General Practitioner,,
5,Castro Valley,"Dr. Najibulrahman Saifulrahman, MD",510-605-5330,27206 Calaroga Avenue,General Practitioner,,
5,Castro Valley,"Dr. Paul J. Robinson, D.O.",510-886-5515,27206 Calaroga Avenue,General Practitioner,,
3.5,Castro Valley,"Kelly A. Welsh, M.D.",510-886-3400,20700 Lake Chabot Road,General Practitioner,,
5,Castro Valley,Parviz Talebi MD,510-889-1922,13847 East 14th Street #119,General Practitioner,,
5,,"Dr. Maryam Fortani, MD",510-357-3023,13851 East 14th Street #102,General Practitioner,,
4.7,Pleasanton,Berman Skin Institute,925-416-2291,2700 Grant Street #309,Dermatologist,,
4.2,Pleasanton,"Dean Anthony, MD",925-847-3020,4000 Dublin Boulevard #2,Dermatologist,,
5,Pleasanton,"Juliana R. Cinque, MD",925-416-1122,5575 West Las Positas Boulevard,Dermatologist,,
4.4,Pleasanton,Minh Dang MD Dermatology,925-251-9012,5201 Norris Canyon Road,Dermatologist,,
5,Pleasanton,Pleasanton Dermatology,925-226-7910,11030 Bollinger Canyon Road #240,Dermatologist,,
4.7,,Berman Skin Institute,925-416-2291,2700 Grant Street #309,Dermatologist,,
4.6,Walnut Creek,"Alphaeus Wise, MD",925-935-3113,1181 Boulevard Way B,General Practitioner,,
5,Walnut Creek,"Catherine Wang, MD",925-947-0417,2621 Shadelands Drive,General Practitioner,,
5,Walnut Creek,Chang David C H MD,925-944-9193,"1981 North Broadway, Walnut Creek, CA 94596",General Practitioner,,
4.8,Walnut Creek,Chong Mee-Jin MD,925-932-8938,120 La Casa Via,General Practitioner,,
3.7,Walnut Creek,"Dr. Mark N. Isaacs, MD",925-945-8656,2621 Shadelands Drive,General Practitioner,,
5,Walnut Creek,"Dr. Sujay Banerjee, MD",925-295-5100,3466 Mount Diablo Boulevard Suite C-104,General Practitioner,,
5,Walnut Creek,Family Practice: Dudler Jack E MD,925-943-5757,1812 San Miguel Drive,General Practitioner,,
3.7,Walnut Creek,"Jasleen Sohal, MD",925-296-9736,1450 Treat Boulevard Suite 320,General Practitioner,,
5,Walnut Creek,"Kishore Nath, MD",925-296-9880,1450 Treat Boulevard Suite 320,General Practitioner,,
5,Walnut Creek,Stuart A Bussey Inc: Bussey Stuart A MD,925-934-7691,1181 Boulevard Way suite b,General Practitioner,,
4.6,,"Alphaeus Wise, MD",925-935-3113,1181 Boulevard Way B,General Practitioner,,
3.7,,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,,
5,San Lorenzo,Linder Alan M MD,510-276-3150,3100 Telegraph Avenue #2102,General Practitioner,,
5,,Linder Alan M MD,510-276-3150,3100 Telegraph Avenue #2102,General Practitioner,,
5,,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,,
5,,Antioch Family Practice: Copeland John W MD,925-778-7233,3440 Hillcrest Avenue Suite 150,General Practitioner,,
4.9,Sonoma,"Daisy Manuel-Arguelles, DO",707-202-5034,5900 State Farm Drive,General Practitioner,,
4,Sonoma,"Dr. James F. Dolan, MD",877-818-6100,7475 Camino Arroyo,General Practitioner,,
5,Sonoma,"Dr. Subhash Mishra, MD",707-938-3131,15000 Arnold Drive,General Practitioner,,
4.6,Sonoma,Sonoma Dermatology,707-938-1423,1104 Adams Street # 201,Dermatologist,,
4.6,,Sonoma Dermatology,707-938-1423,1104 Adams Street # 201,Dermatologist,,
4,Campbell,Borodulin Tatyana MD,408-378-3300,340 Dardanelli Ln # 24,General Practitioner,,
5,Campbell,"Dr. Christian Fulmer, DO",408-357-1410,50 East Hamilton Avenue #120,General Practitioner,,
4.7,Campbell,"Dr. Elham J. Louis, DO",408-364-7600,7225 Rainbow Drive,General Practitioner,,
4,,Borodulin Tatyana MD,408-378-3300,340 Dardanelli Ln # 24,General Practitioner,,
4.6,Walnut Creek,Babak Edraki MD,925-627-3440,1479 Ygnacio Valley Road,Gynecologist,,
3.7,Walnut Creek,"Dr. Alan N. Kaplan, MD",925-932-1333,1776 Ygnacio Valley Road,Gynecologist,,
4,Walnut Creek,"Dr. Elwood Kronick, MD",925-932-2565,240 La Casa Via #100,Gynecologist,,
4.3,Walnut Creek,Dr. Stephen Wells MD,925-935-5356,110 Tampico Ste #220,Gynecologist,,
5,Walnut Creek,Innovative Wellness Inc.,925-954-8209,2255 Ygnacio Valley Road Suite T,Gynecologist,,
5,Walnut Creek,"Jean Kayser, MD",925-295-4040,1515 Newell Avenue,Gynecologist,,
4,Walnut Creek,"John Crockett, MD",925-296-7370,1450 Treat Boulevard Suite 220A,Gynecologist,,
3.8,Walnut Creek,"Louis Klein, MD",925-937-0995,1776 Ygnacio Valley Road #208,Gynecologist,,
5,Walnut Creek,Madhavi Vemulapalli MD,925-239-0012,112 La Casa Via #300,Gynecologist,,
3.6,Walnut Creek,Muir OB GYN Medical Group Inc. a Division of BASS Medical Group,925-933-4747,112 La Casa Via,Gynecologist,,
4.7,Santa Rosa,"Jonathan Kurss, MD",707-303-1719,500 Doyle Park Drive #200,Gynecologist,,
5,Santa Rosa,Ratcliffe Jennifer V MD,707-575-5831,1111 Sonoma Avenue #214,Gynecologist,,
4.4,Santa Rosa,"Shazah Khawaja, MD",707-579-1102,500 Doyle Park Drive Suite 103,Gynecologist,,
5,Santa Rosa,"Susan C. Logan, MD",707-575-1626,1111 Sonoma Avenue Suite 202,Gynecologist,,
5,,Ratcliffe Jennifer V MD,707-575-5831,1111 Sonoma Avenue #214,Gynecologist,,
5,Mountain View,"Dr. Elizabeth A. Abel, MD",650-969-5600,1700 2nd Street #220,Dermatologist,,
5,Mountain View,"F. Landon Clark, M.D., MPH",650-934-7676,401 Old San Francisco Road,Dermatologist,,
3.6,Mountain View,"Jean Gordon, MD (A Woman's Touch)",650-938-6559,86 3rd Street #114,Dermatologist,,
5,,"F. Landon Clark, M.D., MPH",650-934-7676,401 Old San Francisco Road,Dermatologist,,
4.2,,Bay Area Cosmetic Dermatology,415-440-6356,2211 Post Street #404,Dermatologist,,
4,Fremont,4D Miracles,510-863-3258,42808 Christy Street #208,Gynecologist,,
5,Fremont,Amy Kane,510-490-1222,"2, 3200 Kearney Street",Gynecologist,,
5,Fremont,Bay Area Ob-Gyn Medical Group: Mack Scott R MD,510-284-4100,1860 Mowry Ave # 306,Gynecologist,,
5,Fremont,"Dr. Stacie Macdonald, MD",510-248-1470,2299 Mowry Avenue #3c,Gynecologist,,
4.4,Fremont,Fremont OB/GYN: Padmaja Sharma MD,510-796-7104,3885 Beacon Avenue,Gynecologist,,
5,Fremont,"Jessica Y Ing, M.D.",510-498-2182,3200 Kearney Street Bldg 1,Gynecologist,,
5,Fremont,Scott Kramer MD,510-796-0510,2333 Mowry Avenue #201,Gynecologist,,
5,Fremont,Washington Prenatal Diagnostic Center,510-818-5110,1900 Mowry Avenue Suite 101,Gynecologist,,
4,,4D Miracles,510-863-3258,42808 Christy Street #208,Gynecologist,,
5,Mountain View,"John Nguyen, M.D.",650-934-7900,4906 West El Camino Real # A,ENT Specialist,,
5,,"John Nguyen, M.D.",650-934-7900,4906 West El Camino Real # A,ENT Specialist,,
5,Napa,"Alex De Moraes, MD",707-257-1550,935 Trancas Street,General Practitioner,,
4.2,Napa,"Andrew Patrinellis, MD",707-266-1875,3569 Round Barn Circle,General Practitioner,,
4.3,Napa,"Aurelio Campos, MD",707-253-1566,1141 Pear Tree Lane # 100,General Practitioner,,
4.5,Napa,"Clinic Ole: Jennifer Wilson, MD",707-254-1770,1141 Pear Tree Lane #100,General Practitioner,,
5,Napa,"David D Pratt, MD",707-257-2187,1222 Pine Street,General Practitioner,,
3.2,Napa,John F Dermody MD,707-252-0494,1155 Trancas Street,General Practitioner,,
5,Napa,"Michael Novak, MD",707-251-3604,1001 Professional Drive,General Practitioner,,
3.7,Napa,"Robert E. Erwin, MD",707-255-7222,3010 Beard Road,General Practitioner,,
4.2,Napa,"Thomas Suard, MD",707-252-4781,1100 Trancas Street,General Practitioner,,
5,,"Alex De Moraes, MD",707-257-1550,935 Trancas Street,General Practitioner,,
4.2,Los Gatos,"Harrup Kaur, MD",408-940-3930,2120 McKee Road,Ophthalmologist,,
5,Los Gatos,"Martin Fishman, MD",408-354-9510,2577 Samaritan Drive Suite 740,Ophthalmologist,,
4.5,Los Gatos,"Polaris Eye & Laser: Jeehee Kim, MD",408-358-3932,2505 Samaritan Drive Suite 408,Ophthalmologist,,
4.2,,"Harrup Kaur, MD",408-940-3930,2120 McKee Road,Ophthalmologist,,
5,,"Alan B. Scott, M.D.",415-923-3120,2100 Webster Street suite 214,Ophthalmologist,,
3.3,Dublin,California Skin Institute,925-828-1701,400 El Cerro Boulevard #204,Dermatologist,,
5,Dublin,"Rajnish Gupta, M.D., Ph.D.",925-875-6100,"1, 4050 Dublin Boulevard",Dermatologist,,
3.3,,California Skin Institute,925-828-1701,400 El Cerro Boulevard #204,Dermatologist,,
3.4,San Ramon,Advanced Laser & Skin Care Center,925-743-1488,101 Park Place,Dermatologist,,
3.7,San Ramon,Dr. Robert Greenberg,925-277-1300,3511 School Street,Dermatologist,,
4.9,San Ramon,"Joseph Mardanzai, MD",925-232-0483,2221 Balfour Road Suite A,Dermatologist,,
4.7,San Ramon,Diablo Family Physicians,925-866-1005,2305 Camino Ramon Suite 100,General Practitioner,,
3.8,San Ramon,"Erik Gracer, MD",925-362-1001,2100 Monument Boulevard #8,General Practitioner,,
3.7,San Ramon,Gracer Richard I MD,925-277-1100,1320 El Capitan Drive Suite #400,General Practitioner,,
5,San Ramon,"Ma. Theresa Egasani-Elises, MD",925-866-8050,4050 Dublin Boulevard #2,General Practitioner,,
4,San Ramon,"Ralph Fong Jr., MD",925-837-3913,7601 Stoneridge Drive,General Practitioner,,
4,San Ramon,San Ramon Valley Family Medicine,925-905-8970,5401 Norris Canyon Road #204,General Practitioner,,
3.7,San Ramon,Severance Douglas E MD,925-275-0400,5401 Norris Canyon Road #102,General Practitioner,,
4,Castro Valley,"Dr. Diane C. Albracht, MD",510-538-5252,2999 Regent Street #425,Ophthalmologist,,
5,Redwood City,"Dr. Madhavi Chenumalla, MD",650-299-2000,1800 Sullivan Avenue # 606,General Practitioner,,
4,Redwood City,"Gary S. Toig, MD",650-365-9997,4067 Transport Street b,General Practitioner,,
5,Redwood City,"Steven J. Harris, MD",650-474-2130,745 Distel Drive,General Practitioner,,
5,Campbell,"Makela Women's Health: Sandra Makela, M.D.",408-335-7774,3425 South Bascom Avenue #235,Gynecologist,,
5,Sunnyvale,"Carol Winton, M.D.",408-524-5900,1085 West El Camino Real Level 3,Ophthalmologist,,
4,Fairfield,"Dr. Dina T. Nguyen, MD",707-551-3600,329 Tennessee Street,General Practitioner,,
5,Fairfield,"Dr. Robert A. Varady, MD",707-428-0778,1525 Webster Street # C,General Practitioner,,
5,Fairfield,"Ehsan Ghods, DO",707-646-5500,421 Nut Tree Road,General Practitioner,,
4,Fairfield,Gillespie Craig MD,707-428-3925,1620 Pennsylvania Avenue,General Practitioner,,
4,Fairfield,Gilliam Medical Group: Gilliam David R MD,707-428-4878,1381 University Avenue,General Practitioner,,
5,Fairfield,Kaiser Permanente: Fouzia Aftab A MD,707-427-4025,770 Mason Street,General Practitioner,,
5,Palo Alto,"Dr. Deirdre Lyell, MD",650-736-1191,300 Pasteur Drive,Gynecologist,,
5,Palo Alto,"Jonathan S. Berek, MD, MMS",650-498-6004,900 Blake Wilbur Drive 1st Floor,Gynecologist,,
5,Palo Alto,"Zena Kharsa, MD - Stanford Children's Health",650-721-6060,211 Quarry Road #107,Gynecologist,,
4.3,San Francisco,"Amita Kachru, MD",415-641-6996,1580 Valencia Street #508,Gynecologist,,
5,San Francisco,"Audrey Koh, MD (Associates In Obstetrics and Gynecology)",415-923-3128,94109. parking entry on Hyde St 1199 Bush Street Suite 500 Suite 500,Gynecologist,,
3.7,San Francisco,"Bayspring Medical Group: Dr. Marilyn Milkman, MD",415-674-2600,1199 Bush Street,Gynecologist,,
5,San Francisco,"Dana Gossett, M.D.",415-353-2566,1825 4th Street,Gynecologist,,
5,San Francisco,"Dr. Donna A. Wiggins, MD",415-666-1250,1725 Montgomery Street #200,Gynecologist,,
5,San Francisco,"Dr. Frederico Rocha, MD",415-885-7788,1825 4th Street,Gynecologist,,
5,San Francisco,Dr. Fung-Yee Chan,415-379-9600,1375 Sutter Street #105,Gynecologist,,
3.5,San Francisco,"Dr. Jennifer Gunter, MD",415-833-2200,2238 Geary Boulevard,Gynecologist,,
4,San Francisco,Dr. Katherine Hsiao,415-876-8500,3905 Sacramento Street #204,Gynecologist,,
5,San Francisco,"Dr. Malini Nijagal, MD",415-448-1500,1825 4th Street,Gynecologist,,
5,Burlingame,"Nikolajs Lapins, M.D.",650-692-0182,730 Welch Road 1st Floor,Dermatologist,,
5,Burlingame,"Toyin Falola, M.D.",650-652-8310,1501 Trousdale Drive #2,Dermatologist,,
5,Sunnyvale,Dr. Anne Cole,650-969-2959,23275 Eastbrook Court,General Practitioner,,
5,Sunnyvale,"Dr. Christine P. Weigen, MD",800-230-7526,2636 Telegraph Avenue,General Practitioner,,
3.8,Sunnyvale,"Dr. Yingchih J. Lin, MD",408-481-9800,15195 National Avenue #205,General Practitioner,,
4.3,Sunnyvale,Family Medicine Sunnyvale Center Palo Alto Medical Foundation,408-730-4362,301 Old San Francisco Road Level 2,General Practitioner,,
4.9,Sunnyvale,Greider Buff R MD,408-329-9604,877 W Fremont Ave # F,General Practitioner,,
3.2,Sunnyvale,"Heideh Khalilnejad, MD",408-738-0200,18550 Depaul Drive #208,General Practitioner,,
5,Sunnyvale,"Kevin Fell, MD",408-520-4510,15400 Los Gatos Boulevard #2,General Practitioner,,
5,Sunnyvale,Misty S. Steffen,408-245-4048,885 Scott Boulevard #4,General Practitioner,,
4.2,Sunnyvale,"Neha Anand, M.D.",408-730-4360,301 Old San Francisco Road,General Practitioner,,
5,Danville,"Bela Steven Kenessey, MD",925-277-1600,1515 Newell Avenue,General Practitioner,,
5,Danville,"Bhoomika Kamath, MD",925-314-0260,319 Diablo Road,General Practitioner,,
4.8,Danville,"Dr. John W. Roberts, MD",925-736-7070,1130 A Street B,General Practitioner,,
5,Danville,"Michael Schierman, MD",925-648-7144,401 Gregory Lane Suite 104,General Practitioner,,
5,Danville,"Sayema Saifullah, M.D.",707-573-5413,2734 East El Camino Real,General Practitioner,,
5,Fairfield,"Julie A. Chen, M.D.",707-427-4900,380 Tesconi Court,Ophthalmologist,,
5,Fairfield,Retina Center of Solano,707-759-4942,104 Lynch Creek Way,Ophthalmologist,,
3.7,Berkeley,"Attia Kadri, M.D.",510-204-5600,2500 Milvia Street,Gynecologist,,
5,Berkeley,"Katarina E. Lanner-Cusin, M.D., FACOG",510-204-8190,2500 Milvia Street,Gynecologist,,
3.4,Berkeley,Women's Group for Health,510-204-0965,2999 Regent Street #201,Gynecologist,,
3.7,Union City,"Tam T. Nguyen, MD",510-248-1500,33077 Alvarado-Niles Road,General Practitioner,,
3.8,San Ramon,Dr. Joanne Vogel MD,925-736-0110,11030 Bollinger Canyon Road #250,Gynecologist,,
3.4,San Ramon,"Helen Matthews, MD",925-241-4091,1081 Market Place #500,Gynecologist,,
5,Hayward,Dr. Amita Sharma,510-619-9686,2222 Bancroft Way,General Practitioner,,
5,Hayward,Dr. Raul A. Gentini,510-887-4711,"add suite #107, 20700 Lake Chabot Road",General Practitioner,,
3.7,Hayward,Massen Arkady M MD,510-783-0536,38143 Martha Avenue,General Practitioner,,
3.2,Hayward,"Michael D DeLange, MD Inc",510-881-1041,20101 Lake Chabot Road,General Practitioner,,
5,Menlo Park,"Donna J. Lee, MD",650-498-7949,301 Industrial Road,Ophthalmologist,,
5,Menlo Park,Dr. Anne F. Henzel,650-325-3937,50 South San Mateo Drive #125,Ophthalmologist,,
4,Eldridge,Sonoma Developmental Center: Elmer Russell M MD,707-938-6000,919 Harrison Street # A,General Practitioner,,
5,Concord,"Benjamin Sadoff, MD",925-677-0500,2700 Grant Street Suite 200,General Practitioner,,
5,Concord,"Brian Honbo, MD",925-677-0519,401 Gregory Lane #206,General Practitioner,,
5,Concord,Charles J Renner Md,925-689-5608,4165 Blackhawk Plaza Circle #100,General Practitioner,,
3.3,Concord,Crockett John A MD,925-682-0136,401 Gregory Lane Suite 104,General Practitioner,,
5,Concord,"Diane Chandler, DO",925-609-8282,5161 Clayton Road Suite F,General Practitioner,,
5,Concord,"Dr. Maureen Mbadike-Obiora, MD",925-685-8894,2270 Bacon Street,General Practitioner,,
5,Concord,"Dr. Ori Tzvieli, MD",925-646-5535,3052 Willow Pass Road,General Practitioner,,
5,Concord,"John Toth, D.O.",925-687-9483,401 Gregory Ln # 248,General Practitioner,,
4.8,Concord,Von Stieff Fred J MD,925-680-8933,2485 High School Avenue # 303,General Practitioner,,
4,Concord,Contra Costa Eye Medical Center: Kindy Nadine A MD,925-687-8280,2225 Port Chicago Highway A,Ophthalmologist,,
5,Concord,"Dr. Arun Prasad, MD",925-687-6847,2222 East St #365,Ophthalmologist,,
3.9,Concord,Ho Viet H MD,925-798-2020,5801 Norris Canyon Road #200,Ophthalmologist,,
4,Concord,Tsai Clark S MD,925-689-7744,100 North Wiget Lane,Ophthalmologist,,
3.4,Los Gatos,Bruce M. Saal MD,408-374-1320,777 Knowles Drive,Dermatologist,,
4.8,Los Gatos,Kalia Dermatology & Laser,408-707-3328,15055 Los Gatos Boulevard,Dermatologist,,
5,Los Gatos,Kenneth A Miller MD PC,408-356-9111,14527 South Bascom Avenue,Dermatologist,,
3.6,Los Gatos,Miller Dermatology,408-356-2345,14911 National Avenue #5,Dermatologist,,
4.7,Los Gatos,Refined Dermatology,408-688-2082,800 Pollard Road bldg a,Dermatologist,,
4.4,Los Gatos,Schmidt Christopher MD,408-356-2147,15215 National Avenue #204,Dermatologist,,
3.8,Los Gatos,"Wennie C. Liao, M.D.",408-730-6130,15720 Winchester Boulevard 2nd Floor,Dermatologist,,
4,Novato,MarinEyes,415-892-0111,2100 Webster Street #214,Ophthalmologist,,
4.6,Novato,Novato Dermatology,415-892-0754,2100 Webster Street Suite 411,Dermatologist,,
5,,"Dr. Thomas O. Stodgel, MD",650-344-7802,"1820 Ogden Avenue Floor, 2",Gynecologist,,
5,,"Radhika Varma, M.D.",650-652-8500,1501 Trousdale Drive #4,General Practitioner,,
5,,"Dr. Andrew L. Sorenson, MD",510-848-7347,"2915, 1237, B Street",Ophthalmologist,,
5,,Werschky II a G MD,415-388-2657,125 Throckmorton Avenue,General Practitioner,,
3.3,,"Edward C Lee, MD",650-967-1770,16130 Juan Hernandez Drive #108,ENT Specialist,,
5,,"Hoang, Tuan A. MD",415-397-5660,950 Stockton Street,General Practitioner,,
4,,"Roxanne C. Fiscella, M.D.",510-843-0692,2500 Milvia Street,General Practitioner,,
3.8,,Wong Hung-Kwong MD,408-295-1886,696 East Santa Clara Street,General Practitioner,,
5,,"Dr. Richard J Kerbavaz, MD",510-845-4500,2316 Dwight Way,ENT Specialist,,
4,,Dr. Randal Pham at Aesthetic & Refractive Surgery Medical Center,408-998-1818,2186 Geary Boulevard STE 312,Ophthalmologist,,
4.4,,"Carol Somersille, MD",650-988-3232,2490 Hospital Drive #300,Gynecologist,,
4.2,,Dr. Jacob Wardwell,415-606-0309,1286 Sanchez Street,General Practitioner,,
5,,"Dr. Sabi Ahmed, MD",408-573-9686,2242 Camden Avenue # 200,General Practitioner,,
5,,Dohn Richard,408-356-8672,221 East Hacienda Avenue b,General Practitioner,,
5,,"John J. Smucny, M.D.",415-600-1085,2300 California Street #202,General Practitioner,,
4.3,,"Dr. Richard G. Glogau, MD",415-564-1261,199 Ocean Avenue,Dermatologist,,
5,,"Dr. Claudia S. Pinilla, MD",925-837-1403,7601 Stoneridge Drive,Ophthalmologist,,
5,,"Dr. David R. Pepper, MD",415-552-1013,240 Shotwell Street,General Practitioner,,
5,,"Dr. Anthony K. Boyce, DO",707-571-4320,401 Bicentennial Way,General Practitioner,,
5,,"Jonathan S. Berek, MD, MMS",650-498-6004,900 Blake Wilbur Drive 1st Floor,Gynecologist,,
5,,"Donna J. Lee, MD",650-498-7949,301 Industrial Road,Ophthalmologist,,
4.6,,"Cynthia S. Chiu, MD, FACS, Inc.",510-836-2122,491 30th Street #201,Ophthalmologist,,
5,,"Susan C. Logan, MD",707-575-1626,1111 Sonoma Avenue Suite 202,Gynecologist,,
4,,"Jennifer S. Falk, M.D.",650-853-2984,"795 El Camino Real Jamplis Building, Level 1",General Practitioner,,
3.7,,Point Reyes Medical Clinic: Hamblin Basil C MD,415-663-8666,3 Harbor Drive Ste 111,General Practitioner,,
3.7,,"Dr. Vilasini M. Ganesh, MD",408-378-1610,1600 West Campbell Avenue #202,General Practitioner,,
3.9,,"John Chiu, M.D.",408-863-0709,700 West Parr Avenue,General Practitioner,,
4.7,,Delta Aesthetics,925-757-5311,320 Lennon Lane,Dermatologist,,
4.7,,Lawrence Bruce P MD,510-465-2502,3200 Kearney Street Bldg 2,General Practitioner,,
5,,"Dr. Janet Bodle, MD",415-860-5875,3838 California Street #601,General Practitioner,,
5,,"Isaac Neuhaus, M.D.",415-353-7878,1701 Divisadero Street,Dermatologist,,
5,,"Stewart A. Daniels, M.D",925-522-8850,3330 Clayton Road,Ophthalmologist,,
4.2,,Ocean Medical Clinic,415-585-7300,301 Industrial Road Level 3,Dermatologist,,
4.7,,"Gayle L. Sutcliffe, M.D.",707-678-0258,125 North Lincoln Street # G,General Practitioner,,
3.7,,"Dr. Mauro B. Ruffy, MD",408-357-1250,2505 Samaritan Drive Suite 510,ENT Specialist,,
5,,"Amy Teng, DO",650-396-8110,2500 Hospital Drive ste 8a,Gynecologist,,
5,,"Shaheen Khosla, DO",650-591-8501,1010 Laurel Street,Dermatologist,,
4.3,,Ferry James A MD,925-813-6500,5601 Deer Valley Road,Gynecologist,,
4,,"Dr. Gary A. Rust, MD",415-626-4900,2460 Mission Street #217,ENT Specialist,,
5,,"Women's Pelvic Health Institute - Peter Castillo MD, FACOG",925-905-9922,1210 Alhambra Avenue,Gynecologist,,
5,,"Dr. Edward E. Manche, MD",650-498-7020,1300 Crane Street,Ophthalmologist,,
4,,"Dr. Philip R. Lindstrom, DO",408-972-7000,455 Oconnor Drive #210,General Practitioner,,
4.9,Walnut Creek,Bay Area Retina Associates,925-943-6800,122 La Casa Via,Ophthalmologist,,
5,Walnut Creek,"Dr. Vahid Feiz, M.D.",925-705-7299,100 North Wiget Lane Suite 270,Ophthalmologist,,
5,Walnut Creek,Liu Michelle W MD,925-930-8100,365 Lennon Lane Suite 250,Ophthalmologist,,
3.7,Walnut Creek,Northern California Cornea Assc,925-947-0888,370 Distel Circle,Ophthalmologist,,
5,,"Dr. Vahid Feiz, M.D.",925-705-7299,100 North Wiget Lane Suite 270,Ophthalmologist,,
5,,Kini Divya MD,650-755-2192,"795 El Camino Real Jamplis Building, Level 1",General Practitioner,,
5,,"Anjali Tate, M.D.",510-845-8035,2400 Samaritan Drive #105,Gynecologist,,
4.3,,Alta Eye Care,408-502-6188,1085 West El Camino Real Level 2,Ophthalmologist,,
5,Pleasanton,"Dr. Elaine R. Sumaquial, MD",925-847-5050,2301 Camino Ramon,General Practitioner,,
3.7,Pleasanton,John Muir Medical Group: Dr. Manisha Shingate,925-224-0722,5860 Owens Drive Suite 210,General Practitioner,,
4.5,Pleasanton,"Maliha Qadir, MD",925-463-0590,5575 West Las Positas Boulevard #130,General Practitioner,,
3.7,Pleasanton,"Patricia Carter, MD",925-224-0740,5601 Norris Canyon Terrace # 330,General Practitioner,,
5,Pleasanton,"Shazia K. Mughal, MD",925-416-6767,1133 East Stanley Boulevard #101,General Practitioner,,
4,Pleasanton,Wherry Jeffrey MD,925-460-9903,5575 West Las Positas Boulevard #130,General Practitioner,,
5,,"Dr. Elaine R. Sumaquial, MD",925-847-5050,2301 Camino Ramon,General Practitioner,,
5,,"Toyin Falola, M.D.",650-652-8310,1501 Trousdale Drive #2,Dermatologist,,
5,,"Rajnish Gupta, M.D., Ph.D.",925-875-6100,"1, 4050 Dublin Boulevard",Dermatologist,,
4.7,,"Jonathan Kurss, MD",707-303-1719,500 Doyle Park Drive #200,Gynecologist,,
5,,"Dr. Dan R. Lightfoot, MD",707-575-3800,3536 Mendocino Avenue #380,Ophthalmologist,,
5,Dublin,"Dr. William A. Davis, MD",925-828-0847,7788 Dublin Boulevard,General Practitioner,,
5,Dublin,Dr. Yusuf Ruhullah,925-829-9888,2305 Camino Ramon Suite 100,General Practitioner,,
5,Dublin,"John J. Smucny, M.D.",415-600-1085,2300 California Street #202,General Practitioner,,
5,Santa Rosa,"Cosmetic & Restorative Dermatology: Marek Lorenc, M.D.",707-578-1800,"2929, 2290 Sacramento Street",Dermatologist,,
3.8,Santa Rosa,"Helena A. Longin, M.D.",707-521-7760,196 Wikiup Drive,Dermatologist,,
4.5,Santa Rosa,NCMA Redwood Family Dermatology,707-545-4537,2725 Mendocino Avenue,Dermatologist,,
