address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
"10 Rue de Passy, 75016",,,TRUE,,+33 1 45 25 55 66,4.3,1134,Paris
"11 Rue des Gravilliers, 75003",,,TRUE,,+33 1 44 54 13 13,4.3,304,Paris
"12 Rue de Marignan, 75008",,,TRUE,,+33 1 40 76 34 56,4.3,2400,Paris
"14 Rue Beaujon, 75008",,,TRUE,,+33 1 53 89 50 50,4.3,775,Paris
"15 Rue Boissy d'Anglas, 75008",,,TRUE,,+33 1 44 94 14 14,4.3,320,Paris
"15 Rue Edouard Manet, 75013",,,TRUE,,+33 1 45 86 35 99,4.3,1248,Paris
"166 Boulevard Berthier, 75017",,,TRUE,,+33 1 42 67 70 16,4.3,2496,Paris
"18 Rue du Cirque, 75008",,,TRUE,,+33 1 43 87 10 10,4.3,900,Paris
"10 Rue de Passy, 75016",,,TRUE,,+33 1 45 25 55 66,4.3,1197,Paris
"1 Washington Circle Northwest, Washington, District of Columbia 20037, United States",,,TRUE,,+1 202-872-1680,4,1320,Washington D.C.
"1011 L Street Northwest, Washington, District of Columbia 20001, United States",,,TRUE,,+1 202-898-1200,4,696,Washington D.C.
"1075 Thomas Jefferson Street Northwest, Washington, District of Columbia 20007, United States",,,TRUE,,+1 202-337-0900,4,336,Washington D.C.
"1100 Pennsylvania Avenue Northwest, Washington, DC 20004, USA",,,TRUE,,+1 202-695-1100,4,775,Washington D.C.
"1111 30th Street Northwest, Washington, District of Columbia 20007, United States",,,TRUE,,+1 202-298-7800,4,2475,Washington D.C.
"1127 Connecticut Avenue Northwest, Washington, District of Columbia 20036, United States",,,TRUE,,+1 202-347-3000,4,3584,Washington D.C.
"1201 13th Street Northwest, Washington, District of Columbia 20005, United States",,,FALSE,,+1 202-682-5300,4,952,Washington D.C.
"1201 K Street Northwest, Washington, District of Columbia 20005, United States",,,FALSE,,+1 202-289-7600,4,1134,Washington D.C.
"1225 First Street Northeast, Washington, District of Columbia 20002, United States",,,TRUE,,+1 202-408-4870,4,1428,Washington D.C.
"1250 22nd Street Northwest, Washington, District of Columbia 20037, United States",,,TRUE,,+1 202-449-3100,4,1296,Washington D.C.
"1 Washington Circle Northwest, Washington, District of Columbia 20037, United States",,,TRUE,,+1 202-872-1680,4,900,Washington D.C.
"12, Doctor APJ Abdul Kalam Road, New Delhi",,,TRUE,,+91 11 3955 5000,4.5,310,Delhi
"12, Mangalam Place, Sector 3, Rohini, New Delhi",,,TRUE,,+91 11 4340 0000,4.3,324,Delhi
"13A, District Centre, Mayur Vihar, New Delhi",,,TRUE,,+91 11 4110 5555,4.3,544,Delhi
"19, Ashoka Road, Connaught Place, New Delhi",,,TRUE,,+91 11 4355 5555,3.9,324,Delhi
"2, Sardar Patel Marg, Diplomatic Enclave, New Delhi",,,TRUE,,+91 11 2611 0202,4.7,1680,Delhi
"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi",,,TRUE,,+91 11 4103 4591,4.2,2790,Delhi
"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi",,,TRUE,,+91 11 4565 0000,4.4,1728,Delhi
"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi",,,TRUE,,+91 11 4122 5666,4.1,189,Delhi
"8647, Arakashan Road, Church Road, Diagonally Opposite To, Ram Nagar, New Delhi",,,TRUE,,+91 98185 44466,3.7,1200,Delhi
"88-89, Bijwasan Road, Kapas Hera Extension, Kapashera, New Delhi",,,TRUE,,+91 11 4909 9999,4,496,Delhi
"12, Mangalam Place, Sector 3, Rohini, New Delhi",,,TRUE,,+91 11 4340 0000,4.3,1680,Delhi
"1 Columbia Court, Baulkham Hills New South Wales 2153, Australia",,,TRUE,,+61 2 9634 9634,4.1,2480,Sydney
1 Hosking Place,,,TRUE,,+61 1300 633 462,3.6,416,Sydney
"1 Kensington Street, Chippendale New South Wales 2008, Australia",,,TRUE,,+61 2 8277 8277,4.2,3500,Sydney
"1 Kingsway, Cronulla New South Wales 2230, Australia",,,TRUE,,+61 2 8536 3600,3.9,2160,Sydney
"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,TRUE,,+61 2 9680 3800,4.4,2790,Sydney
"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,TRUE,,+61 2 8425 0400,4.4,2660,Sydney
10 Byfield St Macquarie Park,,,TRUE,,+61 2 9428 9500,4.3,2100,Sydney
"100 Bayswater Road, Rushcutters Bay New South Wales 2011, Australia",,,TRUE,,+61 2 8353 8988,4.1,3072,Sydney
"106 Hassall Street, Rosehill New South Wales 2142, Australia",,,TRUE,,+61 2 8836 1000,4,3960,Sydney
11 Hickson Road Walsh Bay,,,TRUE,,+61 2 8298 9999,4.4,1104,Sydney
1 Hosking Place,,,TRUE,,+61 1300 633 462,3.6,2480,Sydney
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.4,336,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,4.2,405,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,4.5,81,New York
"102-05 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-565-8900,3.9,276,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,4.1,315,New York
103 Waverly Place,,,FALSE,,+1 800-222-0418,4.4,435,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,4.2,594,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,4,756,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,4.2,1440,New York
"1080 Broadway, Brooklyn",,,FALSE,,+1 718-715-4850,4,990,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.4,2604,New York
"1 Rue de Libourne, 75012",,,TRUE,,+33 1 44 67 34 00,4.4,720,Paris
1000 1st Avenue,,,TRUE,,+1 206-957-1000,4.5,240,Seattle
1011 Pike Street,,,TRUE,,+1 206-682-8282,4.2,1680,Seattle
1046 1st Avenue South,,,TRUE,,+1 206-204-9800,4.3,360,Seattle
105 Pike Street,,,TRUE,,+1 206-340-1222,4.4,1080,Seattle
110 Stewart Street,,,TRUE,,+1 206-623-4600,4.4,1920,Seattle
1100 5th Avenue,,,TRUE,,+1 800-853-3914,4.4,2000,Seattle
1101 4th Avenue,,,TRUE,,+1 206-621-1770,4.5,928,Seattle
1112 4th Avenue,,,TRUE,,+1 206-264-6000,4.4,368,Seattle
1113 6th Avenue,,,TRUE,,+1 206-464-1980,4.4,2048,Seattle
1150 Fairview Avenue North,,,TRUE,,+1 206-447-9500,4.4,1368,Seattle
1000 1st Avenue,,,TRUE,,+1 206-957-1000,4.5,1932,Seattle
1018 Granville Street,,,FALSE,,+1 877-972-6378,4.2,1404,Vancouver
14 Riverside Westlands,,,TRUE,,+254 787 657000,4.4,1040,Nairobi
9042/1044 Tower Avenue Jomo Kenyatta Intl Airport,,,TRUE,,+254 709 760000,4.4,432,Nairobi
Chiromo Road,,,TRUE,,+254 703 049000,4.4,720,Nairobi
Elgon Road,,,TRUE,,+254 709 810000,4.4,390,Nairobi
Jomo Kenyatta International Airport Mombasa Road,,,TRUE,,+254 20 4075000,4.4,2016,Nairobi
Limuru Road,,,TRUE,,+254 730 886000,4.4,1088,Nairobi
Market Road,,,TRUE,,+254 20 7200000,4.4,2480,Nairobi
Mbagathi Ridge,,,TRUE,,+254 711 032000,4.4,3220,Nairobi
Mkungu Close,,,TRUE,,+254 709 548000,4.4,3080,Nairobi
"Nairobi, Kenya",,,TRUE,,+254 709 240000,4.4,1200,Nairobi
14 Riverside Westlands,,,TRUE,,+254 787 657000,4.4,3640,Nairobi
1000 Northeast Multnomah Street,,,TRUE,,+1 503-281-6111,4.2,1740,Portland
1133 Atlantic Avenue,,,TRUE,,+1 562-590-8858,4,1323,Long Beach
1725 Long Beach Boulevard,,,FALSE,,+1 562-599-5555,3.9,48,Long Beach
200 South Pine Avenue,,,FALSE,,+1 562-491-1234,4.4,2016,Long Beach
285 Bay Street,,,FALSE,,+1 562-432-1234,4.5,2688,Long Beach
333 East Ocean Boulevard,,,TRUE,,+1 562-436-3000,4.3,2772,Long Beach
3771 North Lakewood Boulevard,,,TRUE,,+1 562-425-0012,4.4,96,Long Beach
3841 North Lakewood Boulevard,,,TRUE,,+1 562-429-5803,4.4,450,Long Beach
4111 East Willow Street,,,TRUE,,+1 562-595-0909,4.3,1725,Long Beach
4700 Airport Plaza Drive,,,TRUE,,+1 800-228-9290,4.3,210,Long Beach
500 East First Street,,,TRUE,,+1 562-435-8511,4.2,1530,Long Beach
3771 North Lakewood Boulevard,,,TRUE,,+1 562-425-0010,4.5,300,Long Beach
3771 North Lakewood Boulevard,,,TRUE,,+1 562-425-0010,4.5,2079,Long Beach
1 Addington Street,,,TRUE,,+44 333 400 6116,4.3,2400,London
1 Baffin Way,,,TRUE,,+44 20 7517 1100,4.1,594,London
1 Connaught Road,,,FALSE,,+44 871 984 6290,3.7,1827,London
1 Duke's Road,,,FALSE,,+44 871 527 8656,4.1,1368,London
1 Ham Yard,,,TRUE,,+44 20 3642 2000,4.5,480,London
1 Harrow Place,,,FALSE,,+44 871 984 6190,3.6,264,London
1 King's Cross Road,,,TRUE,,+44 20 7833 3900,4.1,348,London
1 Lancaster Gate,,,TRUE,,+44 20 7262 5022,3.8,84,London
1 Leicester Square,,,FALSE,,+44 20 3953 4200,4.4,3200,London
1 Seething Lane,,,TRUE,,+44 20 7702 2020,4.5,672,London
1 Baffin Way,,,TRUE,,+44 20 7517 1100,4.1,528,London
"1 Place de la Sorbonne, 75005",,,TRUE,,+33 1 46 34 14 80,4.2,248,Paris
"1 Rue de Libourne, 75012",,,TRUE,,+33 1 44 67 34 00,4.2,1080,Paris
"10 Place de Mexico, 75116",,,TRUE,,+33 1 56 90 40 04,4.2,432,Paris
"10 Rue de Passy, 75016",,,TRUE,,+33 1 45 25 55 66,4.2,1134,Paris
"10 Rue du Champ de Mars, 75007",,,TRUE,,+33 1 40 62 67 00,4.2,120,Paris
"102 Boulevard de Grenelle, 75015",,,TRUE,,+33 1 40 59 90 90,4.2,480,Paris
"109 Rue de Bagnolet, 75020",,,TRUE,,+33 1 43 48 48 48,4.2,112,Paris
"11 Rue de Lyon, 75012",,,TRUE,,+33 1 53 02 20 00,4.2,240,Paris
"11 Rue des Gravilliers, 75003",,,TRUE,,+33 1 44 54 13 13,4.2,304,Paris
"1 Place de la Sorbonne, 75005",,,TRUE,,+33 1 46 34 14 80,4.2,3360,Paris
"13 B, District Centre, Mayur Vihar, New Delhi",,,FALSE,,+91 11 4110 2222,4.3,1680,Delhi
"12, Doctor APJ Abdul Kalam Road, New Delhi",,,TRUE,,+91 11 3955 5000,4.5,1120,Delhi
1100 Granville Street,,,TRUE,,+1 604-669-7070,4,450,Vancouver
111 Robson Street,,,TRUE,,+1 604-602-1008,4,1560,Vancouver
1128 West Georgia Street,,,TRUE,,+1 604-689-1120,4,4375,Vancouver
1177 Melville Street,,,TRUE,,+1 604-669-5060,4,2560,Vancouver
1180 West Hastings Street,,,TRUE,,+1 604-697-0202,4,1056,Vancouver
1225 Robson Street,,,TRUE,,+1 604-688-1411,4,2016,Vancouver
1234 Hornby Street,,,TRUE,,+1 800-331-3131,4,1152,Vancouver
1755 Davie Street,,,TRUE,,+1 604-682-1831,4,1056,Vancouver
177 Robson Street,,,TRUE,,+1 604-620-6200,4,1248,Vancouver
1889 Alberni Street,,,TRUE,,+1 604-688-9299,4,420,Vancouver
111 Robson Street,,,TRUE,,+1 604-602-1008,4,1575,Vancouver
10 East Thomas Road,,,TRUE,,+1 602-222-1111,4.6,1218,Phoenix
10210 North 26th Drive,,,FALSE,,+1 602-861-3900,3.8,432,Phoenix
"10601 North 56th Street, Scottsdale, AZ 85254, USA",,,TRUE,,+1 480-948-6100,4.3,360,Phoenix
10838 North 25th Avenue,,,TRUE,,+1 602-997-8800,4.3,1386,Phoenix
1101 North 44th Street,,,TRUE,,+1 800-228-9290,4.3,1218,Phoenix
12027 North 28th Drive,,,TRUE,,+1 602-548-6000,3.8,252,Phoenix
132 South Central Avenue,,,TRUE,,+1 602-603-2000,4.6,960,Phoenix
15 East Monroe Street,,,TRUE,,+1 602-343-0006,4.4,414,Phoenix
"15620 North Clubgate Drive, Scottsdale, Arizona 85254, United States",,,TRUE,,+1 480-624-1700,4.7,1320,Phoenix
2 East Jefferson Street,,,TRUE,,+1 877-488-1908,4.5,1344,Phoenix
10 East Thomas Road,,,TRUE,,+1 602-222-1111,4.4,1218,Phoenix
132 South Central Avenue,,,TRUE,,+1 602-603-2000,4.4,960,Phoenix
"15620 North Clubgate Drive, Scottsdale, Arizona 85254, United States",,,TRUE,,+1 480-624-1700,4.4,1320,Phoenix
2 East Jefferson Street,,,TRUE,,+1 877-488-1908,4.4,1344,Phoenix
2335 West Pinnacle Peak Road,,,TRUE,,+1 623-879-8800,4.4,84,Phoenix
333 North Central Avenue,,,TRUE,,+1 602-429-3500,4.4,2912,Phoenix
3333 East University Drive,,,TRUE,,+1 602-437-8400,4.4,528,Phoenix
4415 East Paradise Village Parkway South,,,TRUE,,+1 602-765-5800,4.4,2079,Phoenix
5220 East Marriott Drive,,,FALSE,,+1 480-629-3200,4.4,1248,Phoenix
"6302 East Camelback Road, Scottsdale, Arizona 85251, United States",,,TRUE,,+1 888-828-6740,4.4,336,Phoenix
"15620 North Clubgate Drive, Scottsdale, Arizona 85254, United States",,,TRUE,,+1 480-624-1700,4.4,736,Phoenix
14 Riverside Westlands,,,TRUE,,+254 787 657000,4.5,1710,Nairobi
1 Addington Street,,,TRUE,,+44 333 400 6116,4.3,520,London
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.3,2700,San Francisco
138 King Street,,,TRUE,,+1 415-200-4977,4.3,552,San Francisco
2222 Market Street,,,TRUE,,+1 415-621-8212,4.3,750,San Francisco
2237 Mason Street,,,TRUE,,+1 800-352-7366,4.3,260,San Francisco
312 Mason Street,,,TRUE,,+1 415-788-5604,4.3,840,San Francisco
440 Post Street,,,TRUE,,+1 415-397-3510,4.3,936,San Francisco
494 Broadway,,,TRUE,,+1 415-834-1000,4.3,396,San Francisco
495 Jefferson Street,,,TRUE,,+1 415-563-0800,4.3,640,San Francisco
750 Sutter Street,,,TRUE,,+1 415-345-3200,4.3,465,San Francisco
2222 Market Street,,,TRUE,,+1 415-621-8212,4.3,1134,San Francisco
"1 Washington Circle Northwest, Washington, District of Columbia 20037, United States",,,TRUE,,+1 202-872-1680,4.3,1320,Washington D.C.
"1011 L Street Northwest, Washington, District of Columbia 20001, United States",,,TRUE,,+1 202-898-1200,4.4,330,Washington D.C.
"1075 Thomas Jefferson Street Northwest, Washington, District of Columbia 20007, United States",,,TRUE,,+1 202-337-0900,4.3,336,Washington D.C.
"1100 Pennsylvania Avenue Northwest, Washington, DC 20004, USA",,,TRUE,,+1 202-695-1100,4.2,775,Washington D.C.
"1111 30th Street Northwest, Washington, District of Columbia 20007, United States",,,TRUE,,+1 202-298-7800,4.3,2475,Washington D.C.
"1127 Connecticut Avenue Northwest, Washington, District of Columbia 20036, United States",,,TRUE,,+1 202-347-3000,4.4,3584,Washington D.C.
"1201 13th Street Northwest, Washington, District of Columbia 20005, United States",,,FALSE,,+1 202-682-5300,4,64,Washington D.C.
"1201 K Street Northwest, Washington, District of Columbia 20005, United States",,,FALSE,,+1 202-289-7600,4.6,1134,Washington D.C.
"1225 First Street Northeast, Washington, District of Columbia 20002, United States",,,TRUE,,+1 202-408-4870,4.2,1428,Washington D.C.
"1201 K Street Northwest, Washington, District of Columbia 20005, United States",,,FALSE,,+1 202-289-7600,4.4,1134,Washington D.C.
"1331 Pennsylvania Avenue Northwest, Washington, District of Columbia 20004, United States",,,TRUE,,+1 800-228-9290,4.4,640,Washington D.C.
"1770 Euclid Street Northwest, Washington, District of Columbia 20009, United States",,,TRUE,,+1 202-588-0525,4.4,2625,Washington D.C.
"200 C Street Southeast, Washington, DC 20003, USA",,,TRUE,,+1 202-543-6000,4.4,1650,Washington D.C.
"2224 F Street Northwest, Washington, District of Columbia 20037, United States",,,TRUE,,+1 202-849-8499,4.4,378,Washington D.C.
"725 Wharf Street Southwest, Washington, District of Columbia 20024, United States",,,TRUE,,+1 202-554-1234,4.4,416,Washington D.C.
"801 Wharf Street Southwest, Washington, District of Columbia 20024, United States",,,TRUE,,+1 202-800-0844,4.4,288,Washington D.C.
"901 L Street Northwest, Washington, DC 20001, USA",,,TRUE,,+1 202-408-5300,4.4,240,Washington D.C.
"924 25th Street Northwest, Washington, District of Columbia 20037, United States",,,TRUE,,+1 202-337-7600,4.4,675,Washington D.C.
"1331 Pennsylvania Avenue Northwest, Washington, District of Columbia 20004, United States",,,TRUE,,+1 800-228-9290,4.5,640,Washington D.C.
"1770 Euclid Street Northwest, Washington, District of Columbia 20009, United States",,,TRUE,,+1 202-588-0525,4.5,2625,Washington D.C.
"200 C Street Southeast, Washington, DC 20003, USA",,,TRUE,,+1 202-543-6000,4.5,1650,Washington D.C.
"2224 F Street Northwest, Washington, District of Columbia 20037, United States",,,TRUE,,+1 202-849-8499,4.5,378,Washington D.C.
"725 Wharf Street Southwest, Washington, District of Columbia 20024, United States",,,TRUE,,+1 202-554-1234,4.5,416,Washington D.C.
"801 Wharf Street Southwest, Washington, District of Columbia 20024, United States",,,TRUE,,+1 202-800-0844,4.5,288,Washington D.C.
"901 L Street Northwest, Washington, DC 20001, USA",,,TRUE,,+1 202-408-5300,4.5,240,Washington D.C.
"924 25th Street Northwest, Washington, District of Columbia 20037, United States",,,TRUE,,+1 202-337-7600,4.5,675,Washington D.C.
"1331 Pennsylvania Avenue Northwest, Washington, District of Columbia 20004, United States",,,TRUE,,+1 800-228-9290,4.5,384,Washington D.C.
108 Chestnut Street,,,TRUE,,+1 416-977-5000,4.2,672,Toronto
111 Carlton Street,,,TRUE,,+1 800-780-7234,3,1080,Toronto
111 Lombard Street,,,TRUE,,+1 416-367-5555,3.9,864,Toronto
118 Yorkville Avenue,,,TRUE,,+1 416-963-6300,4.7,690,Toronto
"135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada",,,TRUE,,+1 416-637-7000,4,408,Toronto
15 Charles Street East,,,TRUE,,+1 416-924-1222,4.6,81,Toronto
15 Richmond Street East,,,TRUE,,+1 800-463-1990,4.1,240,Toronto
"1677 Wilson Avenue, North York, Ontario M3L 1A5, Canada",,,FALSE,,+1 416-249-8171,2.8,1920,Toronto
1684 Queen Street East,,,FALSE,,+1 647-693-6842,3.4,960,Toronto
"1790 Albion Road, Etobicoke, Ontario M9V 4J8, Canada",,,TRUE,,+1 416-747-7676,4.2,576,Toronto
108 Chestnut Street,,,TRUE,,+1 416-977-5000,3.8,672,Toronto
111 Lombard Street,,,TRUE,,+1 416-367-5555,3.8,864,Toronto
118 Yorkville Avenue,,,TRUE,,+1 416-963-6300,3.8,690,Toronto
"135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada",,,TRUE,,+1 416-637-7000,3.8,408,Toronto
15 Charles Street East,,,TRUE,,+1 416-924-1222,3.8,81,Toronto
15 Richmond Street East,,,TRUE,,+1 800-463-1990,3.8,240,Toronto
"1790 Albion Road, Etobicoke, Ontario M9V 4J8, Canada",,,TRUE,,+1 416-747-7676,3.8,576,Toronto
181 Wellington Street West,,,TRUE,,+1 416-585-2500,3.8,630,Toronto
195 Spadina Avenue,,,FALSE,,+1 416-593-0885,3.8,1044,Toronto
"2035 Kennedy Road, Scarborough, Ontario M1T 3G2, Canada",,,TRUE,,+1 416-299-1500,3.8,2520,Toronto
111 Lombard Street,,,TRUE,,+1 416-367-5555,3.8,1344,Toronto
11 East 31st Street,,,TRUE,,+1 212-806-7000,4.4,352,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,4.2,750,New York
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.2,2700,San Francisco
12 4th Street,,,TRUE,,+1 415-348-1111,4.2,312,San Francisco
"1206, 155 Steuart Street",,,TRUE,,+1 415-495-2100,4.2,342,San Francisco
138 King Street,,,TRUE,,+1 415-200-4977,4.2,552,San Francisco
1800 Sutter Street,,,TRUE,,+1 888-822-8666,4.2,2880,San Francisco
2222 Market Street,,,TRUE,,+1 415-621-8212,4.2,750,San Francisco
2237 Mason Street,,,TRUE,,+1 800-352-7366,4.2,155,San Francisco
250 Beach Street,,,FALSE,,+1 844-617-6555,4.2,1836,San Francisco
2620 Jones Street,,,TRUE,,+1 800-228-8408,4.2,2880,San Francisco
299 2nd Street,,,TRUE,,+1 415-947-0700,4.2,768,San Francisco
"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,TRUE,,+1 415-735-7777,4.2,2448,San Francisco
1 Logan Square,,,TRUE,,+1 215-963-1500,4.4,510,Philadelphia
100 North Christopher Columbus Boulevard,,,FALSE,,+1 215-627-7900,4.1,480,Philadelphia
1001 Intrepid Avenue,,,TRUE,,+1 215-644-9200,4.5,174,Philadelphia
101 North Broad Street,,,TRUE,,+1 215-607-2020,4.4,2772,Philadelphia
1100 Arch Street,,,TRUE,,+1 215-923-0100,4,180,Philadelphia
120 South 17th Street,,,TRUE,,+1 215-569-8300,4.5,2592,Philadelphia
1200 Arch Street,,,TRUE,,+1 215-627-1850,4.3,600,Philadelphia
1201 Race Street,,,FALSE,,+1 215-496-2700,3.7,99,Philadelphia
1225 Vine Street,,,FALSE,,+1 215-398-3080,3.9,960,Philadelphia
1301 Race Street,,,TRUE,,+1 215-665-9100,4.2,150,Philadelphia
1001 Intrepid Avenue,,,TRUE,,+1 215-644-9200,4.5,372,Philadelphia
1000 Northeast Multnomah Street,,,TRUE,,+1 503-281-6111,4,558,Portland
1150 Northwest 9th Avenue,,,TRUE,,+1 503-220-1339,4,1188,Portland
11550 Northeast Airport Way,,,TRUE,,+1 503-252-3200,4,1395,Portland
11936 Northeast Glenn Widing Drive,,,TRUE,,+1 503-262-8888,4,1620,Portland
11938 Northeast Airport Way,,,TRUE,,+1 503-251-9991,4,504,Portland
12048 Northeast Airport Way,,,TRUE,,+1 503-255-8600,4,60,Portland
12226 North Jantzen Drive,,,TRUE,,+1 503-283-3030,4,1020,Portland
1355 Southwest 2nd Avenue,,,TRUE,,+1 503-306-4800,4,768,Portland
1441 Northeast 2nd Avenue,,,TRUE,,+1 503-233-2401,4,288,Portland
1455 Southwest Broadway,,,TRUE,,+1 503-334-2167,4,2688,Portland
11550 Northeast Airport Way,,,TRUE,,+1 503-252-3200,4,3045,Portland
1055 Van Ness Avenue,,,TRUE,,+1 559-233-6650,3.8,1008,Fresno
2233 Ventura Street,,,TRUE,,+1 559-268-1000,4.3,972,Fresno
2926 Tulare Street,,,FALSE,,+1 559-442-1110,3.7,208,Fresno
5115 East McKinley Avenue,,,TRUE,,+1 559-375-7760,3.9,1305,Fresno
6844 North Fresno Street,,,TRUE,,+1 888-287-9400,4.3,348,Fresno
1055 Van Ness Avenue,,,TRUE,,+1 559-233-6650,3.8,1620,Fresno
12048 Northeast Airport Way,,,TRUE,,+1 503-255-8600,4.1,1512,Portland
1355 Southwest 2nd Avenue,,,TRUE,,+1 503-306-4800,4.4,832,Portland
1441 Northeast 2nd Avenue,,,TRUE,,+1 503-233-2401,4.2,630,Portland
1150 Northwest 9th Avenue,,,TRUE,,+1 503-220-1339,4.5,2100,Portland
14 Riverside Westlands,,,TRUE,,+254 787 657000,4.4,1650,Nairobi
"1003 Coast Boulevard, La Jolla, California 92037, United States",,,TRUE,,+1 855-287-2682,4.6,552,San Diego
1 Baffin Way,,,TRUE,,+44 20 7517 1100,4.1,1485,London
11 Howard Street,,,TRUE,,+1 212-235-1111,4.3,114,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,4.4,1200,New York
1 West Wacker Drive,,,TRUE,,+1 800-468-3571,4.5,580,Chicago
1118 North State Street,,,TRUE,,+1 888-712-2712,4.5,920,Chicago
113-125 North Green Street,,,TRUE,,+1 312-521-8000,4.5,532,Chicago
116 North Jefferson Street,,,TRUE,,+1 312-648-0000,4.5,930,Chicago
12 South Michigan Avenue,,,TRUE,,+1 312-940-3552,4.5,1008,Chicago
1209 West Albion Avenue,,,TRUE,,+1 312-265-5800,4.5,1260,Chicago
122 West Monroe Street,,,TRUE,,+1 312-750-9012,4.5,192,Chicago
123 East Cermak Road Suite 300 Suite 300,,,TRUE,,+1 312-791-1121,4.5,1260,Chicago
15 East Ohio Street,,,TRUE,,+1 312-894-0800,4.5,798,Chicago
151 West Adams Street,,,TRUE,,+1 800-228-9290,4.5,1728,Chicago
1 West Wacker Drive,,,TRUE,,+1 800-468-3571,4.5,1140,Chicago
100 Greenwich Street,,,TRUE,,+1 917-409-0800,3.7,336,New York
"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,TRUE,,+1 718-512-0248,3.7,405,New York
102 West 57th Street,,,TRUE,,+1 212-379-0103,3.7,81,New York
"102-05 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-565-8900,3.7,276,New York
"102-40 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 718-672-6600,3.7,315,New York
1033 6th Avenue,,,TRUE,,+1 212-768-0007,3.7,594,New York
"104-04 Ditmars Boulevard, East Elmhurst",,,TRUE,,+1 877-270-1412,3.7,756,New York
108 West 24th Street,,,TRUE,,+1 212-414-1000,3.7,1440,New York
11 East 31st Street,,,TRUE,,+1 212-806-7000,3.7,352,New York
11 Howard Street,,,TRUE,,+1 212-235-1111,3.7,114,New York
100 Greenwich Street,,,TRUE,,+1 917-409-0800,3.7,2250,New York
"12, Doctor APJ Abdul Kalam Road, New Delhi",,,TRUE,,+91 11 3955 5000,3.9,310,Delhi
"12, Mangalam Place, Sector 3, Rohini, New Delhi",,,TRUE,,+91 11 4340 0000,3.9,324,Delhi
"13A, District Centre, Mayur Vihar, New Delhi",,,TRUE,,+91 11 4110 5555,3.9,544,Delhi
"2, Sardar Patel Marg, Diplomatic Enclave, New Delhi",,,TRUE,,+91 11 2611 0202,3.9,1680,Delhi
"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi",,,TRUE,,+91 11 4103 4591,3.9,2790,Delhi
"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi",,,TRUE,,+91 11 4565 0000,3.9,1728,Delhi
"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi",,,TRUE,,+91 11 4122 5666,3.9,189,Delhi
"88-89, Bijwasan Road, Kapas Hera Extension, Kapashera, New Delhi",,,TRUE,,+91 11 4909 9999,3.9,496,Delhi
"8A-43, Channa Market, Block 8A, WEA, Karol Bagh, New Delhi",,,TRUE,,+91 11 4250 3283,3.9,232,Delhi
"12, Doctor APJ Abdul Kalam Road, New Delhi",,,TRUE,,+91 11 3955 5000,3.9,1520,Delhi
"12, Mangalam Place, Sector 3, Rohini, New Delhi",,,TRUE,,+91 11 4340 0000,3.9,1680,Delhi
"13A, District Centre, Mayur Vihar, New Delhi",,,TRUE,,+91 11 4110 5555,3.9,1380,Delhi
"2, Sardar Patel Marg, Diplomatic Enclave, New Delhi",,,TRUE,,+91 11 2611 0202,3.9,1620,Delhi
"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi",,,TRUE,,+91 11 4565 0000,3.9,1056,Delhi
"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi",,,TRUE,,+91 11 4122 5666,3.9,1440,Delhi
"13A, District Centre, Mayur Vihar, New Delhi",,,TRUE,,+91 11 4110 5555,3.9,2800,Delhi
101 Andrew Young International Boulevard Northwest,,,TRUE,,+1 404-524-5555,4.2,1944,Atlanta
