address,area,furnished,number_of_baths,number_of_beds,pets_allowed,phone_number,property_name,rent,visit_date
999 West Hamilton Avenue,Campbell,TRUE,3,3,TRUE,408-796-4545,The Greenery Apartments Homes,5250,
999 West Hamilton Avenue,,TRUE,3,3,TRUE,408-796-4545,The Greenery Apartments Homes,5250,
1580 Clayton Road # 1,Concord,TRUE,3,1,TRUE,925-827-3700,Casa Pino Condos,4800,
1688 Clayton Road,Concord,FALSE,3,1,FALSE,925-671-3845,City Walk Apartment Homes,5200,
5255 Clayton Road,Concord,FALSE,3,1,FALSE,855-957-1118,Clayton Creek Apartments,4450,
1711 Detroit Avenue,Concord,FALSE,2,1,TRUE,925-686-6868,Courtyard Apartments,2900,
4902 Clayton Road,Concord,FALSE,2,1,FALSE,925-405-6881,Diablo Terrace Apartments,3550,
3620 Clayton Road # 101,Concord,FALSE,3,1,TRUE,925-682-9661,Greentree Terrace Apartments,4300,
1032 Mohr Lane,Concord,FALSE,3,1,TRUE,925-687-8460,Hidden Creek Town Homes,4100,
3066 Willow Pass Road,Concord,FALSE,2,1,FALSE,925-691-5974,Kona Kai Village Apartments,3250,
1500 Ellis Street,Concord,FALSE,1,1,FALSE,925-680-5250,Lakeshore Apartment Homes,2750,
1530 Ellis Street,Concord,FALSE,3,1,TRUE,925-521-8333,Lakeshore Apartments,4750,
1580 Clayton Road # 1,,TRUE,3,1,TRUE,925-827-3700,Casa Pino Condos,4800,
200 Greenbriar Circle,Petaluma,FALSE,1,1,FALSE,855-243-4986,Addison Ranch,4950,
1400 Technology Lane,Petaluma,FALSE,1,1,FALSE,707-775-3161,Azure At Lakeville Square Apartments,2400,
1900 Sestri Lane,Petaluma,FALSE,1,1,FALSE,707-317-1020,Capri Creek Apartments,4000,
1200 D Street #27,Petaluma,FALSE,1,1,FALSE,707-762-6698,Hillview Apartments,3100,
210 Douglas Street # 100,Petaluma,FALSE,1,1,TRUE,707-773-0510,Leib Senior Apartments,3150,
150 Graylawn Avenue,Petaluma,FALSE,1,1,TRUE,707-762-5126,Oak Creek Apartments,3900,
"7011, 109 Magnolia Avenue",Petaluma,FALSE,1,1,FALSE,707-762-6709,Park Lane Apartments,4350,
149 Wyndham Way,Petaluma,FALSE,1,1,TRUE,707-763-8434,Petaluma Senior Citizens Apt,3550,
745 North McDowell Boulevard,Petaluma,FALSE,1,1,TRUE,707-766-8922,Round Walk Village,5200,
909 Martin Circle,Petaluma,FALSE,1,1,FALSE,707-763-9242,Washington Creek Apartments,1750,
210 Douglas Street # 100,,FALSE,1,1,TRUE,707-773-0510,Leib Senior Apartments,1500,
2760 McKee Road,,FALSE,3,2,TRUE,408-251-7570,Arbor Terraces,4900,
600 Marathon Drive,Campbell,FALSE,2,3,TRUE,408-379-6655,Coffeetree Apartments,3650,
240 Hollis Avenue,Campbell,FALSE,3,3,TRUE,866-573-8123,La Mancha Apartments,4800,
3685 South Bascom Avenue,Campbell,FALSE,3,3,FALSE,408-377-9360,Pebble Creek,4350,
150 West Rincon Avenue,Campbell,FALSE,3,3,TRUE,408-871-1333,Rincon Gables Apartments,4050,
1510 South Bascom Avenue,Campbell,FALSE,3,3,TRUE,408-377-6900,River Walk Apartments,4850,
825 South San Tomas Aquino Road,Campbell,FALSE,2,3,TRUE,408-374-8741,San Tomas Gardens,3750,
275 Union Avenue,Campbell,FALSE,2,3,TRUE,408-898-4572,The Commons,3900,
999 West Hamilton Avenue,Campbell,TRUE,3,3,TRUE,408-796-4545,The Greenery Apartments Homes,4400,
600 Marathon Drive,Campbell,FALSE,1,3,TRUE,408-379-6655,Coffeetree Apartments,3650,
240 Hollis Avenue,Campbell,FALSE,1,3,TRUE,866-573-8123,La Mancha Apartments,4800,
150 West Rincon Avenue,Campbell,FALSE,1,3,TRUE,408-871-1333,Rincon Gables Apartments,4050,
1510 South Bascom Avenue,Campbell,FALSE,1,3,TRUE,408-377-6900,River Walk Apartments,4850,
825 South San Tomas Aquino Road,Campbell,FALSE,1,3,TRUE,408-374-8741,San Tomas Gardens,3750,
275 Union Avenue,Campbell,FALSE,1,3,TRUE,408-898-4572,The Commons,3900,
999 West Hamilton Avenue,Campbell,TRUE,1,3,TRUE,408-796-4545,The Greenery Apartments Homes,4400,
150 West Rincon Avenue,,FALSE,1,3,TRUE,408-871-1333,Rincon Gables Apartments,4050,
600 Marathon Drive,Campbell,FALSE,1,1,FALSE,408-379-6655,Coffeetree Apartments,4450,
825 South San Tomas Aquino Road,Campbell,FALSE,1,1,FALSE,408-374-8741,San Tomas Gardens,4850,
240 Hollis Avenue,Campbell,TRUE,3,1,TRUE,866-573-8123,La Mancha Apartments,3950,
3685 South Bascom Avenue,Campbell,TRUE,3,1,TRUE,408-377-9360,Pebble Creek,4000,
150 West Rincon Avenue,Campbell,FALSE,3,1,TRUE,408-871-1333,Rincon Gables Apartments,5150,
999 West Hamilton Avenue,Campbell,TRUE,3,1,TRUE,408-796-4545,The Greenery Apartments Homes,5250,
377 Union Avenue,Campbell,FALSE,3,1,TRUE,408-559-7422,Union Manor Apartments,4950,
240 Hollis Avenue,,TRUE,3,1,TRUE,866-573-8123,La Mancha Apartments,3950,
100 Chilpancingo Parkway,Pleasant Hill,FALSE,1,1,TRUE,925-686-4000,Bridge Grayson Creek Associates,4800,
630 Tempe Court,Pleasant Hill,FALSE,1,1,TRUE,925-825-1220,Camelback North Apartments,2850,
301 Country View Lane # A,Pleasant Hill,FALSE,1,1,TRUE,925-676-6964,Country View Apartments,3900,
100 Devon Avenue,Pleasant Hill,FALSE,1,1,TRUE,925-930-9630,Devon Apartments,4200,
150 Cleaveland Road,Pleasant Hill,FALSE,1,1,TRUE,925-937-1222,Spring Meadow Apartments,1500,
111 Cleaveland Road,Pleasant Hill,FALSE,1,1,TRUE,925-939-7111,Terrace Apartments,2650,
630 Tempe Court,,FALSE,1,1,TRUE,925-825-1220,Camelback North Apartments,2850,
1546 Maurice Lane,San Jose,FALSE,3,1,TRUE,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,4450,
1290 San Tomas Aquino Road,San Jose,FALSE,2,1,TRUE,408-984-8888,Aegena,3500,
73 North Keeble Avenue,San Jose,TRUE,3,1,FALSE,408-998-7266,Alameda Gardens Apartments,4100,
978 Almaden Lake Drive,San Jose,FALSE,3,1,TRUE,408-323-8020,Almaden Lake Apartments,4050,
1543 Ambergrove Drive,San Jose,FALSE,1,1,TRUE,408-453-8011,Amberwood Apartments,2500,
1585 Marburg Way # 4,San Jose,FALSE,2,1,TRUE,408-926-3999,Ann Darling Apartments,3100,
5822 Charlotte Drive,San Jose,FALSE,2,1,TRUE,408-226-5822,Anton La Moraga Apartments,3000,
1582 Kooser Road,San Jose,FALSE,3,1,TRUE,408-448-1288,Arbor Apartments,5000,
947 Branham Lane # C,San Jose,FALSE,3,1,TRUE,408-265-4808,Almaden Garden Apartments,5150,
899 North King Road,San Jose,FALSE,3,1,FALSE,408-272-1588,Arbor Park,5250,
2760 McKee Road,San Jose,FALSE,3,1,FALSE,408-251-7570,Arbor Terraces,4950,
1058 South 5th Street,San Jose,FALSE,3,1,FALSE,877-259-1439,Art Ark Apartments,4100,
750 North King Road,San Jose,TRUE,3,1,FALSE,408-844-4803,Avenel Apartments,4100,
73 North Keeble Avenue,,TRUE,3,1,FALSE,408-998-7266,Alameda Gardens Apartments,4100,
1475 167th Avenue,,FALSE,1,1,FALSE,510-962-8120,Bermuda Garden Apartments,1750,
215 Bayview Street,San Rafael,TRUE,3,4,FALSE,415-485-1140,215 Bayview Apartments,5000,
1747 Lincoln Avenue,San Rafael,TRUE,3,4,TRUE,415-453-0563,Park Hill Apartments,4950,
30 Novato Street,San Rafael,TRUE,3,4,FALSE,415-457-5359,Sommerhill Townhomes,5000,
2500 Deer Valley Road,San Rafael,FALSE,3,4,FALSE,415-419-5105,Worldwide Oakwood,5150,
215 Bayview Street,,TRUE,3,4,FALSE,415-485-1140,215 Bayview Apartments,5000,
275 Hawthorne Avenue,Palo Alto,FALSE,1,1,FALSE,650-966-5319,275 Hawthorne Apartments,3850,
3051 Alma Street,Palo Alto,FALSE,1,1,TRUE,650-813-1369,Alma Apartments,3100,
574 Arastradero Road,Palo Alto,FALSE,1,1,TRUE,650-493-4376,Arastradero Park Apartments,4250,
3820 Park Boulevard,Palo Alto,FALSE,1,1,TRUE,650-493-2424,Casa Carolina Apartments,5000,
325 Hawthorne Avenue,Palo Alto,FALSE,1,1,TRUE,650-966-5319,Hawthorne,2500,
1600 Sand Hill Road,Palo Alto,FALSE,1,1,TRUE,650-321-1701,Oak Creek Apartments,4300,
650 San Antonio Road,Palo Alto,FALSE,1,1,FALSE,650-213-9700,Palo Alto Gardens,3000,
630 Los Robles Avenue,Palo Alto,FALSE,1,1,TRUE,650-858-2199,Palo Alto Housing Corporation,2600,
1094 Tanland Drive,Palo Alto,FALSE,1,1,TRUE,888-743-1697,Parker Palo Alto Apartments,5100,
2850 Middlefield Road,Palo Alto,TRUE,1,1,TRUE,650-322-1112,Southwood Apartments,1900,
275 Hawthorne Avenue,,FALSE,1,1,FALSE,650-966-5319,275 Hawthorne Apartments,2350,
250 Saint Joseph Street,Rio Vista,FALSE,1,2,TRUE,707-374-6969,Casitas Del Rio,2600,
101 South Front Street # 1,Rio Vista,FALSE,1,2,TRUE,707-374-6812,Raintree Condominiums,2850,
101 South Front Street # 1,,FALSE,1,2,TRUE,707-374-6812,Raintree Condominiums,2850,
2000 Shoreline Loop,San Ramon,FALSE,2,2,TRUE,925-307-7099,Bel Air,3050,
4000 Bollinger Crest Common,San Ramon,FALSE,2,2,TRUE,925-820-2828,Bollinger Crest Apartments,3200,
1000 Canyon Village Circle,San Ramon,TRUE,3,2,FALSE,925-820-8385,Canyon Creek Apartments,4900,
1 Amberstone Lane,San Ramon,FALSE,3,2,TRUE,925-307-7151,Canyon Oaks,3900,
1700 Promontory Lane,San Ramon,FALSE,3,2,TRUE,925-307-7143,Crow Canyon,4450,
9200 Alcosta Boulevard,San Ramon,TRUE,2,2,TRUE,925-828-3060,Fairway Village Apartments,3950,
500 Copperset Road,San Ramon,FALSE,2,2,TRUE,925-968-1175,Falcon Bridge,2800,
2100 Waterstone Place,San Ramon,FALSE,3,2,FALSE,925-307-7005,Mill Creek,5250,
1108 Crestfield Drive,San Ramon,FALSE,2,2,TRUE,925-314-8034,Muirlands At Windemere Apartments,3850,
3300 Promontory Circle,San Ramon,FALSE,2,2,TRUE,925-838-8850,Promontory View,3650,
2000 Shoreline Loop,,FALSE,2,2,TRUE,925-307-7099,Bel Air,3050,
1411 Monument Boulevard,Concord,FALSE,3,2,TRUE,925-827-1836,Monterrey Club Apartments,3900,
3420 Willow Pass Road,Concord,TRUE,3,2,TRUE,925-825-5958,Palm Court Apartment,4200,
2925 Monument Boulevard,Concord,FALSE,3,2,TRUE,925-685-4246,Palm Terrace Concord,4050,
1650 Pine Street,Concord,TRUE,3,2,TRUE,855-273-4847,Park Haven Apartments,3950,
1160 Meadow Lane,Concord,FALSE,3,2,TRUE,855-289-4212,Pine Meadows Apartments,5000,
1500 Pine Street # 78,Concord,FALSE,3,2,TRUE,925-827-1700,Pine Terrace Apartments,4400,
3718 Willow Pass Rd,Concord,FALSE,3,2,TRUE,925-686-2244,Whispering Oaks,5050,
5255 Clayton Road,Concord,FALSE,3,1,TRUE,855-957-1118,Clayton Creek Apartments,3950,
3066 Willow Pass Road,Concord,TRUE,3,1,TRUE,925-691-5974,Kona Kai Village Apartments,4350,
1530 Ellis Street,Concord,FALSE,3,1,TRUE,925-521-8333,Lakeshore Apartments,4350,
1411 Monument Boulevard,Concord,FALSE,3,1,TRUE,925-827-1836,Monterrey Club Apartments,3900,
3420 Willow Pass Road,Concord,TRUE,3,1,TRUE,925-825-5958,Palm Court Apartment,4200,
2925 Monument Boulevard,Concord,FALSE,3,1,TRUE,925-685-4246,Palm Terrace Concord,4050,
1650 Pine Street,Concord,TRUE,3,1,TRUE,855-273-4847,Park Haven Apartments,3950,
1160 Meadow Lane,Concord,FALSE,3,1,TRUE,855-289-4212,Pine Meadows Apartments,5000,
1500 Pine Street # 78,Concord,FALSE,3,1,TRUE,925-827-1700,Pine Terrace Apartments,4400,
3718 Willow Pass Rd,Concord,FALSE,3,1,TRUE,925-686-2244,Whispering Oaks,5050,
3066 Willow Pass Road,,TRUE,3,1,TRUE,925-691-5974,Kona Kai Village Apartments,4350,
1501 Alamo Drive,Vacaville,FALSE,3,3,TRUE,707-448-3848,Alamo Garden Apartments,5050,
1101 Burton Drive,Vacaville,TRUE,3,3,TRUE,707-451-7400,Saratoga Senior Apartments,4400,
1300 Burton Drive,Vacaville,FALSE,3,3,TRUE,707-447-2500,The Commons Apartments,4250,
555 Elmira Road,Vacaville,FALSE,2,3,TRUE,707-271-0084,The Parc,3950,
1510 Alamo Drive,Vacaville,TRUE,3,3,TRUE,707-702-1307,Woodcrest,5100,
1101 Burton Drive,,TRUE,3,3,TRUE,707-451-7400,Saratoga Senior Apartments,4400,
275 Hawthorne Avenue,Palo Alto,FALSE,1,2,FALSE,650-966-5319,275 Hawthorne Apartments,3850,
3051 Alma Street,Palo Alto,FALSE,1,2,TRUE,650-813-1369,Alma Apartments,3100,
574 Arastradero Road,Palo Alto,FALSE,1,2,TRUE,650-493-4376,Arastradero Park Apartments,4250,
3820 Park Boulevard,Palo Alto,FALSE,1,2,TRUE,650-493-2424,Casa Carolina Apartments,5000,
325 Hawthorne Avenue,Palo Alto,FALSE,1,2,TRUE,650-966-5319,Hawthorne,2500,
1600 Sand Hill Road,Palo Alto,FALSE,1,2,TRUE,650-321-1701,Oak Creek Apartments,4300,
650 San Antonio Road,Palo Alto,FALSE,1,2,FALSE,650-213-9700,Palo Alto Gardens,3000,
630 Los Robles Avenue,Palo Alto,FALSE,1,2,TRUE,650-858-2199,Palo Alto Housing Corporation,2600,
1094 Tanland Drive,Palo Alto,FALSE,1,2,TRUE,888-743-1697,Parker Palo Alto Apartments,5100,
2850 Middlefield Road,Palo Alto,TRUE,1,2,TRUE,650-322-1112,Southwood Apartments,2800,
574 Arastradero Road,,FALSE,1,2,TRUE,650-493-4376,Arastradero Park Apartments,4250,
1400 Humphrey Drive,Suisun City,FALSE,3,3,TRUE,707-429-3151,Autumn Oaks Apartments,4350,
1359 Worley Road,Suisun City,FALSE,3,3,FALSE,707-399-0529,Breezewood Village,4100,
766 Sunset Avenue,Suisun City,FALSE,3,3,TRUE,707-702-1238,Village Green,5200,
1400 Humphrey Drive,,FALSE,3,3,TRUE,707-429-3151,Autumn Oaks Apartments,4350,
1580 Clayton Road # 1,Concord,FALSE,2,3,FALSE,925-827-3700,Casa Pino Condos,3550,
1711 Detroit Avenue,Concord,FALSE,2,3,FALSE,925-686-6868,Courtyard Apartments,3900,
4902 Clayton Road,Concord,FALSE,2,3,TRUE,925-405-6881,Diablo Terrace Apartments,3950,
3620 Clayton Road # 101,Concord,FALSE,2,3,TRUE,925-682-9661,Greentree Terrace Apartments,4050,
1500 Ellis Street,Concord,FALSE,2,3,TRUE,925-680-5250,Lakeshore Apartment Homes,4000,
3205 Northwood Drive,Concord,FALSE,2,3,FALSE,925-685-5090,Meadowwood Apartments,3500,
1688 Clayton Road,Concord,FALSE,1,2,FALSE,925-671-3845,City Walk Apartment Homes,5150,
1711 Detroit Avenue,Concord,FALSE,1,2,FALSE,925-686-6868,Courtyard Apartments,3900,
5255 Clayton Road,,FALSE,1,2,TRUE,855-957-1118,Clayton Creek Apartments,3950,
1546 Maurice Lane,,FALSE,1,1,FALSE,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,2300,
707 Continental Circle,Mountain View,FALSE,2,3,TRUE,833-278-0054,Americana,3950,
2290 California Street,Mountain View,FALSE,3,3,TRUE,650-965-8290,Arbors At Mountain View,4100,
1335 Montecito Avenue # 1,Mountain View,FALSE,3,3,TRUE,650-940-1909,Barkley Square Apartments,4950,
1265 Montecito Avenue,Mountain View,FALSE,3,3,FALSE,650-940-9349,Brookside Gardens,3900,
302 Easy Street,Mountain View,FALSE,2,3,TRUE,650-968-3830,Chateau Apartments,4000,
200 East Dana Street,Mountain View,FALSE,2,3,FALSE,650-967-3870,Dana Garden Apartments,3500,
1240 Dale Avenue #6,Mountain View,FALSE,3,3,FALSE,650-961-6811,Delmonico Apartments,4900,
210 Easy Street,Mountain View,FALSE,3,3,TRUE,650-961-2975,Fernmar Apartments,4950,
439 Del Medio Avenue,Mountain View,FALSE,2,3,FALSE,650-948-6826,Franciscan Apartments,4050,
1571 West El Camino Real,Mountain View,FALSE,3,3,TRUE,650-969-9800,Hidden Garden Apartments,4700,
2290 California Street,,FALSE,3,3,TRUE,650-965-8290,Arbors At Mountain View,4100,
1300 South Livermore Avenue,Livermore,FALSE,1,2,TRUE,800-545-1833,Arbor Vista Senior Apartments,3000,
3819 East Avenue,Livermore,FALSE,1,2,TRUE,844-412-5121,Briarwood Apartments,3900,
1163 Concannon Boulevard # 99,Livermore,FALSE,1,2,TRUE,925-443-1271,Sunset Gardens Apartments,3100,
403 Junction Avenue,Livermore,FALSE,1,2,TRUE,925-454-0425,Tradewinds Apartments,2700,
1300 South Livermore Avenue,,FALSE,1,2,TRUE,800-545-1833,Arbor Vista Senior Apartments,3000,
37171 Sycamore Street,Newark,FALSE,3,4,TRUE,800-441-0766,Sycamore Bay,4700,
37171 Sycamore Street,,FALSE,3,4,TRUE,800-441-0766,Sycamore Bay,4700,
150 Sierra Drive,Walnut Creek,FALSE,2,1,FALSE,925-945-1701,Affordable Housing Associates,4850,
1445 Treat Boulevard,Walnut Creek,FALSE,2,1,TRUE,925-943-7977,Archstone Walnut Creek,4700,
1195 Saranap Avenue # 14,Walnut Creek,FALSE,2,1,TRUE,925-937-1324,Birchwood Apartments,3000,
245 Masters Court,Walnut Creek,FALSE,2,1,FALSE,925-906-9000,Club Villas,3950,
1435 Creekside Drive,Walnut Creek,TRUE,2,1,FALSE,925-935-4614,Creekside Glen Apartments,4350,
1450 Creekside Drive,Walnut Creek,FALSE,2,1,FALSE,925-930-9625,Diablo Pointe Apartments,5250,
3081 North Main Street # 23,Walnut Creek,FALSE,2,1,FALSE,925-932-0981,Evergreen Apartments,5200,
1357 Creekside Drive,Walnut Creek,FALSE,2,1,TRUE,925-947-0844,Four Seasons Apartments,3500,
3055 North Main Street,Walnut Creek,FALSE,2,1,TRUE,855-388-5520,Kingston Place Apartments,4050,
1200 Newell Hill Place,Walnut Creek,FALSE,2,1,TRUE,925-934-1117,Newell Vista Apartments,4350,
150 Sierra Drive,,FALSE,2,1,FALSE,925-945-1701,Affordable Housing Associates,4850,
208 Holly Avenue # 1,South San Francisco,TRUE,1,1,TRUE,650-583-9275,Fernmar Apartments North,2950,
99 Oak Avenue # 201,South San Francisco,TRUE,1,1,TRUE,650-952-3727,Grand Oak Apartments,2350,
1565 El Camino Real,South San Francisco,FALSE,1,1,TRUE,650-616-4570,Greenridge Apartments,2700,
800 Memorial Drive,South San Francisco,FALSE,1,1,TRUE,650-588-1009,Park Lane Apartments,3950,
3880 Callan Boulevard,South San Francisco,FALSE,1,1,TRUE,650-278-4660,Skyline View Apartments,4350,
358 Alida Way # 9,South San Francisco,FALSE,1,1,TRUE,650-589-6721,South Country Club Apartments,1750,
240 Hollis Avenue,Campbell,FALSE,1,4,TRUE,866-573-8123,La Mancha Apartments,4800,
1510 South Bascom Avenue,Campbell,FALSE,1,4,TRUE,408-377-6900,River Walk Apartments,4850,
240 Hollis Avenue,,FALSE,1,4,TRUE,866-573-8123,La Mancha Apartments,4800,
1435 163rd Avenue #23,San Leandro,FALSE,2,2,TRUE,510-317-5914,Alderwood Apartments,3700,
1300 Kentwood Lane,San Leandro,FALSE,1,2,FALSE,510-481-2565,Ashland Village Apartments,2550,
1475 167th Avenue,San Leandro,FALSE,1,2,FALSE,510-962-8120,Bermuda Garden Apartments,2550,
13949 Doolittle Drive,San Leandro,TRUE,2,2,TRUE,510-352-8728,Bermuda-Trinidad Apartments,2900,
2011 Doolittle Drive # A1,San Leandro,FALSE,3,2,FALSE,510-357-6086,Doolittle Apartments,5200,
14665 Washington Avenue,San Leandro,TRUE,1,2,TRUE,510-483-3707,Eden Roc Apartments,2700,
888 Davis Street,San Leandro,FALSE,3,2,TRUE,510-562-5121,Gateway Apartments,5000,
566 Estudillo Avenue,San Leandro,FALSE,1,2,FALSE,510-352-3224,Hale Apartments,2400,
1713 164th Avenue #1,San Leandro,TRUE,1,2,FALSE,510-481-7575,Hilltop Trio Apartments,2500,
4170 Springlake Drive,San Leandro,FALSE,3,2,TRUE,510-352-5900,Lakeside,5250,
1475 167th Avenue,,FALSE,1,2,FALSE,510-962-8120,Bermuda Garden Apartments,2550,
1001 Beethoven Common,Fremont,FALSE,3,1,TRUE,510-797-1800,Alborada Apartments,4700,
34050 Westchester Terrace,Fremont,FALSE,2,1,TRUE,510-794-9981,Amber Court,3500,
4445 Stevenson Boulevard,Fremont,FALSE,2,1,TRUE,510-657-1133,Americana Apartments,2800,
3500 Pennsylvania Avenue # 101,Fremont,FALSE,3,1,FALSE,510-943-8264,Birchwood Apartments,4700,
40001 Fremont Boulevard,Fremont,FALSE,1,1,TRUE,510-455-8815,Boulevard,1850,
4200 Bay Street,Fremont,FALSE,2,1,FALSE,510-455-8813,Briarwood At Central Park,3500,
36163 Fremont Boulevard,Fremont,FALSE,3,1,FALSE,510-793-1621,Brookvale Chateau,4850,
38900 Blacow Road,Fremont,TRUE,2,1,TRUE,510-797-5980,Carrington Apartments,4050,
4101 Eggers Drive # 16,Fremont,FALSE,1,1,FALSE,510-796-4064,Case Verde Apartment,2700,
41299 Paseo Padre Parkway,Fremont,FALSE,2,1,TRUE,510-651-1040,Century Village Apartments,2700,
1001 Beethoven Common,,FALSE,3,1,TRUE,510-797-1800,Alborada Apartments,4700,
6410 Schmidt Lane,El Cerrito,FALSE,3,4,FALSE,510-236-2860,Village At Town Center Apartments,5100,
6410 Schmidt Lane,,FALSE,3,4,FALSE,510-236-2860,Village At Town Center Apartments,5100,
1580 Clayton Road # 1,,FALSE,2,3,FALSE,925-827-3700,Casa Pino Condos,3550,
200 Greenbriar Circle,Petaluma,FALSE,1,1,FALSE,855-243-4986,Addison Ranch,1500,
1400 Technology Lane,Petaluma,TRUE,3,1,TRUE,707-775-3161,Azure At Lakeville Square Apartments,4850,
1900 Sestri Lane,Petaluma,FALSE,1,1,TRUE,707-317-1020,Capri Creek Apartments,1900,
1200 D Street #27,Petaluma,FALSE,1,1,TRUE,707-762-6698,Hillview Apartments,2700,
210 Douglas Street # 100,Petaluma,FALSE,3,1,FALSE,707-773-0510,Leib Senior Apartments,4100,
150 Graylawn Avenue,Petaluma,TRUE,2,1,TRUE,707-762-5126,Oak Creek Apartments,3000,
"7011, 109 Magnolia Avenue",Petaluma,FALSE,3,1,FALSE,707-762-6709,Park Lane Apartments,3950,
149 Wyndham Way,Petaluma,FALSE,2,1,FALSE,707-763-8434,Petaluma Senior Citizens Apt,3550,
745 North McDowell Boulevard,Petaluma,TRUE,2,1,FALSE,707-766-8922,Round Walk Village,3000,
909 Martin Circle,Petaluma,FALSE,1,1,FALSE,707-763-9242,Washington Creek Apartments,1650,
1001 Beethoven Common,Fremont,FALSE,2,1,TRUE,510-797-1800,Alborada Apartments,4700,
3500 Pennsylvania Avenue # 101,Fremont,FALSE,2,1,FALSE,510-943-8264,Birchwood Apartments,4700,
40001 Fremont Boulevard,Fremont,FALSE,2,1,TRUE,510-455-8815,Boulevard,2750,
36163 Fremont Boulevard,Fremont,FALSE,2,1,FALSE,510-793-1621,Brookvale Chateau,4850,
46703 Crawford Street # 2,Fremont,FALSE,2,1,FALSE,510-651-5292,Crawford Apartments,4750,
37811 Fremont Boulevard,Fremont,FALSE,2,1,TRUE,510-797-4520,Fremont Arms,3500,
4261 Stevenson Boulevard,Fremont,FALSE,2,1,TRUE,510-656-8201,Fremont Manor,4700,
36707 San Pedro Drive,Fremont,FALSE,2,1,TRUE,510-792-6340,Garden Village Apartments,4250,
34050 Westchester Terrace,,FALSE,2,1,TRUE,510-794-9981,Amber Court,3500,
3263 Mount Diablo Court,Lafayette,TRUE,1,2,TRUE,925-287-1188,Lafayette Commons Apartments,2700,
320 East Tabor Avenue,Fairfield,TRUE,1,2,TRUE,707-422-2850,Blue Sky Apartments,5000,
1700 East Tabor Avenue # A3,Fairfield,TRUE,1,2,TRUE,707-429-5426,Country Club Apartments,5200,
2801 Dover Avenue,Fairfield,TRUE,1,2,TRUE,707-429-8966,Dover Woods,3050,
1111 Alaska Avenue,Fairfield,TRUE,1,2,TRUE,707-388-8461,Park Viva,3750,
320 East Tabor Avenue,,TRUE,1,2,TRUE,707-422-2850,Blue Sky Apartments,5000,
1977 Heimgartner Lane,San Jose,TRUE,3,3,TRUE,408-377-2400,Union Park Apartments,5000,
5822 Charlotte Drive,San Jose,TRUE,2,3,TRUE,408-226-5822,Anton La Moraga Apartments,4850,
260 North Capitol Avenue # 109,San Jose,TRUE,2,3,TRUE,408-259-1662,Capitol Avenue Apartments,4850,
1315 Eden Avenue,San Jose,TRUE,2,3,TRUE,408-378-1970,Regency Square,5150,
5822 Charlotte Drive,San Jose,TRUE,2,1,TRUE,408-226-5822,Anton La Moraga Apartments,4850,
1315 Eden Avenue,San Jose,TRUE,2,1,TRUE,408-378-1970,Regency Square,5150,
2055 Summerside Drive,San Jose,TRUE,2,1,TRUE,408-279-2300,Summerwind Apartments,3050,
1315 Eden Avenue,,TRUE,2,1,TRUE,408-378-1970,Regency Square,4100,
1546 Maurice Lane,San Jose,FALSE,2,2,FALSE,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,4450,
1290 San Tomas Aquino Road,San Jose,TRUE,2,2,FALSE,408-984-8888,Aegena,4900,
2415 Rinconada Drive,San Jose,FALSE,2,2,FALSE,408-516-4212,Almaden House,4850,
1585 Marburg Way # 4,San Jose,FALSE,2,2,TRUE,408-926-3999,Ann Darling Apartments,3950,
5822 Charlotte Drive,San Jose,TRUE,2,2,TRUE,408-226-5822,Anton La Moraga Apartments,4850,
1582 Kooser Road,San Jose,FALSE,2,2,FALSE,408-448-1288,Arbor Apartments,4250,
73 North Keeble Avenue,,FALSE,2,2,FALSE,408-998-7266,Alameda Gardens Apartments,4850,
831 Gale Drive,Campbell,TRUE,2,1,TRUE,408-374-3500,Appletree Apartments,3150,
999 West Hamilton Avenue,Campbell,TRUE,1,1,TRUE,408-796-4545,The Greenery Apartments Homes,1800,
831 Gale Drive,,TRUE,2,1,TRUE,408-374-3500,Appletree Apartments,3150,
1290 San Tomas Aquino Road,,TRUE,3,4,FALSE,408-984-8888,Aegena,4900,
1999 Beach Park Boulevard,Foster City,TRUE,2,3,TRUE,844-899-9230,Beach Park Apartments,3900,
1288 East Hillsdale Boulevard,Foster City,TRUE,2,3,TRUE,844-334-0618,Miramar Apartments,3700,
611 Bounty Drive #3101,Foster City,FALSE,2,3,FALSE,855-979-8476,The Lagoons Apartments,3800,
1999 Beach Park Boulevard,,TRUE,2,3,TRUE,844-899-9230,Beach Park Apartments,3900,
1000 Kiely Boulevard,Santa Clara,FALSE,3,2,TRUE,669-206-0300,1000 Kiely,4300,
900 Pepper Tree Lane,Santa Clara,FALSE,1,2,TRUE,866-472-2645,Alderwood Apartments,2500,
1500 Vista Club Circle,Santa Clara,FALSE,3,2,FALSE,408-827-1770,Bella Vista Apartments,5100,
3770 Flora Vista Avenue,Santa Clara,FALSE,1,2,TRUE,888-743-1851,Boardwalk Apartments,2350,
3440 Warburton Avenue,Santa Clara,TRUE,3,2,TRUE,408-248-5766,Briarwood Garden Apartments,5250,
1655 Pomeroy Avenue,Santa Clara,FALSE,2,2,FALSE,408-241-6308,Carriage House Apartments,3900,
