address,category,date,has_seating_outdoors,has_vegetarian_options,location,number_of_seats,phone_number,price_range,rating,restaurant_name,time
420 Broadway,Seafood,,FALSE,TRUE,Millbrae,,650-697-9988,moderate,4,Zen Sushi Bistro,
331 West Hacienda Avenue,American,,TRUE,FALSE,Campbell,,408-374-3400,moderate,4.1,Effie's Restaurant & Bar,
368 East Campbell Avenue,American,,TRUE,FALSE,Campbell,,408-364-1564,moderate,3.9,Flights Restaurant Campbell,
1700 West Campbell Avenue,American,,TRUE,TRUE,Campbell,,408-628-0683,moderate,4.5,Forthright Oyster Bar & Kitchen,
316 North Santa Cruz Avenue,Mexican,,FALSE,FALSE,Los Gatos,,408-395-8578,moderate,4,Pedro's,
81 West Main Street,Mexican,,FALSE,FALSE,Los Gatos,,408-884-8268,moderate,4.4,Zona Rosa Los Gatos,
1599 Sanchez Street,Chinese,,FALSE,TRUE,San Francisco,,415-282-8999,cheap,4.3,Alice's,
1441 Polk Street,Chinese,,FALSE,TRUE,San Francisco,,415-775-3679,cheap,3.6,Bamboo Restaurant,
2218 Irving Street,Chinese,,FALSE,FALSE,San Francisco,,415-661-8385,cheap,4.4,Bei Fang Style,
1801 Alemany Boulevard,Chinese,,FALSE,FALSE,San Francisco,,415-333-8182,moderate,4.1,Beijing Restaurant,
726 Clement Street,Chinese,,FALSE,FALSE,San Francisco,,415-387-2658,moderate,4.3,Chili House Sf,
2205 Lombard Street,Chinese,,FALSE,FALSE,San Francisco,,415-655-3335,moderate,4.5,Chubby Noodle Marina,
2257 San Jose Avenue,Chinese,,FALSE,TRUE,San Francisco,,415-337-1888,cheap,3.4,Crazy Pepper,
2550 Van Ness Avenue,Chinese,,FALSE,FALSE,San Francisco,,415-529-2615,cheap,4.1,Dim Sum Club,
5700 Geary Boulevard,Chinese,,FALSE,FALSE,San Francisco,,415-333-8899,moderate,4.4,Dragon Beaux,
5045 Geary Boulevard,Chinese,,FALSE,TRUE,San Francisco,,415-387-8512,cheap,4.4,Dragon River Restaurant,
2377 Shattuck Avenue,Bistro,,TRUE,TRUE,Berkeley,,510-843-1525,moderate,4.4,La Note,
3782 Bohemian Highway,French,,FALSE,FALSE,Occidental,,707-874-2703,moderate,4.5,Bistro Des Copains,
1560 Fillmore Street,Izakaya,,FALSE,FALSE,San Francisco,,415-441-9294,cheap,4.4,Izakaya Kou,
1316 El Camino Real,Thai,,FALSE,TRUE,Belmont,,650-591-9888,moderate,4.1,Thai Tamarind Restaurant,
3268 Grand Avenue,Greek,,TRUE,TRUE,Oakland,,510-899-4400,moderate,4.3,Ikaros Greek Restaurant,
24 Sunnyside Avenue,Indian,,TRUE,TRUE,Mill Valley,,415-384-1717,moderate,4.4,Prabh Indian Kitchen,
4869 Telegraph Avenue,Barbecue,,FALSE,FALSE,Oakland,,510-654-2000,moderate,4.5,Bowl'd Bbq,
126 Broadway,Barbecue,,TRUE,FALSE,Oakland,,510-663-2350,moderate,4.1,Everett & Jones Barbeque,
2327 Shattuck Avenue,Breakfast,,FALSE,TRUE,Berkeley,,510-540-5950,moderate,4.3,Venus Restaurant,
199 Seawall Drive,European,,TRUE,TRUE,Berkeley,,510-843-2733,moderate,4.1,Hs Lordships Restaurant,
2057 San Pablo Avenue,European,,FALSE,TRUE,Berkeley,,510-649-9718,moderate,4.2,Luca Cucina Italiana,
211 San Mateo Road,Seafood,,FALSE,FALSE,Half Moon Bay,,650-712-1125,moderate,4.3,Flying Fish Bar & Grill,
459 Prospect Way,Seafood,,FALSE,TRUE,Half Moon Bay,,650-728-8108,moderate,4.4,Mezza Luna Restaurant,
4210 Cabrillo Highway,Seafood,,TRUE,FALSE,Half Moon Bay,,650-712-0245,moderate,4.4,Sam's Chowder House,
194 Castro Street,Mexican,,FALSE,TRUE,Mountain View,,650-969-6767,moderate,4,Agave Mexican Bistro,
459 Castro Street,Mexican,,TRUE,FALSE,Mountain View,,650-965-2944,moderate,4.3,Casa Lupe,
2560 West El Camino Real,Mexican,,FALSE,FALSE,Mountain View,,650-941-2227,moderate,4,Chili's Grill & Bar,
89 West El Camino Real,Mexican,,FALSE,FALSE,Mountain View,,650-625-8374,moderate,3.8,La Espuela,
240 Villa Street,Mexican,,FALSE,TRUE,Mountain View,,650-968-1364,moderate,4.3,La Fiesta,
660 North San Antonio Road # A,Mexican,,TRUE,FALSE,Mountain View,,650-917-8290,cheap,4,La Salsa,
430 Moffett Boulevard,Mexican,,FALSE,FALSE,Mountain View,,650-968-0493,moderate,4.4,Los Portales,
2082 West El Camino Real,Mexican,,FALSE,FALSE,Mountain View,,650-669-2435,cheap,4.6,Super Tacos El Conrro,
2020 West El Camino Real,Mexican,,TRUE,TRUE,Mountain View,,650-938-2020,moderate,4.3,Vive Sol,
475 East Strawberry Drive,American,,TRUE,FALSE,Mill Valley,,415-381-4400,moderate,4.2,Lighthouse Bar & Grill,
600 Redwood Highway,American,,FALSE,FALSE,Mill Valley,,415-383-0184,cheap,3.4,Mcdonald's,
810 Panoramic Highway,American,,TRUE,FALSE,Mill Valley,,415-381-9000,moderate,4.3,Mountain Home Inn,
88 4th Street,American,,FALSE,FALSE,San Francisco,,415-908-7522,cheap,4.8,Educated Palate Restaurant,
433 Powell Street,American,,FALSE,FALSE,San Francisco,,415-248-2475,cheap,3.8,Luques Restaurant & Bar,
1100 Fillmore Street,American,,FALSE,TRUE,San Francisco,,415-923-1138,cheap,3.2,Mcdonald's,
1096 South Van Ness Avenue,American,,FALSE,FALSE,San Francisco,,415-341-1080,cheap,4.6,Urban Putt,
2116 Shattuck Avenue,American,,TRUE,TRUE,Berkeley,,510-647-9329,moderate,4.2,B&b Kitchen & Wine Bar,
5900 College Avenue,American,,TRUE,FALSE,Berkeley,,510-338-3464,moderate,4.2,Beer Baron Bar & Kitchen,
2068 Center Street,American,,FALSE,FALSE,Berkeley,,510-809-8282,moderate,4.3,Eureka!,
2600 Durant Avenue,American,,FALSE,TRUE,Berkeley,,510-809-4132,moderate,4,Henry's,
2181 Shattuck Avenue,American,,TRUE,FALSE,Berkeley,,510-843-8277,moderate,4.5,Jupiter,
1329 Gilman Street,American,,FALSE,TRUE,Berkeley,,510-527-9838,pricey,4.3,Lalime's,
41 Tunnel Road,American,,TRUE,FALSE,Berkeley,,510-549-8585,pricey,4.2,Limewood Bar & Restaurant,
1508 Walnut Street B,American,,TRUE,FALSE,Berkeley,,510-280-5920,moderate,4.1,Nico's 1508,
2102 Shattuck Avenue,American,,FALSE,FALSE,Berkeley,,510-549-9950,moderate,4.2,Revival Bar + Kitchen,
1407 San Pablo Avenue,American,,FALSE,TRUE,Berkeley,,510-524-3400,moderate,4.5,Stella Nonna,
808 Geary Street,Vietnamese,,FALSE,FALSE,San Francisco,,415-885-5180,moderate,4.4,Anh Hong,
2327 Polk Street,Vietnamese,,FALSE,TRUE,San Francisco,,415-928-4977,moderate,4.1,Aux Delices,
1653 Polk Street,Vietnamese,,FALSE,TRUE,San Francisco,,415-292-6161,moderate,4.3,Co Nam,
655 Townsend Street,Vietnamese,,FALSE,FALSE,San Francisco,,415-724-2325,pricey,4.7,Khai,
5830 Geary Boulevard,Vietnamese,,FALSE,FALSE,San Francisco,,415-668-8080,cheap,4,La Vie,
1416 Powell Street,Vietnamese,,FALSE,FALSE,San Francisco,,415-397-2290,cheap,4.2,Lai Hong Lounge,
3216 Mission Street,Vietnamese,,FALSE,TRUE,San Francisco,,415-282-9088,cheap,3.9,Lotus Garden Vietnamese Cuisine,
4101 Judah Street,Vietnamese,,FALSE,FALSE,San Francisco,,415-665-1146,pricey,4.5,Thanh Long Restaurant,
One Ferry Building #3,Vietnamese,,TRUE,FALSE,San Francisco,,415-861-8032,pricey,4.3,The Slanted Door,
191 Pine Street,Vietnamese,,FALSE,FALSE,San Francisco,,415-982-9828,moderate,3.8,Unicorn Pan-asian Cuisine,
3119 Clement Street,Moroccan,,FALSE,FALSE,San Francisco,,415-751-2312,moderate,4.5,El Mansour,
1503 15th Street,Moroccan,,TRUE,TRUE,San Francisco,,628-233-1503,moderate,4.4,Khamsa,
419 O'Farrell Street,Moroccan,,FALSE,FALSE,San Francisco,,415-776-1538,moderate,3.8,Marrakech,
134 Castro Street,Asian,,FALSE,TRUE,Mountain View,,650-964-8881,moderate,3.8,Hangen Szechuan,
485 Castro Street,Asian,,FALSE,TRUE,Mountain View,,650-965-1059,moderate,3.9,Kirin,
975 West Dana Street,Asian,,FALSE,FALSE,Mountain View,,650-960-0626,moderate,4.5,Yakko,
15475 Los Gatos Boulevard,Sandwich,,FALSE,TRUE,Los Gatos,,408-356-3095,cheap,3.9,Mcdonald's,
4 Embarcadero Center,Korean,,TRUE,TRUE,San Francisco,,415-839-4070,moderate,3.8,Stone Korean Kitchen,
505 Beach Street,Korean,,TRUE,FALSE,San Francisco,,415-771-8449,moderate,4.5,Surisan,
49 Stevenson Street,Korean,,TRUE,FALSE,San Francisco,,415-541-4949,pricey,4.3,Yank Sing,
1460 Halford Avenue,Asian,,FALSE,FALSE,Santa Clara,,408-423-0001,moderate,4.2,Beijing Restaurant,
1062 Kiely Boulevard,Asian,,FALSE,FALSE,Santa Clara,,408-985-8808,moderate,4.2,Korean Spring,
2232 El Camino Real,Asian,,FALSE,TRUE,Santa Clara,,408-248-9747,moderate,3.5,Mayuri Indian Cuisine,
3258 El Camino Real,Asian,,FALSE,FALSE,Santa Clara,,408-244-8531,moderate,4.2,Shu's,
2634 Homestead Road,Asian,,FALSE,FALSE,Santa Clara,,408-973-0604,moderate,4.4,Sumiya,
3240 El Camino Real,Asian,,FALSE,FALSE,Santa Clara,,408-615-8086,moderate,4.2,Tong Soon Garden,
3431 El Camino Real,Asian,,FALSE,TRUE,Santa Clara,,408-244-4534,moderate,4.3,Truya Sushi,
5000 Roberts Lake Road,American,,TRUE,FALSE,Rohnert Park,,707-585-2722,moderate,4.3,Bear Republic Brewing Co.,
630 Park Court,American,,FALSE,TRUE,Rohnert Park,,707-585-7505,moderate,4,Daily Grill,
1825 Sutter Street #C,European,,FALSE,FALSE,Concord,,925-825-3277,moderate,4.6,D J's Bistro,
4239 Park Boulevard,Coffeehouse,,TRUE,TRUE,Oakland,,510-866-2133,moderate,4.4,Paulista Brazilian Kitchen And Taproom,
1628 Webster Street,Coffeehouse,,TRUE,TRUE,Oakland,,510-268-0170,moderate,4.2,Spice Monkey Restaurant & Bar,
55 River Oaks Place,American,,TRUE,TRUE,San Jose,,408-618-8072,moderate,4.1,Lalla Grill,
2083 Camden Avenue,Italian,,FALSE,FALSE,San Jose,,408-369-9820,moderate,4.4,Al Castello Ristorante,
436 Blossom Hill Road,Italian,,FALSE,FALSE,San Jose,,408-227-5502,moderate,4.5,Angelo's Italian Restaurant,
1701 Park Avenue,Italian,,FALSE,TRUE,San Jose,,408-279-4922,moderate,3.9,Antonella's Ristorante,
925 Blossom Hill Road,Italian,,FALSE,TRUE,San Jose,,408-226-1444,moderate,3.5,Buca Di Beppo Italian Restaurant,
320 West Saint John Street,Italian,,FALSE,FALSE,San Jose,,408-618-5455,moderate,4.4,Enoteca La Storia Downtown,
5245 Prospect Road,Italian,,FALSE,TRUE,San Jose,,408-446-9644,moderate,3,Frankie Johnnie & Luigi Too,
1445 Foxworthy Avenue,Italian,,TRUE,TRUE,San Jose,,408-264-5781,moderate,4.2,Giorgio's Italian Food & Pizzeria,
3055 Olin Avenue Suite 1000,Italian,,TRUE,TRUE,San Jose,,408-423-8973,moderate,4.2,Maggiano's Little Italy,
350 West Julian Street,Italian,,TRUE,FALSE,San Jose,,408-217-9327,moderate,4.5,Paesano,
791 Auzerais Avenue,Italian,,TRUE,TRUE,San Jose,,408-295-6459,moderate,4.5,Palermo Italian Restaurant,
2142 Chestnut Street,Chinese,,FALSE,TRUE,San Francisco,,415-474-6888,moderate,4.4,Dragon Well,
660 Howard Street,Chinese,,FALSE,TRUE,San Francisco,,415-777-8568,moderate,4.1,Fang,
649 Jackson Street,Chinese,,FALSE,FALSE,San Francisco,,415-986-2500,moderate,3.9,Great Eastern Restaurant,
4401 Cabrillo Street,Chinese,,FALSE,FALSE,San Francisco,,415-876-6898,moderate,4.1,Hakka Restaurant,
939 Clement Street,Chinese,,FALSE,FALSE,San Francisco,,415-221-9888,moderate,3.8,House Of Banquet,
2626 San Bruno Avenue,Chinese,,FALSE,FALSE,San Francisco,,415-468-9333,moderate,3.5,Imperial Garden Seafood Restaurant,
1457 Lincoln Avenue,Gastropub,,TRUE,FALSE,Calistoga,,707-942-5938,moderate,4.2,Johnny's,
2960 North Shoreline Boulevard,American,,TRUE,FALSE,Mountain View,,650-962-1014,moderate,4,Michaels At Shoreline,
545 San Antonio Road Suite 31,American,,TRUE,FALSE,Mountain View,,650-917-9941,moderate,4.2,Paul Martin's America Mountain View,
401 Castro Street #100,American,,TRUE,TRUE,Mountain View,,650-237-3132,pricey,4.1,Scratch,
895 Villa Street,American,,TRUE,FALSE,Mountain View,,650-963-9568,moderate,4.2,Steins,
16 Mint Plaza,Italian,,TRUE,TRUE,San Francisco,,415-543-5100,moderate,4.4,54 Mint Ristorante Italiano,
2355 Chestnut Street,Italian,,FALSE,TRUE,San Francisco,,415-771-2216,moderate,4.3,A16,
1098 Jackson Street,Italian,,FALSE,FALSE,San Francisco,,415-292-3699,pricey,3.9,Ala Romana,
1701 Jones Street,Italian,,FALSE,FALSE,San Francisco,,415-928-4002,moderate,4.3,Allegro Romano,
1358 Mason Street,Italian,,FALSE,FALSE,San Francisco,,415-834-5766,moderate,4.7,Altovino,
2162 Larkin Street,Italian,,FALSE,FALSE,San Francisco,,415-447-0441,moderate,4.5,Amarena,
8 Mission St,Italian,,TRUE,FALSE,San Francisco,,415-278-3777,moderate,4,Americano,
737 Diamond Street,Italian,,FALSE,TRUE,San Francisco,,415-282-4969,moderate,4.3,Bacco,
220 California Street,Italian,,FALSE,FALSE,San Francisco,,415-955-1919,moderate,4.3,Barbacco,
52 Belden Place,Italian,,FALSE,TRUE,San Francisco,,415-986-8887,moderate,4,Belden Taverna,
1261 Folsom Street,Filipino,,FALSE,FALSE,San Francisco,,415-590-3251,cheap,4.6,Pampalasa,
5391 Prospect Road,Barbecue,,FALSE,FALSE,San Jose,,408-725-1686,moderate,4,Dickey's Barbecue Pit,
2297 Stevens Creek Boulevard,Barbecue,,FALSE,FALSE,San Jose,,408-947-8600,moderate,4.3,Korean Palace,
24 4th Street,Mexican,,TRUE,TRUE,Santa Rosa,,707-571-1082,moderate,3.9,Chevys Fresh Mex,
611 Gregory Lane,Italian,,FALSE,TRUE,Pleasant Hill,,925-933-9091,moderate,4.4,Zio Fraedo's,
911 Main Street,American,,FALSE,FALSE,Redwood City,,650-995-7500,moderate,4.5,Aly's On Main,
2915 El Camino Real,American,,FALSE,FALSE,Redwood City,,650-365-7777,moderate,4.6,John Bentley's Restaurant,
2021 Broadway,American,,FALSE,FALSE,Redwood City,,650-367-7974,moderate,4.2,Mandaloun,
223 Twin Dolphin Drive,American,,TRUE,TRUE,Redwood City,,650-598-9000,moderate,4.1,Scroll Bar Waterside Kitchen,
2021 Broadway,American,,FALSE,FALSE,Redwood City,,650-367-7974,moderate,4,The Courthouse 2021,
917 Main Street,American,,FALSE,FALSE,Redwood City,,650-257-3710,moderate,4.4,The Striped Pig,
173 Throckmorton Avenue,Gastropub,,FALSE,TRUE,Mill Valley,,415-888-8218,moderate,4.4,Mill Valley Beerworks,
1016 Santa Rosa Plaza,Vegetarian,,FALSE,TRUE,Santa Rosa,,707-546-3267,cheap,3.8,Rubio's,
7760 Monterey Road,Chinese,,FALSE,TRUE,Gilroy,,408-842-8611,cheap,4.2,Great China Garden,
769 1st Street,Chinese,,TRUE,TRUE,Gilroy,,408-842-2888,moderate,4.3,Pineapple Village,
535 Ross Street,Indian,,FALSE,TRUE,Santa Rosa,,707-595-3311,moderate,4.2,Kafal Restaurant,
409 Mendocino Avenue,Indian,,FALSE,TRUE,Santa Rosa,,707-579-5999,moderate,4,New Sizzling Tandoor,
190 Farmers Lane,Indian,,FALSE,TRUE,Santa Rosa,,707-521-9608,moderate,4.4,Yeti Restaurant,
4776 Sonoma Highway,Italian,,FALSE,FALSE,Santa Rosa,,707-539-0260,moderate,4.4,Basilico,
1055 4th Street,Italian,,FALSE,TRUE,Santa Rosa,,707-528-3336,moderate,0,Italian Affair,
629 4th Street,Italian,,TRUE,FALSE,Santa Rosa,,707-575-1113,moderate,4.6,La Vera Pizza,
117 4th Street,Italian,,FALSE,TRUE,Santa Rosa,,707-523-2227,moderate,4.6,Lococo's Cucina Rustica,
75 Montgomery Drive,Italian,,TRUE,TRUE,Santa Rosa,,707-579-2682,moderate,4.7,Riviera,
3901 Montgomery Drive,Italian,,TRUE,FALSE,Santa Rosa,,707-528-7755,moderate,4.1,The Villa,
2323 Sonoma Avenue,Italian,,TRUE,TRUE,Santa Rosa,,707-583-0035,moderate,4,Tomatina,
2700 Yulupa Avenue,Italian,,TRUE,FALSE,Santa Rosa,,707-542-9050,moderate,4.7,Trattoria Cattaneo,
280 Mission Boulevard,Italian,,TRUE,TRUE,Santa Rosa,,707-538-6000,moderate,4.3,Union Hotel Restaurant,
1007 West College Avenue d,Italian,,FALSE,FALSE,Santa Rosa,,707-544-3444,moderate,4,Union Hotel Restaurants,
454 Ignacio Boulevard,Seafood,,TRUE,TRUE,Novato,,415-883-2304,moderate,4.2,Boca Pizzeria,
137 North Santa Cruz Avenue,Thai,,FALSE,TRUE,Los Gatos,,408-442-5977,moderate,4.3,Coup De Thai,
337 North Santa Cruz Avenue,Thai,,FALSE,TRUE,Los Gatos,,408-354-2785,moderate,4.3,Thai Spice,
523 4th Street,American,,TRUE,FALSE,Santa Rosa,,707-526-5787,moderate,4.4,Belly Left Coast Kitchen & Taproom,
170 Railroad Street,American,,TRUE,FALSE,Santa Rosa,,707-636-7388,moderate,3.5,Brasserie Restaurant & Lounge,
1226 4th Street,American,,TRUE,FALSE,Santa Rosa,,707-569-8222,moderate,4.6,Bruno's On Fourth,
5755 Mountain Hawk Drive,American,,FALSE,TRUE,Santa Rosa,,707-230-2610,moderate,4.6,Earth's Bounty Kitchen & Wine Bar,
1229 North Dutton Avenue,American,,TRUE,TRUE,Santa Rosa,,707-526-1229,moderate,4.4,Franchettis',
115 4th Street,American,,FALSE,FALSE,Santa Rosa,,707-526-4347,moderate,4.2,Jack & Tony's,
2642 Santa Rosa Avenue,American,,FALSE,TRUE,Santa Rosa,,707-569-9222,cheap,3.4,Mcdonald's,
90 Old Courthouse Square,American,,FALSE,TRUE,Santa Rosa,,707-541-6896,moderate,4.4,Perch + Plow,
401 South A Street,American,,FALSE,TRUE,Santa Rosa,,707-528-7100,pricey,4.5,The Spinster Sisters,
7108 Santa Teresa Boulevard,Chinese,,FALSE,TRUE,San Jose,,408-225-8001,cheap,4.6,Golden House Restaurant,
3095 McKee Road,Chinese,,FALSE,FALSE,San Jose,,408-251-7693,cheap,3.4,K K Chinese,
714 Village Court,Mediterranean,,TRUE,FALSE,Santa Rosa,,707-568-7604,moderate,4.3,Monti's,
835 2nd Street,Italian,,TRUE,FALSE,Santa Rosa,,707-542-5800,pricey,4.6,Ca'bianca,
528 7th Street,Asian,,FALSE,TRUE,Santa Rosa,,650-235-9339,moderate,4.6,Best Of Burma,
2101 West College Avenue,Asian,,FALSE,TRUE,Santa Rosa,,707-526-0888,moderate,4.4,China Star,
107 4th Street,Asian,,FALSE,TRUE,Santa Rosa,,707-545-8424,moderate,4.2,Khoom Lanna,
4020 Technology Place,Italian,,TRUE,TRUE,Fremont,,510-651-2500,moderate,4.3,Campo Di Bocce Of Fremont,
611 5th Street,Chinese,,FALSE,TRUE,Santa Rosa,,707-526-5840,moderate,3.9,Gary Chu's,
2700 Yulupa Avenue,Chinese,,FALSE,TRUE,Santa Rosa,,707-525-1957,moderate,4.3,Kirin,
6576 Oakmont Drive,Chinese,,TRUE,TRUE,Santa Rosa,,707-521-9239,cheap,4,Mei-don Chinese Cuisine,
71 Lafayette Circle,American,,TRUE,FALSE,Lafayette,,925-385-0352,moderate,3.9,American Kitchen,
3287 Mount Diablo Boulevard,American,,FALSE,TRUE,Lafayette,,925-284-1621,pricey,4,Duck Club Restaurant,
3524 Mount Diablo Boulevard,American,,TRUE,FALSE,Lafayette,,925-284-4422,moderate,4.1,Metro Lafayette,
32 Lafayette Circle,American,,TRUE,FALSE,Lafayette,,925-298-5915,moderate,4,The Cooperage American Grille,
3406 Mount Diablo Boulevard,American,,TRUE,FALSE,Lafayette,,925-900-8861,moderate,4.5,The Hideout Kitchen & Cafe,
1202 West Steele Lane,Vietnamese,,FALSE,TRUE,Santa Rosa,,707-528-3747,moderate,4.4,Kettles Vietnamese Bistro,
3143 Stevens Creek Boulevard,Vietnamese,,FALSE,TRUE,San Jose,,408-246-5251,moderate,4.1,Bowl & Plate At White Shallot,
2852 Alum Rock Avenue,Vietnamese,,FALSE,FALSE,San Jose,,408-254-2927,moderate,4,Dong Que Restaurant,
1150 Murphy Avenue d,Vietnamese,,TRUE,FALSE,San Jose,,408-899-6921,moderate,4.2,Elevenfifty,
3245 South White Road,Vietnamese,,FALSE,TRUE,San Jose,,408-270-8350,moderate,4.5,Golden Bamboo Vegetarian House,
535 East Santa Clara Street,Vietnamese,,FALSE,FALSE,San Jose,,408-288-9055,moderate,4.2,Vung Tau,
61 Main Street,Chinese,,FALSE,TRUE,St. Helena,,707-967-9888,moderate,4.1,Golden Harvest,
1359 Locust Street,Mexican,,FALSE,FALSE,Walnut Creek,,925-891-4023,moderate,3.8,Fuego Tequila Grill,
1315 North Main Street,Mexican,,TRUE,FALSE,Walnut Creek,,925-934-8121,moderate,4,La Fogata Mexican Bar & Grill,
1470 North Broadway,Mexican,,TRUE,TRUE,Walnut Creek,,925-946-1010,moderate,4.1,Maria Maria,
820 Santa Cruz Avenue,Italian,,TRUE,FALSE,Menlo Park,,650-323-3665,moderate,4.1,Angelo Mio,
651 Oak Grove Avenue Suite H,Italian,,FALSE,FALSE,Menlo Park,,650-326-1314,moderate,4.3,Piccolo Ristorante Italiano,
1120 Crane Street,Italian,,FALSE,TRUE,Menlo Park,,650-322-1211,moderate,4.3,Ristorante Carpaccio,
827 Santa Cruz Avenue,Italian,,FALSE,TRUE,Menlo Park,,650-325-7900,moderate,3.5,Ristorante Mataro,
1077 El Camino Real,Italian,,TRUE,FALSE,Menlo Park,,650-326-9028,moderate,4.2,Trellis Restaurant,
1512 North Main Street,Asian,,FALSE,TRUE,Walnut Creek,,925-932-5777,cheap,3.7,Bombay Indian Restaurant,
1525 North Main Street,Asian,,TRUE,TRUE,Walnut Creek,,925-988-8008,moderate,3.9,Modern China Cafe,
190 Nut Tree Parkway,American,,FALSE,TRUE,Vacaville,,707-359-2200,moderate,4,Bj's Restaurant & Brewhouse,
349 Merchant Street,American,,TRUE,TRUE,Vacaville,,707-446-0368,moderate,4.3,Merchant & Main Grill & Bar,
151 East El Camino Real,Take-out,,TRUE,TRUE,Sunnyvale,,408-245-9999,moderate,3.5,Bombay To Goa,
751 East El Camino Real,Take-out,,FALSE,FALSE,Sunnyvale,,408-245-3710,moderate,4,Marie Callender's,
17533 Santa Cruz Highway,Barbecue,,FALSE,FALSE,Los Gatos,,408-354-4020,moderate,4.3,The Cats,
33 South Central Avenue,Italian,,TRUE,FALSE,Campbell,,408-370-7705,moderate,4.5,A Bellagio Italian Restaurant,
1875 South Bascom Avenue,Italian,,FALSE,TRUE,Campbell,,408-377-7722,moderate,3.7,Buca Di Beppo Italian Restaurant,
2509 South Bascom Avenue,Italian,,FALSE,FALSE,Campbell,,408-377-5850,moderate,0,Dicicco's Ristorante Italiano Autentico,
200 East Hamilton Avenue,Italian,,FALSE,FALSE,Campbell,,408-379-3333,moderate,4.2,Mama Mia's,
915 South San Tomas Aquino Road,Italian,,FALSE,FALSE,Campbell,,408-374-1800,moderate,4.5,Sorelle Italian Bistro,
1710 West Campbell Avenue,Seafood,,TRUE,FALSE,Campbell,,408-374-5777,moderate,4,Capers Eat & Drink,
1875 South Bascom Avenue #550,Seafood,,TRUE,TRUE,Campbell,,408-879-9091,moderate,4.3,Pacific Catch,
831 West Hamilton Avenue,Seafood,,FALSE,FALSE,Campbell,,408-374-8366,moderate,4.4,Sushi Zono,
1918 Oak Park Boulevard,Steakhouse,,FALSE,FALSE,Pleasant Hill,,925-705-7066,moderate,4.4,Kobe Japan Restaurant,
999 Contra Costa Boulevard,Steakhouse,,FALSE,FALSE,Pleasant Hill,,925-687-8096,moderate,4,Tahoe Joe's,
349 Enfrente Road,Mexican,,TRUE,TRUE,Novato,,415-883-6292,moderate,4.2,Maya Palenque Restaurant,
1915 Main Street,California,,TRUE,TRUE,St. Helena,,707-963-9004,pricey,4.6,Acacia House By Chris Cosentino,
900 Meadowood Lane,California,,TRUE,TRUE,St. Helena,,707-967-1200,ultra high-end,4.7,The Grill At Meadowood,
877 Grant Avenue,American,,TRUE,FALSE,Novato,,415-899-1516,moderate,4.2,Finnegan's Marin Restaurant & Bar,
250 Entrada Drive,American,,TRUE,FALSE,Novato,,415-883-9477,moderate,4,Rickey's Restaurant,
5800 Nave Drive,American,,TRUE,TRUE,Novato,,415-382-1133,moderate,4,Toast Restaurant,
225 Alameda del Prado,American,,TRUE,FALSE,Novato,,415-883-9125,moderate,4.1,Wildfox Restaurant,
40900 Fremont Boulevard,American,,FALSE,TRUE,Fremont,,510-623-8500,moderate,4.4,Mirchi Cafe,
39401 Fremont Boulevard,American,,FALSE,TRUE,Fremont,,510-657-2436,moderate,3.9,Red Lobster,
95 Bliss Avenue,Mexican,,FALSE,FALSE,Pittsburg,,925-252-0222,moderate,4,La Pinata,
1506 Leimert Boulevard,Thai,,FALSE,TRUE,Oakland,,510-500-3151,moderate,4.1,3 Seasons Thai Bistro,
5231 College Avenue,Thai,,TRUE,TRUE,Oakland,,510-653-8587,cheap,4.1,Bangkok Garden,
6118 Medau Place,Thai,,TRUE,TRUE,Oakland,,510-823-2354,moderate,4.5,Daughter Thai Kitchen,
4301 Piedmont Avenue A,Thai,,FALSE,TRUE,Oakland,,510-817-4816,moderate,4.6,Infinite Thai Eatery,
3236 Grand Avenue,Thai,,FALSE,TRUE,Oakland,,510-451-9419,moderate,4.2,Neecha Thai Cuisine,
6217 MacArthur Boulevard,Thai,,FALSE,TRUE,Oakland,,510-430-8771,cheap,4.6,Old Weang Ping,
4133 Piedmont Avenue,Thai,,FALSE,TRUE,Oakland,,510-658-8491,moderate,4.1,Orchids Thai,
1009 Clay Street,Thai,,FALSE,TRUE,Oakland,,510-452-1499,moderate,4.4,Siam Bay | Authentic Thai Cuisine,
333 Enfrente Road,Sushi,,TRUE,TRUE,Novato,,415-382-9988,moderate,4.6,Sushi Tri,
452 Ignacio Boulevard,Sushi,,TRUE,TRUE,Novato,,415-883-2423,moderate,4.4,Taki Japanese Restaurant,
501 Main Street,Thai,,FALSE,TRUE,Martinez,,925-387-0388,moderate,4.6,Lemongrass Bistro,
40 North Santa Cruz Avenue,California,,TRUE,TRUE,Los Gatos,,408-354-1600,pricey,4.5,The Lexington House,
185 Castro Street,Mediterranean,,TRUE,TRUE,Mountain View,,650-625-8155,moderate,4.2,Ephesus,
5620 College Avenue,Chinese,,FALSE,TRUE,Oakland,,510-601-9888,cheap,4.3,Becky's,
940 Webster Street,Chinese,,FALSE,TRUE,Oakland,,510-839-9697,moderate,3.6,Fortune Restaurant,
701 Webster Street,Chinese,,FALSE,FALSE,Oakland,,510-832-7661,cheap,4,Gourmet Delight Restaurant,
4112 MacArthur Boulevard,Chinese,,FALSE,TRUE,Oakland,,510-482-3988,moderate,4.2,Happy Garden,
4258 Piedmont Avenue,Chinese,,FALSE,TRUE,Oakland,,510-658-9799,moderate,4.2,Little Shin Shin,
