airlines,arrives_next_day,departure_date,destination_airport_name,destination_city,flight_class,number_checked_bags,number_stops,origin_airport_name,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,inbound_arrival_time,inbound_departure_time,return_date
American Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,17:05,10:35,4,183,,,
Delta Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,14:35,08:05,4,156,,,
Southwest Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,19:30,13:00,4,169,,,
United Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,23:05,16:35,4,172,,,
Alaska Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,1,Seattle-Tacoma International Airport,Seattle,20:57,11:10,2,322,,,
American Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,17:05,10:35,2,183,,,
Delta Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,14:35,08:05,2,156,,,
Southwest Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,19:30,13:00,2,169,,,
United Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,0,Seattle-Tacoma International Airport,Seattle,23:05,16:35,2,172,,,
Delta Airlines,False,2019-03-10,O'Hare International Airport,Chicago,Economy,0,1,Seattle-Tacoma International Airport,Seattle,14:35,08:05,2,436,12:16,05:45,2019-03-12
American Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,00:21,17:10,1,325,,,
Delta Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,01:17,19:10,1,301,,,
Southwest Airlines,False,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,12:06,06:25,1,298,,,
United Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,00:33,19:40,1,301,,,
Southwest Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,JFK International Airport,New York,12:06,06:25,1,592,03:11,15:05,2019-03-05
American Airlines,False,2019-03-08,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,15:41,07:15,1,174,,,
American Airlines,False,2019-03-08,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,15:41,07:15,1,459,18:26,11:00,2019-03-10
Alaska Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,23:26,15:00,1,174,,,
American Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,15:41,07:15,1,208,,,
Delta Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,02:54,16:05,1,273,,,
Southwest Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,03:27,16:05,1,292,,,
United Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,06:11,21:45,1,180,,,
Alaska Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,23:26,15:00,3,174,,,
American Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,SFO International Airport,San Francisco,15:41,07:15,3,208,,,
Delta Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,02:54,16:05,3,273,,,
Southwest Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,03:27,16:05,3,292,,,
Delta Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,02:54,16:05,2,273,,,
Delta Airlines,True,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,SFO International Airport,San Francisco,02:54,16:05,2,561,02:56,19:55,2019-03-14
Delta Airlines,False,2019-03-07,PHL International Airport,Philadelphia,Economy,0,1,YVR International Airport,Vancouver,17:06,02:30,2,314,,,
United Airlines,False,2019-03-07,PHL International Airport,Philadelphia,Premium Economy,0,1,YVR International Airport,Vancouver,18:16,08:00,2,482,,,
Delta Airlines,False,2019-03-07,PHL International Airport,Philadelphia,Premium Economy,0,1,YVR International Airport,Vancouver,17:06,02:30,2,876,23:06,16:05,2019-03-09
Air Canada,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,12:37,04:30,1,217,,,
American Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,06:42,02:20,1,223,,,
Delta Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,19:41,13:20,1,224,,,
United Airlines,True,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,02:06,21:40,1,203,,,
American Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Toronto Pearson International Airport,Toronto,06:42,02:20,1,421,14:55,09:40,2019-03-08
American Airlines,False,2019-03-01,SFO International Airport,San Francisco,Economy,0,1,PHL International Airport,Philadelphia,22:07,17:50,1,573,17:06,05:00,2019-03-03
Alaska Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,12:00,07:30,1,215,,,
American Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:15,13:40,1,253,,,
Southwest Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,19:45,15:05,1,199,,,
United Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,12:00,06:55,1,233,,,
American Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:15,13:40,1,454,18:16,13:55,2019-03-09
Alaska Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,14:15,11:45,1,145,,,
American Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,09:00,06:30,1,148,,,
Delta Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,08:30,06:00,1,117,,,
Southwest Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,16:48,12:45,1,194,,,
United Airlines,False,2019-03-07,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,15:28,11:40,1,222,,,
Alaska Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,12:00,10:25,1,93,,,
American Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,07:00,05:25,1,106,,,
Delta Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,22:50,21:15,1,105,,,
Southwest Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,13:55,12:20,1,104,,,
Alaska Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,14:15,11:45,1,125,,,
American Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,09:00,06:30,1,149,,,
Delta Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,23:03,17:45,1,209,,,
Southwest Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,16:48,12:45,1,220,,,
United Airlines,False,2019-03-05,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,17:50,15:20,1,137,,,
Alaska Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,23:48,22:20,1,90,,,
American Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,07:49,05:05,1,184,,,
Delta Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,13:13,11:45,1,106,,,
Southwest Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,17:05,14:35,1,168,,,
United Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,22:58,21:30,1,104,,,
Alaska Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,18:17,16:10,1,122,,,
American Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,14:32,12:25,1,101,,,
Delta Airlines,True,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,SFO International Airport,San Francisco,00:00,19:10,1,235,,,
Southwest Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,16:07,14:00,1,125,,,
United Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,0,SFO International Airport,San Francisco,06:22,04:15,1,132,,,
American Airlines,False,2019-03-12,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,22:01,20:50,2,114,,,
Delta Airlines,False,2019-03-12,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,17:16,16:05,2,112,,,
Southwest Airlines,False,2019-03-12,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,12:31,11:20,2,130,,,
United Airlines,False,2019-03-12,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,15:16,14:05,2,125,,,
American Airlines,False,2019-03-04,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,23:20,18:50,1,287,,,
Delta Airlines,False,2019-03-04,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,21:00,15:00,1,328,,,
Southwest Airlines,False,2019-03-04,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,12:00,06:25,1,314,,,
United Airlines,False,2019-03-04,McCarran International Airport,Las Vegas,Economy,0,1,JFK International Airport,New York,23:20,17:10,1,289,,,
Alaska Airlines,True,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,03:29,11:10,3,333,,,
American Airlines,True,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,03:29,13:40,3,328,,,
Delta Airlines,False,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:33,08:05,3,267,,,
Southwest Airlines,False,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,18:33,04:55,3,269,,,
United Airlines,True,2019-03-03,Toronto Pearson International Airport,Toronto,Economy,0,1,Seattle-Tacoma International Airport,Seattle,03:29,10:45,3,336,,,
Alaska Airlines,False,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,18:07,09:55,1,237,,,
Southwest Airlines,False,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,20:52,11:35,1,303,,,
United Airlines,True,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,00:12,14:55,1,239,,,
Alaska Airlines,False,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,18:07,09:55,2,237,,,
Southwest Airlines,False,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,20:52,11:35,2,303,,,
United Airlines,True,2019-03-08,O'Hare International Airport,Chicago,Economy,0,1,SAN International Airport,San Diego,00:12,14:55,2,239,,,
American Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Premium Economy,0,0,JFK International Airport,New York,15:42,13:20,1,191,,,
Delta Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Premium Economy,0,0,JFK International Airport,New York,15:47,13:25,1,199,,,
Southwest Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Premium Economy,0,0,JFK International Airport,New York,18:07,15:45,1,225,,,
United Airlines,False,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,Premium Economy,0,0,JFK International Airport,New York,19:07,16:45,1,218,,,
Alaska Airlines,False,2019-03-10,LAX International Airport,Los Angeles,Premium Economy,0,0,SAN International Airport,San Diego,10:49,09:55,1,106,,,
Alaska Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,Seattle-Tacoma International Airport,Seattle,14:53,11:35,1,418,,,
Delta Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,Seattle-Tacoma International Airport,Seattle,14:53,13:25,1,423,,,
Southwest Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,Seattle-Tacoma International Airport,Seattle,07:31,04:55,1,425,,,
United Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,Seattle-Tacoma International Airport,Seattle,11:23,05:35,1,448,,,
American Airlines,True,2019-03-08,Indira Gandhi International Airport,Delhi,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,14:19,06:30,2,463,,,
Delta Airlines,True,2019-03-08,Indira Gandhi International Airport,Delhi,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,08:10,07:50,2,380,,,
Southwest Airlines,True,2019-03-08,Indira Gandhi International Airport,Delhi,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,08:10,06:40,2,376,,,
United Airlines,True,2019-03-08,Indira Gandhi International Airport,Delhi,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,08:10,04:20,2,371,,,
American Airlines,True,2019-03-10,Heathrow International Airport,London,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,08:34,18:30,4,264,,,
Delta Airlines,False,2019-03-10,Heathrow International Airport,London,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,21:14,07:10,4,242,,,
Southwest Airlines,True,2019-03-10,Heathrow International Airport,London,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,08:02,13:40,4,390,,,
United Airlines,False,2019-03-10,Heathrow International Airport,London,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,21:07,06:05,4,365,,,
American Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Benito Juarez International Airport,Mexico City,16:16,11:40,1,298,,,
Delta Airlines,True,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Benito Juarez International Airport,Mexico City,01:17,18:35,1,315,,,
United Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Benito Juarez International Airport,Mexico City,15:32,10:20,1,294,,,
Alaska Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,0,LAX International Airport,Los Angeles,10:57,11:30,1,159,,,
American Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,0,LAX International Airport,Los Angeles,11:37,12:10,1,186,,,
Delta Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,LAX International Airport,Los Angeles,11:16,04:35,1,290,,,
Southwest Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,LAX International Airport,Los Angeles,11:16,07:10,1,296,,,
United Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,0,LAX International Airport,Los Angeles,08:17,08:50,1,203,,,
Delta Airlines,True,2019-03-14,JFK International Airport,New York,Economy,0,1,PDX International Airport,Portland,08:20,19:30,2,339,,,
American Airlines,False,2019-03-07,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,08:25,06:50,1,104,,,
Delta Airlines,False,2019-03-07,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,16:00,14:25,1,98,,,
Southwest Airlines,False,2019-03-07,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,14:55,13:20,1,102,,,
United Airlines,False,2019-03-07,SFO International Airport,San Francisco,Economy,0,0,McCarran International Airport,Las Vegas,17:55,16:20,1,125,,,
Air Canada,False,2019-03-07,LAX International Airport,Los Angeles,Economy,0,0,YVR International Airport,Vancouver,07:24,04:20,1,151,,,
Air Canada,False,2019-03-04,PHL International Airport,Philadelphia,Economy,0,1,Toronto Pearson International Airport,Toronto,08:46,04:30,1,139,,,
American Airlines,False,2019-03-04,PHL International Airport,Philadelphia,Economy,0,1,Toronto Pearson International Airport,Toronto,08:46,02:20,1,179,,,
American Airlines,True,2019-03-08,Kingsford Smith International Airport,Sydney,Economy,0,1,O'Hare International Airport,Chicago,23:31,19:20,1,368,,,
Delta Airlines,True,2019-03-08,Kingsford Smith International Airport,Sydney,Premium Economy,0,1,O'Hare International Airport,Chicago,11:37,07:05,1,613,,,
Southwest Airlines,True,2019-03-08,Kingsford Smith International Airport,Sydney,Economy,0,1,O'Hare International Airport,Chicago,16:02,10:05,1,415,,,
Air Canada,False,2019-03-13,McCarran International Airport,Las Vegas,Economy,0,1,Toronto Pearson International Airport,Toronto,21:15,17:35,1,260,,,
Delta Airlines,False,2019-03-13,McCarran International Airport,Las Vegas,Economy,0,1,Toronto Pearson International Airport,Toronto,23:20,18:45,1,283,,,
Alaska Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,12:06,09:55,1,130,,,
American Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,11:41,09:30,1,126,,,
Delta Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,16:41,14:30,1,122,,,
Southwest Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,18:16,16:05,1,122,,,
United Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,0,SFO International Airport,San Francisco,07:31,05:20,1,125,,,
American Airlines,False,2019-03-12,LAX International Airport,Los Angeles,Economy,0,0,Indira Gandhi International Airport,Delhi,08:04,07:00,1,266,,,
United Airlines,False,2019-03-12,LAX International Airport,Los Angeles,Economy,0,0,Indira Gandhi International Airport,Delhi,16:59,15:55,1,285,,,
American Airlines,False,2019-03-14,PHL International Airport,Philadelphia,Economy,0,1,O'Hare International Airport,Chicago,19:26,14:40,1,204,,,
Delta Airlines,False,2019-03-14,PHL International Airport,Philadelphia,Economy,0,0,O'Hare International Airport,Chicago,08:31,05:20,1,123,,,
Southwest Airlines,False,2019-03-14,PHL International Airport,Philadelphia,Economy,0,0,O'Hare International Airport,Chicago,07:11,04:00,1,108,,,
United Airlines,False,2019-03-14,PHL International Airport,Philadelphia,Economy,0,0,O'Hare International Airport,Chicago,09:31,06:20,1,132,,,
Alaska Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,23:48,22:20,1,88,,,
American Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,07:49,05:05,1,153,,,
Delta Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,08:58,07:30,1,94,,,
Southwest Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,22:59,20:05,1,177,,,
United Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,22:58,21:30,1,105,,,
American Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,09:51,04:10,1,330,,,
Delta Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,18:26,12:35,1,273,,,
Southwest Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,13:46,07:55,1,307,,,
United Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,1,Dulles International Airport,Washington,09:51,05:05,1,341,,,
Delta Airlines,False,2019-03-07,McCarran International Airport,Las Vegas,Economy,0,1,O'Hare International Airport,Chicago,12:00,05:45,1,266,,,
Alaska Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,Seattle-Tacoma International Airport,Seattle,11:16,07:30,1,315,,,
American Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,Seattle-Tacoma International Airport,Seattle,23:31,19:50,1,339,,,
Southwest Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,Seattle-Tacoma International Airport,Seattle,23:31,20:40,1,358,,,
United Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,Seattle-Tacoma International Airport,Seattle,11:16,06:55,1,319,,,
American Airlines,False,2019-03-11,Toronto Pearson International Airport,Toronto,Economy,0,1,PHL International Airport,Philadelphia,13:43,08:45,1,145,,,
Southwest Airlines,False,2019-03-11,Toronto Pearson International Airport,Toronto,Economy,0,1,PHL International Airport,Philadelphia,13:43,07:40,1,159,,,
United Airlines,False,2019-03-11,Toronto Pearson International Airport,Toronto,Economy,0,1,PHL International Airport,Philadelphia,18:28,14:05,1,216,,,
American Airlines,False,2019-03-08,YVR International Airport,Vancouver,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,22:46,20:05,1,186,,,
Southwest Airlines,False,2019-03-08,YVR International Airport,Vancouver,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,18:51,16:10,1,159,,,
American Airlines,False,2019-03-05,LAX International Airport,Los Angeles,Economy,0,0,Heathrow International Airport,London,12:44,06:55,1,260,,,
British Airways,False,2019-03-05,LAX International Airport,Los Angeles,Economy,0,1,Heathrow International Airport,London,21:14,11:05,1,414,,,
Delta Airlines,False,2019-03-05,LAX International Airport,Los Angeles,Economy,0,0,Heathrow International Airport,London,17:39,11:50,1,277,,,
Air France,True,2019-03-04,SFO International Airport,San Francisco,Economy,0,1,Charles de Gaulle International Airport,Paris,02:56,17:15,2,417,,,
American Airlines,False,2019-03-04,SFO International Airport,San Francisco,Economy,0,1,Charles de Gaulle International Airport,Paris,13:05,05:05,2,407,,,
Delta Airlines,False,2019-03-04,SFO International Airport,San Francisco,Economy,0,0,Charles de Gaulle International Airport,Paris,15:28,11:20,2,267,,,
United Airlines,False,2019-03-04,SFO International Airport,San Francisco,Economy,0,0,Charles de Gaulle International Airport,Paris,05:38,01:30,2,278,,,
American Airlines,False,2019-03-02,PHL International Airport,Philadelphia,Economy,0,1,Jomo Kenyatta International Airport,Nairobi,21:26,07:40,1,406,,,
Delta Airlines,False,2019-03-02,PHL International Airport,Philadelphia,Economy,0,1,Jomo Kenyatta International Airport,Nairobi,21:26,09:50,1,358,,,
Delta Airlines,False,2019-03-12,SFO International Airport,San Francisco,Economy,0,0,PDX International Airport,Portland,19:08,17:15,1,110,,,
Air Canada,False,2019-03-01,SFO International Airport,San Francisco,Premium Economy,0,1,Toronto Pearson International Airport,Toronto,22:35,17:35,1,472,,,
United Airlines,False,2019-03-01,SFO International Airport,San Francisco,Premium Economy,0,1,Toronto Pearson International Airport,Toronto,18:55,09:20,1,476,,,
Delta Airlines,False,2019-03-10,JFK International Airport,New York,Economy,0,0,Charles de Gaulle International Airport,Paris,12:02,09:15,1,207,,,
American Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,JFK International Airport,New York,16:07,09:15,1,344,,,
Delta Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,JFK International Airport,New York,16:07,09:50,1,331,,,
Southwest Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,JFK International Airport,New York,13:07,06:25,1,347,,,
United Airlines,False,2019-03-05,Sky Harbor International Airport,Phoenix,Economy,0,1,JFK International Airport,New York,22:58,17:10,1,303,,,
Alaska Airlines,False,2019-03-12,SFO International Airport,San Francisco,Economy,0,0,LAX International Airport,Los Angeles,06:20,04:55,1,92,,,
American Airlines,False,2019-03-12,SFO International Airport,San Francisco,Economy,0,0,LAX International Airport,Los Angeles,06:55,05:30,1,108,,,
Delta Airlines,True,2019-03-12,SFO International Airport,San Francisco,Economy,0,0,LAX International Airport,Los Angeles,00:40,23:15,1,104,,,
Southwest Airlines,False,2019-03-12,SFO International Airport,San Francisco,Economy,0,0,LAX International Airport,Los Angeles,08:35,07:10,1,87,,,
United Airlines,False,2019-03-12,SFO International Airport,San Francisco,Economy,0,0,LAX International Airport,Los Angeles,13:05,11:40,1,94,,,
American Airlines,False,2019-03-12,SFO International Airport,San Francisco,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,21:56,19:30,4,185,,,
Delta Airlines,True,2019-03-12,SFO International Airport,San Francisco,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,02:56,19:55,4,332,,,
Southwest Airlines,False,2019-03-12,SFO International Airport,San Francisco,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,20:26,18:00,4,220,,,
United Airlines,True,2019-03-12,SFO International Airport,San Francisco,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,01:46,19:55,4,311,,,
Alaska Airlines,True,2019-03-06,Heathrow International Airport,London,Economy,0,1,SAN International Airport,San Diego,03:09,06:10,1,333,,,
American Airlines,True,2019-03-06,Heathrow International Airport,London,Economy,0,1,SAN International Airport,San Diego,16:14,19:10,1,357,,,
Southwest Airlines,True,2019-03-06,Heathrow International Airport,London,Economy,0,1,SAN International Airport,San Diego,16:14,19:10,1,350,,,
Alaska Airlines,False,2019-03-11,Dulles International Airport,Washington,Economy,0,1,SAN International Airport,San Diego,22:00,11:10,1,253,,,
Southwest Airlines,False,2019-03-11,Dulles International Airport,Washington,Economy,0,1,SAN International Airport,San Diego,22:00,11:45,1,249,,,
Air Canada,False,2019-03-14,LAX International Airport,Los Angeles,Economy,0,0,YVR International Airport,Vancouver,07:24,04:20,1,125,,,
American Airlines,False,2019-03-14,LAX International Airport,Los Angeles,Economy,0,0,YVR International Airport,Vancouver,04:34,01:30,1,139,,,
Delta Airlines,False,2019-03-14,LAX International Airport,Los Angeles,Economy,0,1,YVR International Airport,Vancouver,16:30,10:15,1,221,,,
United Airlines,False,2019-03-14,LAX International Airport,Los Angeles,Economy,0,0,YVR International Airport,Vancouver,13:59,10:55,1,128,,,
Alaska Airlines,False,2019-03-09,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,12:00,10:25,1,92,,,
American Airlines,False,2019-03-09,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,07:00,05:25,1,93,,,
Delta Airlines,False,2019-03-09,McCarran International Airport,Las Vegas,Economy,0,0,SFO International Airport,San Francisco,22:50,21:15,1,103,,,
