airlines,departure_date,destination_airport,destination_city,number_stops,origin_airport,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,refundable,seating_class,inbound_arrival_time,inbound_departure_time,return_date
Delta Airlines,3/4/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,19:39,17:40,1,191,FALSE,Economy,4:39,20:40,3/9/2019
Southwest Airlines,3/4/2019,LAX International Airport,Los Angeles,1,Hartsfield-Jackson International Airport,Atlanta,15:29,13:30,1,225,FALSE,Economy,23:41,13:40,3/9/2019
United Airlines,3/4/2019,LAX International Airport,Los Angeles,1,Hartsfield-Jackson International Airport,Atlanta,19:49,12:15,1,261,FALSE,Economy,4:39,20:40,3/9/2019
American Airlines,3/4/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,16:29,14:30,1,204,FALSE,Economy,17:04,9:05,3/10/2019
Delta Airlines,3/4/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,19:39,17:40,1,186,FALSE,Economy,17:19,9:20,3/10/2019
Southwest Airlines,3/4/2019,LAX International Airport,Los Angeles,1,Hartsfield-Jackson International Airport,Atlanta,15:29,13:30,1,239,FALSE,Economy,0:51,13:40,3/10/2019
United Airlines,3/4/2019,LAX International Airport,Los Angeles,1,Hartsfield-Jackson International Airport,Atlanta,19:49,12:15,1,270,FALSE,Economy,4:39,20:40,3/10/2019
American Airlines,3/4/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,16:29,14:30,2,204,FALSE,Economy,17:04,9:05,3/10/2019
Delta Airlines,3/4/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,19:39,17:40,2,186,FALSE,Economy,17:19,9:20,3/10/2019
Southwest Airlines,3/4/2019,LAX International Airport,Los Angeles,1,Hartsfield-Jackson International Airport,Atlanta,15:29,13:30,2,239,FALSE,Economy,0:51,13:40,3/10/2019
United Airlines,3/4/2019,LAX International Airport,Los Angeles,1,Hartsfield-Jackson International Airport,Atlanta,19:49,12:15,2,270,FALSE,Economy,4:39,20:40,3/10/2019
Delta Airlines,3/3/2019,Hartsfield-Jackson International Airport,Atlanta,1,YVR International Airport,Vancouver,14:56,2:50,3,297,FALSE,Economy,13:41,7:50,3/13/2019
United Airlines,3/3/2019,Hartsfield-Jackson International Airport,Atlanta,0,YVR International Airport,Vancouver,11:56,3:15,3,201,FALSE,Economy,14:56,12:15,3/13/2019
American Airlines,3/5/2019,Benito Juarez International Airport,Mexico City,0,SFO International Airport,San Francisco,19:03,13:20,1,177,FALSE,Economy,16:38,14:55,3/13/2019
United Airlines,3/5/2019,Benito Juarez International Airport,Mexico City,1,SFO International Airport,San Francisco,20:05,9:15,1,250,FALSE,Economy,23:45,20:45,3/13/2019
Delta Airlines,3/1/2019,O'Hare International Airport,Chicago,1,YVR International Airport,Vancouver,13:52,3:20,3,319,FALSE,Economy,18:01,11:55,3/6/2019
United Airlines,3/1/2019,O'Hare International Airport,Chicago,1,YVR International Airport,Vancouver,14:36,3:15,3,295,FALSE,Economy,19:49,12:45,3/6/2019
American Airlines,3/2/2019,SFO International Airport,San Francisco,1,O'Hare International Airport,Chicago,20:11,12:30,1,269,FALSE,Economy,22:07,15:20,3/4/2019
Delta Airlines,3/2/2019,SFO International Airport,San Francisco,0,O'Hare International Airport,Chicago,13:27,10:40,1,212,FALSE,Economy,4:52,22:05,3/4/2019
Southwest Airlines,3/2/2019,SFO International Airport,San Francisco,0,O'Hare International Airport,Chicago,16:57,14:10,1,182,FALSE,Economy,0:37,17:50,3/4/2019
United Airlines,3/2/2019,SFO International Airport,San Francisco,0,O'Hare International Airport,Chicago,6:47,4:00,1,190,FALSE,Economy,6:02,23:15,3/4/2019
American Airlines,3/3/2019,McCarran International Airport,Las Vegas,1,Indira Gandhi International Airport,Delhi,21:35,19:00,1,376,FALSE,Economy,20:39,10:55,3/14/2019
American Airlines,3/3/2019,Heathrow International Airport,London,1,Hartsfield-Jackson International Airport,Atlanta,18:14,15:30,1,365,TRUE,Economy,2:39,20:35,3/7/2019
Delta Airlines,3/3/2019,Heathrow International Airport,London,1,Hartsfield-Jackson International Airport,Atlanta,6:54,16:50,1,320,FALSE,Economy,22:52,15:35,3/7/2019
United Airlines,3/3/2019,Heathrow International Airport,London,1,Hartsfield-Jackson International Airport,Atlanta,0:49,6:15,1,306,FALSE,Economy,4:29,22:25,3/7/2019
American Airlines,3/7/2019,O'Hare International Airport,Chicago,1,McCarran International Airport,Las Vegas,20:12,10:55,3,266,FALSE,Economy,9:15,4:30,3/14/2019
United Airlines,3/7/2019,O'Hare International Airport,Chicago,1,McCarran International Airport,Las Vegas,20:12,12:05,3,255,FALSE,Economy,14:35,10:35,3/14/2019
American Airlines,3/2/2019,Seattle-Tacoma International Airport,Seattle,0,LAX International Airport,Los Angeles,8:07,5:20,4,143,FALSE,Economy,11:02,8:15,3/11/2019
American Airlines,3/1/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,16:29,14:30,1,180,FALSE,Economy,1:24,17:25,3/9/2019
Delta Airlines,3/1/2019,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,19:39,17:40,1,190,FALSE,Economy,4:39,20:40,3/9/2019
Southwest Airlines,3/1/2019,LAX International Airport,Los Angeles,1,Hartsfield-Jackson International Airport,Atlanta,15:29,13:30,1,228,FALSE,Economy,23:41,13:40,3/9/2019
United Airlines,3/1/2019,LAX International Airport,Los Angeles,1,Hartsfield-Jackson International Airport,Atlanta,14:15,9:40,1,219,FALSE,Economy,4:39,20:40,3/9/2019
United Airlines,3/2/2019,Kingsford Smith International Airport,Sydney,1,SAN International Airport,San Diego,9:26,7:20,1,305,FALSE,Economy,16:19,22:05,3/12/2019
United Airlines,3/3/2019,Seattle-Tacoma International Airport,Seattle,0,PDX International Airport,Portland,23:43,22:45,1,73,FALSE,Economy,5:13,4:15,3/11/2019
American Airlines,3/4/2019,Hartsfield-Jackson International Airport,Atlanta,1,Charles de Gaulle International Airport,Paris,14:07,4:05,3,382,FALSE,Economy,13:37,15:25,3/14/2019
Delta Airlines,3/4/2019,Hartsfield-Jackson International Airport,Atlanta,1,Charles de Gaulle International Airport,Paris,23:41,17:35,3,395,FALSE,Economy,13:37,15:40,3/14/2019
Alaska Airlines,3/1/2019,SFO International Airport,San Francisco,0,Seattle-Tacoma International Airport,Seattle,14:11,12:00,1,133,FALSE,Economy,17:06,14:55,3/8/2019
American Airlines,3/1/2019,SFO International Airport,San Francisco,0,Seattle-Tacoma International Airport,Seattle,0:36,22:25,1,136,FALSE,Economy,16:26,14:15,3/8/2019
Delta Airlines,3/1/2019,SFO International Airport,San Francisco,0,Seattle-Tacoma International Airport,Seattle,8:21,6:10,1,133,FALSE,Economy,10:11,8:00,3/8/2019
Southwest Airlines,3/1/2019,SFO International Airport,San Francisco,0,Seattle-Tacoma International Airport,Seattle,0:01,21:50,1,139,FALSE,Economy,10:36,8:25,3/8/2019
United Airlines,3/1/2019,SFO International Airport,San Francisco,0,Seattle-Tacoma International Airport,Seattle,22:41,20:30,1,136,FALSE,Economy,17:16,15:05,3/8/2019
Delta Airlines,3/5/2019,Benito Juarez International Airport,Mexico City,1,PDX International Airport,Portland,18:53,8:45,1,271,FALSE,Economy,21:33,13:45,3/12/2019
Delta Airlines,3/3/2019,JFK International Airport,New York,1,Benito Juarez International Airport,Mexico City,19:31,15:00,1,236,FALSE,Economy,14:04,7:20,3/9/2019
United Airlines,3/3/2019,JFK International Airport,New York,0,Benito Juarez International Airport,Mexico City,12:56,8:25,1,168,FALSE,Economy,19:31,17:00,3/9/2019
United Airlines,3/3/2019,Benito Juarez International Airport,Mexico City,1,O'Hare International Airport,Chicago,23:16,15:15,1,285,FALSE,Economy,16:59,8:25,3/9/2019
United Airlines,3/1/2019,Seattle-Tacoma International Airport,Seattle,0,SFO International Airport,San Francisco,17:16,15:05,1,132,FALSE,Economy,22:41,20:30,3/6/2019
Delta Airlines,3/3/2019,Charles de Gaulle International Airport,Paris,1,PHL International Airport,Philadelphia,13:37,16:40,1,333,FALSE,Economy,0:16,17:35,3/11/2019
American Airlines,3/1/2019,JFK International Airport,New York,0,SFO International Airport,San Francisco,16:31,7:05,1,205,FALSE,Economy,20:11,16:45,3/9/2019
Delta Airlines,3/8/2019,YVR International Airport,Vancouver,1,JFK International Airport,New York,13:59,7:30,1,548,FALSE,Premium Economy,6:46,17:05,3/10/2019
Delta Airlines,3/8/2019,YVR International Airport,Vancouver,1,Seattle-Tacoma International Airport,Seattle,19:49,8:45,1,308,FALSE,Economy,14:47,3:20,3/14/2019
Southwest Airlines,3/3/2019,PDX International Airport,Portland,1,SFO International Airport,San Francisco,12:08,8:25,1,158,FALSE,Economy,17:08,15:15,3/7/2019
Southwest Airlines,3/3/2019,SFO International Airport,San Francisco,1,Hartsfield-Jackson International Airport,Atlanta,18:15,13:30,1,275,FALSE,Economy,22:44,13:25,3/14/2019
American Airlines,3/10/2019,Benito Juarez International Airport,Mexico City,1,O'Hare International Airport,Chicago,19:31,12:30,1,330,FALSE,Economy,20:12,8:05,3/13/2019
United Airlines,3/5/2019,Seattle-Tacoma International Airport,Seattle,0,PDX International Airport,Portland,8:13,7:15,1,82,FALSE,Economy,6:28,5:30,3/13/2019
Delta Airlines,3/1/2019,YVR International Airport,Vancouver,1,McCarran International Airport,Las Vegas,19:49,12:20,1,222,FALSE,Economy,21:35,12:20,3/3/2019
United Airlines,3/10/2019,LAX International Airport,Los Angeles,0,Seattle-Tacoma International Airport,Seattle,15:17,12:30,1,144,FALSE,Economy,2:32,23:45,3/12/2019
American Airlines,3/6/2019,JFK International Airport,New York,0,PHL International Airport,Philadelphia,18:26,17:35,1,63,TRUE,Economy,8:46,7:55,3/8/2019
American Airlines,3/3/2019,Charles de Gaulle International Airport,Paris,1,Dulles International Airport,Washington,11:36,14:50,1,312,FALSE,Economy,12:05,4:05,3/13/2019
American Airlines,3/2/2019,Seattle-Tacoma International Airport,Seattle,1,LAX International Airport,Los Angeles,16:21,11:25,1,218,FALSE,Economy,12:40,8:05,3/7/2019
American Airlines,3/1/2019,McCarran International Airport,Las Vegas,1,Benito Juarez International Airport,Mexico City,14:35,8:40,1,233,FALSE,Economy,18:53,6:40,3/6/2019
American Airlines,3/2/2019,O'Hare International Airport,Chicago,0,JFK International Airport,New York,21:04,19:45,1,144,FALSE,Economy,23:44,20:25,3/9/2019
United Airlines,3/3/2019,Benito Juarez International Airport,Mexico City,0,JFK International Airport,New York,19:31,17:00,1,274,FALSE,Premium Economy,12:56,8:25,3/13/2019
United Airlines,3/9/2019,Hartsfield-Jackson International Airport,Atlanta,1,JFK International Airport,New York,20:21,14:40,1,210,FALSE,Economy,0:02,21:40,3/13/2019
Southwest Airlines,3/1/2019,LAX International Airport,Los Angeles,1,O'Hare International Airport,Chicago,15:17,9:45,1,304,FALSE,Economy,22:30,12:00,3/5/2019
Southwest Airlines,3/7/2019,Seattle-Tacoma International Airport,Seattle,1,O'Hare International Airport,Chicago,12:15,9:45,1,246,FALSE,Economy,22:07,13:05,3/12/2019
United Airlines,3/5/2019,SFO International Airport,San Francisco,1,Indira Gandhi International Airport,Delhi,7:55,1:10,1,340,FALSE,Economy,20:39,14:00,3/9/2019
Delta Airlines,3/1/2019,YVR International Airport,Vancouver,1,JFK International Airport,New York,18:01,11:25,2,308,FALSE,Economy,18:40,3:20,3/7/2019
American Airlines,3/1/2019,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,22:44,13:20,1,273,FALSE,Economy,18:15,14:30,3/14/2019
United Airlines,3/2/2019,Hartsfield-Jackson International Airport,Atlanta,1,Seattle-Tacoma International Airport,Seattle,4:21,16:10,3,329,FALSE,Economy,15:21,9:40,3/4/2019
Delta Airlines,3/1/2019,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,18:26,6:40,1,311,FALSE,Economy,22:41,16:20,3/12/2019
Delta Airlines,3/8/2019,SFO International Airport,San Francisco,0,McCarran International Airport,Las Vegas,0:25,22:50,2,96,FALSE,Economy,22:25,20:50,3/14/2019
Delta Airlines,3/6/2019,PDX International Airport,Portland,1,SFO International Airport,San Francisco,12:08,8:00,2,191,FALSE,Economy,14:11,9:35,3/12/2019
United Airlines,3/2/2019,Hartsfield-Jackson International Airport,Atlanta,1,PHL International Airport,Philadelphia,14:07,9:20,1,185,FALSE,Economy,10:56,7:10,3/9/2019
Delta Airlines,3/10/2019,Hartsfield-Jackson International Airport,Atlanta,1,PHL International Airport,Philadelphia,20:21,14:20,1,267,FALSE,Economy,,,
Delta Airlines,3/10/2019,Hartsfield-Jackson International Airport,Atlanta,1,PHL International Airport,Philadelphia,20:21,14:20,1,234,FALSE,Economy,19:46,15:40,3/12/2019
Alaska Airlines,3/6/2019,LAX International Airport,Los Angeles,0,PDX International Airport,Portland,12:40,10:10,1,120,FALSE,Economy,,,
American Airlines,3/6/2019,LAX International Airport,Los Angeles,1,PDX International Airport,Portland,11:32,6:00,1,182,FALSE,Economy,,,
Delta Airlines,3/6/2019,LAX International Airport,Los Angeles,1,PDX International Airport,Portland,21:44,16:40,1,186,FALSE,Economy,,,
Southwest Airlines,3/6/2019,LAX International Airport,Los Angeles,0,PDX International Airport,Portland,19:25,16:55,1,132,FALSE,Economy,,,
United Airlines,3/6/2019,LAX International Airport,Los Angeles,0,PDX International Airport,Portland,14:35,12:05,1,138,TRUE,Economy,,,
Alaska Airlines,3/6/2019,LAX International Airport,Los Angeles,0,PDX International Airport,Portland,12:40,10:10,1,125,FALSE,Economy,7:45,5:15,3/8/2019
Alaska Airlines,3/1/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,14:13,12:20,3,108,FALSE,Economy,,,
American Airlines,3/1/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,9:58,8:05,3,91,FALSE,Economy,,,
Delta Airlines,3/1/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,7:13,5:20,3,114,TRUE,Economy,,,
Southwest Airlines,3/1/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,1:23,23:30,3,129,FALSE,Economy,,,
United Airlines,3/1/2019,PDX International Airport,Portland,1,SFO International Airport,San Francisco,17:33,13:10,3,184,FALSE,Economy,,,
Alaska Airlines,3/8/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,14:13,12:20,3,124,FALSE,Economy,,,
American Airlines,3/8/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,9:58,8:05,3,109,FALSE,Economy,,,
Delta Airlines,3/8/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,7:13,5:20,3,123,TRUE,Economy,,,
Southwest Airlines,3/8/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,1:23,23:30,3,108,FALSE,Economy,,,
American Airlines,3/8/2019,PDX International Airport,Portland,0,SFO International Airport,San Francisco,9:58,8:05,3,116,FALSE,Economy,9:13,7:20,3/10/2019
Air France,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,Charles de Gaulle International Airport,Paris,12:15,3:55,1,374,FALSE,Economy,,,
American Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,Charles de Gaulle International Airport,Paris,10:36,4:05,1,345,FALSE,Economy,,,
Delta Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,Charles de Gaulle International Airport,Paris,22:56,11:20,1,355,FALSE,Economy,,,
Delta Airlines,3/9/2019,Seattle-Tacoma International Airport,Seattle,1,Charles de Gaulle International Airport,Paris,22:56,11:20,1,416,FALSE,Economy,8:53,6:10,3/11/2019
American Airlines,3/11/2019,Hartsfield-Jackson International Airport,Atlanta,0,JFK International Airport,New York,13:42,11:20,1,129,TRUE,Economy,,,
Delta Airlines,3/11/2019,Hartsfield-Jackson International Airport,Atlanta,0,JFK International Airport,New York,13:47,11:25,1,122,FALSE,Economy,,,
Southwest Airlines,3/11/2019,Hartsfield-Jackson International Airport,Atlanta,0,JFK International Airport,New York,11:27,9:05,1,118,TRUE,Economy,,,
United Airlines,3/11/2019,Hartsfield-Jackson International Airport,Atlanta,0,JFK International Airport,New York,21:27,19:05,1,131,FALSE,Economy,,,
American Airlines,3/11/2019,Hartsfield-Jackson International Airport,Atlanta,0,JFK International Airport,New York,13:42,11:20,1,122,TRUE,Economy,8:47,6:25,3/13/2019
American Airlines,3/10/2019,Sky Harbor International Airport,Phoenix,1,Benito Juarez International Airport,Mexico City,13:38,8:05,3,235,FALSE,Economy,,,
Delta Airlines,3/10/2019,Sky Harbor International Airport,Phoenix,1,Benito Juarez International Airport,Mexico City,11:42,3:45,3,260,TRUE,Economy,,,
United Airlines,3/10/2019,Sky Harbor International Airport,Phoenix,1,Benito Juarez International Airport,Mexico City,1:18,20:45,3,240,FALSE,Economy,,,
American Airlines,3/10/2019,Sky Harbor International Airport,Phoenix,1,Benito Juarez International Airport,Mexico City,13:38,8:05,3,247,FALSE,Economy,20:05,7:35,3/12/2019
American Airlines,3/11/2019,Seattle-Tacoma International Airport,Seattle,0,Hartsfield-Jackson International Airport,Atlanta,0:07,21:35,1,195,FALSE,Economy,,,
Delta Airlines,3/11/2019,Seattle-Tacoma International Airport,Seattle,0,Hartsfield-Jackson International Airport,Atlanta,18:52,16:20,1,173,FALSE,Economy,,,
Southwest Airlines,3/11/2019,Seattle-Tacoma International Airport,Seattle,0,Hartsfield-Jackson International Airport,Atlanta,21:52,19:20,1,180,TRUE,Economy,,,
United Airlines,3/11/2019,Seattle-Tacoma International Airport,Seattle,0,Hartsfield-Jackson International Airport,Atlanta,19:52,17:20,1,170,TRUE,Economy,,,
American Airlines,3/11/2019,Seattle-Tacoma International Airport,Seattle,0,Hartsfield-Jackson International Airport,Atlanta,0:07,21:35,1,205,FALSE,Economy,6:17,21:45,3/13/2019
American Airlines,3/7/2019,JFK International Airport,New York,0,Dulles International Airport,Washington,7:15,6:05,1,88,FALSE,Economy,,,
Southwest Airlines,3/7/2019,JFK International Airport,New York,0,Dulles International Airport,Washington,10:25,9:15,1,77,FALSE,Economy,,,
Southwest Airlines,3/7/2019,JFK International Airport,New York,0,Dulles International Airport,Washington,10:25,9:15,1,83,FALSE,Economy,18:25,17:15,3/9/2019
Air Canada,3/7/2019,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,21:35,16:45,1,238,FALSE,Economy,,,
Delta Airlines,3/7/2019,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,21:35,12:20,1,240,FALSE,Economy,,,
United Airlines,3/7/2019,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,22:40,18:05,1,213,FALSE,Economy,,,
Air Canada,3/7/2019,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,21:35,16:45,2,238,FALSE,Economy,,,
Delta Airlines,3/7/2019,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,21:35,12:20,2,240,FALSE,Economy,,,
United Airlines,3/7/2019,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,22:40,18:05,2,213,FALSE,Economy,,,
United Airlines,3/7/2019,McCarran International Airport,Las Vegas,1,YVR International Airport,Vancouver,22:40,18:05,2,228,FALSE,Economy,19:49,12:05,3/9/2019
American Airlines,3/8/2019,O'Hare International Airport,Chicago,0,Dulles International Airport,Washington,22:58,22:00,1,118,FALSE,Economy,,,
Southwest Airlines,3/8/2019,O'Hare International Airport,Chicago,0,Dulles International Airport,Washington,16:33,15:35,1,112,FALSE,Economy,,,
United Airlines,3/8/2019,O'Hare International Airport,Chicago,0,Dulles International Airport,Washington,21:38,20:40,1,111,FALSE,Economy,,,
American Airlines,3/8/2019,O'Hare International Airport,Chicago,0,Dulles International Airport,Washington,22:58,22:00,1,132,FALSE,Economy,17:48,14:50,3/10/2019
Alaska Airlines,3/6/2019,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,20:35,19:10,2,155,FALSE,Premium Economy,,,
Alaska Airlines,3/6/2019,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,20:35,19:10,2,174,FALSE,Premium Economy,19:15,17:50,3/8/2019
American Airlines,3/2/2019,SFO International Airport,San Francisco,0,Sky Harbor International Airport,Phoenix,8:22,6:15,1,132,FALSE,Economy,,,
Delta Airlines,3/2/2019,SFO International Airport,San Francisco,0,Sky Harbor International Airport,Phoenix,14:02,11:55,1,108,FALSE,Economy,,,
Southwest Airlines,3/2/2019,SFO International Airport,San Francisco,0,Sky Harbor International Airport,Phoenix,8:07,6:00,1,128,FALSE,Economy,,,
United Airlines,3/2/2019,SFO International Airport,San Francisco,0,Sky Harbor International Airport,Phoenix,1:57,23:50,1,128,FALSE,Economy,,,
American Airlines,3/2/2019,SFO International Airport,San Francisco,1,Sky Harbor International Airport,Phoenix,8:22,6:15,1,172,FALSE,Economy,12:49,8:10,3/5/2019
American Airlines,3/6/2019,O'Hare International Airport,Chicago,1,Benito Juarez International Airport,Mexico City,19:32,8:05,1,320,FALSE,Economy,,,
Delta Airlines,3/6/2019,O'Hare International Airport,Chicago,1,Benito Juarez International Airport,Mexico City,21:04,15:00,1,251,FALSE,Economy,,,
United Airlines,3/6/2019,O'Hare International Airport,Chicago,1,Benito Juarez International Airport,Mexico City,19:34,8:25,1,292,FALSE,Economy,,,
American Airlines,3/6/2019,O'Hare International Airport,Chicago,1,Benito Juarez International Airport,Mexico City,19:32,8:05,1,324,FALSE,Economy,23:16,13:20,3/8/2019
American Airlines,3/8/2019,Hartsfield-Jackson International Airport,Atlanta,0,Sky Harbor International Airport,Phoenix,6:37,23:25,3,159,FALSE,Economy,,,
Delta Airlines,3/8/2019,Hartsfield-Jackson International Airport,Atlanta,1,Sky Harbor International Airport,Phoenix,0:21,11:55,3,278,FALSE,Economy,,,
Southwest Airlines,3/8/2019,Hartsfield-Jackson International Airport,Atlanta,0,Sky Harbor International Airport,Phoenix,6:07,22:55,3,166,FALSE,Economy,,,
United Airlines,3/8/2019,Hartsfield-Jackson International Airport,Atlanta,1,Sky Harbor International Airport,Phoenix,17:19,7:15,3,263,FALSE,Economy,,,
American Airlines,3/8/2019,Hartsfield-Jackson International Airport,Atlanta,1,Sky Harbor International Airport,Phoenix,6:37,23:25,3,244,FALSE,Economy,16:22,11:40,3/11/2019
United Airlines,3/7/2019,Hartsfield-Jackson International Airport,Atlanta,1,LAX International Airport,Los Angeles,4:39,20:40,1,251,FALSE,Economy,19:49,12:15,3/9/2019
Delta Airlines,3/9/2019,SAN International Airport,San Diego,1,Seattle-Tacoma International Airport,Seattle,12:34,8:45,1,186,FALSE,Economy,,,
Delta Airlines,3/9/2019,SAN International Airport,San Diego,1,Seattle-Tacoma International Airport,Seattle,13:54,8:45,4,346,FALSE,Premium Economy,16:21,11:05,3/12/2019
Air Canada,3/9/2019,Hartsfield-Jackson International Airport,Atlanta,0,YVR International Airport,Vancouver,22:16,13:35,1,260,TRUE,Premium Economy,,,
United Airlines,3/9/2019,Hartsfield-Jackson International Airport,Atlanta,0,YVR International Airport,Vancouver,11:56,3:15,1,297,FALSE,Premium Economy,,,
Air Canada,3/9/2019,Hartsfield-Jackson International Airport,Atlanta,0,YVR International Airport,Vancouver,22:16,13:35,1,198,TRUE,Economy,,,
Delta Airlines,3/9/2019,Hartsfield-Jackson International Airport,Atlanta,1,YVR International Airport,Vancouver,14:56,2:50,1,263,FALSE,Economy,,,
Air Canada,3/9/2019,LAX International Airport,Los Angeles,0,YVR International Airport,Vancouver,19:49,16:45,1,137,FALSE,Economy,,,
American Airlines,3/9/2019,LAX International Airport,Los Angeles,0,YVR International Airport,Vancouver,2:04,23:00,1,143,FALSE,Economy,,,
Delta Airlines,3/9/2019,LAX International Airport,Los Angeles,0,YVR International Airport,Vancouver,6:24,3:20,1,149,FALSE,Economy,,,
United Airlines,3/9/2019,LAX International Airport,Los Angeles,1,YVR International Airport,Vancouver,23:55,18:05,1,221,FALSE,Economy,,,
American Airlines,3/9/2019,LAX International Airport,Los Angeles,1,YVR International Airport,Vancouver,2:04,23:00,1,193,FALSE,Economy,23:27,16:50,3/11/2019
American Airlines,3/7/2019,PHL International Airport,Philadelphia,0,JFK International Airport,New York,8:46,7:55,1,61,TRUE,Economy,,,
Delta Airlines,3/7/2019,PHL International Airport,Philadelphia,0,JFK International Airport,New York,19:46,18:55,1,62,FALSE,Economy,,,
Southwest Airlines,3/7/2019,PHL International Airport,Philadelphia,0,JFK International Airport,New York,5:46,4:55,1,74,FALSE,Economy,,,
United Airlines,3/7/2019,PHL International Airport,Philadelphia,0,JFK International Airport,New York,10:56,10:05,1,65,FALSE,Economy,,,
American Airlines,3/7/2019,PHL International Airport,Philadelphia,0,JFK International Airport,New York,8:46,7:55,1,65,TRUE,Economy,18:26,17:35,3/9/2019
American Airlines,3/6/2019,SAN International Airport,San Diego,0,McCarran International Airport,Las Vegas,20:29,19:15,1,92,TRUE,Economy,,,
Delta Airlines,3/6/2019,SAN International Airport,San Diego,0,McCarran International Airport,Las Vegas,18:19,17:05,1,94,FALSE,Economy,,,
Southwest Airlines,3/6/2019,SAN International Airport,San Diego,0,McCarran International Airport,Las Vegas,16:24,15:10,1,81,TRUE,Economy,,,
United Airlines,3/6/2019,SAN International Airport,San Diego,0,McCarran International Airport,Las Vegas,10:49,9:35,1,93,FALSE,Economy,,,
American Airlines,3/7/2019,SAN International Airport,San Diego,1,Seattle-Tacoma International Airport,Seattle,12:34,8:15,1,183,FALSE,Economy,,,
Delta Airlines,3/7/2019,SAN International Airport,San Diego,1,Seattle-Tacoma International Airport,Seattle,12:00,6:10,4,228,FALSE,Economy,15:21,11:05,3/9/2019
Alaska Airlines,3/4/2019,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,20:35,19:10,1,140,FALSE,Premium Economy,,,
American Airlines,3/4/2019,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,13:40,12:15,1,176,FALSE,Premium Economy,,,
Southwest Airlines,3/4/2019,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,8:10,6:45,1,141,FALSE,Premium Economy,,,
United Airlines,3/4/2019,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,23:30,22:05,1,154,TRUE,Premium Economy,,,
American Airlines,3/4/2019,LAX International Airport,Los Angeles,0,SFO International Airport,San Francisco,13:40,12:15,1,167,FALSE,Premium Economy,18:15,16:50,3/6/2019
American Airlines,3/3/2019,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,20:05,14:45,1,151,FALSE,Economy,,,
Delta Airlines,3/3/2019,Benito Juarez International Airport,Mexico City,1,LAX International Airport,Los Angeles,18:53,9:15,1,274,FALSE,Economy,,,
Southwest Airlines,3/3/2019,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,2:05,20:45,1,139,FALSE,Economy,,,
United Airlines,3/3/2019,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,9:45,4:25,1,144,FALSE,Economy,,,
Alaska Airlines,3/3/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,22:52,16:20,1,163,TRUE,Economy,,,
American Airlines,3/3/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,15:02,8:30,1,166,FALSE,Economy,,,
Delta Airlines,3/3/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,20:12,13:40,1,162,FALSE,Economy,,,
Southwest Airlines,3/3/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,13:52,7:20,1,179,FALSE,Economy,,,
Alaska Airlines,3/3/2019,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,22:52,16:20,4,163,TRUE,Economy,,,
