destination,number_of_seats,ride_fare,ride_type,wait_time
877 West Fremont Avenue unit n1,1,18.19,Regular,3
Sycamore Square Housing Corporation,1,20.06,Regular,2
2074 Forest Avenue # 1,1,12.56,Pool,5
3100 San Pablo Avenue Suite 310,1,23.77,Regular,3
632 Mowry Avenue,2,22.36,Regular,4
3850 Grand Avenue,3,58.23,Luxury,12
Country Club Villa Apartments,2,21.02,Pool,9
6155 Stoneridge Drive #150,2,22.58,Pool,7
701 E El Camino Real 2nd Floor,1,18.41,Regular,5
1525 Webster Street # C,1,15.12,Pool,6
355 Lennon Lane Suite 255,1,7.07,Pool,3
2490 Hospital Drive #111,4,19.88,Pool,7
5855 Doyle Street #110,1,17.27,Pool,7
45 Castro Street,1,12.34,Regular,6
1618 Sullivan Avenue Suite 105,3,24.89,Pool,6
4287 Piedmont Avenue,2,41.14,Luxury,14
2380 Sutter Street,2,35.95,Luxury,10
301 Old San Francisco Road Level 2,2,12.86,Pool,5
211 Quarry Road,1,10.11,Regular,6
1580 Valencia Street #508,1,11.46,Pool,9
175 North Jackson Avenue #200,4,27.56,Regular,4
2725 Mendocino Avenue,1,21.66,Luxury,7
1479 Ygnacio Valley Road,1,8.60,Pool,3
491 30th Street #201,1,16.87,Luxury,14
196 Wikiup Drive,1,31.34,Luxury,12
2700 Grant Street #104,1,18.42,Regular,5
2400 Samaritan Drive #105,3,20.73,Pool,9
2111 Whitehall Place,3,27.28,Pool,8
"2, 3200 Kearney Street",1,14.07,Regular,3
"F3, 900 Blake Wilbur Drive",1,13.89,Regular,7
3100 San Pablo Avenue Suite 310,2,10.15,Pool,9
975 Sereno Drive,3,15.28,Pool,9
1100 Trancas Street #350,1,18.79,Regular,7
1440 Military West # 101,3,53.49,Luxury,12
795 El Camino Real,2,28.45,Regular,4
3511 School Street,2,14.84,Pool,9
2184 Union Street,1,16.40,Pool,9
1200 Central Boulevard suite d,3,21.86,Regular,5
45 Castro Street,1,7.33,Pool,4
2380 Sutter Street,1,15.69,Pool,8
801 Brewster Avenue #240,2,29.05,Regular,2
2500 Milvia Street,1,6.65,Pool,5
2219 Buchanan Road #6,1,14.84,Regular,3
5050 West El Camino Real # 110,4,18.42,Pool,6
1850 Sullivan Avenue Suite 550,1,15.16,Regular,3
550 Hamilton Avenue # 329,1,10.64,Regular,4
5601 Deer Valley Road,4,23.42,Regular,4
1010 Laurel Street,1,19.24,Regular,3
5860 Owens Drive Suite 210,2,12.59,Pool,7
491 30th Street #201,3,18.76,Regular,6
6100 Telegraph Avenue,1,31.06,Luxury,8
261 North 2nd Street,2,18.24,Regular,5
6004 Stevenson Boulevard,2,46.12,Luxury,12
2025 Gellert Boulevard #200,3,53.75,Luxury,7
2608 Ocean Avenue,4,32.82,Pool,3
3113 Stevenson Boulevard,2,16.25,Pool,5
542 A Mason Street,2,12.28,Pool,8
30 South B Street,2,17.00,Pool,9
ExCeL London,2,29.94,Regular,2
2185 Eastridge Loop,2,19.52,Pool,8
29615 Mission Boulevard,2,30.24,Luxury,14
565 University Avenue,2,17.08,Pool,7
43635 Boscell Road,2,24.20,Regular,5
2355 Chestnut Street,2,22.95,Luxury,7
36456 Fremont Boulevard,2,32.34,Luxury,9
920 El Camino Real,1,13.48,Pool,6
4776 Sonoma Highway,2,23.56,Regular,3
115 Hartz Avenue,2,11.00,Pool,3
1150 Solano Avenue,2,29.77,Regular,2
1201 San Carlos Avenue,2,12.63,Pool,9
4776 Sonoma Highway,2,14.61,Pool,4
711 Geary Street,2,10.35,Pool,9
600 Ralston Avenue,1,15.92,Pool,8
1975 Diamond Boulevard Ste. C 160,3,58.72,Luxury,7
6247 College Avenue,2,28.74,Luxury,14
333 Enfrente Road,2,20.68,Pool,9
140 2nd Street #100,2,20.90,Pool,3
808 Geary Street,3,33.08,Luxury,8
9501 Duvander Lane,2,14.23,Pool,5
1107 Howard Avenue,1,18.60,Luxury,13
727 Laurel Street,4,33.20,Luxury,10
31 University Avenue,2,30.97,Luxury,14
1441 Polk Street,2,12.19,Pool,8
1441 Polk Street,1,9.08,Pool,8
642 1st Street,2,41.37,Luxury,8
3268 Grand Avenue,2,33.49,Luxury,12
3195 North Main Street,2,29.73,Regular,6
4038 Judah Street,2,11.23,Pool,9
1320 El Camino Real,1,17.07,Pool,9
Coconut Bay Thai Restaurant,3,23.73,Pool,9
2125 Coast Hwy,3,57.30,Luxury,14
San Francisco,3,23.52,Regular,7
1503 15th Street,2,24.78,Regular,6
1202 West Steele Lane,3,55.55,Luxury,13
3268 Grand Avenue,1,16.68,Pool,3
1429 San Mateo Avenue,1,24.47,Luxury,11
3524 Mount Diablo Boulevard,2,37.08,Luxury,7
591 Redwood Highway # 2235,2,36.33,Luxury,12
1760 Polk Street,2,39.94,Luxury,7
318 Columbus Avenue,2,34.22,Regular,4
39277 Cedar Boulevard,2,17.85,Regular,6
4095 Century Boulevard,1,26.24,Luxury,10
3221 South White Road,2,24.06,Pool,3
61 Washington Street,3,24.96,Pool,8
1330 Stoneridge Mall Road,2,38.01,Luxury,12
101 Brentwood Drive,3,30.09,Pool,6
5200 Mowry Avenue Ste M,1,16.70,Pool,9
333 South Park Plaza Drive,2,16.04,Pool,7
2470 Skyline Boulevard,1,31.81,Luxury,8
Vina Enoteca,1,11.59,Pool,5
1760 Polk Street,4,51.94,Luxury,13
2001 Chestnut Street,2,35.71,Luxury,12
Luca Cucina Italiana,4,13.06,Pool,9
726 Clement Street,2,22.51,Pool,5
1071 B Street,2,22.97,Regular,7
29 East Main Street,1,27.74,Luxury,10
528 7th Street,2,14.34,Regular,3
31014 Union City Boulevard,2,10.76,Pool,5
5305 Almaden Expressway,2,16.65,Pool,6
425 Avenue Alhambra,2,23.09,Regular,4
336 Saint Mary Street,2,24.79,Pool,9
1801 Alemany Boulevard,3,45.03,Luxury,14
50 Moraga Avenue,1,10.52,Pool,4
500 Brannan Street,2,15.61,Regular,5
545 San Antonio Road Suite 31,3,35.44,Regular,7
2731 Geneva Avenue,2,22.74,Pool,7
1008 Blossom Hill Road,3,33.20,Luxury,8
9890 Bodega Highway,4,25.66,Pool,7
845 Main Street,1,11.11,Pool,7
216 Northgate One,1,13.53,Pool,6
1754 Polk Street,1,8.98,Pool,4
2589 Mission Street,3,31.99,Luxury,8
620 3rd Street,2,10.95,Pool,3
2525 Sand Creek Road,2,15.05,Regular,3
1621 Travis Boulevard #300,1,24.91,Regular,6
1585 Marburg Way # 4,1,29.18,Luxury,14
87 Fenton Street Suite 210,2,21.34,Luxury,12
Belmont Park,1,14.20,Pool,4
39900 Blacow Road,2,30.59,Luxury,13
6493 Portola Drive,1,27.71,Luxury,14
520 Montgomery Street M02,1,8.75,Pool,9
909 Hyde Street #530,1,16.47,Pool,3
820 East El Camino Real,1,12.60,Pool,3
383 Miller Avenue,3,29.05,Pool,3
2664 Berryessa Road # 206,1,6.68,Pool,8
949 Geneva Avenue,3,28.99,Luxury,11
20632 Redwood Road # A,1,20.78,Regular,4
401 West Van Buren Street,1,17.00,Pool,4
2664 Berryessa Road #104,2,34.35,Regular,3
4450 San Pablo Dam Road,1,11.91,Pool,8
1069 B Street,1,11.81,Pool,7
1475 167th Avenue,4,14.34,Pool,5
80 Senter Road,2,22.34,Regular,7
815 Ulloa Street,3,25.76,Regular,3
Claws And Craws,4,20.44,Regular,2
4655 Hoen Avenue # 7,1,10.88,Regular,6
2625 South King Road,3,10.98,Pool,7
"17 Eastern Parkway, Brooklyn",1,23.67,Regular,5
2306 Almaden Road,1,24.09,Regular,6
Chicago History Museum,1,29.56,Luxury,9
9260 Alcosta Boulevard,2,12.83,Pool,9
29 East Allen Street 2nd Floor,2,8.95,Pool,9
4288 Dublin Boulevard #101-102,1,21.99,Regular,5
344 East Hamilton Avenue,2,32.84,Regular,6
2901 East Hastings Street,4,43.42,Regular,2
"1 Tennis Place, Forest Hills",1,11.00,Pool,5
19655 Stevens Creek Boulevard,1,14.07,Pool,6
241 Fremont Hub Courtyard,3,35.80,Regular,6
2047 North Milwaukee Avenue,1,21.00,Luxury,14
109 Plaza Dr. Gateway Plaza Center,1,9.56,Pool,7
3111 Mission College Boulevard,4,49.02,Regular,6
725 Camino Plaza,3,50.68,Luxury,7
2094 El Camino Real,1,10.79,Regular,2
2500 Alhambra Avenue,2,36.53,Luxury,14
2936 College Avenue,1,12.24,Pool,8
1615 Hill Road,3,31.64,Regular,2
2901 East Hastings Street,1,26.81,Luxury,13
400 Newpark Mall,2,22.26,Pool,5
2452 Watson Court,1,30.35,Luxury,11
1069 B Street,3,19.43,Regular,5
17705 Hale Avenue Ste. B3,1,26.20,Luxury,7
3400 Richmond Parkway,3,17.89,Pool,8
1785 San Carlos Avenue #2b,1,17.35,Pool,8
2400 Shady Willow Lane,1,25.19,Luxury,10
400 Newpark Mall,3,24.08,Regular,7
Amador Apartments,3,44.65,Luxury,13
1580 East Washington Street # 107,2,20.03,Pool,5
4204 Lone Tree Way,2,12.64,Pool,8
1425 Oregon Street,1,15.98,Luxury,9
1234 West 7th Street,1,7.02,Pool,3
200 Bolinas Road # 62,4,20.52,Regular,2
2327 Blanding Avenue STE D,1,21.57,Luxury,14
4058 18th Street A,1,19.86,Luxury,9
2290 California Street,3,28.42,Regular,7
2792 Pinole Valley Road,1,20.24,Luxury,13
37485 Fremont Boulevard B,2,23.41,Pool,4
2550 Mission Street,1,19.45,Luxury,7
500 Doyle Park Drive #200,3,18.22,Regular,6
318 Diablo Rd # 245,1,31.09,Luxury,13
321 Middlefield Road,4,27.78,Pool,4
100 North Wiget Lane,1,11.33,Pool,9
1400 California 1,2,45.81,Luxury,7
4141 Stevenson Boulevard,2,47.60,Luxury,11
877 West Fremont Avenue # K2,1,12.41,Pool,4
2621 Shadelands Drive,4,63.56,Luxury,9
"795 El Camino Real Jamplis Building, Level 1",2,14.93,Regular,6
2901 East Hastings Street,1,8.45,Pool,6
1422 Southwest 11th Avenue,2,22.49,Pool,3
235 West 46th Street,2,44.73,Luxury,8
3111 Mission College Boulevard,1,20.68,Regular,3
Halu Shabu Shabu,3,31.58,Luxury,14
46 Wharf Road,1,10.42,Regular,2
Tamashisoul,1,18.70,Luxury,13
3478 Camino Tassajara Ste B,1,22.53,Regular,6
1388 Locust Street,2,33.98,Regular,4
Sundale Arms,1,26.17,Luxury,14
10 Milland Drive,2,27.08,Regular,4
Sacramento Zoo,1,14.93,Regular,3
5720 Mowry School Road,2,40.77,Luxury,9
640 Hegenberger Road,2,30.17,Regular,7
100 Ellinwood Drive,1,16.25,Pool,4
1355 Lincoln Avenue,3,13.61,Pool,8
The Village Italian Restaurant,1,10.79,Regular,4
92nd Street Y,3,47.74,Luxury,7
Lemongrass Bistro,2,17.17,Regular,4
4300 Great America Parkway #156,1,23.86,Regular,2
Vin Antico,1,26.17,Luxury,8
3216 Mission Street,1,21.27,Luxury,11
Bacheesos,2,14.78,Pool,4
City Centre,1,14.13,Pool,4
901 Cole Street,1,7.10,Pool,8
6935 Camino Arroyo,1,12.64,Pool,4
Golden Rice Bowl,1,25.06,Luxury,12
Courtyard Villa Apartments,3,59.95,Luxury,14
836 Alturas Avenue # 7,1,12.22,Regular,6
1845 Willow Pass Road,1,21.23,Regular,2
Aldo Los Altos,1,23.88,Luxury,8
The National Gallery,1,14.64,Pool,3
100 Smith Ranch Road,4,37.76,Regular,2
2368 Junipero Serra Boulevard,1,22.82,Luxury,8
Flight Wine Bar & Cafe,1,18.46,Regular,5
1300 South Main Street,2,15.95,Pool,4
611 East 18th Street,3,41.83,Luxury,12
316 11th Street,2,36.47,Luxury,11
La Cabana,2,27.25,Luxury,9
Boston Music Room,2,37.21,Luxury,11
Sumo Japanese Restaurant,1,19.85,Luxury,13
Aung Maylika,3,30.16,Regular,3
1691 Monument Boulevard,1,13.44,Regular,4
Orchids Thai,1,34.84,Luxury,14
1920 Irving Street,3,26.33,Pool,6
10211 South De Anza Boulevard,3,50.70,Luxury,12
1264 Mendocino Avenue,1,14.44,Regular,7
658 Market Street,1,13.20,Pool,9
Lark Theater,2,17.11,Pool,6
1606 North Main Street,2,37.94,Luxury,12
Thymele Arts,2,45.35,Luxury,11
10000 Sir Francis Drake Boulevard,3,17.84,Pool,6
461 2nd Street,1,24.46,Regular,6
2244 Fillmore Street,1,21.91,Regular,2
12019 Saratoga Sunnyvale Road,3,27.21,Luxury,14
9025 Old Redwood Highway D,3,37.41,Luxury,9
"Public Art ""Urban Light""",1,18.45,Luxury,7
2509 Broadway,1,8.64,Pool,4
1111 Meridian Avenue Ste 5,1,14.87,Regular,6
1585 Casa Buena Drive,2,39.70,Luxury,11
Musa,1,7.40,Pool,8
638 El Camino Real,1,29.19,Luxury,7
401 Sherwood Drive,1,32.63,Luxury,13
1016 Santa Rosa Plaza,3,28.99,Pool,9
1200 Grant Avenue,1,15.86,Regular,7
17007 Redwood Road,1,30.78,Luxury,9
201 Vineyard Town Ctr,4,36.30,Regular,6
Sweeney's Grill And Bar,2,46.10,Luxury,7
Finn Town,2,24.45,Regular,6
Sushi Island,1,22.66,Regular,5
1900 Mowry Avenue Suite 101,3,41.50,Regular,5
Stephen J Pavlina Investments,1,6.84,Pool,7
"1820 Ogden Avenue Floor, 2",1,21.40,Regular,3
2800 California Street #101,4,33.38,Luxury,10
3200 Kearney Street Bldg 1,1,27.22,Luxury,13
381 South Van Ness Avenue,2,19.45,Regular,3
2593 South King Road,1,22.83,Luxury,12
Educated Palate Restaurant,1,17.01,Regular,3
Independence National Historical Park,2,15.49,Pool,9
Hidden Garden Apartments,3,58.84,Luxury,8
620 3rd Street,1,23.37,Luxury,9
1118 4th Street,3,58.68,Luxury,9
200 C Street,1,16.46,Pool,5
500 Larkspur Landing Circle,1,34.76,Luxury,8
400 Newpark Mall,1,29.99,Luxury,7
1599 Hopkins Street,1,32.04,Luxury,11
6000 Bollinger Canyon Road Suite 2300,1,12.90,Pool,8
1201 Locust Street,2,30.58,Luxury,7
6000 Bollinger Canyon Road Suite 2300,1,15.76,Luxury,11
15055 Los Gatos Boulevard,1,12.67,Regular,4
2490 First Street,1,20.92,Luxury,11
121 East 1st Street,2,34.76,Regular,7
2190 Eastridge Loop,2,30.86,Luxury,12
825 Middlefield Road,1,8.37,Pool,7
100 Washington Street,3,37.52,Regular,7
3111 Mission College Boulevard,2,20.69,Pool,5
1901 Junipero Serra Boulevard,1,26.25,Luxury,14
400 Newpark Mall,1,19.55,Regular,7
4175 Blackhawk Plaza Circle,1,28.05,Luxury,10
32100 Union Landing Boulevard,2,36.08,Luxury,9
400 Newpark Mall,3,22.15,Pool,8
2525 Sand Creek Road,1,20.81,Luxury,14
400 Newpark Mall,2,29.46,Regular,7
6868 McKinley Street,1,6.62,Pool,9
2550 Mission Street,3,40.20,Regular,3
5614 Bay Street Suite 220,1,15.67,Luxury,8
601 Van Ness Avenue,1,14.21,Regular,6
125 Crescent Drive,3,12.92,Pool,3
835 Market Street,1,25.70,Luxury,11
25 Throckmorton Avenue,4,37.86,Regular,3
1500 North Shoreline Boulevard,4,37.14,Regular,2
15555 East 14th Street,2,25.89,Regular,2
85 Santa Rosa Avenue,1,23.12,Luxury,14
3200 Klose Way,3,27.14,Pool,4
15555 East 14th Street,1,19.21,Luxury,8
2490 First Street,4,37.84,Regular,4
2190 Eastridge Loop,1,9.36,Pool,6
3111 Mission College Boulevard,3,34.52,Luxury,9
6000 Bollinger Canyon Road Suite 2300,2,14.99,Pool,4
Royal Botanic Gardens,1,11.91,Pool,8
2149 Chestnut Street,1,16.15,Luxury,10
409 Aviation Boulevard,1,14.81,Regular,6
620 3rd Street,2,46.51,Luxury,9
2525 Sand Creek Road,1,12.50,Pool,5
1901 Junipero Serra Boulevard,3,26.50,Pool,3
288 South 2nd Street,1,15.87,Pool,8
Vaucluse House,2,34.51,Luxury,10
6000 Bollinger Canyon Road Suite 2300,3,27.50,Pool,3
1875 South Bascom Avenue,1,16.81,Pool,8
43917 Pacific Commons Boulevard,2,20.01,Pool,7
4204 Lone Tree Way,1,14.65,Regular,5
500 Larkspur Landing Circle,1,16.82,Pool,9
6868 McKinley Street,1,13.61,Regular,7
949 El Camino Real,1,16.01,Luxury,11
2575 California Street #90,1,8.90,Pool,3
6868 McKinley Street,3,26.10,Regular,2
2855 Stevens Creek Boulevard Suite 2160,1,16.57,Pool,7
1 Embarcadero Center,2,28.21,Regular,4
32100 Union Landing Boulevard,1,17.36,Luxury,14
2190 Eastridge Loop,3,49.59,Luxury,7
4204 Lone Tree Way,1,14.85,Pool,6
2317 Central Avenue,1,10.90,Regular,3
750 Tennant Station,2,21.58,Regular,2
1118 4th Street,1,19.03,Luxury,7
200 C Street,1,30.96,Luxury,9
100 Washington Street,1,11.60,Regular,3
415 Center Street,2,19.04,Regular,4
15555 East 14th Street,1,7.92,Pool,6
43917 Pacific Commons Boulevard,3,22.86,Regular,6
42010 Blacow Road,3,56.86,Luxury,8
1188 El Camino Real 4th Floor,1,17.00,Pool,5
549 Magnolia Avenue,2,22.03,Luxury,8
6000 Bollinger Canyon Road Suite 2300,3,55.70,Luxury,8
620 3rd Street,1,19.20,Regular,7
620 3rd Street,3,27.09,Pool,8
200 C Street,2,31.40,Luxury,14
The Villa,3,26.12,Luxury,7
Cafe New Honolulu,1,23.62,Regular,7
5498 College Avenue,2,15.05,Regular,7
34050 Westchester Terrace,2,42.60,Luxury,8
John's Of Willow Glen,2,19.45,Pool,5
Four Star Theatre,2,23.38,Luxury,11
Atlanta,3,23.63,Pool,4
Montoya Garden Apartments,1,34.34,Luxury,10
Vancouver Aquarium,1,17.82,Luxury,11
491 30th Street #103,4,34.76,Regular,2
900 Blake Wilbur Drive 1st Floor,3,54.63,Luxury,8
4058 18th Street A,1,28.17,Luxury,12
Octavia,4,45.70,Luxury,13
San Vicente Restaurant,2,24.07,Regular,5
1646 Broadway Street,1,15.97,Regular,4
770 San Ramon Valley Boulevard,1,16.88,Luxury,9
660 Gail Avenue,2,23.90,Pool,6
Gum Kuo,1,6.22,Pool,5
226 Edelen Avenue,1,13.07,Pool,3
2550 El Camino Real,2,18.46,Regular,5
Lin Jia Asian Kitchen,1,31.32,Luxury,10
1270 Linford Lane,2,42.40,Luxury,8
Kusakabe,2,21.91,Pool,3
Capers Eat & Drink,4,47.16,Regular,7
7880 Wren Avenue,3,30.54,Regular,5
Peacock Indian Cuisine,1,16.87,Regular,5
10544 San Pablo Avenue,4,52.72,Luxury,13
140 Homer Avenue,3,47.04,Luxury,11
Ariake,1,15.46,Pool,6
4906 West El Camino Real # A,3,22.17,Pool,8
Newport Street Gallery,1,14.43,Pool,4
Bella Vista At Hilltop,4,19.00,Pool,9
Museum of Astronomy and Related Sciences,1,17.84,Regular,2
Astoria Park,4,66.66,Luxury,9
Century at Pacific Commons & XD,2,43.29,Luxury,14
290 Ioof Avenue,4,24.08,Regular,7
630 Drake Avenue,1,30.63,Luxury,7
5755 Cottle Road # 4,2,32.72,Regular,7
2516 Samaritan Drive,1,15.85,Luxury,11
101 Gregory Lane,3,28.91,Luxury,14
1150 Veterans Boulevard,2,8.73,Pool,6
301 Los Gatos-Saratoga Road,1,32.68,Luxury,14
975 Sereno Drive,1,32.47,Luxury,14
7200 Bancroft Ave # 125C,1,10.96,Pool,7
795 Willow Road #321,4,22.78,Pool,6
140 Mayhew Way # 702,2,21.57,Luxury,8
45 Quail Court # 200,1,12.35,Pool,7
1150 Veterans Boulevard,4,14.28,Pool,3
160 Saratoga Ave # 280,2,25.48,Regular,4
101 Gregory Lane,1,8.69,Pool,6
250 Bel Marin Keys Boulevard,2,24.98,Luxury,13
1150 Veterans Boulevard,1,6.48,Pool,7
845 El Camino Real,1,10.02,Pool,5
845 El Camino Real,1,34.05,Luxury,8
2455 Bennett Valley Road,2,25.41,Regular,2
5755 Cottle Road # 4,1,20.83,Regular,7
5755 Cottle Road # 4,2,15.63,Pool,9
45 San Clemente Drive b200,1,17.53,Luxury,14
327 North San Mateo Drive Suite 7,4,28.04,Regular,2
101 Gregory Lane,2,22.47,Luxury,13
534 B Street,2,13.70,Pool,6
2455 Bennett Valley Road,1,30.05,Luxury,10
1301 Ralston Avenue # C,1,34.59,Luxury,14
5755 Cottle Road # 4,3,17.96,Pool,5
87 East San Fernando Street,2,21.04,Pool,5
3284 El Camino Real,1,17.91,Luxury,8
716 Magnolia Avenue,2,23.94,Pool,5
601 Van Ness Avenue,1,15.91,Luxury,14
331 West Hacienda Avenue,2,23.00,Pool,6
316 North Santa Cruz Avenue,2,22.09,Luxury,12
1441 Polk Street,2,27.11,Luxury,10
2377 Shattuck Avenue,2,24.68,Luxury,13
2150 Chestnut Street,3,17.96,Pool,3
1560 Fillmore Street,1,16.64,Pool,5
1316 El Camino Real,2,25.87,Luxury,11
3268 Grand Avenue,2,19.54,Pool,7
24 Sunnyside Avenue,4,14.70,Pool,7
4869 Telegraph Avenue,3,34.49,Regular,5
2327 Shattuck Avenue,2,17.41,Pool,9
199 Seawall Drive,3,55.11,Luxury,14
211 San Mateo Road,2,30.69,Regular,4
194 Castro Street,2,46.98,Luxury,11
600 Redwood Highway,3,10.55,Pool,7
471 Haight Street,3,18.52,Pool,6
2116 Shattuck Avenue,3,29.48,Pool,4
808 Geary Street,2,33.62,Regular,4
3119 Clement Street,2,43.50,Luxury,7
134 Castro Street,2,22.71,Luxury,7
15475 Los Gatos Boulevard,1,26.82,Luxury,13
60 East 3rd Avenue,3,28.35,Pool,9
4 Embarcadero Center,3,48.36,Luxury,10
1062 Kiely Boulevard,2,27.65,Luxury,14
630 Park Court,1,18.80,Luxury,13
1825 Sutter Street #C,4,43.24,Regular,7
4239 Park Boulevard,2,38.03,Luxury,8
2083 Camden Avenue,2,39.60,Luxury,13
1801 Alemany Boulevard,2,18.14,Regular,3
1457 Lincoln Avenue,1,13.81,Pool,7
2960 North Shoreline Boulevard,2,45.59,Luxury,11
2355 Chestnut Street,2,24.69,Luxury,14
1261 Folsom Street,1,12.77,Pool,9
1599 Sanchez Street,1,17.97,Pool,9
Atami Sushi Bar & Grill,3,42.99,Regular,4
La Casita 2,2,35.82,Luxury,14
800 Pollard Road # B201,1,8.09,Pool,7
National Museum of Natural History,2,46.58,Luxury,14
100 Park Boulevard,1,11.00,Regular,7
Cascades Apartments,1,22.83,Regular,5
Eden Roc Apartments,3,19.99,Pool,7
503 West San Carlos Street,2,21.81,Luxury,14
Franchino,1,28.62,Luxury,14
Duchess Oakland,1,8.48,Pool,4
SkyJump,1,16.00,Pool,6
Park Branham Apartments,2,11.68,Pool,8
540 El Camino Real,1,22.68,Regular,2
Burke Museum of Natural History and Culture,2,14.62,Regular,4
The Garden Restaurant,1,26.53,Luxury,13
855 East Tabor Avenue,2,22.23,Luxury,13
2508,1,19.99,Luxury,13
Bowl & Plate At White Shallot,1,13.77,Pool,9
Bosque de Chapultepec,3,40.46,Regular,3
421-b March Avenue,3,30.09,Regular,3
Sticky Rice Chinese Bistro & Bar,4,14.18,Pool,3
Cafe Gibraltar,4,26.06,Regular,4
The San Diego Museum of Art,1,22.66,Luxury,9
3339 Walnut Avenue,1,10.55,Regular,4
China Station Restaurant,1,11.41,Regular,4
4067 Transport Street b,1,16.86,Pool,9
3945 24th Street,4,16.44,Pool,9
222 Great Mall Drive,2,34.93,Regular,6
National Maritime Museum,1,28.47,Luxury,11
Bloedel Conservatory,1,24.15,Regular,2
Earl Burns Miller Japanese Garden,1,30.43,Luxury,9
30 St Mary Axe (The Gherkin),1,21.17,Regular,2
Angel Stadium of Anaheim,2,13.32,Pool,8
Fresno Chaffee Zoo,1,13.19,Pool,8
Arte Carrillo Gil Museum,4,32.86,Pool,4
Sydney Harbour Bridge,1,17.97,Pool,8
Crystal Springs Rhododendron Garden,1,20.93,Luxury,10
Khan Market,2,13.77,Pool,5
Crystal Springs Rhododendron Garden,2,41.83,Luxury,14
Alki Beach Park,1,21.14,Regular,4
Christmas Tree Lane,3,23.54,Pool,5
Australian National Maritime Museum,2,41.48,Luxury,8
Bill Speidel's Underground Tour,1,34.79,Luxury,11
Burke Museum of Natural History and Culture,1,16.80,Regular,5
Adventure Island,2,27.80,Luxury,12
Dr. Sun Yat-Sen Classical Chinese Garden,1,6.56,Pool,3
Al-Farooq Masjid,1,24.80,Regular,2
Arizona Capitol Museum,4,35.28,Pool,7
9/11 Tribute Museum,2,13.38,Pool,8
360 CHICAGO,1,14.22,Pool,6
Bloedel Conservatory,1,21.68,Luxury,11
Philadelphia Museum of Art,2,47.38,Luxury,10
Bosque de Chapultepec,2,32.48,Luxury,8
Al-Farooq Masjid,2,13.00,Pool,7
Madame Tussauds Washington DC,1,25.30,Luxury,10
Acuario Inbursa,1,23.25,Regular,4
Al-Farooq Masjid,3,24.04,Pool,6
California State Capitol Museum,1,12.52,Regular,3
Arizona Capitol Museum,1,11.51,Pool,8
2225 Sharon Road,1,17.93,Pool,7
978 Almaden Lake Drive,3,25.15,Pool,4
1475 167th Avenue,1,15.61,Luxury,13
416 Boynton Avenue,1,20.70,Luxury,9
10944 San Pablo Avenue # 800,1,20.04,Regular,3
1901 Shore Line Drive,1,10.93,Pool,3
73 North Keeble Avenue,4,45.12,Regular,4
199 Aegean Way,1,17.74,Regular,6
1600 Buchanan Road,4,30.82,Luxury,8
611 Enterprise Drive,3,27.26,Pool,5
1550 Valley Glen Drive,1,17.13,Luxury,7
25100 Cypress Avenue,3,24.44,Regular,2
978 Almaden Lake Drive,3,25.58,Regular,4
2355 Fairfield Avenue,2,19.49,Pool,4
1546 Maurice Lane,4,45.04,Regular,3
1275 Central Boulevard,1,16.79,Luxury,12
5643 Charlotte Way,3,29.06,Regular,2
1059 Reed Avenue,2,21.26,Regular,5
16530 Monterey Road,1,17.91,Regular,5
660 Gail Avenue,1,20.17,Luxury,10
613 Cabot Way,1,22.53,Regular,4
301 Country View Lane # A,2,32.74,Regular,5
"Leasing Office, 6600 Montecito Boulevard",2,18.98,Pool,6
555 East El Camino Real,1,12.58,Pool,8
859 University Avenue,1,9.15,Pool,9
199 Aegean Way,1,34.04,Luxury,13
1688 Clayton Road,2,19.74,Regular,4
3500 Pennsylvania Avenue # 101,2,30.15,Luxury,14
5005 Montoya Avenue,2,21.86,Pool,3
3820 Park Boulevard,4,22.86,Pool,9
100 Devon Avenue,1,22.46,Regular,7
1282 Mattox Road,4,25.26,Pool,7
1241 Arnold Drive,1,15.18,Pool,5
240 Kottinger Drive,1,24.69,Luxury,13
1633 Marina Court,3,15.00,Pool,5
3500 Pennsylvania Avenue # 101,3,57.11,Luxury,13
25173 Cypress Avenue,1,17.33,Luxury,13
4656 Quigg Drive,1,12.43,Regular,6
1546 Maurice Lane,1,8.07,Pool,3
20667 Forge Way,3,29.20,Pool,8
26100 Gading Road,1,31.00,Luxury,12
40001 Fremont Boulevard,1,17.35,Regular,3
6221 Montecito Boulevard,3,28.18,Regular,7
111 Seminary Drive,2,48.25,Luxury,11
4748 West Campbell Avenue,2,23.38,Pool,3
900 Cambridge Drive,1,16.32,Pool,4
2000 Shoreline Loop,3,46.82,Luxury,7
275 Hawthorne Avenue,3,29.27,Regular,3
400 East Remington Drive,1,12.33,Regular,6
1010 Power Avenue,1,16.12,Regular,3
1400 A Street,2,21.50,Luxury,12
947 Branham Lane # C,3,30.03,Pool,7
Chop Shop,2,24.00,Luxury,12
Kaufmann Concert Hall,3,19.35,Pool,6
The Observatory North Park,1,17.19,Luxury,13
Tristan Bates Theatre,1,15.47,Luxury,12
Studio C Artists,3,45.38,Luxury,9
The Foundry,1,19.18,Regular,7
The Artistic Home,4,35.82,Luxury,7
520 8th Ave. - Personal Valet Parking,2,22.95,Regular,3
Amba Hotel Charing Cross,2,34.49,Luxury,12
Albert & Janet Schultz Cultural Arts Hall,1,15.40,Pool,3
The Foundry,4,23.28,Regular,7
