check_in_date,destination,has_wifi,hotel_name,number_of_days,number_of_rooms,phone_number,price_per_night,star_rating,street_address
,Sacramento,TRUE,Embassy Suites By Hilton Sacramento Riverfront Promenade,,,+1 916-326-5000,306,3,100 Capitol Mall
,Sacramento,TRUE,Fairfield Inn By Marriott Sacramento Cal Expo,,,+1 916-920-5300,192,2,1780 Tribute Road
,Sacramento,TRUE,Four Points By Sheraton Sacramento International Airport,,,+1 916-263-9000,102,3,4900 Duckhorn Drive
,Sacramento,TRUE,Hilton Garden Inn Sacramento/South Natomas,,,+1 916-568-5400,180,3,2540 Venture Oaks Way
,Sacramento,TRUE,Hilton Sacramento Arden West,,,+1 916-922-4700,60,3,2200 Harvard Street
,Sacramento,TRUE,Holiday Inn Express Sacramento Convention Center,,,+1 916-444-4436,279,3,728 16th Street
,Sacramento,TRUE,Holiday Inn Sacramento Downtown - Arena,,,+1 916-446-0100,180,3,300 J Street
,Sacramento,TRUE,Best Western Plus Sutter House,,,+1 916-441-1314,72,1,1100 H Street
,Toronto,FALSE,Bisha Hotel Toronto,,,+1 416-551-2800,232,4,80 Blue Jays Way
,Toronto,FALSE,Cambridge Suites Toronto,,,+1 800-463-1990,136,4,15 Richmond Street East
,Toronto,FALSE,Comfort Inn Toronto North,,,+1 416-736-4700,136,2,"66 Norfinch Drive, North York, Ontario M3N 1X1, Canada"
,Toronto,FALSE,Best Western Plus Toronto North York Hotel & Suites,,,+1 416-663-9500,180,3,50 Norfinch Drive
,Nairobi,FALSE,Azure Hotel Nairobi Westlands,,,+254 709 716000,200,3,Lantana Road
,Nairobi,FALSE,Crowne Plaza Nairobi,,,+254 719 096000,408,3,"Kenya Road, Upper Hill"
,Nairobi,FALSE,Crowne Plaza Nairobi Airport,,,+254 709 222444,396,3,First Freight Lane Jomo Kenyatta International Airport
,Nairobi,FALSE,Doubletree By Hilton Nairobi Hurlingham,,,+254 709 090000,300,3,Ngong Lane Ngong Road
,Nairobi,FALSE,Dusitd2 Nairobi,,,+254 787 657000,300,3,14 Riverside Westlands
,Nairobi,FALSE,Eka Hotel Nairobi,,,+254 719 045000,240,3,"Eka Hotel, Along Mombasa Road"
,Nairobi,FALSE,Four Points By Sheraton Nairobi Airport,,,+254 709 760000,324,3,9042/1044 Tower Avenue Jomo Kenyatta Intl Airport
,Nairobi,FALSE,Hemingways Nairobi,,,+254 711 032000,200,3,Mbagathi Ridge
,Nairobi,FALSE,Hilton Garden Inn Nairobi Airport,,,+254 20 4075000,224,3,Jomo Kenyatta International Airport Mombasa Road
,Philadelphia,TRUE,Aka University City,,,+1 215-372-9000,342,3,"Cira Centre South, 2929 Walnut Street"
,Portland,TRUE,Aloft Portland Airport At Cascade Station,,,+1 503-200-5678,114,3,9920 Northeast Cascades Parkway
,Portland,TRUE,Best Western Plus Portland Airport Hotel & Suites,,,+1 503-251-9991,88,2,11938 Northeast Airport Way
,Portland,TRUE,Canopy By Hilton Portland Pearl District,,,+1 971-351-0230,84,4,425 Northwest 9th Avenue
,Portland,TRUE,Comfort Inn & Suites Portland Airport,,,+1 503-252-6397,216,2,5019 Northeast 102nd Avenue
,Portland,TRUE,"Country Inn & Suites By Radisson, Portland International Airport, Or",,,+1 503-255-2700,78,3,7025 Northeast Alderwood Road
,Portland,TRUE,Courtyard By Marriott Portland Airport,,,+1 503-252-3200,243,3,11550 Northeast Airport Way
,Portland,TRUE,Courtyard By Marriott Portland City Center,,,+1 503-505-5000,216,3,550 Southwest Oak Street
,Portland,TRUE,Courtyard By Marriott Portland Downtown/Convention Center,,,+1 503-234-3200,126,3,435 Northeast Wasco Street
,Portland,TRUE,Crowne Plaza Portland-Downtown Conv Ctr,,,+1 503-233-2401,342,3,1441 Northeast 2nd Avenue
,Portland,TRUE,Dossier,,,+1 877-628-4408,276,4,750 Southwest Alder Street
,Portland,TRUE,Canopy By Hilton Portland Pearl District,,,+1 971-351-0230,84,3,425 Northwest 9th Avenue
,Portland,TRUE,Dossier,,,+1 877-628-4408,276,3,750 Southwest Alder Street
,Portland,TRUE,Doubletree By Hilton Hotel Portland,,,+1 503-281-6111,120,3,1000 Northeast Multnomah Street
,Portland,TRUE,Embassy Suites By Hilton Portland Downtown,,,+1 503-279-9000,104,3,319 Southwest Pine Street
,Seattle,TRUE,Ace Hotel Seattle,,,+1 206-448-4721,180,2,2423 1st Avenue
,Sydney,FALSE,57 Hotel,,,+61 2 9011 5756,140,4,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia"
,Sydney,FALSE,Adina Apartment Hotel Sydney Central,,,+61 2 8396 9800,92,4,"2 Lee Street, Haymarket New South Wales 2000, Australia"
,Sydney,FALSE,28 Hotel Sydney,,,+61 2 9102 2828,312,1,"28 Regent Street, Chippendale New South Wales 2008, Australia"
,Sydney,FALSE,57 Hotel,,,+61 2 9011 5756,140,1,"57 Foveaux Street, Surry Hills New South Wales 2010, Australia"
,Sydney,FALSE,Adina Apartment Hotel Bondi Beach Sydney,,,+61 2 9300 4800,288,1,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia"
,Sydney,FALSE,Adina Apartment Hotel Coogee Sydney,,,+61 2 9578 6000,256,1,"183 Coogee Bay Road, Coogee New South Wales 2034, Australia"
,Sydney,FALSE,Adina Apartment Hotel Sydney Airport,,,+61 2 9381 2000,288,1,"17 Bourke Road, Mascot New South Wales 2020, Australia"
,Sydney,FALSE,Adina Apartment Hotel Sydney Central,,,+61 2 8396 9800,92,1,"2 Lee Street, Haymarket New South Wales 2000, Australia"
,Sydney,FALSE,Adina Apartment Hotel Sydney Darling Harbour,,,+61 2 9249 7000,240,1,55 Shelley Street
,Sydney,FALSE,Adina Apartment Hotel Sydney Surry Hills,,,+61 2 8302 1000,408,1,"359 Crown Street, Surry Hills New South Wales 2010, Australia"
,Sydney,FALSE,Adina Apartment Hotel Sydney Town Hall,,,+61 2 9274 0000,456,1,511 Kent Street
,Sydney,FALSE,Adina Serviced Apartments Sydney Martin Place (Formerly Medina),,,+61 1300 633 462,276,1,1 Hosking Place
,Sydney,FALSE,Adina Apartment Hotel Bondi Beach Sydney,,,+61 2 9300 4800,456,1,"69/73 Hall Street, Bondi Beach New South Wales 2026, Australia"
,Anaheim,TRUE,Anaheim Desert Inn And Suites,,,+1 714-772-5050,54,2,1600 South Harbor Boulevard
,San Diego,TRUE,Bahia Resort Hotel,,,+1 858-539-8666,96,3,998 West Mission Bay Drive
,San Diego,TRUE,Best Western Mission Bay,,,+1 619-275-5700,100,2,2575 Clairemont Drive
,San Diego,TRUE,Best Western Plus Bayside Inn,,,+1 619-233-7500,270,3,555 West Ash Street
,San Diego,TRUE,Best Western Plus Hacienda Hotel Old Town,,,+1 619-298-4707,162,3,4041 Harney Street
,San Diego,TRUE,Best Western Plus Island Palms Hotel & Marina,,,+1 619-222-0561,174,3,2051 Shelter Island Drive
,San Diego,TRUE,Best Western San Diego/Miramar Hotel,,,+1 858-578-6600,66,2,9310 Kearny Mesa Road
,San Diego,TRUE,Best Western Seven Seas,,,+1 619-291-1300,168,3,411 Hotel Circle South
,San Diego,TRUE,Best Western Yacht Harbor Hotel,,,+1 619-224-3254,180,2,5005 North Harbor Drive
,San Diego,TRUE,Blue Sea Beach Hotel,,,+1 858-488-4700,180,3,707 Pacific Beach Drive
,San Diego,TRUE,Capri By The Sea By All Seasons Resort Lodging,,,+1 858-483-6110,315,3,4767 Ocean Boulevard
,San Diego,TRUE,Bahia Resort Hotel,,,+1 858-539-8666,252,3,998 West Mission Bay Drive
,Sacramento,TRUE,Best Western Plus Sutter House,,,+1 916-441-1314,54,1,1100 H Street
,Las Vegas,TRUE,Best Western Plus Las Vegas West,,,+1 702-256-3766,261,1,8669 West Sahara Avenue
,Las Vegas,TRUE,Budget Suites Of America,,,+1 702-638-1800,105,1,2219 North Rancho Drive
,Las Vegas,TRUE,Hampton Inn Las Vegas/Summerlin,,,+1 702-360-5700,351,1,7100 Cascade Valley Court
,Las Vegas,TRUE,La Quinta Inn & Suites By Wyndham Las Vegas Summerlin Tech,,,+1 702-360-1200,138,1,7101 Cascade Valley Court
,Las Vegas,TRUE,Oasis At Gold Spike,,,+1 702-768-9823,297,1,217 Las Vegas Boulevard North
,Las Vegas,TRUE,Thunderbird Boutique Hotel,,,+1 702-489-7500,168,1,1215 South Las Vegas Boulevard
,Las Vegas,TRUE,Budget Suites Of America,,,+1 702-638-1800,69,1,2219 North Rancho Drive
,Delhi,FALSE,Aloft New Delhi Aerocity,,,+91 11 4565 0000,432,4,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
,Delhi,FALSE,Aloft New Delhi Aerocity,,,+91 11 4565 0000,176,1,"5B Igi T3 Road, Delhi - Ajmer Expressway, Aerocity, New Delhi"
,Delhi,FALSE,Andaz Delhi - A Concept By Hyatt,,,+91 11 4903 1234,320,1,"Asset, Street Number 1, New Delhi"
,Delhi,FALSE,Bloomrooms @ New Delhi Railway Station,,,+91 11 4122 5666,99,1,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
,Delhi,FALSE,Calista Resort,,,+91 11 4103 4591,228,1,"37/2-4 Old, National Highway 48, Kapas Hera, New Delhi"
,Delhi,FALSE,Crowne Plaza New Delhi Mayur Vihar Noida,,,+91 11 4110 2222,216,1,"13 B, District Centre, Mayur Vihar, New Delhi"
,Delhi,FALSE,Crowne Plaza New Delhi Okhla,,,+91 11 4646 2000,170,1,"Plot No 1, Community Center, Okhla Phase I, New Delhi"
,Delhi,FALSE,Deemarks Hotel & Resorts Conference Venues Corporate Event In Mahipalpur Near Airport In South Delhi,,,+91 11 2506 0721,252,1,"Shiv Murti, Nh-8, Delhi - Jaipur Expressway, Rangpuri, New Delhi"
,Delhi,FALSE,Fortune Select Global - Hotel In Gurgaon,,,+91 124 419 6666,92,1,"Global Arcade, Mehrauli-Gurgaon Road, Gurugram, Haryana 122002, India"
,Delhi,FALSE,"Four Points By Sheraton New Delhi, Airport Highway",,,+91 11 6604 0000,348,1,"Plot no 9, National Highway - 8, Samalka, New Delhi"
,Delhi,FALSE,Haveli Dharampura,,,+91 11 2326 1000,232,1,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
,Delhi,FALSE,Bloomrooms @ New Delhi Railway Station,,,+91 11 4122 5666,252,1,"8591, Arakashan Road, Opp New Delhi Railway Station, New Delhi"
,Seattle,TRUE,Best Western Plus Pioneer Square Hotel Downtown,,,+1 206-340-1234,216,3,77 Yesler Way
,Chicago,TRUE,Ac Hotel By Marriott Chicago Downtown,,,+1 312-981-6600,192,3,630 North Rush Street
,Chicago,TRUE,Ace Hotel Chicago,,,+1 312-764-1919,216,4,311 North Morgan Street
,Chicago,TRUE,Aloft Chicago Downtown River North,,,+1 312-661-1000,87,3,515 North Clark Street
,Chicago,TRUE,Aloft Chicago Mag Mile,,,+1 312-429-6600,102,3,243 East Ontario Street
,Chicago,TRUE,Ambassador Chicago,,,+1 888-506-3471,372,4,1301 North State Parkway
,Chicago,TRUE,Best Western Grant Park Hotel,,,+1 312-922-2900,156,2,1100 South Michigan Avenue
,Chicago,TRUE,Best Western Plus Hawthorne Terrace Hotel,,,+1 773-244-3434,162,2,3434 N Broadway Ave
,Chicago,TRUE,Best Western River North Hotel,,,+1 312-467-0800,210,3,125 West Ohio Street
,Chicago,TRUE,Cambria Hotel Chicago Magnificent Mile,,,+1 312-787-6000,160,4,166 East Superior Street
,Chicago,TRUE,Ac Hotel By Marriott Chicago Downtown,,,+1 312-981-6600,192,1,630 North Rush Street
,Chicago,TRUE,Ace Hotel Chicago,,,+1 312-764-1919,216,1,311 North Morgan Street
,Chicago,TRUE,Aloft Chicago Downtown River North,,,+1 312-661-1000,87,1,515 North Clark Street
,Chicago,TRUE,Aloft Chicago Mag Mile,,,+1 312-429-6600,102,1,243 East Ontario Street
,Chicago,TRUE,Ambassador Chicago,,,+1 888-506-3471,372,1,1301 North State Parkway
,Chicago,TRUE,Best Western Grant Park Hotel,,,+1 312-922-2900,156,1,1100 South Michigan Avenue
,Chicago,TRUE,Best Western Plus Hawthorne Terrace Hotel,,,+1 773-244-3434,162,1,3434 N Broadway Ave
,Chicago,TRUE,Best Western River North Hotel,,,+1 312-467-0800,210,1,125 West Ohio Street
,Chicago,TRUE,Cambria Hotel Chicago Magnificent Mile,,,+1 312-787-6000,160,1,166 East Superior Street
,Kuala Lumpur,FALSE,Alila Bangsar,,,+60 3-2268 3888,180,5,"East Side, 58, Jalan Ang Seng, Brickfields, 50470"
,Kuala Lumpur,FALSE,Aloft Kuala Lumpur Sentral,,,+60 3-2723 1188,240,4,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Ancasa Hotel & Spa Kuala Lumpur,,,+60 3-2026 6060,114,3,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Arenaa Star Hotel,,,+60 3-2078 0988,156,3,"49-51, Jalan Hang Lekiu, 50100"
,Kuala Lumpur,FALSE,Banyan Tree Kuala Lumpur,,,+60 3-2113 1888,555,5,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Citin Hotel Masjid Jamek,,,+60 3-2693 2999,63,3,"33, Jalan Melayu, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Cititel Mid Valley,,,+60 3-2296 1188,162,3,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Concorde Hotel Kuala Lumpur,,,+60 3-2144 2200,124,4,"2, Jalan Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Container Hotel,,,+60 12-702 2851,104,2,"Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Corus Hotel Kuala Lumpur,,,+60 3-2161 8888,288,4,"Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Wilayah Persekutuan"
,Kuala Lumpur,FALSE,Aloft Kuala Lumpur Sentral,,,+60 3-2723 1188,156,4,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan"
,New York,TRUE,1 Hotel Brooklyn Bridge,,,+1 833-625-6111,112,4,"60 Furman Street, Brooklyn"
,Anaheim,TRUE,Anaheim Desert Inn And Suites,,,+1 714-772-5050,128,1,1600 South Harbor Boulevard
,Anaheim,TRUE,Anaheim Majestic Garden Hotel,,,+1 714-778-1700,96,1,900 South Disneyland Drive
,Anaheim,TRUE,Anaheim Portofino Inn & Suites,,,+1 800-341-6301,96,1,1831 South Harbor Boulevard
,Anaheim,FALSE,Anaheim Rv Park,,,+1 714-774-3860,50,1,200 West Midway Drive
,Anaheim,TRUE,Ayres Hotel Anaheim,,,+1 714-634-2106,342,1,2550 East Katella Avenue
,Anaheim,TRUE,Best Western Plus Anaheim Inn,,,+1 714-774-1050,138,1,1630 South Harbor Boulevard
,Anaheim,TRUE,Best Western Plus Park Place Inn - Mini Suites,,,+1 714-776-4800,333,1,1544 South Harbor Boulevard
,Anaheim,TRUE,Best Western Plus Raffles Inn & Suites,,,+1 714-750-6100,64,1,2040 South Harbor Boulevard
,Anaheim,TRUE,Best Western Plus Stovall'S Inn,,,+1 714-778-1880,66,1,1110 West Katella Avenue
,Anaheim,TRUE,Anaheim Desert Inn And Suites,,,+1 714-772-5050,54,1,1600 South Harbor Boulevard
,Sacramento,TRUE,Homewood Suites By Hilton Sacramento Airport-Natomas,,,+1 916-263-9510,216,3,3001 Advantage Way
,Sacramento,TRUE,Hyatt Regency Sacramento,,,+1 916-443-1234,160,3,1209 L Street
,Sacramento,TRUE,Courtyard By Marriott Sacramento Midtown,,,+1 916-455-6800,297,3,4422 Y Street
,Washington D.C.,TRUE,Arc The.Hotel,,,+1 202-337-6620,333,1,"824 New Hampshire Avenue Northwest, Washington, District of Columbia 20037, United States"
,Washington D.C.,TRUE,"Cambria Hotel Washington, D.C. Convention Center",,,+1 202-299-1188,261,1,"899 O Street Northwest, Washington, District of Columbia 20001, United States"
,Washington D.C.,TRUE,Capitol Hill Hotel,,,+1 202-543-6000,342,1,"200 C Street Southeast, Washington, DC 20003, USA"
,Washington D.C.,TRUE,"Club Quarters Hotel In Washington, D.C.",,,+1 202-463-6400,342,1,"839 17th Street Northwest, Washington, District of Columbia 20006, United States"
,Washington D.C.,TRUE,Comfort Inn Downtown Dc/Convention Center,,,+1 202-682-5300,204,1,"1201 13th Street Northwest, Washington, District of Columbia 20005, United States"
,Washington D.C.,TRUE,Courtyard By Marriott Washington Capitol Hill/Navy Yard,,,+1 202-479-0027,324,1,"140 L Street Southeast, Washington, DC 20003, USA"
,Washington D.C.,TRUE,Courtyard By Marriott Washington Downtown/Convention Center,,,+1 202-589-1800,252,1,"901 L Street Northwest, Washington, DC 20001, USA"
,Washington D.C.,TRUE,"Courtyard By Marriott Washington, Dc/Dupont Circle",,,+1 202-332-9300,225,1,"1900 Connecticut Avenue Northwest, Washington, DC 20009, USA"
,Washington D.C.,TRUE,"Courtyard By Marriott Washington, Dc/Foggy Bottom",,,+1 202-296-5700,216,1,"515 20th Street Northwest, Washington, DC 20006, USA"
,Washington D.C.,TRUE,Capitol Hill Hotel,,,+1 202-543-6000,306,1,"200 C Street Southeast, Washington, DC 20003, USA"
,Los Angeles,TRUE,Ac Hotel By Marriott Beverly Hills,,,+1 323-852-7000,156,2,6399 Wilshire Boulevard
,Los Angeles,TRUE,Airtel Plaza Hotel,,,+1 800-224-7835,75,3,"7277 Valjean Avenue, Van Nuys, California 91406, United States"
,Los Angeles,TRUE,Banana Bungalow - Hollywood Hostel,,,+1 323-469-2500,40,1,"5920 Hollywood Boulevard, Hollywood, CA 90028, USA"
,Los Angeles,TRUE,Best Western Burbank Airport Inn,,,+1 818-765-2900,261,3,"7615 Lankershim Boulevard, North Hollywood, California 91605, United States"
,Los Angeles,TRUE,Best Western Hollywood Plaza Inn,,,+1 323-851-1800,168,2,"2011 North Highland Avenue, Hollywood, California 90068, United States"
,Los Angeles,TRUE,Best Western Los Angeles Worldport Hotel,,,+1 310-834-3400,76,2,"1402 West Pacific Coast Highway, Wilmington, California 90744, United States"
,Los Angeles,TRUE,Best Western Plus Dragon Gate Inn,,,+1 213-617-3077,54,2,818 North Hill Street
,Los Angeles,TRUE,Best Western Plus Hollywood Hills Hotel,,,+1 323-464-5181,156,2,"6141 Franklin Avenue, Hollywood, California 90028, United States"
,Los Angeles,TRUE,Best Western Plus San Pedro Hotel & Suites,,,+1 310-514-1414,198,3,"111 South Gaffey Street, San Pedro, California 90731, United States"
,Los Angeles,TRUE,Beverly Hills Marriott,,,+1 310-553-6561,384,4,1150 South Beverly Drive
,Los Angeles,TRUE,Ac Hotel By Marriott Beverly Hills,,,+1 323-852-7000,234,2,6399 Wilshire Boulevard
,Toronto,FALSE,Delta Hotels By Marriott Toronto East,,,+1 416-299-1500,96,4,"2035 Kennedy Road, Scarborough, Ontario M1T 3G2, Canada"
,Toronto,FALSE,Doubletree By Hilton Hotel Toronto Downtown,,,+1 416-977-5000,276,4,108 Chestnut Street
,Toronto,FALSE,Executive Hotel Cosmopolitan Toronto,,,+1 855-958-3488,360,4,8 Colborne Street
,Toronto,FALSE,Intercontinental Toronto Yorkville,,,+1 416-960-5200,276,4,220 Bloor Street West
,Toronto,FALSE,Le Germain Hotel Toronto Maple Leaf Square,,,+1 888-940-7575,120,4,75 Bremner Boulevard
,Toronto,FALSE,Le Germain Hotel Toronto Mercer,,,+1 866-345-9501,132,4,30 Mercer Street
,Toronto,FALSE,Marriott Downtown At Cf Toronto Eaton Centre,,,+1 416-597-9200,92,4,525 Bay Street
,Toronto,FALSE,Radisson Admiral Hotel Toronto-Harbourfront,,,+1 416-203-3333,372,4,249 Queens Quay West
,Toronto,FALSE,Cambridge Suites Toronto,,,+1 800-463-1990,252,4,15 Richmond Street East
,Sacramento,TRUE,Best Western Plus Sutter House,,,+1 916-441-1314,44,1,1100 H Street
,Los Angeles,TRUE,Crowne Plaza Los Angeles Airport,,,+1 310-642-7500,104,4,5985 West Century Boulevard
,Los Angeles,TRUE,Four Seasons Hotel Los Angeles At Beverly Hills,,,+1 310-273-2222,390,4,300 Doheny Drive
,Los Angeles,TRUE,Hilton Checkers Los Angeles,,,+1 213-624-0000,336,4,535 South Grand Avenue
,Los Angeles,TRUE,Hilton Los Angeles Airport,,,+1 310-410-4000,100,4,5711 West Century Boulevard
,Los Angeles,TRUE,Hilton Woodland Hills/Los Angeles,,,+1 818-595-1000,88,4,"6360 Canoga Avenue, Woodland Hills, California 91367, United States"
,Los Angeles,TRUE,Intercontinental Los Angeles Century City,,,+1 310-284-6500,248,4,2151 Avenue of the Stars
,Los Angeles,TRUE,Intercontinental Los Angeles Downtown,,,+1 213-688-7777,456,4,900 Wilshire Boulevard
,Los Angeles,TRUE,Kimpton Everly Hotel,,,+1 213-279-3532,288,4,1800 Argyle Avenue
,Los Angeles,TRUE,Kimpton Hotel Palomar Los Angeles Beverly Hills,,,+1 310-475-8711,372,4,10740 Wilshire Boulevard
,Los Angeles,TRUE,Crowne Plaza Los Angeles Airport,,,+1 310-642-7500,192,4,5985 West Century Boulevard
,Fresno,TRUE,Doubletree By Hilton Hotel Fresno Convention Center,,,+1 559-268-1000,222,3,2233 Ventura Street
,Fresno,TRUE,La Quinta Inn By Wyndham Fresno Yosemite,,,+1 559-442-1110,104,2,2926 Tulare Street
,Fresno,TRUE,Piccadilly Inn Airport,,,+1 559-375-7760,297,3,5115 East McKinley Avenue
,Fresno,TRUE,Radisson Hotel Fresno Conference Center,,,+1 559-233-6650,120,3,1055 Van Ness Avenue
,Fresno,TRUE,Springhill Suites By Marriott Fresno,,,+1 888-287-9400,207,3,6844 North Fresno Street
,Fresno,TRUE,Doubletree By Hilton Hotel Fresno Convention Center,,,+1 559-268-1000,252,3,2233 Ventura Street
,Paris,FALSE,Ac Hotel By Marriott Paris Porte Maillot,,,+33 1 84 82 49 09,432,4,"6 Rue Gustave Charpentier, 75017"
,London,FALSE,45 Park Lane,,,+44 20 7493 4545,230,2,45 Park Lane
,London,FALSE,Abc Hyde Park Hotel,,,+44 20 7706 4660,186,2,121 Sussex Gardens
,London,FALSE,Accommodation London Bridge,,,+44 20 7403 4299,207,2,58 Great Dover Street
,London,FALSE,Ace Hotel London,,,+44 20 7613 9800,264,2,100 Shoreditch High Street
,London,FALSE,Airways Hotel London Victoria,,,+44 20 7834 0205,297,2,29-31 Saint George's Drive
,London,FALSE,Amba Hotel Charing Cross,,,+44 871 376 9012,276,2,Strand
,London,FALSE,Amba Hotel Marble Arch,,,+44 800 330 8523,288,2,Bryanston Street
,London,FALSE,Ambassadors Bloomsbury Hotel,,,+44 20 7388 9930,396,2,12 Upper Woburn Place
,London,FALSE,Ambassadors Hotel,,,+44 20 7373 1075,69,2,16 Collingham Road
,London,FALSE,Antoinette Hotel Wimbledon,,,+44 20 8543 4222,192,2,"The Broadway SW19 1SD, United Kingdom"
,London,FALSE,45 Park Lane,,,+44 20 7493 4545,290,2,45 Park Lane
,Las Vegas,TRUE,Best Western Plus Las Vegas West,,,+1 702-256-3766,174,2,8669 West Sahara Avenue
,Las Vegas,TRUE,Hampton Inn Las Vegas/Summerlin,,,+1 702-360-5700,192,2,7100 Cascade Valley Court
,Las Vegas,TRUE,La Quinta Inn & Suites By Wyndham Las Vegas Summerlin Tech,,,+1 702-360-1200,138,2,7101 Cascade Valley Court
,Las Vegas,TRUE,Oasis At Gold Spike,,,+1 702-768-9823,108,2,217 Las Vegas Boulevard North
,Las Vegas,TRUE,Thunderbird Boutique Hotel,,,+1 702-489-7500,68,2,1215 South Las Vegas Boulevard
,Las Vegas,TRUE,Best Western Plus Las Vegas West,,,+1 702-256-3766,306,2,8669 West Sahara Avenue
,Chicago,TRUE,Aloft Chicago Downtown River North,,,+1 312-661-1000,186,3,515 North Clark Street
,Chicago,TRUE,Aloft Chicago Mag Mile,,,+1 312-429-6600,180,3,243 East Ontario Street
,Chicago,TRUE,Chicago Athletic Association,,,+1 312-940-3552,372,4,12 South Michigan Avenue
,Chicago,TRUE,Chicago Marriott Downtown Magnificent Mile,,,+1 312-836-0100,272,4,540 North Michigan Avenue
,Chicago,TRUE,Crowne Plaza Chicago West Loop,,,+1 312-829-5000,276,4,25 South Halsted Street
,Chicago,TRUE,Hilton Chicago O'Hare Airport,,,+1 773-686-8000,240,4,10000 West O'Hare Avenue
,Chicago,TRUE,Hilton Chicago/Magnificent Mile Suites,,,+1 312-664-1100,408,4,198 East Delaware Place
,Chicago,TRUE,"Hotel Emc2, Autograph Collection",,,+1 312-915-0000,264,4,228 East Ontario Street
,Chicago,TRUE,Hotel Felix,,,+1 877-848-4040,324,4,111 West Huron Street
,Chicago,TRUE,Ambassador Chicago,,,+1 888-506-3471,348,4,1301 North State Parkway
,Los Angeles,TRUE,Ac Hotel By Marriott Beverly Hills,,,+1 323-852-7000,156,1,6399 Wilshire Boulevard
,Los Angeles,TRUE,Airtel Plaza Hotel,,,+1 800-224-7835,75,1,"7277 Valjean Avenue, Van Nuys, California 91406, United States"
,Los Angeles,TRUE,Best Western Burbank Airport Inn,,,+1 818-765-2900,261,1,"7615 Lankershim Boulevard, North Hollywood, California 91605, United States"
,Los Angeles,TRUE,Best Western Hollywood Plaza Inn,,,+1 323-851-1800,168,1,"2011 North Highland Avenue, Hollywood, California 90068, United States"
,Los Angeles,TRUE,Best Western Los Angeles Worldport Hotel,,,+1 310-834-3400,76,1,"1402 West Pacific Coast Highway, Wilmington, California 90744, United States"
,Los Angeles,TRUE,Best Western Plus Dragon Gate Inn,,,+1 213-617-3077,54,1,818 North Hill Street
,Los Angeles,TRUE,Best Western Plus Hollywood Hills Hotel,,,+1 323-464-5181,156,1,"6141 Franklin Avenue, Hollywood, California 90028, United States"
,Los Angeles,TRUE,Best Western Plus San Pedro Hotel & Suites,,,+1 310-514-1414,198,1,"111 South Gaffey Street, San Pedro, California 90731, United States"
,Los Angeles,TRUE,Beverly Hills Marriott,,,+1 310-553-6561,384,1,1150 South Beverly Drive
,Nairobi,FALSE,Azure Hotel Nairobi Westlands,,,+254 709 716000,135,1,Lantana Road
,Nairobi,FALSE,Crowne Plaza Nairobi,,,+254 719 096000,116,1,"Kenya Road, Upper Hill"
,Nairobi,FALSE,Crowne Plaza Nairobi Airport,,,+254 709 222444,396,1,First Freight Lane Jomo Kenyatta International Airport
,Nairobi,FALSE,Doubletree By Hilton Nairobi Hurlingham,,,+254 709 090000,300,1,Ngong Lane Ngong Road
,Nairobi,FALSE,Dusitd2 Nairobi,,,+254 787 657000,300,1,14 Riverside Westlands
,Nairobi,FALSE,Eka Hotel Nairobi,,,+254 719 045000,240,1,"Eka Hotel, Along Mombasa Road"
,Nairobi,FALSE,Four Points By Sheraton Nairobi Airport,,,+254 709 760000,112,1,9042/1044 Tower Avenue Jomo Kenyatta Intl Airport
,Nairobi,FALSE,Hemingways Nairobi,,,+254 711 032000,200,1,Mbagathi Ridge
,Nairobi,FALSE,Hilton Garden Inn Nairobi Airport,,,+254 20 4075000,124,1,Jomo Kenyatta International Airport Mombasa Road
,Nairobi,FALSE,Ibis Styles Hotel Westlands Nairobi,,,+254 20 7757000,189,1,"Ibis Styles Hotel Westlands, Kenya"
,Nairobi,FALSE,Azure Hotel Nairobi Westlands,,,+254 709 716000,135,4,Lantana Road
,Nairobi,FALSE,Dusitd2 Nairobi,,,+254 787 657000,300,4,14 Riverside Westlands
