city,date,event_name,time,venue,venue_address,number_of_tickets,category,event_type
Washington D.C.,3/1/2019,Nationals Vs Rockies,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/2/2019,Nationals Vs Rockies,18:30,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/5/2019,Nationals Vs Rockies,19:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/9/2019,Nationals Vs Rockies,17:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/11/2019,Nationals Vs Rockies,17:30,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/12/2019,Nationals Vs Rockies,17:30,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/13/2019,Nationals Vs Rockies,18:30,Nationals Park,1500 South Capitol Street Southeast,,,
New York,3/4/2019,Mets Vs Phillies,17:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/7/2019,Mets Vs Phillies,19:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/10/2019,Mets Vs Phillies,19:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/11/2019,Mets Vs Phillies,17:30,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/14/2019,Mets Vs Phillies,17:30,Citi Field,123-01 Roosevelt Avenue,,,
Seattle,3/3/2019,Seattle Vs Minnesota,18:30,Alaska Airlines Arena,3870 Montlake Boulevard Northeast,,,
Seattle,3/9/2019,Seattle Vs Minnesota,19:00,Alaska Airlines Arena,3870 Montlake Boulevard Northeast,,,
Seattle,3/12/2019,Seattle Vs Minnesota,18:00,Alaska Airlines Arena,3870 Montlake Boulevard Northeast,,,
Seattle,3/14/2019,Seattle Vs Minnesota,17:00,Alaska Airlines Arena,3870 Montlake Boulevard Northeast,,,
Atlanta,3/2/2019,United Vs Revolution,17:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/6/2019,United Vs Revolution,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/8/2019,United Vs Revolution,18:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/10/2019,United Vs Revolution,19:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/13/2019,United Vs Revolution,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
London,3/3/2019,Crystal Palace Vs Norwich,18:30,Selhurst Park Stadium,Holmesdale Road,,,
London,3/4/2019,Crystal Palace Vs Norwich,19:00,Selhurst Park Stadium,Holmesdale Road,,,
London,3/7/2019,Crystal Palace Vs Norwich,19:30,Selhurst Park Stadium,Holmesdale Road,,,
London,3/9/2019,Crystal Palace Vs Norwich,17:00,Selhurst Park Stadium,Holmesdale Road,,,
London,3/13/2019,Crystal Palace Vs Norwich,19:00,Selhurst Park Stadium,Holmesdale Road,,,
Philadelphia,3/1/2019,Blueface,17:00,The Fillmore Philadelphia,29 East Allen Street,,,
Philadelphia,3/4/2019,Blueface,17:30,The Fillmore Philadelphia,29 East Allen Street,,,
Philadelphia,3/6/2019,Blueface,17:00,The Fillmore Philadelphia,29 East Allen Street,,,
Philadelphia,3/7/2019,Blueface,17:00,The Fillmore Philadelphia,29 East Allen Street,,,
Philadelphia,3/8/2019,Blueface,17:00,The Fillmore Philadelphia,29 East Allen Street,,,
Philadelphia,3/10/2019,Blueface,19:30,The Fillmore Philadelphia,29 East Allen Street,,,
Philadelphia,3/12/2019,Blueface,18:00,The Fillmore Philadelphia,29 East Allen Street,,,
Chicago,3/5/2019,Cubs Vs Padres,17:00,Wrigley Field,1060 West Addison Street,,,
Chicago,3/8/2019,Cubs Vs Padres,19:30,Wrigley Field,1060 West Addison Street,,,
Berkeley,3/14/2019,Phutureprimitive,17:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
New York,3/2/2019,The Struts,18:30,Pier 17,89 South Street,,,
New York,3/3/2019,The Struts,19:30,Pier 17,89 South Street,,,
New York,3/9/2019,The Struts,17:00,Pier 17,89 South Street,,,
New York,3/12/2019,The Struts,17:00,Pier 17,89 South Street,,,
Atlanta,3/6/2019,Falcons Vs Buccaneers,19:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/8/2019,Falcons Vs Buccaneers,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/10/2019,Falcons Vs Buccaneers,17:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/11/2019,Falcons Vs Buccaneers,18:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/12/2019,Falcons Vs Buccaneers,18:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/14/2019,Falcons Vs Buccaneers,19:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Seattle,3/2/2019,Seattle Vs La Angels,19:00,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/3/2019,Seattle Vs La Angels,19:00,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/5/2019,Seattle Vs La Angels,18:00,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/8/2019,Seattle Vs La Angels,17:30,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/10/2019,Seattle Vs La Angels,17:00,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/13/2019,Seattle Vs La Angels,18:30,T-Mobile Park,1250 1st Avenue South,,,
New York,3/1/2019,Mets Vs Padres,19:00,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/7/2019,Mets Vs Padres,19:00,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/9/2019,Mets Vs Padres,18:00,Citi Field,123-01 Roosevelt Avenue,,,
New York,3/10/2019,Mets Vs Padres,19:00,Citi Field,123-01 Roosevelt Avenue,,,
Portland,3/4/2019,Bryan Adams,19:00,Theater Of The Clouds,1016-1098 North Center Court Street,,,
Portland,3/5/2019,Bryan Adams,19:30,Theater Of The Clouds,1016-1098 North Center Court Street,,,
Portland,3/7/2019,Bryan Adams,19:30,Theater Of The Clouds,1016-1098 North Center Court Street,,,
Portland,3/9/2019,Bryan Adams,19:00,Theater Of The Clouds,1016-1098 North Center Court Street,,,
Portland,3/14/2019,Bryan Adams,17:30,Theater Of The Clouds,1016-1098 North Center Court Street,,,
Toronto,3/5/2019,Toronto Fc Vs Rapids,18:00,BMO Field,170 Princes' Boulevard,,,
Toronto,3/6/2019,Toronto Fc Vs Rapids,17:00,BMO Field,170 Princes' Boulevard,,,
Toronto,3/7/2019,Toronto Fc Vs Rapids,19:30,BMO Field,170 Princes' Boulevard,,,
Toronto,3/10/2019,Toronto Fc Vs Rapids,17:00,BMO Field,170 Princes' Boulevard,,,
Toronto,3/11/2019,Toronto Fc Vs Rapids,17:00,BMO Field,170 Princes' Boulevard,,,
Phoenix,3/2/2019,The Band Camino,17:30,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/6/2019,The Band Camino,18:30,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/9/2019,The Band Camino,18:30,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/11/2019,The Band Camino,19:30,The Van Buren,401 West Van Buren Street,,,
Los Angeles,3/3/2019,Guided By Voices,17:00,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/8/2019,Guided By Voices,17:30,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/10/2019,Guided By Voices,19:00,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/11/2019,Guided By Voices,17:30,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/14/2019,Guided By Voices,17:00,The Teragram Ballroom,1234 West 7th Street,,,
Vancouver,3/3/2019,Billy Idol,17:00,PNE Amphitheatre,2901 East Hastings Street,,,
Vancouver,3/4/2019,Billy Idol,17:30,PNE Amphitheatre,2901 East Hastings Street,,,
Vancouver,3/7/2019,Billy Idol,18:00,PNE Amphitheatre,2901 East Hastings Street,,,
Vancouver,3/8/2019,Billy Idol,18:30,PNE Amphitheatre,2901 East Hastings Street,,,
Vancouver,3/10/2019,Billy Idol,19:30,PNE Amphitheatre,2901 East Hastings Street,,,
Phoenix,3/2/2019,The Chats,18:30,Valley Bar,130 North Central Avenue,,,
Phoenix,3/8/2019,The Chats,19:30,Valley Bar,130 North Central Avenue,,,
New York,3/1/2019,Shanice,19:30,Sony Hall,235 West 46th Street,,,
New York,3/4/2019,Shanice,19:00,Sony Hall,235 West 46th Street,,,
New York,3/5/2019,Shanice,17:00,Sony Hall,235 West 46th Street,,,
New York,3/12/2019,Shanice,17:00,Sony Hall,235 West 46th Street,,,
New York,3/13/2019,Shanice,19:00,Sony Hall,235 West 46th Street,,,
Atlanta,3/3/2019,Atlanta Summer Organ Festival,18:30,Peachtree Road United Methodist Church,3180 Peachtree Road Northeast,,,
Atlanta,3/4/2019,Atlanta Summer Organ Festival,19:30,Peachtree Road United Methodist Church,3180 Peachtree Road Northeast,,,
Atlanta,3/5/2019,Atlanta Summer Organ Festival,17:30,Peachtree Road United Methodist Church,3180 Peachtree Road Northeast,,,
Atlanta,3/9/2019,Atlanta Summer Organ Festival,19:00,Peachtree Road United Methodist Church,3180 Peachtree Road Northeast,,,
Atlanta,3/10/2019,Atlanta Summer Organ Festival,17:00,Peachtree Road United Methodist Church,3180 Peachtree Road Northeast,,,
Atlanta,3/14/2019,Atlanta Summer Organ Festival,17:00,Peachtree Road United Methodist Church,3180 Peachtree Road Northeast,,,
San Francisco,3/4/2019,Giants Vs Dodgers,17:30,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/8/2019,Giants Vs Dodgers,17:00,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/11/2019,Giants Vs Dodgers,17:00,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/12/2019,Giants Vs Dodgers,17:00,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/14/2019,Giants Vs Dodgers,19:00,Oracle Park,24 Willie Mays Plaza,,,
Chicago,3/6/2019,The Buttertones,18:30,Chop Shop,2033 West North Avenue,,,
Chicago,3/7/2019,The Buttertones,18:30,Chop Shop,2033 West North Avenue,,,
Chicago,3/9/2019,The Buttertones,18:00,Chop Shop,2033 West North Avenue,,,
Chicago,3/10/2019,The Buttertones,19:00,Chop Shop,2033 West North Avenue,,,
Chicago,3/12/2019,The Buttertones,17:30,Chop Shop,2033 West North Avenue,,,
New York,3/1/2019,Buddy Guy,17:00,Sony Hall,235 West 46th Street,,,
New York,3/6/2019,Buddy Guy,18:00,Sony Hall,235 West 46th Street,,,
New York,3/7/2019,Buddy Guy,17:00,Sony Hall,235 West 46th Street,,,
New York,3/9/2019,Buddy Guy,17:00,Sony Hall,235 West 46th Street,,,
Washington D.C.,3/6/2019,Washington Vs Ny Liberty,18:30,Entertainment & Sports Arena,1100 Oak Drive SE,,,
Washington D.C.,3/8/2019,Washington Vs Ny Liberty,18:30,Entertainment & Sports Arena,1100 Oak Drive SE,,,
Washington D.C.,3/10/2019,Washington Vs Ny Liberty,18:00,Entertainment & Sports Arena,1100 Oak Drive SE,,,
Washington D.C.,3/12/2019,Washington Vs Ny Liberty,19:30,Entertainment & Sports Arena,1100 Oak Drive SE,,,
San Francisco,3/1/2019,Giants Vs Marlins,17:00,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/5/2019,Giants Vs Marlins,19:30,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/7/2019,Giants Vs Marlins,17:30,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/8/2019,Giants Vs Marlins,17:30,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/11/2019,Giants Vs Marlins,17:00,Oracle Park,24 Willie Mays Plaza,,,
San Francisco,3/14/2019,Giants Vs Marlins,19:00,Oracle Park,24 Willie Mays Plaza,,,
Berkeley,3/4/2019,Fidlar,17:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/6/2019,Fidlar,18:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/7/2019,Fidlar,17:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/13/2019,Fidlar,19:00,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Berkeley,3/14/2019,Fidlar,19:30,Cornerstone Craft Beer & Live Music,2367 Shattuck Avenue,,,
Seattle,3/1/2019,Greensky Bluegrass,17:30,Flamingo Lot,5500 Phinney Avenue North,,,
Seattle,3/2/2019,Greensky Bluegrass,18:00,Flamingo Lot,5500 Phinney Avenue North,,,
Seattle,3/8/2019,Greensky Bluegrass,19:30,Flamingo Lot,5500 Phinney Avenue North,,,
Seattle,3/10/2019,Greensky Bluegrass,17:00,Flamingo Lot,5500 Phinney Avenue North,,,
Atlanta,3/2/2019,Falcons Vs Redskins,19:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/7/2019,Falcons Vs Redskins,18:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/8/2019,Falcons Vs Redskins,18:30,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/13/2019,Falcons Vs Redskins,17:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Atlanta,3/14/2019,Falcons Vs Redskins,17:00,Mercedes-Benz Stadium,1 AMB Drive Northwest,,,
Washington D.C.,3/4/2019,Nationals Vs Phillies,17:30,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/6/2019,Nationals Vs Phillies,18:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/8/2019,Nationals Vs Phillies,18:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/12/2019,Nationals Vs Phillies,18:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/13/2019,Nationals Vs Phillies,19:00,Nationals Park,1500 South Capitol Street Southeast,,,
Washington D.C.,3/14/2019,Nationals Vs Phillies,17:30,Nationals Park,1500 South Capitol Street Southeast,,,
Chicago,3/1/2019,White Sox Vs Angels,17:00,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/3/2019,White Sox Vs Angels,18:30,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/5/2019,White Sox Vs Angels,17:30,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/7/2019,White Sox Vs Angels,19:30,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/10/2019,White Sox Vs Angels,18:00,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/12/2019,White Sox Vs Angels,18:00,Guaranteed Rate Field,333 West 35th Street,,,
Chicago,3/13/2019,White Sox Vs Angels,17:00,Guaranteed Rate Field,333 West 35th Street,,,
Phoenix,3/10/2019,Tash Sultana,19:00,The Van Buren,401 West Van Buren Street,,,
Phoenix,3/11/2019,Tash Sultana,17:30,The Van Buren,401 West Van Buren Street,,,
New York,3/3/2019,Yankees Vs Blue Jays,17:30,Yankee Stadium,1 East 161 Street,,,
New York,3/5/2019,Yankees Vs Blue Jays,18:30,Yankee Stadium,1 East 161 Street,,,
New York,3/8/2019,Yankees Vs Blue Jays,17:30,Yankee Stadium,1 East 161 Street,,,
Seattle,3/2/2019,Mariners Vs Tigers,17:00,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/4/2019,Mariners Vs Tigers,17:30,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/5/2019,Mariners Vs Tigers,17:00,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/6/2019,Mariners Vs Tigers,18:00,T-Mobile Park,1250 1st Avenue South,,,
Seattle,3/7/2019,Mariners Vs Tigers,19:00,T-Mobile Park,1250 1st Avenue South,,,
Washington D.C.,3/3/2019,Mystics Vs Sun,17:00,Entertainment & Sports Arena,1100 Oak Drive SE,,,
Washington D.C.,3/4/2019,Mystics Vs Sun,17:00,Entertainment & Sports Arena,1100 Oak Drive SE,,,
Washington D.C.,3/6/2019,Mystics Vs Sun,19:00,Entertainment & Sports Arena,1100 Oak Drive SE,,,
Washington D.C.,3/7/2019,Mystics Vs Sun,18:30,Entertainment & Sports Arena,1100 Oak Drive SE,,,
Washington D.C.,3/12/2019,Mystics Vs Sun,17:00,Entertainment & Sports Arena,1100 Oak Drive SE,,,
Los Angeles,3/4/2019,Murder City Devils,18:00,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/6/2019,Murder City Devils,19:00,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/9/2019,Murder City Devils,19:00,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/10/2019,Murder City Devils,18:30,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/11/2019,Murder City Devils,19:30,The Teragram Ballroom,1234 West 7th Street,,,
Los Angeles,3/12/2019,Murder City Devils,19:00,The Teragram Ballroom,1234 West 7th Street,,,
Anaheim,3/4/2019,Angels Vs Red Sox,19:00,Angel Stadium of Anaheim,2000 East Gene Autry Way,,,
Anaheim,3/11/2019,Angels Vs Red Sox,19:00,Angel Stadium of Anaheim,2000 East Gene Autry Way,,,
Anaheim,3/14/2019,Angels Vs Red Sox,19:00,Angel Stadium of Anaheim,2000 East Gene Autry Way,,,
Sacramento,3/1/2019,Republic Vs Toros,17:30,Papa Murphy's Park,1600 Exposition Boulevard,,,
Sacramento,3/2/2019,Republic Vs Toros,18:30,Papa Murphy's Park,1600 Exposition Boulevard,,,
Sacramento,3/7/2019,Republic Vs Toros,17:00,Papa Murphy's Park,1600 Exposition Boulevard,,,
Sacramento,3/11/2019,Republic Vs Toros,19:30,Papa Murphy's Park,1600 Exposition Boulevard,,,
Sacramento,3/13/2019,Republic Vs Toros,17:30,Papa Murphy's Park,1600 Exposition Boulevard,,,
Philadelphia,3/1/2019,Phillies Vs Pirates,18:30,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/2/2019,Phillies Vs Pirates,19:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/3/2019,Phillies Vs Pirates,19:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/6/2019,Phillies Vs Pirates,18:30,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/9/2019,Phillies Vs Pirates,17:00,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/10/2019,Phillies Vs Pirates,19:30,Citizens Bank Park,1 Citizens Bank Way,,,
Philadelphia,3/1/2019,Owls Vs Knights,19:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/4/2019,Owls Vs Knights,18:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/7/2019,Owls Vs Knights,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/10/2019,Owls Vs Knights,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/11/2019,Owls Vs Knights,18:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/12/2019,Owls Vs Knights,19:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/13/2019,Owls Vs Knights,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Philadelphia,3/14/2019,Owls Vs Knights,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Oakland,3/1/2019,Raiders Vs Bengals,19:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/2/2019,Raiders Vs Bengals,18:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/5/2019,Raiders Vs Bengals,19:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/12/2019,Raiders Vs Bengals,19:00,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Oakland,3/13/2019,Raiders Vs Bengals,17:30,Oakland-Alameda County Coliseum,7000 Coliseum Way,,,
Los Angeles,3/2/2019,The Acid,17:00,Regent Theater DTLA,448 South Main Street,,,
Los Angeles,3/8/2019,The Acid,19:30,Regent Theater DTLA,448 South Main Street,,,
Los Angeles,3/12/2019,The Acid,18:00,Regent Theater DTLA,448 South Main Street,,,
Phoenix,3/2/2019,Diamondbacks Vs Brewers,18:30,Chase Field,401 East Jefferson Street,,,
Phoenix,3/4/2019,Diamondbacks Vs Brewers,17:30,Chase Field,401 East Jefferson Street,,,
Phoenix,3/5/2019,Diamondbacks Vs Brewers,17:00,Chase Field,401 East Jefferson Street,,,
Phoenix,3/6/2019,Diamondbacks Vs Brewers,18:30,Chase Field,401 East Jefferson Street,,,
Phoenix,3/7/2019,Diamondbacks Vs Brewers,17:00,Chase Field,401 East Jefferson Street,,,
Phoenix,3/12/2019,Diamondbacks Vs Brewers,18:00,Chase Field,401 East Jefferson Street,,,
Phoenix,3/14/2019,Diamondbacks Vs Brewers,17:00,Chase Field,401 East Jefferson Street,,,
Atlanta,3/5/2019,Gorgasm,17:30,Kenny's Alley,50 Upper Alabama Street,,,
Atlanta,3/6/2019,Gorgasm,18:00,Kenny's Alley,50 Upper Alabama Street,,,
Atlanta,3/7/2019,Gorgasm,18:00,Kenny's Alley,50 Upper Alabama Street,,,
Atlanta,3/13/2019,Gorgasm,19:00,Kenny's Alley,50 Upper Alabama Street,,,
San Diego,3/4/2019,The Hives,18:30,The Observatory North Park,2891 University Avenue,,,
San Diego,3/5/2019,The Hives,18:00,The Observatory North Park,2891 University Avenue,,,
San Diego,3/6/2019,The Hives,18:30,The Observatory North Park,2891 University Avenue,,,
San Diego,3/7/2019,The Hives,17:30,The Observatory North Park,2891 University Avenue,,,
San Diego,3/8/2019,The Hives,19:00,The Observatory North Park,2891 University Avenue,,,
San Diego,3/13/2019,The Hives,18:00,The Observatory North Park,2891 University Avenue,,,
Chicago,3/8/2019,Cubs Vs Brewers,17:00,Wrigley Field,1060 West Addison Street,,Baseball,Sports
Chicago,3/3/2019,Cubs Vs Giants,19:30,Wrigley Field,1060 West Addison Street,,Baseball,Sports
Chicago,3/12/2019,Cubs Vs Mariners,18:00,Wrigley Field,1060 West Addison Street,,Baseball,Sports
Chicago,3/8/2019,Cubs Vs Padres,19:30,Wrigley Field,1060 West Addison Street,,Baseball,Sports
Chicago,3/14/2019,Sky Vs Fever,18:00,Wintrust Arena,200 East Cermak Road,,Basketball,Sports
Chicago,3/3/2019,White Sox Vs Angels,18:30,Guaranteed Rate Field,333 West 35th Street,,Baseball,Sports
Chicago,3/13/2019,White Sox Vs Astros,19:00,Guaranteed Rate Field,333 West 35th Street,,Baseball,Sports
Chicago,3/3/2019,White Sox Vs Indians,18:00,Guaranteed Rate Field,333 West 35th Street,,Baseball,Sports
Chicago,3/7/2019,White Sox Vs Rangers,18:30,Guaranteed Rate Field,333 West 35th Street,,Baseball,Sports
Chicago,3/14/2019,White Sox Vs Tigers,18:00,Guaranteed Rate Field,333 West 35th Street,,Baseball,Sports
Chicago,3/12/2019,Cubs Vs Brewers,18:00,Wrigley Field,1060 West Addison Street,,Baseball,Sports
Chicago,3/12/2019,Cubs Vs Giants,19:00,Wrigley Field,1060 West Addison Street,,Baseball,Sports
Chicago,3/12/2019,White Sox Vs Angels,18:00,Guaranteed Rate Field,333 West 35th Street,,Baseball,Sports
Chicago,3/12/2019,White Sox Vs Astros,18:30,Guaranteed Rate Field,333 West 35th Street,,Baseball,Sports
Chicago,3/12/2019,White Sox Vs Tigers,18:30,Guaranteed Rate Field,333 West 35th Street,,Baseball,Sports
Chicago,3/12/2019,Cubs Vs Giants,19:00,Wrigley Field,1060 West Addison Street,,,
Seattle,3/14/2019,Huskies Vs Cougars,18:30,Husky Stadium,3800 Montlake Boulevard Northeast,,Basketball,Sports
Seattle,3/8/2019,Huskies Vs Utes,18:00,Husky Stadium,3800 Montlake Boulevard Northeast,,Basketball,Sports
Seattle,3/6/2019,Huskies Vs Warriors,19:30,Husky Stadium,3800 Montlake Boulevard Northeast,,Basketball,Sports
Seattle,3/7/2019,Mariners Vs Angels,18:30,T-Mobile Park,1250 1st Avenue South,,Baseball,Sports
Seattle,3/8/2019,Mariners Vs Blue Jays,18:00,T-Mobile Park,1250 1st Avenue South,,Baseball,Sports
Seattle,3/1/2019,Mariners Vs Rangers,19:30,T-Mobile Park,1250 1st Avenue South,,Baseball,Sports
Seattle,3/10/2019,Mariners Vs Rays,18:00,T-Mobile Park,1250 1st Avenue South,,Baseball,Sports
Seattle,3/5/2019,Mariners Vs Tigers,17:00,T-Mobile Park,1250 1st Avenue South,,Baseball,Sports
Seattle,3/10/2019,Mariners Vs White Sox,17:00,T-Mobile Park,1250 1st Avenue South,,Baseball,Sports
Seattle,3/8/2019,Seahawks Vs Cardinals,18:30,CenturyLink Field,800 Occidental Avenue South,,Football,Sports
New York,3/13/2019,Mets Vs Rockies,19:30,Citi Field,123-01 Roosevelt Avenue,,Baseball,Sports
New York,3/13/2019,Nycfc Vs Red Bulls,18:30,Yankee Stadium,1 East 161 Street,,Baseball,Sports
New York,3/13/2019,Nycfc Vs Sporting Kc,19:00,Yankee Stadium,1 East 161 Street,,Baseball,Sports
New York,3/13/2019,Nycfc Vs Union,17:00,Yankee Stadium,1 East 161 Street,,Baseball,Sports
New York,3/13/2019,Yankees Vs Rangers,17:30,Yankee Stadium,1 East 161 Street,,Baseball,Sports
New York,3/13/2019,Nycfc Vs Red Bulls,18:30,Yankee Stadium,1 East 161 Street,,,
New York,3/5/2019,Amber Run Brooklyn,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",,Pop,Music
New York,3/2/2019,Americo,18:30,La Boom,"56-15 Northern Boulevard, Woodside",,International,Music
New York,3/10/2019,Ben Harper,19:00,Pier 17,89 South Street,,Blues,Music
New York,3/13/2019,Blackbear,18:30,Pier 17,89 South Street,,Hip Hop,Music
New York,3/14/2019,Blowout Music Festival,18:00,Knockdown Center,"52-19 Flushing Avenue, Maspeth",,Hip Hop,Music
New York,3/9/2019,Buddy Guy,17:00,Sony Hall,235 West 46th Street,,Blues,Music
New York,3/6/2019,Chemical Brothers,19:00,Forest Hills Stadium,"1 Tennis Place, Forest Hills",,Rock,Music
New York,3/7/2019,Chris Botti,17:00,Sony Hall,235 West 46th Street,,Jazz,Music
New York,3/2/2019,Crooked Colours,19:30,Rough Trade NYC,"64 North 9th Street, Brooklyn",,Electronica,Music
New York,3/1/2019,Esscalation Music Festival,19:30,Melrose Ballroom,3608 33rd Street,,Electronica,Music
Philadelphia,3/10/2019,Eagles Vs Cowboys,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,Football,Sports
Philadelphia,3/12/2019,Owls Vs Bison,19:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,Football,Sports
Philadelphia,3/3/2019,Owls Vs Huskies,17:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,Football,Sports
Philadelphia,3/10/2019,Owls Vs Knights,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,Football,Sports
Philadelphia,3/12/2019,Owls Vs Terrapins,19:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,Football,Sports
Philadelphia,3/8/2019,Owls Vs Tigers,19:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,Football,Sports
Philadelphia,3/8/2019,Owls Vs Yellow Jackets,19:30,Lincoln Financial Field,1 Lincoln Financial Field Way,,Football,Sports
Philadelphia,3/10/2019,Eagles Vs Cowboys,17:00,Lincoln Financial Field,1 Lincoln Financial Field Way,,,
Anaheim,3/7/2019,Angels Vs Astros,17:00,Angel Stadium of Anaheim,2000 East Gene Autry Way,,Baseball,Sports
Anaheim,3/11/2019,Angels Vs Mariners,17:00,Angel Stadium of Anaheim,2000 East Gene Autry Way,,Baseball,Sports
