airlines,departure_date,destination,destination_airport,fare,is_redeye,number_stops,origin,origin_airport,outbound_arrival_time,outbound_departure_time,passengers,seating_class,inbound_arrival_time,inbound_departure_time,return_date
Delta Airlines,2019-03-01,Atlanta,Hartsfield-Jackson International Airport,174,False,1,Chicago,O'Hare International Airport,14:56,11:55,1,Economy,21:38,17:45,2019-03-03
American Airlines,2019-03-05,Portland,PDX International Airport,312,False,1,New York,JFK International Airport,09:55,04:05,1,Economy,,,
Southwest Airlines,2019-03-05,Portland,PDX International Airport,304,False,1,New York,JFK International Airport,23:53,17:55,1,Economy,,,
American Airlines,2019-03-05,Chicago,O'Hare International Airport,129,False,0,New York,JFK International Airport,06:44,05:25,1,Economy,,,
Delta Airlines,2019-03-05,Chicago,O'Hare International Airport,131,False,0,New York,JFK International Airport,07:19,06:00,1,Economy,,,
Delta Airlines,2019-03-05,Chicago,O'Hare International Airport,116,False,0,New York,JFK International Airport,23:14,21:55,1,Economy,12:34,09:15,2019-03-07
Alaska Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,417,True,1,San Francisco,SFO International Airport,09:04,04:30,1,Economy,,,
American Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,275,True,0,San Francisco,SFO International Airport,16:07,13:15,1,Economy,,,
Southwest Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,358,True,1,San Francisco,SFO International Airport,20:39,12:50,1,Economy,,,
United Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,340,True,1,San Francisco,SFO International Airport,20:39,11:55,1,Economy,,,
American Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,383,True,1,San Francisco,SFO International Airport,16:07,13:15,4,Economy,13:27,09:20,2019-03-08
Alaska Airlines,2019-03-07,Chicago,O'Hare International Airport,283,False,1,Portland,PDX International Airport,20:12,10:10,1,Economy,,,
American Airlines,2019-03-07,Chicago,O'Hare International Airport,233,False,1,Portland,PDX International Airport,14:55,06:00,1,Economy,,,
Delta Airlines,2019-03-07,Chicago,O'Hare International Airport,272,True,1,Portland,PDX International Airport,04:57,20:00,1,Economy,,,
Southwest Airlines,2019-03-07,Chicago,O'Hare International Airport,283,True,1,Portland,PDX International Airport,04:17,18:30,1,Economy,,,
United Airlines,2019-03-07,Chicago,O'Hare International Airport,311,False,1,Portland,PDX International Airport,22:52,12:05,1,Economy,,,
Alaska Airlines,2019-03-07,Chicago,O'Hare International Airport,283,False,1,Portland,PDX International Airport,20:12,10:10,4,Economy,,,
American Airlines,2019-03-07,Chicago,O'Hare International Airport,233,False,1,Portland,PDX International Airport,14:55,06:00,4,Economy,,,
Delta Airlines,2019-03-07,Chicago,O'Hare International Airport,272,True,1,Portland,PDX International Airport,04:57,20:00,4,Economy,,,
Southwest Airlines,2019-03-07,Chicago,O'Hare International Airport,283,True,1,Portland,PDX International Airport,04:17,18:30,4,Economy,,,
United Airlines,2019-03-07,Chicago,O'Hare International Airport,311,False,1,Portland,PDX International Airport,22:52,12:05,4,Economy,,,
American Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,420,False,1,Portland,PDX International Airport,18:31,07:20,4,Premium Economy,,,
Delta Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,376,False,1,Portland,PDX International Airport,20:47,09:35,4,Premium Economy,,,
Delta Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,445,False,1,Portland,PDX International Airport,20:47,09:35,4,Premium Economy,10:55,05:50,2019-03-10
American Airlines,2019-03-01,Atlanta,Hartsfield-Jackson International Airport,198,False,0,Chicago,O'Hare International Airport,23:41,20:40,1,Premium Economy,22:16,21:15,2019-03-03
United Airlines,2019-03-12,Los Angeles,LAX International Airport,258,False,0,Mexico City,Benito Juarez International Airport,22:05,20:45,1,Premium Economy,,,
United Airlines,2019-03-12,Los Angeles,LAX International Airport,260,False,0,Mexico City,Benito Juarez International Airport,22:05,20:45,1,Premium Economy,09:45,04:25,2019-03-14
American Airlines,2019-03-07,San Francisco,SFO International Airport,294,False,1,Washington,Dulles International Airport,14:10,09:45,1,Economy,,,
Southwest Airlines,2019-03-07,San Francisco,SFO International Airport,280,False,1,Washington,Dulles International Airport,21:21,15:50,1,Economy,,,
United Airlines,2019-03-07,San Francisco,SFO International Airport,292,False,1,Washington,Dulles International Airport,14:11,08:00,1,Economy,,,
United Airlines,2019-03-07,San Francisco,SFO International Airport,298,False,1,Washington,Dulles International Airport,14:11,08:00,1,Economy,18:25,05:50,2019-03-09
Alaska Airlines,2019-03-08,New York,JFK International Airport,245,True,1,San Diego,SAN International Airport,03:15,15:20,1,Economy,,,
Alaska Airlines,2019-03-08,San Francisco,SFO International Airport,115,False,0,San Diego,SAN International Airport,12:50,11:10,2,Economy,,,
American Airlines,2019-03-08,San Francisco,SFO International Airport,107,False,0,San Diego,SAN International Airport,23:00,21:20,2,Economy,,,
Delta Airlines,2019-03-08,San Francisco,SFO International Airport,102,False,0,San Diego,SAN International Airport,21:35,19:55,2,Economy,,,
Southwest Airlines,2019-03-08,San Francisco,SFO International Airport,102,False,0,San Diego,SAN International Airport,08:40,07:00,2,Economy,,,
American Airlines,2019-03-08,San Francisco,SFO International Airport,132,False,1,San Diego,SAN International Airport,23:00,21:20,2,Economy,16:19,12:15,2019-03-10
Southwest Airlines,2019-03-12,Atlanta,Hartsfield-Jackson International Airport,262,False,1,San Diego,SAN International Airport,23:07,13:20,1,Economy,,,
Southwest Airlines,2019-03-12,Atlanta,Hartsfield-Jackson International Airport,275,False,1,San Diego,SAN International Airport,23:07,13:20,1,Economy,15:45,12:05,2019-03-14
American Airlines,2019-03-11,Chicago,O'Hare International Airport,122,False,0,Philadelphia,PHL International Airport,11:21,10:10,1,Economy,,,
Delta Airlines,2019-03-11,Chicago,O'Hare International Airport,135,False,0,Philadelphia,PHL International Airport,13:31,12:20,1,Economy,,,
Southwest Airlines,2019-03-11,Chicago,O'Hare International Airport,134,False,0,Philadelphia,PHL International Airport,21:46,20:35,1,Economy,,,
United Airlines,2019-03-11,Chicago,O'Hare International Airport,122,False,0,Philadelphia,PHL International Airport,12:41,11:30,1,Economy,,,
American Airlines,2019-03-11,Chicago,O'Hare International Airport,121,False,0,Philadelphia,PHL International Airport,11:21,10:10,4,Economy,21:51,18:40,2019-03-13
Air Canada,2019-03-07,Chicago,O'Hare International Airport,103,False,0,Toronto,Toronto Pearson International Airport,17:18,16:40,1,Economy,,,
American Airlines,2019-03-07,Chicago,O'Hare International Airport,113,False,0,Toronto,Toronto Pearson International Airport,10:43,10:05,1,Economy,,,
Delta Airlines,2019-03-07,Chicago,O'Hare International Airport,95,False,0,Toronto,Toronto Pearson International Airport,07:53,07:15,1,Economy,,,
American Airlines,2019-03-07,Chicago,O'Hare International Airport,115,False,0,Toronto,Toronto Pearson International Airport,10:43,10:05,1,Economy,18:58,16:20,2019-03-09
Delta Airlines,2019-03-12,San Diego,SAN International Airport,431,False,1,Atlanta,Hartsfield-Jackson International Airport,09:45,06:50,1,Premium Economy,,,
Southwest Airlines,2019-03-12,San Diego,SAN International Airport,452,False,1,Atlanta,Hartsfield-Jackson International Airport,23:15,17:55,1,Premium Economy,,,
United Airlines,2019-03-12,San Diego,SAN International Airport,379,False,1,Atlanta,Hartsfield-Jackson International Airport,21:05,18:15,1,Premium Economy,,,
Southwest Airlines,2019-03-12,San Diego,SAN International Airport,475,False,1,Atlanta,Hartsfield-Jackson International Airport,12:00,06:30,4,Premium Economy,18:31,07:00,2019-03-14
American Airlines,2019-03-11,Vancouver,YVR International Airport,199,False,1,Las Vegas,McCarran International Airport,13:59,09:30,1,Economy,,,
Delta Airlines,2019-03-11,Vancouver,YVR International Airport,211,False,1,Las Vegas,McCarran International Airport,19:49,12:20,1,Economy,,,
Southwest Airlines,2019-03-11,Vancouver,YVR International Airport,204,False,1,Las Vegas,McCarran International Airport,19:49,14:35,1,Economy,,,
United Airlines,2019-03-11,Vancouver,YVR International Airport,210,False,1,Las Vegas,McCarran International Airport,19:49,12:05,1,Economy,,,
Delta Airlines,2019-03-11,Vancouver,YVR International Airport,225,False,1,Las Vegas,McCarran International Airport,19:49,12:20,1,Economy,09:15,03:20,2019-03-13
Alaska Airlines,2019-03-02,Los Angeles,LAX International Airport,147,False,0,Seattle,Seattle-Tacoma International Airport,18:32,15:45,1,Economy,,,
American Airlines,2019-03-02,Los Angeles,LAX International Airport,137,False,0,Seattle,Seattle-Tacoma International Airport,11:02,08:15,1,Economy,,,
Delta Airlines,2019-03-02,Los Angeles,LAX International Airport,137,False,0,Seattle,Seattle-Tacoma International Airport,11:32,08:45,1,Economy,,,
Southwest Airlines,2019-03-02,Los Angeles,LAX International Airport,141,False,0,Seattle,Seattle-Tacoma International Airport,08:12,05:25,1,Economy,,,
United Airlines,2019-03-02,Los Angeles,LAX International Airport,109,False,0,Seattle,Seattle-Tacoma International Airport,15:17,12:30,1,Economy,,,
Alaska Airlines,2019-03-02,Los Angeles,LAX International Airport,155,False,0,Seattle,Seattle-Tacoma International Airport,18:32,15:45,1,Economy,21:57,19:10,2019-03-04
Alaska Airlines,2019-03-01,London,Heathrow International Airport,423,True,1,Los Angeles,LAX International Airport,10:47,09:30,1,Economy,,,
American Airlines,2019-03-01,London,Heathrow International Airport,394,True,1,Los Angeles,LAX International Airport,07:34,09:05,1,Economy,,,
Delta Airlines,2019-03-01,London,Heathrow International Airport,289,True,0,Los Angeles,LAX International Airport,06:04,10:15,1,Economy,,,
Southwest Airlines,2019-03-01,London,Heathrow International Airport,234,True,0,Los Angeles,LAX International Airport,18:14,22:25,1,Economy,,,
United Airlines,2019-03-01,London,Heathrow International Airport,266,True,0,Los Angeles,LAX International Airport,16:04,20:15,1,Economy,,,
American Airlines,2019-03-01,London,Heathrow International Airport,357,True,1,Los Angeles,LAX International Airport,07:34,09:05,2,Economy,20:54,15:05,2019-03-03
Alaska Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,208,False,0,San Francisco,SFO International Airport,08:31,06:20,1,Premium Economy,,,
Delta Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,213,False,0,San Francisco,SFO International Airport,10:11,08:00,1,Premium Economy,,,
Southwest Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,177,False,0,San Francisco,SFO International Airport,10:36,08:25,1,Premium Economy,,,
United Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,186,False,0,San Francisco,SFO International Airport,17:16,15:05,1,Premium Economy,,,
Alaska Airlines,2019-03-08,Seattle,Seattle-Tacoma International Airport,207,False,0,San Francisco,SFO International Airport,08:31,06:20,1,Premium Economy,14:11,12:00,2019-03-10
American Airlines,2019-03-11,Los Angeles,LAX International Airport,215,False,0,Mexico City,Benito Juarez International Airport,09:25,08:05,2,Premium Economy,,,
American Airlines,2019-03-11,Los Angeles,LAX International Airport,235,False,0,Mexico City,Benito Juarez International Airport,09:25,08:05,2,Premium Economy,20:05,14:45,2019-03-13
Alaska Airlines,2019-03-11,Portland,PDX International Airport,148,False,0,San Diego,SAN International Airport,16:04,13:20,1,Economy,,,
American Airlines,2019-03-11,Portland,PDX International Airport,152,False,0,San Diego,SAN International Airport,11:54,09:10,1,Economy,,,
Delta Airlines,2019-03-11,Portland,PDX International Airport,132,True,0,San Diego,SAN International Airport,00:04,21:20,1,Economy,,,
United Airlines,2019-03-11,Portland,PDX International Airport,147,False,0,San Diego,SAN International Airport,23:14,20:30,1,Economy,,,
Alaska Airlines,2019-03-11,Portland,PDX International Airport,154,False,0,San Diego,SAN International Airport,16:04,13:20,1,Economy,20:24,17:40,2019-03-13
Alaska Airlines,2019-03-12,Portland,PDX International Airport,129,False,0,Los Angeles,LAX International Airport,09:55,07:25,1,Economy,,,
American Airlines,2019-03-12,Portland,PDX International Airport,113,True,0,Los Angeles,LAX International Airport,01:45,23:15,1,Economy,,,
Delta Airlines,2019-03-12,Portland,PDX International Airport,115,True,0,Los Angeles,LAX International Airport,00:20,21:50,1,Economy,,,
Southwest Airlines,2019-03-12,Portland,PDX International Airport,131,False,0,Los Angeles,LAX International Airport,19:00,16:30,1,Economy,,,
Alaska Airlines,2019-03-12,Portland,PDX International Airport,141,False,0,Los Angeles,LAX International Airport,07:45,05:15,1,Economy,12:40,10:10,2019-03-14
American Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,376,True,1,Atlanta,Hartsfield-Jackson International Airport,16:01,11:40,1,Economy,,,
Delta Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,413,True,1,Atlanta,Hartsfield-Jackson International Airport,16:01,12:50,1,Economy,,,
Southwest Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,327,True,1,Atlanta,Hartsfield-Jackson International Airport,13:06,06:30,1,Economy,,,
Delta Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,611,True,1,Atlanta,Hartsfield-Jackson International Airport,16:01,12:50,1,Premium Economy,,,
Delta Airlines,2019-03-06,Sydney,Kingsford Smith International Airport,627,True,1,Atlanta,Hartsfield-Jackson International Airport,16:01,12:50,3,Premium Economy,17:04,17:50,2019-03-08
Alaska Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,266,True,0,Los Angeles,LAX International Airport,20:39,17:35,1,Economy,,,
American Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,347,True,1,Los Angeles,LAX International Airport,16:07,06:30,1,Economy,,,
Delta Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,351,True,1,Los Angeles,LAX International Airport,16:07,09:15,1,Economy,,,
Southwest Airlines,2019-03-06,Delhi,Indira Gandhi International Airport,260,True,0,Los Angeles,LAX International Airport,19:09,16:05,1,Economy,,,
American Airlines,2019-03-06,Mexico City,Benito Juarez International Airport,131,False,0,Los Angeles,LAX International Airport,20:05,14:45,4,Economy,,,
Delta Airlines,2019-03-06,Mexico City,Benito Juarez International Airport,224,False,1,Los Angeles,LAX International Airport,18:53,09:15,4,Economy,,,
United Airlines,2019-03-06,Mexico City,Benito Juarez International Airport,149,False,0,Los Angeles,LAX International Airport,09:45,04:25,4,Economy,,,
American Airlines,2019-03-06,Mexico City,Benito Juarez International Airport,159,False,0,Los Angeles,LAX International Airport,20:05,14:45,4,Economy,09:25,08:05,2019-03-08
American Airlines,2019-03-01,Las Vegas,McCarran International Airport,76,False,0,Los Angeles,LAX International Airport,21:35,20:25,1,Economy,,,
Delta Airlines,2019-03-01,Las Vegas,McCarran International Airport,83,False,0,Los Angeles,LAX International Airport,23:25,22:15,1,Economy,,,
Southwest Airlines,2019-03-01,Las Vegas,McCarran International Airport,145,False,1,Los Angeles,LAX International Airport,15:34,13:00,1,Economy,,,
United Airlines,2019-03-01,Las Vegas,McCarran International Airport,83,False,0,Los Angeles,LAX International Airport,09:15,08:05,1,Economy,,,
American Airlines,2019-03-01,Las Vegas,McCarran International Airport,88,False,0,Los Angeles,LAX International Airport,21:35,20:25,1,Economy,10:40,09:30,2019-03-03
American Airlines,2019-03-06,Los Angeles,LAX International Airport,157,False,0,Chicago,O'Hare International Airport,07:02,04:30,1,Economy,,,
Delta Airlines,2019-03-06,Los Angeles,LAX International Airport,185,True,0,Chicago,O'Hare International Airport,01:47,23:15,1,Economy,,,
Southwest Airlines,2019-03-06,Los Angeles,LAX International Airport,302,False,1,Chicago,O'Hare International Airport,15:17,09:45,1,Economy,,,
United Airlines,2019-03-06,Los Angeles,LAX International Airport,153,False,0,Chicago,O'Hare International Airport,15:17,12:45,1,Economy,,,
American Airlines,2019-03-06,Los Angeles,LAX International Airport,167,False,0,Chicago,O'Hare International Airport,07:02,04:30,1,Economy,15:02,08:30,2019-03-08
Delta Airlines,2019-03-04,Vancouver,YVR International Airport,299,False,1,New York,JFK International Airport,11:11,06:00,3,Economy,,,
Delta Airlines,2019-03-04,Vancouver,YVR International Airport,318,False,1,New York,JFK International Airport,11:11,06:00,3,Economy,14:24,02:50,2019-03-06
American Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,288,False,1,Atlanta,Hartsfield-Jackson International Airport,21:57,15:30,1,Economy,,,
Delta Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,179,False,0,Atlanta,Hartsfield-Jackson International Airport,18:52,16:20,1,Economy,,,
Southwest Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,198,False,0,Atlanta,Hartsfield-Jackson International Airport,21:52,19:20,1,Economy,,,
United Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,191,False,0,Atlanta,Hartsfield-Jackson International Airport,19:52,17:20,1,Economy,,,
American Airlines,2019-03-05,Seattle,Seattle-Tacoma International Airport,251,True,1,Atlanta,Hartsfield-Jackson International Airport,17:06,11:40,2,Economy,06:17,21:45,2019-03-07
American Airlines,2019-03-10,Paris,Charles de Gaulle International Airport,223,False,0,New York,JFK International Airport,22:22,07:35,1,Economy,,,
Delta Airlines,2019-03-10,Paris,Charles de Gaulle International Airport,221,True,0,New York,JFK International Airport,06:17,15:30,1,Economy,,,
United Airlines,2019-03-10,Paris,Charles de Gaulle International Airport,363,True,1,New York,JFK International Airport,14:46,14:40,1,Economy,,,
United Airlines,2019-03-10,Paris,Charles de Gaulle International Airport,325,True,1,New York,JFK International Airport,14:46,14:40,1,Economy,01:57,23:10,2019-03-12
Alaska Airlines,2019-03-06,San Diego,SAN International Airport,116,False,0,San Francisco,SFO International Airport,07:50,06:10,1,Economy,,,
American Airlines,2019-03-06,San Diego,SAN International Airport,139,False,1,San Francisco,SFO International Airport,16:19,12:15,1,Economy,,,
Delta Airlines,2019-03-06,San Diego,SAN International Airport,107,False,0,San Francisco,SFO International Airport,23:25,21:45,1,Economy,,,
Southwest Airlines,2019-03-06,San Diego,SAN International Airport,107,False,0,San Francisco,SFO International Airport,18:50,17:10,1,Economy,,,
United Airlines,2019-03-06,San Diego,SAN International Airport,105,False,0,San Francisco,SFO International Airport,08:20,06:40,1,Economy,,,
Alaska Airlines,2019-03-06,San Diego,SAN International Airport,123,False,0,San Francisco,SFO International Airport,07:50,06:10,4,Economy,12:50,11:10,2019-03-08
Air France,2019-03-03,Atlanta,Hartsfield-Jackson International Airport,338,False,1,Paris,Charles de Gaulle International Airport,11:31,02:25,1,Economy,,,
American Airlines,2019-03-03,Atlanta,Hartsfield-Jackson International Airport,348,False,1,Paris,Charles de Gaulle International Airport,14:07,04:05,1,Economy,,,
Delta Airlines,2019-03-03,Atlanta,Hartsfield-Jackson International Airport,360,False,1,Paris,Charles de Gaulle International Airport,23:41,17:35,1,Economy,,,
American Airlines,2019-03-03,Atlanta,Hartsfield-Jackson International Airport,367,True,1,Paris,Charles de Gaulle International Airport,14:07,04:05,1,Economy,13:37,15:25,2019-03-05
Alaska Airlines,2019-03-11,San Francisco,SFO International Airport,118,False,0,San Diego,SAN International Airport,12:50,11:10,1,Economy,,,
American Airlines,2019-03-11,San Francisco,SFO International Airport,103,False,0,San Diego,SAN International Airport,23:00,21:20,1,Economy,,,
Delta Airlines,2019-03-11,San Francisco,SFO International Airport,106,False,0,San Diego,SAN International Airport,21:35,19:55,1,Economy,,,
Southwest Airlines,2019-03-11,San Francisco,SFO International Airport,89,False,0,San Diego,SAN International Airport,08:40,07:00,1,Economy,,,
United Airlines,2019-03-11,San Francisco,SFO International Airport,106,False,0,San Diego,SAN International Airport,09:00,07:20,1,Economy,,,
Delta Airlines,2019-03-11,San Francisco,SFO International Airport,110,False,0,San Diego,SAN International Airport,21:35,19:55,2,Economy,23:25,21:45,2019-03-13
Air Canada,2019-03-07,San Diego,SAN International Airport,204,False,1,Vancouver,YVR International Airport,23:04,16:45,1,Economy,,,
Delta Airlines,2019-03-07,San Diego,SAN International Airport,207,False,1,Vancouver,YVR International Airport,08:34,03:20,1,Economy,,,
Air Canada,2019-03-07,San Diego,SAN International Airport,204,False,1,Vancouver,YVR International Airport,23:04,16:45,2,Economy,,,
Delta Airlines,2019-03-07,San Diego,SAN International Airport,207,False,1,Vancouver,YVR International Airport,08:34,03:20,2,Economy,,,
Delta Airlines,2019-03-07,San Diego,SAN International Airport,221,False,1,Vancouver,YVR International Airport,08:34,03:20,2,Economy,20:12,11:05,2019-03-09
United Airlines,2019-03-07,San Francisco,SFO International Airport,114,True,0,Phoenix,Sky Harbor International Airport,01:57,23:50,1,Economy,,,
United Airlines,2019-03-07,San Francisco,SFO International Airport,125,True,0,Phoenix,Sky Harbor International Airport,01:57,23:50,1,Economy,16:22,14:15,2019-03-09
American Airlines,2019-03-09,Philadelphia,PHL International Airport,169,False,1,Atlanta,Hartsfield-Jackson International Airport,19:46,15:25,1,Economy,,,
Delta Airlines,2019-03-09,Philadelphia,PHL International Airport,183,False,1,Atlanta,Hartsfield-Jackson International Airport,19:46,15:40,1,Economy,,,
United Airlines,2019-03-09,Philadelphia,PHL International Airport,200,False,1,Atlanta,Hartsfield-Jackson International Airport,16:36,12:50,1,Economy,,,
United Airlines,2019-03-09,Philadelphia,PHL International Airport,193,False,1,Atlanta,Hartsfield-Jackson International Airport,16:36,12:50,1,Economy,09:42,04:45,2019-03-11
American Airlines,2019-03-05,Los Angeles,LAX International Airport,226,False,1,Atlanta,Hartsfield-Jackson International Airport,17:15,11:40,1,Economy,17:04,09:05,2019-03-12
Delta Airlines,2019-03-05,Los Angeles,LAX International Airport,183,True,0,Atlanta,Hartsfield-Jackson International Airport,19:39,17:40,1,Economy,04:39,20:40,2019-03-12
Southwest Airlines,2019-03-05,Los Angeles,LAX International Airport,249,False,1,Atlanta,Hartsfield-Jackson International Airport,15:29,13:30,1,Economy,23:41,13:40,2019-03-12
United Airlines,2019-03-05,Los Angeles,LAX International Airport,266,True,1,Atlanta,Hartsfield-Jackson International Airport,19:49,12:15,1,Economy,04:39,20:40,2019-03-12
American Airlines,2019-03-05,Chicago,O'Hare International Airport,181,True,1,Atlanta,Hartsfield-Jackson International Airport,22:16,21:15,1,Economy,01:41,20:50,2019-03-12
Delta Airlines,2019-03-05,Chicago,O'Hare International Airport,125,False,0,Atlanta,Hartsfield-Jackson International Airport,08:51,07:50,1,Economy,11:31,08:30,2019-03-12
Delta Airlines,2019-03-05,Chicago,O'Hare International Airport,120,False,0,Atlanta,Hartsfield-Jackson International Airport,08:51,07:50,3,Economy,11:31,08:30,2019-03-14
United Airlines,2019-03-05,Chicago,O'Hare International Airport,119,True,0,Atlanta,Hartsfield-Jackson International Airport,07:51,06:50,3,Economy,00:51,21:50,2019-03-14
United Airlines,2019-03-05,Chicago,O'Hare International Airport,105,False,0,Atlanta,Hartsfield-Jackson International Airport,07:51,06:50,3,Economy,,,
American Airlines,2019-03-06,Los Angeles,LAX International Airport,388,True,1,Paris,Charles de Gaulle International Airport,10:40,04:05,1,Economy,07:58,09:40,2019-03-13
Delta Airlines,2019-03-06,Los Angeles,LAX International Airport,345,True,1,Paris,Charles de Gaulle International Airport,00:32,17:35,1,Economy,06:43,08:25,2019-03-13
Alaska Airlines,2019-03-06,San Diego,SAN International Airport,153,False,0,Portland,PDX International Airport,20:24,17:40,1,Economy,16:04,13:20,2019-03-13
Delta Airlines,2019-03-06,San Diego,SAN International Airport,147,True,0,Portland,PDX International Airport,19:24,16:40,1,Economy,00:04,21:20,2019-03-13
Alaska Airlines,2019-03-06,San Diego,SAN International Airport,144,False,0,Portland,PDX International Airport,20:24,17:40,1,Economy,,,
American Airlines,2019-03-03,Chicago,O'Hare International Airport,368,False,1,Paris,Charles de Gaulle International Airport,20:22,04:05,1,Economy,22:06,05:10,2019-03-13
Delta Airlines,2019-03-03,Chicago,O'Hare International Airport,272,True,0,Paris,Charles de Gaulle International Airport,20:31,17:35,1,Economy,11:36,18:40,2019-03-13
American Airlines,2019-03-03,Chicago,O'Hare International Airport,450,False,1,Paris,Charles de Gaulle International Airport,20:22,04:05,2,Economy,,,
American Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,72,False,0,Portland,PDX International Airport,06:58,06:00,1,Economy,09:33,08:35,2019-03-13
Delta Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,73,False,0,Portland,PDX International Airport,10:33,09:35,1,Economy,08:53,07:55,2019-03-13
United Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,76,False,0,Portland,PDX International Airport,23:43,22:45,1,Economy,05:13,04:15,2019-03-13
United Airlines,2019-03-10,Seattle,Seattle-Tacoma International Airport,69,False,0,Portland,PDX International Airport,23:43,22:45,1,Economy,,,
American Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,231,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:15,1,Economy,14:47,08:40,2019-03-14
Delta Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,244,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:45,1,Economy,17:06,11:55,2019-03-14
Southwest Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,368,False,1,Seattle,Seattle-Tacoma International Airport,10:13,05:25,1,Premium Economy,10:36,06:00,2019-03-14
United Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,228,True,1,Seattle,Seattle-Tacoma International Airport,01:17,20:30,1,Economy,23:43,18:10,2019-03-14
American Airlines,2019-03-05,Phoenix,Sky Harbor International Airport,222,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:15,1,Economy,,,
American Airlines,2019-03-05,Atlanta,Hartsfield-Jackson International Airport,238,False,1,Toronto,Toronto Pearson International Airport,14:56,10:05,1,Economy,20:28,15:25,2019-03-13
Delta Airlines,2019-03-05,Atlanta,Hartsfield-Jackson International Airport,218,False,1,Toronto,Toronto Pearson International Airport,11:31,07:15,1,Economy,17:08,07:50,2019-03-13
United Airlines,2019-03-05,Atlanta,Hartsfield-Jackson International Airport,227,False,1,Toronto,Toronto Pearson International Airport,23:41,17:35,1,Economy,12:33,06:15,2019-03-13
American Airlines,2019-03-05,Atlanta,Hartsfield-Jackson International Airport,223,False,1,Toronto,Toronto Pearson International Airport,14:56,10:05,1,Economy,,,
United Airlines,2019-03-02,San Francisco,SFO International Airport,191,False,0,Atlanta,Hartsfield-Jackson International Airport,12:06,09:40,2,Economy,18:41,10:15,2019-03-10
United Airlines,2019-03-02,San Francisco,SFO International Airport,186,False,0,Atlanta,Hartsfield-Jackson International Airport,12:06,09:40,2,Economy,,,
American Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,231,True,1,Phoenix,Sky Harbor International Airport,06:37,23:25,1,Economy,16:22,11:40,2019-03-13
Southwest Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,189,True,0,Phoenix,Sky Harbor International Airport,06:07,22:55,1,Economy,13:17,12:05,2019-03-13
United Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,262,True,1,Phoenix,Sky Harbor International Airport,03:52,20:40,1,Economy,20:22,15:00,2019-03-13
United Airlines,2019-03-07,Atlanta,Hartsfield-Jackson International Airport,180,True,0,Phoenix,Sky Harbor International Airport,03:52,20:40,1,Economy,,,
United Airlines,2019-03-04,San Francisco,SFO International Airport,188,False,0,Chicago,O'Hare International Airport,06:47,04:00,1,Economy,12:22,05:35,2019-03-12
United Airlines,2019-03-04,San Francisco,SFO International Airport,176,False,0,Chicago,O'Hare International Airport,06:47,04:00,4,Economy,,,
American Airlines,2019-03-02,Atlanta,Hartsfield-Jackson International Airport,140,False,0,New York,JFK International Airport,13:42,11:20,1,Economy,08:47,06:25,2019-03-05
American Airlines,2019-03-02,Atlanta,Hartsfield-Jackson International Airport,128,False,0,New York,JFK International Airport,13:42,11:20,2,Economy,,,
Delta Airlines,2019-03-09,New York,JFK International Airport,130,False,0,Chicago,O'Hare International Airport,14:24,11:05,1,Economy,07:19,06:00,2019-03-13
Delta Airlines,2019-03-09,New York,JFK International Airport,104,False,0,Chicago,O'Hare International Airport,14:24,11:05,2,Economy,,,
