city,cuisine,has_live_music,phone_number,price_range,restaurant_name,serves_alcohol,street_address,date,party_size,time
San Francisco,Mediterranean,FALSE,415-400-4623,moderate,Lark,FALSE,4068 18th Street,,,
San Francisco,Mediterranean,FALSE,415-668-1676,moderate,Layaly Mediterranean Grill,FALSE,2435 Clement Street,,,
San Francisco,Mediterranean,FALSE,415-829-2730,inexpensive,Mazza Luna,FALSE,810 Van Ness Avenue,,,
San Francisco,Mediterranean,FALSE,415-864-8643,expensive,Nopa,TRUE,560 Divisadero Street,,,
San Francisco,Mediterranean,FALSE,415-974-1212,expensive,Oro,TRUE,8 Mint Plaza,,,
San Francisco,Mediterranean,FALSE,415-512-7400,moderate,Palomino,TRUE,345 Spear Street #100,,,
Santa Clara,Asian,FALSE,408-423-0001,moderate,Beijing Restaurant,FALSE,1460 Halford Avenue,,,
Santa Clara,Asian,FALSE,408-985-8808,moderate,Korean Spring,FALSE,1062 Kiely Boulevard,,,
Santa Clara,Asian,FALSE,408-248-9747,moderate,Mayuri Indian Cuisine,FALSE,2232 El Camino Real,,,
Santa Clara,Asian,FALSE,408-244-8531,moderate,Shu's,FALSE,3258 El Camino Real,,,
Santa Clara,Asian,FALSE,408-973-0604,moderate,Sumiya,FALSE,2634 Homestead Road,,,
Santa Clara,Asian,FALSE,408-615-8086,moderate,Tong Soon Garden,FALSE,3240 El Camino Real,,,
Santa Clara,Asian,FALSE,408-244-4534,moderate,Truya Sushi,TRUE,3431 El Camino Real,,,
Oakland,Afghan,FALSE,510-286-1900,moderate,Kamdesh Afghan Kabab House,FALSE,332 14th Street,,,
Oakland,Jamaican,TRUE,510-465-2558,moderate,Kingston 11 Cuisine,FALSE,2270 Telegraph Avenue,,,
Santa Rosa,Chinese,FALSE,707-526-5840,moderate,Gary Chu's,TRUE,611 5th Street,,,
Santa Rosa,Chinese,FALSE,707-525-1957,moderate,Kirin,TRUE,2700 Yulupa Avenue,,,
Santa Rosa,Chinese,FALSE,707-521-9239,inexpensive,Mei-don Chinese Cuisine,FALSE,6576 Oakmont Drive,,,
Alamo,American,FALSE,925-855-9000,moderate,Xenia Bistro,FALSE,115 Alamo Plaza # A,,,
Alameda,Mexican,FALSE,510-239-4912,moderate,Acapulco,FALSE,2100 Lincoln Avenue,,,
Alameda,Mexican,FALSE,510-521-9090,moderate,Otaez,FALSE,1619 Webster Street,,,
San Francisco,Shabu-shabu,FALSE,415-742-5265,moderate,Shabu Club,FALSE,951 Clement Street,,,
San Francisco,Shabu-shabu,FALSE,415-586-8800,moderate,Shabu House,FALSE,2608 Ocean Avenue,,,
San Francisco,American,FALSE,415-355-9400,expensive,Bar Agricole,TRUE,355 11th Street,,,
San Francisco,American,FALSE,415-695-8777,expensive,Bernal Star,FALSE,410 Cortland Avenue,,,
San Francisco,American,TRUE,415-433-6300,expensive,Bix,FALSE,56 Gold Street,,,
San Francisco,American,FALSE,415-547-1111,expensive,Bluestem Brasserie,FALSE,1 Yerba Buena Lane,,,
San Francisco,American,FALSE,415-351-0175,expensive,Circa,TRUE,Chestnut Street,,,
San Francisco,American,FALSE,415-977-0271,expensive,Ducca,TRUE,50 3rd Street,,,
San Jose,Indian,FALSE,408-270-2578,moderate,8elements,TRUE,1781 Capitol Expressway,,,
San Jose,Indian,FALSE,408-248-5400,expensive,Amber India,TRUE,377 Santana Row #1140,,,
San Jose,Indian,FALSE,408-528-8500,moderate,Caspian Village,TRUE,2881 The Villages Parkway,,,
San Jose,Indian,FALSE,408-418-2230,moderate,M Asian Fusion Restaurant,TRUE,98 South 2nd Street,,,
San Jose,Indian,FALSE,408-436-7959,inexpensive,Madhuban Indian Cuisine,TRUE,50 Skyport Drive,,,
San Jose,Indian,FALSE,408-369-1888,moderate,Steps Of India,FALSE,2062 Curtner Avenue,,,
San Jose,Indian,FALSE,408-289-1935,inexpensive,Tandoori Fusion Grill,FALSE,225 East Santa Clara Street,,,
San Jose,Indian,FALSE,408-973-9673,moderate,The Mynt,FALSE,5210 Prospect Road,,,
El Cerrito,Korean,FALSE,510-524-8772,moderate,Ancient Szechuan,FALSE,10675 San Pablo Avenue,,,
Half Moon Bay,Seafood,FALSE,650-712-1125,moderate,Flying Fish Bar & Grill,TRUE,211 San Mateo Road,,,
Half Moon Bay,Seafood,FALSE,650-728-8108,moderate,Mezza Luna Restaurant,TRUE,459 Prospect Way,,,
Half Moon Bay,Seafood,TRUE,650-712-0245,moderate,Sam's Chowder House,FALSE,4210 Cabrillo Highway,,,
Mountain View,Japanese,FALSE,650-967-6166,inexpensive,Momoya Sushi,FALSE,570 North Shoreline Boulevard J,,,
South San Francisco,Chinese,FALSE,650-837-9068,inexpensive,King Sun Buffet,FALSE,245 South Airport Boulevard,,,
South San Francisco,Chinese,FALSE,650-588-6858,inexpensive,New Golden Wok,FALSE,136 Hazelwood Drive,,,
South San Francisco,Chinese,FALSE,650-634-8388,inexpensive,The Night Market,FALSE,230 South Spruce Avenue,,,
Berkeley,Seafood,FALSE,510-524-1286,moderate,Akemi Japanese Restaurant,TRUE,1695 Solano Avenue,,,
Berkeley,Seafood,FALSE,510-525-5458,moderate,Kiku Sushi,FALSE,1316 Gilman Street,,,
Berkeley,Seafood,FALSE,510-549-1900,expensive,Skates On The Bay,FALSE,100 Seawall Drive,,,
Berkeley,Seafood,FALSE,510-548-0737,moderate,Sushi California,FALSE,2033 Martin Luther King Junior Way,,,
Fremont,Japanese,FALSE,510-792-0700,moderate,Satomi Sushi,FALSE,3655 Thornton Avenue,,,
Fremont,Japanese,FALSE,510-440-1613,moderate,Sushi Tango Restaurant,FALSE,4193 Cushing Parkway,,,
Fremont,Japanese,FALSE,510-683-8800,moderate,Toro,FALSE,43785 Boscell Road,,,
Fremont,Japanese,FALSE,510-656-5021,moderate,Yuki Japanese Restaurant,FALSE,1932 Driscoll Road,,,
San Francisco,Japanese,FALSE,415-742-0552,moderate,Ginza Sushi & Sake,FALSE,1793 Haight Street,,,
San Francisco,Japanese,FALSE,415-673-6826,moderate,Grandeho's Kamekyo,FALSE,2721 Hyde Street,,,
Dublin,Indian,FALSE,408-472-0229,moderate,Chaat Bhavan,FALSE,4112 Grafton Street,,,
Dublin,Indian,FALSE,925-364-7086,moderate,Paradise Biryani Pointe,FALSE,6601 Dublin Boulevard,,,
Dublin,Indian,FALSE,925-829-8398,moderate,Peacock Indian Cuisine,TRUE,6608 Dublin Boulevard,,,
Danville,Japanese,FALSE,925-552-5888,moderate,Akira Bistro,FALSE,499 San Ramon Valley Boulevard,,,
Danville,Japanese,FALSE,925-648-7838,moderate,Blue Gingko Blackhawk,TRUE,3496 Blackhawk Plaza Circle,,,
Danville,Japanese,FALSE,925-820-3823,moderate,Sushi Yokohama,FALSE,558 San Ramon Valley Boulevard,,,
Danville,Japanese,FALSE,925-553-7061,moderate,Taru Japanese Cuisine,FALSE,120 East Prospect Avenue,,,
Milpitas,Japanese,FALSE,408-946-5100,moderate,My No.1 Sushi & Tofu,TRUE,1747 North Milpitas Boulevard,,,
Milpitas,Japanese,FALSE,408-945-9999,moderate,Sushi Maru Restaurant,FALSE,599 East Calaveras Boulevard,,,
Alameda,Seafood,FALSE,510-865-5088,moderate,Pier 29,FALSE,1148 Ballena Boulevard,,,
Hercules,Seafood,FALSE,510-245-0888,moderate,Claws And Craws,FALSE,848 Willow Avenue,,,
Hercules,Seafood,FALSE,510-245-1581,moderate,Genki House Japanese Restaurant,FALSE,1581 Sycamore Avenue #8,,,
San Francisco,Korean,FALSE,415-292-2368,moderate,Aato,TRUE,1449 Lombard Street,,,
San Francisco,Korean,FALSE,415-525-4985,moderate,Barnzu,TRUE,711 Geary Street,,,
San Francisco,Korean,FALSE,415-872-9868,moderate,Beque Bbq Grill,FALSE,1825 Post Street,,,
San Francisco,Korean,FALSE,415-387-7991,moderate,Brothers Restaurant,FALSE,4128 Geary Boulevard,,,
San Francisco,Korean,FALSE,415-398-2838,moderate,City View Restaurant,FALSE,662 Commercial Street,,,
San Francisco,Korean,FALSE,415-776-1898,moderate,Dong Baek,FALSE,631 O'Farrell Street #94,,,
San Francisco,Korean,FALSE,415-752-4447,moderate,Han Il Kwan,FALSE,1802 Balboa Street,,,
San Francisco,Korean,FALSE,415-668-8836,moderate,Hong Kong Lounge,FALSE,5322 Geary Boulevard,,,
San Francisco,Korean,FALSE,415-859-7111,inexpensive,Hwaro,TRUE,4516 Mission Street,,,
San Francisco,Korean,FALSE,415-929-1471,moderate,Playground,FALSE,1705 Buchanan Street,,,
Concord,Japanese,FALSE,925-827-4220,expensive,Benihana,TRUE,1989 Diamond Boulevard,,,
Concord,Japanese,FALSE,925-332-7610,moderate,Kamrai Sushi & Thai Grill,FALSE,4743 Clayton Road Suite 1,,,
Concord,Japanese,FALSE,925-686-1888,inexpensive,Sushi Momoyama,FALSE,1800 Monument Boulevard D,,,
Pleasanton,Coffeehouse,TRUE,925-249-0620,inexpensive,Mcdonald's,TRUE,3001 Bernal Avenue,,,
Fairfield,Asian,TRUE,707-863-7500,moderate,Sticky Rice Chinese Bistro & Bar,FALSE,5030 Business Center Drive,,,
Richmond,Japanese,FALSE,510-222-3686,moderate,Tokyo Shabusushi Restaurant,TRUE,3044 Hilltop Mall Road,,,
Hayward,Seafood,FALSE,510-727-1568,moderate,Sapporo Restaurant,FALSE,22507 Main Street,,,
San Francisco,Mediterranean,FALSE,415-796-3812,moderate,Pera,TRUE,1457 18th Street,,,
San Francisco,Mediterranean,FALSE,415-563-1000,moderate,Troya Restaurant,FALSE,2125 Fillmore Street,,,
Occidental,Italian,FALSE,707-874-0301,moderate,Negri's Original Occidental,FALSE,3700 Bohemian Highway,,,
San Leandro,Mediterranean,FALSE,510-850-5020,moderate,Moussaka Mediterranean Kitchen,FALSE,599 Dutton Avenue,,,
Fremont,Chinese,FALSE,510-770-8818,moderate,B K's Bistro,FALSE,3113 Stevenson Boulevard,,,
Fremont,Chinese,FALSE,510-226-1588,moderate,Boiling Hot Pot,FALSE,46997 Warm Springs Boulevard,,,
Fremont,Chinese,FALSE,510-790-9888,inexpensive,Chong Qing Xiao Mian,FALSE,34420 Fremont Boulevard,,,
Fremont,Chinese,FALSE,510-651-8989,moderate,Little Dipper Shabu Shabu,FALSE,46573 Mission Boulevard,,,
Fremont,Chinese,FALSE,510-657-5555,moderate,Little Hot Pot,FALSE,43829 Boscell Road,,,
Fremont,Chinese,FALSE,510-252-9926,inexpensive,New Yong Kang Seafood Restaurant,FALSE,40900 Fremont Boulevard,,,
Fremont,Chinese,FALSE,510-744-9988,moderate,Ping's Bistro,FALSE,34145 Fremont Boulevard,,,
Santa Rosa,American,FALSE,707-526-5787,moderate,Belly Left Coast Kitchen & Taproom,FALSE,523 4th Street,,,
Santa Rosa,American,FALSE,707-636-7388,moderate,Brasserie Restaurant & Lounge,FALSE,170 Railroad Street,,,
Santa Rosa,American,FALSE,707-569-8222,moderate,Bruno's On Fourth,TRUE,1226 4th Street,,,
Santa Rosa,American,FALSE,707-230-2610,moderate,Earth's Bounty Kitchen & Wine Bar,TRUE,5755 Mountain Hawk Drive,,,
Santa Rosa,American,FALSE,707-526-1229,moderate,Franchettis',TRUE,1229 North Dutton Avenue,,,
Santa Rosa,American,FALSE,707-526-4347,moderate,Jack & Tony's,FALSE,115 4th Street,,,
Santa Rosa,American,TRUE,707-569-9222,inexpensive,Mcdonald's,FALSE,2642 Santa Rosa Avenue,,,
Santa Rosa,American,FALSE,707-541-6896,moderate,Perch + Plow,TRUE,90 Old Courthouse Square,,,
Santa Rosa,American,FALSE,707-528-7100,expensive,The Spinster Sisters,FALSE,401 South A Street,,,
Healdsburg,Ramen,FALSE,707-431-1995,moderate,The Taste Of Tea,TRUE,109 North Street,,,
San Francisco,Seafood,FALSE,415-923-8577,expensive,Petit Marlowe,TRUE,234 Townsend Street,,,
Santa Clara,Japanese,FALSE,408-988-2555,moderate,Amakai Japanese Cuisine,FALSE,4300 Great America Parkway #156,,,
Santa Clara,Japanese,FALSE,408-244-8500,moderate,Fugetsu,TRUE,2783 El Camino Real,,,
Santa Clara,Japanese,FALSE,408-248-8500,moderate,Hatcho Japanese Cuisine,TRUE,1271 Franklin Mall,,,
Santa Clara,Japanese,FALSE,408-824-9052,expensive,Leichi,TRUE,246 Saratoga Avenue,,,
Santa Clara,Japanese,FALSE,408-246-9333,moderate,Taichi Pot Shabu Shabu,TRUE,2640 Homestead Road,,,
Santa Clara,Japanese,FALSE,408-248-9144,moderate,Yuki Sushi,FALSE,1827 Pruneridge Avenue,,,
San Francisco,Peruvian,FALSE,415-552-4438,moderate,Destino,FALSE,1815 Market Street,,,
San Francisco,Peruvian,FALSE,415-695-0549,moderate,Fresca,FALSE,3945 24th Street,,,
San Francisco,Peruvian,FALSE,415-345-1685,moderate,La Fina Estampa,FALSE,1407 Bush Street,,,
San Francisco,Peruvian,FALSE,415-821-2134,moderate,Limon Rotisserie,TRUE,1001 South Van Ness Avenue,,,
San Francisco,Peruvian,FALSE,415-278-0480,moderate,Mochica,FALSE,1469 18th Street,,,
Pacifica,Japanese,FALSE,650-898-8730,moderate,8 Sushi,FALSE,2470 Skyline Boulevard,,,
Pacifica,Japanese,FALSE,650-355-1886,moderate,Ocean Fish Sushi & Grill,FALSE,455 Oceana Boulevard,,,
Pacifica,Japanese,FALSE,415-767-6633,moderate,Uoyakutei Japanese Restaurant,FALSE,4408 Pacific Coast Highway,,,
Sausalito,Chinese,FALSE,415-332-5818,moderate,Tommy's Wok Chinese Cuisine,TRUE,3001 Bridgeway H,,,
Newark,Filipino,FALSE,510-445-1602,moderate,Isla Filipino Restaurant,FALSE,5720 Mowry School Road,,,
San Francisco,American,FALSE,415-732-7777,moderate,Palmer's Tavern,FALSE,2298 Fillmore Street,,,
San Francisco,California,FALSE,415-567-4400,moderate,Jannah,TRUE,1775 Fulton Street,,,
San Francisco,Thai,FALSE,415-731-9999,moderate,Marnee Thai,FALSE,1243 9th Avenue,,,
San Francisco,Chinese,FALSE,415-282-0919,inexpensive,Eric's Restaurant,FALSE,1500 Church Street,,,
San Francisco,American,TRUE,415-923-1138,inexpensive,Mcdonald's,FALSE,1100 Fillmore Street,,,
El Cerrito,Japanese,FALSE,510-237-0562,moderate,Yoshio Sushi,FALSE,10889 San Pablo Avenue,,,
Berkeley,French,FALSE,510-849-2155,expensive,Bistro Liaison,TRUE,1849 Shattuck Avenue,,,
Daly City,Burmese,FALSE,650-449-1378,inexpensive,Taste Of Burma,FALSE,2025 Gellert Boulevard #200,,,
Concord,Mexican,TRUE,925-676-5252,moderate,Agave Grill & Cantina,FALSE,1935 Galindo Street,,,
Cotati,Chinese,FALSE,707-664-1004,inexpensive,China Chef,FALSE,7991 Old Redwood Highway,,,
San Francisco,Italian,FALSE,415-561-1111,moderate,Pescatore,TRUE,2455 Mason Street,,,
San Francisco,American,FALSE,415-795-1272,expensive,State Bird Provisions,TRUE,1529 Fillmore Street,,,
Hayward,Mexican,FALSE,510-785-8200,moderate,The Mexican Restaurant & Bar,TRUE,19950 Hesperian Boulevard,,,
Petaluma,American,FALSE,707-782-9090,moderate,Pub Republic,TRUE,3120 Lakeville Highway,,,
San Francisco,Japanese,FALSE,415-503-0702,very expensive,Maruya,TRUE,2931 16th Street,,,
Fairfield,Salad,TRUE,707-864-1001,inexpensive,Mcdonald's,FALSE,4400 Central Place,,,
San Jose,Japanese,FALSE,408-723-1133,moderate,Kampai Bar And Grill,FALSE,519 West Capitol Expressway,,,
Oakland,Coffeehouse,FALSE,510-420-6962,expensive,Homestead,FALSE,4029 Piedmont Avenue,,,
Rohnert Park,American,FALSE,707-585-2722,moderate,Bear Republic Brewing Co.,TRUE,5000 Roberts Lake Road,,,
Oakland,Asian,FALSE,510-420-8600,moderate,Sukho Thai,FALSE,5498 College Avenue,,,
Palo Alto,Asian,FALSE,650-285-2770,moderate,Burma Ruby Burmese Cuisine,FALSE,326 University Avenue,,,
Concord,Mexican,TRUE,925-685-5582,moderate,El Rancho Restaurant,FALSE,1450 Monument Boulevard,,,
San Jose,Asian,FALSE,408-286-6668,moderate,Dynasty,FALSE,1001 Story Road,,,
San Jose,Bistro,FALSE,408-248-9091,moderate,Village California Bistro And Wine Bar,TRUE,378 Santana Row #1035,,,
Berkeley,Indian,FALSE,510-528-2519,moderate,Khana Peena,TRUE,1889 Solano Avenue,,,
Gilroy,Japanese,FALSE,408-846-7874,moderate,Sushi Omakase,TRUE,6905 Camino Arroyo #50,,,
Milpitas,Halal,FALSE,408-433-5199,moderate,Darda Seafood,FALSE,296 Barber Court,,,
Los Gatos,Japanese,FALSE,408-354-0712,very expensive,Katsu Los Gatos,TRUE,160 West Main Street,,,
San Francisco,Chinese,FALSE,415-857-9688,expensive,Mister Jiu's,FALSE,28 Waverly Place,,,
San Rafael,American,FALSE,415-454-6450,moderate,Rangecafe Bar And Grill,TRUE,337 Biscayne Drive,,,
San Jose,Steakhouse,FALSE,408-437-2170,expensive,Spencer's For Steaks And Chops,FALSE,2050 Gateway Place,,,
San Francisco,Italian,FALSE,415-921-3200,expensive,Sociale,TRUE,3665 Sacramento Street,,,
San Francisco,Japanese,FALSE,415-566-8088,moderate,Will Sushi,TRUE,1380 9th Avenue,,,
San Francisco,Asian,FALSE,415-346-8235,inexpensive,Yum Yum Hunan,FALSE,1828 Divisadero Street,,,
Burlingame,Italian,FALSE,650-347-5733,expensive,Stella Alpina Osteria,FALSE,401 Primrose Road,,,
Danville,Seafood,FALSE,925-831-3644,moderate,Luna Loca Mexican Restaurant,FALSE,500 Sycamore Valley Road,,,
St. Helena,Chinese,FALSE,707-967-9888,moderate,Golden Harvest,FALSE,61 Main Street,,,
Los Altos,Salad,FALSE,650-559-1500,moderate,Cafe Vitale,FALSE,987 Fremont Avenue,,,
Pleasanton,Burrito,TRUE,925-463-1231,inexpensive,Taco Bell,FALSE,5524-A Springdale Avenue,,,
San Francisco,Mexican,FALSE,415-401-9420,inexpensive,La Laguna,FALSE,3906 3rd Street,,,
Petaluma,Thai,FALSE,707-789-9777,moderate,Lemongrass Thai Cuisine,TRUE,109 North McDowell Boulevard,,,
San Jose,Mexican,TRUE,408-259-2333,moderate,Mendoza's Restaurant,FALSE,2122 McKee Road,,,
Gilroy,Mexican,FALSE,408-847-8812,moderate,Carnitas Michoacan,FALSE,7484 Monterey Road,,,
Mountain View,American,FALSE,650-917-9941,moderate,Paul Martin's America Mountain View,TRUE,545 San Antonio Road Suite 31,,,
Belmont,Coffeehouse,FALSE,650-592-2107,moderate,Sumac Mediterranean Grill,FALSE,1397 El Camino Real,,,
El Cerrito,Japanese,FALSE,510-528-1678,inexpensive,Katana-ya,FALSE,10544 San Pablo Avenue,,,
Marshall,Seafood,FALSE,415-663-1033,moderate,Nick's Cove,TRUE,23240 California 1,,,
San Francisco,Japanese,FALSE,415-752-5652,expensive,Kabuto Sushi,FALSE,5121 Geary Boulevard,,,
Sunnyvale,Asian,FALSE,408-245-8585,moderate,Siam Taste,TRUE,172 South Murphy Avenue,,,
San Jose,Vietnamese,FALSE,408-254-2927,moderate,Dong Que Restaurant,FALSE,2852 Alum Rock Avenue,,,
Antioch,Take-out,FALSE,925-754-5880,moderate,Chili's Grill & Bar,TRUE,5809 Lone Tree Way,,,
San Mateo,Sushi,FALSE,650-437-2282,very expensive,Sushi Yoshizumi,FALSE,325 East 4th Avenue,,,
Pleasant Hill,California,FALSE,925-566-8971,moderate,Wence's Restaurant,FALSE,1922 Oak Park Boulevard,,,
San Francisco,Salad,TRUE,415-452-8819,inexpensive,Mcdonald's,FALSE,1201 Ocean Avenue,,,
San Carlos,Brunch,FALSE,650-453-3313,moderate,West Park Bistro,FALSE,788 Laurel Street,,,
Hayward,Italian,FALSE,510-247-0120,moderate,Buon Appetito,FALSE,917 A Street,,,
San Francisco,Japanese,FALSE,415-668-8699,moderate,Kufu-ya,FALSE,7001 Geary Boulevard,,,
San Francisco,Thai,FALSE,415-885-5144,moderate,Old Siam,FALSE,201 Ellis Street,,,
San Francisco,Thai,FALSE,415-274-9948,moderate,Navin Thai Restaurant,FALSE,1059 Powell Street,,,
Daly City,Asian,FALSE,650-992-0771,inexpensive,Egg Roll King,FALSE,6811 Mission Street,,,
Berkeley,Indian,FALSE,510-848-5800,inexpensive,House Of Curries,TRUE,2520 Durant Avenue,,,
San Francisco,Mexican,FALSE,415-759-8741,moderate,Celia's By The Beach,TRUE,4019 Judah Street,,,
San Bruno,Seafood,FALSE,650-872-2218,moderate,Amami Sushi,FALSE,1789 El Camino Real,,,
San Jose,Buffet,FALSE,408-971-1960,moderate,Flames Eatery & Bar,TRUE,88 South 4th Street suite#150,,,
Palo Alto,Chinese,FALSE,650-328-6885,moderate,Jing-jing Szechwan & Hunan Gourmet,FALSE,443 Emerson Street,,,
Burlingame,Steakhouse,TRUE,650-343-8944,moderate,Broadway Grill,FALSE,1400 Broadway,,,
Walnut Creek,Sushi,FALSE,925-938-3239,moderate,Kana Sushi,FALSE,1280 Newell Avenue,,,
San Francisco,Korean,FALSE,415-751-6336,moderate,Wooden Charcoal Korean Village Barbecue House,FALSE,4611 Geary Boulevard,,,
San Francisco,California,FALSE,415-442-6003,expensive,The View Lounge,TRUE,780 Mission Street,,,
Belmont,American,FALSE,650-591-6525,moderate,The Van's Restaurant,FALSE,815 Belmont Avenue,,,
Santa Rosa,Seafood,FALSE,707-569-8588,moderate,Jojo Restaurant & Sushi Bar,FALSE,645 4th Street A,,,
San Francisco,Japanese,FALSE,415-872-9116,moderate,Hikari Sushi & Bar,FALSE,1734 Post Street,,,
Hayward,Salad,TRUE,510-881-5294,inexpensive,Mcdonald's,FALSE,23989 Watkins Street,,,
Healdsburg,Seafood,FALSE,707-433-9192,expensive,Willi's | Seafood & Raw Bar,FALSE,403 Healdsburg Avenue,,,
San Mateo,California,FALSE,650-627-4303,very expensive,All Spice,FALSE,1602 South El Camino Real,,,
Half Moon Bay,Japanese,FALSE,650-712-8886,moderate,Shiki Japanese Cuisine,FALSE,20 Stone Pine Road,,,
San Jose,Vegetarian,FALSE,408-645-5001,moderate,Walia,FALSE,2208 Business Circle,,,
Portola Valley,Italian,FALSE,650-529-9007,moderate,Parkside Grille,FALSE,884 Portola Road A1,,,
Livermore,Sandwich,FALSE,925-292-1916,inexpensive,La Panotiq Bakery Cafe Livermore,FALSE,2470 First Street #110,,,
Oakland,American,FALSE,510-238-1100,moderate,Mua Oakland,FALSE,2442a Webster Street,,,
San Jose,French,FALSE,408-244-1244,moderate,Lark Creek Kitchen,TRUE,378 Santana Row #1100,,,
Berkeley,Salad,TRUE,510-525-1411,inexpensive,Mcdonald's,FALSE,1198 San Pablo Avenue,,,
San Jose,Chinese,FALSE,408-225-5060,moderate,Pearl River Restaurant,FALSE,414 Blossom Hill Road,,,
San Francisco,Italian,FALSE,415-282-0500,moderate,La Traviata,FALSE,2854 Mission Street,,,
Antioch,Chinese,FALSE,925-777-0888,inexpensive,Rice Bowl,TRUE,3436 Deer Valley Road,,,
San Bruno,Take-out,FALSE,650-243-4530,moderate,Bj's Restaurant & Brewhouse,TRUE,1140 El Camino Real Suite 271,,,
Sunnyvale,American,TRUE,408-773-9500,moderate,Firehouse Grill & Brewery,TRUE,111 South Murphy Avenue,,,
Lafayette,Bistro,FALSE,925-283-7108,expensive,The Park Bistro & Bar,TRUE,3287 Mount Diablo Boulevard,,,
San Francisco,Mexican,FALSE,415-202-0530,inexpensive,El Tesoro Taqueria & Grill,FALSE,599 O'Farrell Street,,,
Palo Alto,Venezuelan,FALSE,650-322-6872,moderate,Coupa Cafe - Ramona,FALSE,538 Ramona Street,,,
Ross,French,FALSE,415-925-9200,expensive,Marche Aux Fleurs,TRUE,23 Ross Common Box 793,,,
Berkeley,Contemporary,FALSE,510-526-2542,expensive,Rivoli Restaurant,FALSE,1539 Solano Avenue,,,
San Francisco,Nepalese,FALSE,415-643-3881,moderate,Little Nepal,FALSE,925 Cortland Avenue,,,
Cupertino,Seafood,FALSE,408-861-0105,inexpensive,Rubio's Coastal Grill,TRUE,20688 Stevens Creek Boulevard,,,
San Rafael,American,FALSE,415-755-6250,moderate,Bj's Restaurant & Brewhouse,TRUE,5800 Northgate Mall Suite 159,,,
San Ramon,Sushi,FALSE,925-838-4848,moderate,Yayume Sushi,FALSE,2551 San Ramon Valley Boulevard #104,,,
Healdsburg,Italian,FALSE,707-395-4640,moderate,Campo Fina,FALSE,330 Healdsburg Avenue,,,
Palo Alto,Chinese,FALSE,650-485-2221,moderate,Chef Zhao Kitchen,FALSE,2180 West Bayshore Road #120,,,
Millbrae,Chinese,FALSE,650-869-6222,moderate,Yi Yuan,FALSE,1711 El Camino Real,,,
San Francisco,European,FALSE,415-348-0808,inexpensive,Ayola,FALSE,118 New Montgomery Street,,,
San Francisco,European,FALSE,415-487-1601,expensive,Bar Tartine,TRUE,561 Valencia Street,,,
San Francisco,European,FALSE,415-255-9440,moderate,Bergerac,TRUE,316 11th Street,,,
San Francisco,European,FALSE,415-802-1700,expensive,Bon Marche Brasserie & Bar,TRUE,1355 Market Street #120,,,
San Francisco,European,TRUE,415-778-2775,inexpensive,Gyro King,TRUE,88 2nd Street,,,
San Francisco,European,FALSE,415-421-4778,moderate,Schroeder's,TRUE,240 Front Street,,,
Berkeley,Shabu-shabu,FALSE,510-848-9228,moderate,Zabu Zabu,FALSE,1919 Addison Street,,,
San Francisco,Vegetarian,FALSE,415-318-8000,moderate,Ben Wah Restaurant,FALSE,2786 California Street,,,
San Francisco,Vegetarian,FALSE,415-771-6222,expensive,Greens,FALSE,Fort Mason Center,,,
San Francisco,Vegetarian,FALSE,415-701-0700,inexpensive,Indochine Vegan,FALSE,508 Valencia Street,,,
San Francisco,Vegetarian,FALSE,415-731-2658,moderate,Nabe,FALSE,1325 9th Avenue,,,
San Francisco,Vegetarian,FALSE,415-956-3338,inexpensive,New Sun Hong Kong Restaurant,TRUE,606 Broadway,,,
San Francisco,Vegetarian,FALSE,415-826-8822,moderate,Tuba Authentic Turkish Restaurant,FALSE,1007 Guerrero Street,,,
Hayward,Chinese,FALSE,510-538-2868,moderate,Chef's Experience China Bistro,FALSE,22436 Foothill Boulevard,,,
Hayward,Chinese,FALSE,510-728-7728,inexpensive,Frannie's Restaurant,FALSE,219 Harder Road,,,
Hayward,Chinese,FALSE,510-581-9648,inexpensive,Green Tea House Chinese Restaurant,FALSE,29615 Mission Boulevard,,,
Hayward,Chinese,FALSE,510-881-8868,moderate,Hinata Sushi Buffet,FALSE,1071 B Street,,,
Hayward,Chinese,FALSE,510-887-1920,inexpensive,Hong Kong Seafood Restaurant,FALSE,661 West Tennyson Road,,,
Hayward,Chinese,FALSE,510-785-7133,moderate,Veggie Lee,FALSE,25036 Hesperian Boulevard,,,
Hayward,Chinese,FALSE,510-783-1886,inexpensive,Yummy Chinese Restaurant,FALSE,1160 West Tennyson Road,,,
Newark,Afghan,FALSE,510-790-0557,moderate,Afghan Village Restaurant,FALSE,5698 Thornton Avenue,,,
Millbrae,Chinese,FALSE,650-616-8288,moderate,Asian Pearl,FALSE,1671 El Camino Real,,,
Millbrae,Chinese,FALSE,650-588-3648,moderate,Chef Wang's Restaurant,FALSE,1320 El Camino Real,,,
Millbrae,Chinese,FALSE,650-652-9768,inexpensive,Cheung Hing Restaurant,FALSE,245 El Camino Real,,,
Millbrae,Chinese,FALSE,650-692-3388,moderate,Royal Feast,FALSE,148 El Camino Real,,,
Millbrae,Chinese,FALSE,650-616-9389,moderate,Zen Peninsula,FALSE,1180 El Camino Real,,,
San Francisco,California,FALSE,415-567-9588,expensive,Isa Restaurant,FALSE,3324 Steiner Street,,,
San Francisco,California,FALSE,415-989-7154,expensive,Masa's Restaurant,TRUE,648 Bush Street,,,
