car_name,car_type,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price
Nissan Leaf,Compact,2019-03-14,,2019-03-09,30th Street Station,11:00,140
Chevrolet Cruze,Standard,2019-03-09,San Francisco,2019-03-04,Salesforce Transit Center,17:00,145
Honda Civic,Standard,2019-03-09,San Francisco,2019-03-04,Salesforce Transit Center,17:00,175
Toyota Prius,Standard,2019-03-09,San Francisco,2019-03-04,Salesforce Transit Center,17:00,125
Chevrolet Cruze,Standard,2019-03-09,,2019-03-04,Salesforce Transit Center,17:00,145
Honda Accord,Standard,2019-03-14,New York,2019-03-11,Grand Central Station,11:00,96
Honda Civic,Standard,2019-03-14,New York,2019-03-11,JFK International Airport,11:00,108
Hyundai Elantra,Standard,2019-03-14,New York,2019-03-11,Port Authority Station,11:00,102
Nissan Altima,Standard,2019-03-14,New York,2019-03-11,Port Authority Station,11:00,93
Toyota Camry,Standard,2019-03-14,New York,2019-03-11,JFK International Airport,11:00,96
Toyota Corolla,Standard,2019-03-14,New York,2019-03-11,Grand Central Station,11:00,99
Toyota Prius,Standard,2019-03-14,New York,2019-03-11,Port Authority Station,11:00,75
Chevrolet Bolt,Compact,2019-03-14,New York,2019-03-09,Port Authority Station,11:00,130
Kia Forte,Compact,2019-03-14,New York,2019-03-09,Port Authority Station,11:00,110
Mini Cooper,Compact,2019-03-14,New York,2019-03-09,JFK International Airport,11:00,155
Nissan Leaf,Compact,2019-03-14,New York,2019-03-09,Grand Central Station,11:00,115
Volkswagen Golf,Compact,2019-03-14,New York,2019-03-09,Port Authority Station,11:00,130
Chevrolet Bolt,Compact,2019-03-14,,2019-03-09,Port Authority Station,11:00,130
Honda Civic,Standard,2019-03-05,New York,2019-03-04,JFK International Airport,10:00,33
Toyota Camry,Standard,2019-03-05,New York,2019-03-04,JFK International Airport,10:00,36
Toyota Corolla,Standard,2019-03-05,New York,2019-03-04,JFK International Airport,10:00,30
Hyundai Elantra,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,09:30,31
Nissan Altima,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,09:30,26
Toyota Prius,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,09:30,27
Honda Civic,Standard,2019-03-05,,2019-03-04,JFK International Airport,10:00,33
Chevrolet Cruze,Standard,2019-03-14,San Francisco,2019-03-10,SFO International Airport,15:00,156
Ford Fusion,Standard,2019-03-14,San Francisco,2019-03-10,SFO International Airport,15:00,144
Honda Civic,Standard,2019-03-14,San Francisco,2019-03-10,Salesforce Transit Center,15:00,128
Nissan Altima,Standard,2019-03-14,San Francisco,2019-03-10,SFO International Airport,15:00,140
Nissan Sentra,Standard,2019-03-14,San Francisco,2019-03-10,Salesforce Transit Center,15:00,132
Toyota Prius,Standard,2019-03-14,San Francisco,2019-03-10,SFO International Airport,15:00,116
Chevrolet Cruze,Standard,2019-03-14,,2019-03-10,SFO International Airport,15:00,156
Honda Accord,Standard,2019-03-13,San Diego,2019-03-08,Santa Fe Depot,13:00,145
Honda Civic,Standard,2019-03-13,San Diego,2019-03-08,Santa Fe Depot,13:00,135
Nissan Sentra,Standard,2019-03-13,San Diego,2019-03-08,Santa Fe Depot,13:00,140
Ford Fusion,Standard,2019-03-13,San Diego,2019-03-08,SAN International Airport,12:30,170
Hyundai Elantra,Standard,2019-03-13,San Diego,2019-03-08,SAN International Airport,12:30,180
Toyota Camry,Standard,2019-03-13,San Diego,2019-03-08,SAN International Airport,12:30,170
Chevrolet Bolt,Compact,2019-03-14,San Diego,2019-03-08,Santa Fe Depot,13:00,156
Kia Forte,Compact,2019-03-14,San Diego,2019-03-08,SAN International Airport,12:30,144
Volkswagen GTI,Compact,2019-03-14,San Diego,2019-03-08,SAN International Airport,12:30,138
Chevrolet Bolt,Compact,2019-03-14,,2019-03-08,Santa Fe Depot,13:00,156
Chevrolet Bolt,Compact,2019-03-09,San Diego,2019-03-02,Santa Fe Depot,18:00,175
Volkswagen GTI,Compact,2019-03-09,San Diego,2019-03-02,SAN International Airport,18:00,203
Chevrolet Bolt,Compact,2019-03-09,,2019-03-02,Santa Fe Depot,18:00,175
Chevrolet Bolt,Compact,2019-03-13,,2019-03-09,Orly International Airport,19:00,108
Subaru Forester,Full-size,2019-03-06,,2019-03-03,YVR International Airport,15:30,123
Kia Forte,Compact,2019-03-09,,2019-03-05,Fresno Yosemite International Airport,11:30,148
Nissan Leaf,Compact,2019-03-13,,2019-03-10,JFK International Airport,17:30,78
Jeep Cherokee,Full-size,2019-03-05,,2019-03-01,Intercity Terminal,15:30,156
Ford Fusion,Standard,2019-03-07,,2019-03-05,SAN International Airport,10:00,62
Nissan Altima,Standard,2019-03-11,,2019-03-09,SFO International Airport,16:30,64
Nissan Leaf,Compact,2019-03-08,,2019-03-02,Gatwick International Airport,18:30,198
Hyundai Tucson,Full-size,2019-03-10,,2019-03-09,Pacific Central Station,15:30,42
Nissan Leaf,Compact,2019-03-03,,2019-03-02,JFK International Airport,13:00,27
Chevrolet Bolt,Compact,2019-03-05,,2019-03-02,Port Authority Station,16:00,78
Kia Forte,Compact,2019-03-10,,2019-03-07,Portland Bus Station,16:30,81
Volkswagen GTI,Compact,2019-03-10,,2019-03-08,PHL International Airport,18:00,62
Toyota Prius,Standard,2019-03-08,,2019-03-07,Sky Harbor International Airport,12:30,29
Honda Accord,Standard,2019-03-02,,2019-03-01,SMF International Airport,19:30,30
Chevrolet Equinox,Full-size,2019-03-13,,2019-03-09,LAX International Airport,18:00,160
Ford Escape,Full-size,2019-03-06,,2019-03-02,JFK International Airport,19:00,164
Ford Fusion,Standard,2019-03-07,,2019-03-06,Chicago Union Station,13:00,34
Toyota Prius,Standard,2019-03-14,,2019-03-08,Phoenix Union Station,18:00,180
Ford Fusion,Standard,2019-03-11,,2019-03-10,King Street Station,10:30,25
Nissan Sentra,Standard,2019-03-08,,2019-03-03,Salesforce Transit Center,13:30,155
Honda Accord,Standard,2019-03-02,,2019-03-01,Gatwick International Airport,14:00,35
Nissan Sentra,Standard,2019-03-11,,2019-03-10,Charles de Gaulle International Airport,17:00,29
Mini Cooper,Compact,2019-03-02,,2019-03-01,Intercity Terminal,09:30,22
Kia Forte,Compact,2019-03-05,,2019-03-02,Portland Bus Station,15:30,81
Chevrolet Cruze,Standard,2019-03-13,,2019-03-08,Heathrow International Airport,16:00,170
Toyota Highlander,Full-size,2019-03-05,,2019-03-04,Charles de Gaulle International Airport,18:00,41
Honda Accord,Standard,2019-03-11,,2019-03-07,Fresno Station,14:00,120
Jeep Cherokee,Full-size,2019-03-11,,2019-03-09,Fresno Station,15:00,84
Kia Forte,Compact,2019-03-04,,2019-03-03,Fresno Station,15:30,27
Honda Civic,Standard,2019-03-06,,2019-03-02,KLIA International Airport,15:30,96
Kia Forte,Compact,2019-03-09,,2019-03-04,Pacific Central Station,19:00,100
Kia Forte,Compact,2019-03-05,,2019-03-01,Pacific Central Station,19:00,96
Volkswagen Golf,Compact,2019-03-05,,2019-03-01,Indira Gandhi International Airport,17:30,92
Kia Forte,Compact,2019-03-08,,2019-03-02,Salesforce Transit Center,11:00,162
Mini Cooper,Compact,2019-03-04,,2019-03-02,Intercity Terminal,10:30,48
Hyundai Tucson,Full-size,2019-03-08,,2019-03-05,SAN International Airport,12:30,129
Honda CR-V,Full-size,2019-03-03,,2019-03-02,Sacramento Valley Station,16:30,35
Nissan Leaf,Compact,2019-03-14,,2019-03-09,Gatwick International Airport,17:00,120
Honda Fit,Compact,2019-03-05,,2019-03-04,Downtown Station,17:30,26
Chevrolet Cruze,Standard,2019-03-14,,2019-03-10,PDX International Airport,10:00,124
Ford Fusion,Standard,2019-03-02,,2019-03-01,King Street Station,15:00,33
Mini Cooper,Compact,2019-03-08,,2019-03-03,PDX International Airport,18:00,155
Nissan Leaf,Compact,2019-03-03,,2019-03-02,Gatwick International Airport,11:30,30
Honda Accord,Standard,2019-03-11,,2019-03-09,SMF International Airport,16:00,66
Nissan Sentra,Standard,2019-03-14,,2019-03-09,Charles de Gaulle International Airport,12:00,185
Toyota Camry,Standard,2019-03-09,,2019-03-03,Anaheim Intermodal Center,10:00,210
Toyota Highlander,Full-size,2019-03-12,,2019-03-05,Charles de Gaulle International Airport,18:30,322
Kia Forte,Compact,2019-03-07,,2019-03-02,Salesforce Transit Center,17:30,155
Toyota Prius,Standard,2019-03-14,,2019-03-12,McCarran International Airport,15:00,68
Honda Civic,Standard,2019-03-12,,2019-03-10,Salesforce Transit Center,12:00,54
Nissan Leaf,Compact,2019-03-02,,2019-03-01,Charles de Gaulle International Airport,18:00,26
Kia Forte,Compact,2019-03-10,,2019-03-09,Fresno Yosemite International Airport,16:30,24
Ford Fusion,Standard,2019-03-14,,2019-03-09,SAN International Airport,12:30,150
Nissan Leaf,Compact,2019-03-08,,2019-03-07,Charles de Gaulle International Airport,18:30,25
Chevrolet Bolt,Compact,2019-03-03,,2019-03-02,Port Authority Station,12:00,25
Nissan Leaf,Compact,2019-03-08,,2019-03-07,Charles de Gaulle International Airport,12:00,25
Chevrolet Cruze,Standard,2019-03-12,,2019-03-11,PDX International Airport,16:30,27
Mini Cooper,Compact,2019-03-07,,2019-03-04,SFO International Airport,11:30,75
Honda Fit,Compact,2019-03-14,,2019-03-11,Toronto Pearson International Airport,11:00,90
Toyota Highlander,Full-size,2019-03-07,,2019-03-02,Charles de Gaulle International Airport,14:00,255
Honda Fit,Compact,2019-03-05,,2019-03-03,Jomo Kenyatta International Airport,10:30,32
Honda Fit,Compact,2019-03-13,,2019-03-10,Grand Central Station,12:30,87
Mini Cooper,Compact,2019-03-06,,2019-03-02,SFO International Airport,14:00,96
Toyota Prius,Standard,2019-03-13,,2019-03-11,Sky Harbor International Airport,15:30,72
Toyota Highlander,Full-size,2019-03-05,,2019-03-04,Charles de Gaulle International Airport,11:30,41
Subaru Forester,Full-size,2019-03-05,,2019-03-02,Grand Central Station,18:30,111
Kia Forte,Compact,2019-03-05,,2019-03-02,Pacific Central Station,17:30,81
Jeep Cherokee,Full-size,2019-03-04,,2019-03-02,Fresno Yosemite International Airport,16:30,84
Hyundai Tucson,Full-size,2019-03-12,,2019-03-08,Toronto Pearson International Airport,16:00,164
Subaru Forester,Full-size,2019-03-02,,2019-03-01,YVR International Airport,12:30,44
Toyota Highlander,Full-size,2019-03-11,,2019-03-08,Charles de Gaulle International Airport,18:00,135
Toyota Highlander,Full-size,2019-03-06,,2019-03-04,Charles de Gaulle International Airport,11:00,84
Chevrolet Equinox,Full-size,2019-03-13,,2019-03-09,Peachtree Station,17:00,160
Volkswagen GTI,Compact,2019-03-10,,2019-03-09,Hartsfield-Jackson International Airport,16:30,27
Mini Cooper,Compact,2019-03-08,,2019-03-02,McCarran International Airport,13:30,162
Nissan Sentra,Standard,2019-03-10,,2019-03-07,30th Street Station,16:30,84
Mini Cooper,Compact,2019-03-04,,2019-03-03,Intercity Terminal,09:30,20
Honda Civic,Standard,2019-03-13,Seattle,2019-03-08,Seattle-Tacoma International Airport,14:00,150
Hyundai Elantra,Standard,2019-03-13,Seattle,2019-03-08,King Street Station,14:00,145
Toyota Prius,Standard,2019-03-13,Seattle,2019-03-08,Seattle-Tacoma International Airport,14:00,150
Honda Civic,Standard,2019-03-13,,2019-03-08,Seattle-Tacoma International Airport,14:00,150
Ford Fusion,Standard,2019-03-06,Seattle,2019-03-03,King Street Station,12:30,93
Hyundai Elantra,Standard,2019-03-06,Seattle,2019-03-03,King Street Station,12:30,99
Honda Civic,Standard,2019-03-06,Seattle,2019-03-03,Seattle-Tacoma International Airport,13:00,87
Nissan Sentra,Standard,2019-03-06,Seattle,2019-03-03,Seattle-Tacoma International Airport,13:00,96
Toyota Prius,Standard,2019-03-06,Seattle,2019-03-03,Seattle-Tacoma International Airport,13:00,99
Honda Fit,Compact,2019-03-06,Seattle,2019-03-01,King Street Station,12:30,105
Nissan Leaf,Compact,2019-03-06,Seattle,2019-03-01,King Street Station,12:30,130
Chevrolet Bolt,Compact,2019-03-06,Seattle,2019-03-01,Seattle-Tacoma International Airport,13:00,135
Kia Forte,Compact,2019-03-06,Seattle,2019-03-01,Seattle-Tacoma International Airport,13:00,120
Volkswagen GTI,Compact,2019-03-06,Seattle,2019-03-01,Seattle-Tacoma International Airport,13:00,105
Nissan Leaf,Compact,2019-03-06,,2019-03-01,King Street Station,12:30,130
Chevrolet Bolt,Compact,2019-03-07,New York,2019-03-02,Port Authority Station,16:30,145
Honda Fit,Compact,2019-03-07,New York,2019-03-02,Grand Central Station,16:30,135
Kia Forte,Compact,2019-03-07,New York,2019-03-02,Port Authority Station,16:30,130
Nissan Leaf,Compact,2019-03-07,New York,2019-03-02,Port Authority Station,16:30,125
Volkswagen Golf,Compact,2019-03-07,New York,2019-03-02,Port Authority Station,16:30,120
Chevrolet Bolt,Compact,2019-03-07,,2019-03-02,Port Authority Station,16:30,145
Ford Fusion,Standard,2019-03-10,San Diego,2019-03-03,SAN International Airport,15:00,252
Ford Fusion,Standard,2019-03-10,,2019-03-03,SAN International Airport,15:00,252
Chevrolet Cruze,Standard,2019-03-10,Vancouver,2019-03-09,Pacific Central Station,13:30,34
Honda Accord,Standard,2019-03-10,Vancouver,2019-03-09,YVR International Airport,13:30,31
Hyundai Elantra,Standard,2019-03-10,Vancouver,2019-03-09,YVR International Airport,13:30,30
Nissan Altima,Standard,2019-03-10,Vancouver,2019-03-09,YVR International Airport,13:30,37
Nissan Sentra,Standard,2019-03-10,Vancouver,2019-03-09,Pacific Central Station,13:30,32
Toyota Corolla,Standard,2019-03-10,Vancouver,2019-03-09,YVR International Airport,13:30,32
Toyota Prius,Standard,2019-03-10,Vancouver,2019-03-09,Pacific Central Station,13:30,39
Chevrolet Cruze,Standard,2019-03-10,,2019-03-09,Pacific Central Station,13:30,34
Chevrolet Bolt,Compact,2019-03-09,Vancouver,2019-03-02,YVR International Airport,15:30,217
Volkswagen Golf,Compact,2019-03-09,Vancouver,2019-03-02,Pacific Central Station,15:30,154
Hyundai Elantra,Standard,2019-03-09,Vancouver,2019-03-02,YVR International Airport,15:30,252
Hyundai Elantra,Standard,2019-03-09,,2019-03-02,YVR International Airport,15:30,252
Chevrolet Equinox,Full-size,2019-03-13,Toronto,2019-03-10,Toronto Pearson International Airport,14:00,120
Hyundai Tucson,Full-size,2019-03-13,Toronto,2019-03-10,Toronto Pearson International Airport,14:00,138
Subaru Forester,Full-size,2019-03-13,Toronto,2019-03-10,Toronto Pearson International Airport,14:00,138
Chevrolet Equinox,Full-size,2019-03-13,,2019-03-10,Toronto Pearson International Airport,14:00,120
Ford Fusion,Standard,2019-03-09,Seattle,2019-03-02,King Street Station,15:30,252
Honda Civic,Standard,2019-03-09,Seattle,2019-03-02,King Street Station,15:30,203
Hyundai Elantra,Standard,2019-03-09,Seattle,2019-03-02,King Street Station,15:30,224
Nissan Sentra,Standard,2019-03-09,Seattle,2019-03-02,Seattle-Tacoma International Airport,15:30,217
Ford Fusion,Standard,2019-03-09,,2019-03-02,King Street Station,15:30,252
Honda Accord,Standard,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,170
Toyota Camry,Standard,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,170
Toyota Prius,Standard,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,160
Hyundai Tucson,Full-size,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,210
Nissan Rogue,Full-size,2019-03-11,Phoenix,2019-03-06,Phoenix Union Station,16:30,170
Toyota RAV4,Full-size,2019-03-11,Phoenix,2019-03-06,Sky Harbor International Airport,16:30,205
Hyundai Tucson,Full-size,2019-03-11,,2019-03-06,Sky Harbor International Airport,16:30,210
Chevrolet Bolt,Compact,2019-03-06,Vancouver,2019-03-04,YVR International Airport,12:00,58
Honda Fit,Compact,2019-03-06,Vancouver,2019-03-04,YVR International Airport,12:00,58
Mini Cooper,Compact,2019-03-06,Vancouver,2019-03-04,YVR International Airport,12:00,46
Honda Fit,Compact,2019-03-06,,2019-03-04,YVR International Airport,12:00,58
Chevrolet Equinox,Full-size,2019-03-05,Philadelphia,2019-03-03,30th Street Station,12:00,76
Jeep Cherokee,Full-size,2019-03-05,Philadelphia,2019-03-03,Intercity Terminal,12:00,82
Nissan Rogue,Full-size,2019-03-05,Philadelphia,2019-03-03,30th Street Station,12:00,80
Subaru Forester,Full-size,2019-03-05,Philadelphia,2019-03-03,Intercity Terminal,12:00,76
Nissan Rogue,Full-size,2019-03-05,,2019-03-03,30th Street Station,12:00,80
Kia Forte,Compact,2019-03-03,Chicago,2019-03-01,O'Hare International Airport,12:00,60
Mini Cooper,Compact,2019-03-03,Chicago,2019-03-01,O'Hare International Airport,12:00,62
Kia Forte,Compact,2019-03-03,,2019-03-01,O'Hare International Airport,12:00,60
Hyundai Elantra,Standard,2019-03-12,New York,2019-03-05,Port Authority Station,12:00,224
Nissan Altima,Standard,2019-03-12,New York,2019-03-05,Port Authority Station,12:00,217
Hyundai Elantra,Standard,2019-03-12,,2019-03-05,Port Authority Station,12:00,224
Chevrolet Cruze,Standard,2019-03-12,San Francisco,2019-03-10,SFO International Airport,17:00,58
Ford Fusion,Standard,2019-03-12,San Francisco,2019-03-10,SFO International Airport,17:00,62
Honda Civic,Standard,2019-03-12,San Francisco,2019-03-10,Salesforce Transit Center,17:00,54
Nissan Altima,Standard,2019-03-12,San Francisco,2019-03-10,SFO International Airport,17:00,62
Nissan Sentra,Standard,2019-03-12,San Francisco,2019-03-10,Salesforce Transit Center,17:00,60
Toyota Prius,Standard,2019-03-12,San Francisco,2019-03-10,SFO International Airport,17:00,60
Chevrolet Cruze,Standard,2019-03-12,,2019-03-10,SFO International Airport,17:00,58
Chevrolet Cruze,Standard,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,160
Ford Fusion,Standard,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,140
Honda Civic,Standard,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,124
Hyundai Elantra,Standard,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,120
Nissan Altima,Standard,2019-03-08,Philadelphia,2019-03-04,30th Street Station,15:30,108
Nissan Sentra,Standard,2019-03-08,Philadelphia,2019-03-04,30th Street Station,15:30,136
Toyota Corolla,Standard,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,128
Toyota Prius,Standard,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,136
Honda Fit,Compact,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,108
Kia Forte,Compact,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,124
Mini Cooper,Compact,2019-03-08,Philadelphia,2019-03-04,Intercity Terminal,15:30,92
Nissan Leaf,Compact,2019-03-08,Philadelphia,2019-03-04,30th Street Station,15:30,96
Volkswagen GTI,Compact,2019-03-08,Philadelphia,2019-03-04,PHL International Airport,15:30,108
Volkswagen Golf,Compact,2019-03-08,Philadelphia,2019-03-04,30th Street Station,15:30,108
Honda Fit,Compact,2019-03-08,,2019-03-04,Intercity Terminal,15:30,108
Honda Fit,Compact,2019-03-08,Toronto,2019-03-01,Toronto Pearson International Airport,11:00,196
Honda Fit,Compact,2019-03-08,,2019-03-01,Toronto Pearson International Airport,11:00,196
Ford Fusion,Standard,2019-03-07,San Diego,2019-03-02,SAN International Airport,12:30,165
Hyundai Elantra,Standard,2019-03-07,San Diego,2019-03-02,SAN International Airport,12:30,145
Honda Accord,Standard,2019-03-07,San Diego,2019-03-02,Santa Fe Depot,13:00,175
Nissan Sentra,Standard,2019-03-07,San Diego,2019-03-02,Santa Fe Depot,13:00,150
Ford Fusion,Standard,2019-03-07,,2019-03-02,SAN International Airport,12:30,165
Chevrolet Cruze,Standard,2019-03-10,San Francisco,2019-03-06,SFO International Airport,12:30,152
Ford Fusion,Standard,2019-03-10,San Francisco,2019-03-06,SFO International Airport,12:30,128
Honda Civic,Standard,2019-03-10,San Francisco,2019-03-06,Salesforce Transit Center,12:30,136
Nissan Altima,Standard,2019-03-10,San Francisco,2019-03-06,SFO International Airport,12:30,124
Nissan Sentra,Standard,2019-03-10,San Francisco,2019-03-06,Salesforce Transit Center,12:30,112
Toyota Prius,Standard,2019-03-10,San Francisco,2019-03-06,SFO International Airport,12:30,120
Kia Forte,Compact,2019-03-11,San Francisco,2019-03-06,SFO International Airport,12:30,140
Mini Cooper,Compact,2019-03-11,San Francisco,2019-03-06,SFO International Airport,12:30,130
Nissan Leaf,Compact,2019-03-11,San Francisco,2019-03-06,SFO International Airport,12:30,140
Volkswagen GTI,Compact,2019-03-11,San Francisco,2019-03-06,SFO International Airport,12:30,140
Mini Cooper,Compact,2019-03-11,,2019-03-06,SFO International Airport,12:30,130
Honda Accord,Standard,2019-03-14,New York,2019-03-08,Grand Central Station,11:00,174
Nissan Altima,Standard,2019-03-14,New York,2019-03-08,Port Authority Station,11:00,198
Toyota Corolla,Standard,2019-03-14,New York,2019-03-08,Grand Central Station,11:00,216
Toyota Corolla,Standard,2019-03-14,,2019-03-08,Grand Central Station,11:00,216
Chevrolet Cruze,Standard,2019-03-05,Los Angeles,2019-03-02,Union Station,15:00,90
Ford Fusion,Standard,2019-03-05,Los Angeles,2019-03-02,LAX International Airport,15:00,120
Honda Civic,Standard,2019-03-05,Los Angeles,2019-03-02,Union Station,15:00,87
Hyundai Elantra,Standard,2019-03-05,Los Angeles,2019-03-02,LAX International Airport,15:00,102
Toyota Camry,Standard,2019-03-05,Los Angeles,2019-03-02,LAX International Airport,15:00,96
Toyota Corolla,Standard,2019-03-05,Los Angeles,2019-03-02,LAX International Airport,15:00,90
Ford Fusion,Standard,2019-03-05,,2019-03-02,LAX International Airport,15:00,120
Honda Accord,Standard,2019-03-06,Phoenix,2019-03-01,Sky Harbor International Airport,13:30,130
Toyota Camry,Standard,2019-03-06,Phoenix,2019-03-01,Sky Harbor International Airport,13:30,150
Toyota Prius,Standard,2019-03-06,Phoenix,2019-03-01,Sky Harbor International Airport,13:30,145
Honda Accord,Standard,2019-03-06,,2019-03-01,Sky Harbor International Airport,13:30,130
Honda Civic,Standard,2019-03-14,Los Angeles,2019-03-09,Union Station,11:00,145
Hyundai Elantra,Standard,2019-03-14,Los Angeles,2019-03-09,Union Station,11:00,185
Toyota Corolla,Standard,2019-03-14,Los Angeles,2019-03-09,Union Station,11:00,165
Honda Civic,Standard,2019-03-14,,2019-03-09,Union Station,11:00,170
Honda Civic,Standard,2019-03-08,Las Vegas,2019-03-01,McCarran International Airport,12:00,266
Toyota Prius,Standard,2019-03-08,Las Vegas,2019-03-01,Union Plaza,12:00,196
Honda Civic,Standard,2019-03-08,,2019-03-01,McCarran International Airport,12:00,266
Chevrolet Cruze,Standard,2019-03-06,San Francisco,2019-03-02,SFO International Airport,11:00,116
Ford Fusion,Standard,2019-03-06,San Francisco,2019-03-02,SFO International Airport,11:00,160
Honda Civic,Standard,2019-03-06,San Francisco,2019-03-02,Salesforce Transit Center,11:00,128
Nissan Altima,Standard,2019-03-06,San Francisco,2019-03-02,SFO International Airport,11:00,124
Nissan Sentra,Standard,2019-03-06,San Francisco,2019-03-02,Salesforce Transit Center,11:00,132
Toyota Prius,Standard,2019-03-06,San Francisco,2019-03-02,SFO International Airport,11:00,144
Chevrolet Cruze,Standard,2019-03-06,,2019-03-02,SFO International Airport,11:00,116
Nissan Rogue,Full-size,2019-03-05,Seattle,2019-03-01,Seattle-Tacoma International Airport,15:00,184
Subaru Forester,Full-size,2019-03-05,Seattle,2019-03-01,Seattle-Tacoma International Airport,15:00,172
Toyota RAV4,Full-size,2019-03-05,Seattle,2019-03-01,King Street Station,15:00,184
Toyota RAV4,Full-size,2019-03-05,,2019-03-01,King Street Station,15:00,184
Honda Fit,Compact,2019-03-06,Toronto,2019-03-01,Toronto Pearson International Airport,15:00,155
Kia Forte,Compact,2019-03-06,Toronto,2019-03-01,Toronto Pearson International Airport,15:00,150
Honda Fit,Compact,2019-03-06,,2019-03-01,Toronto Pearson International Airport,15:00,155
Chevrolet Cruze,Standard,2019-03-12,Philadelphia,2019-03-07,PHL International Airport,13:00,145
Ford Fusion,Standard,2019-03-12,Philadelphia,2019-03-07,PHL International Airport,13:00,185
Honda Civic,Standard,2019-03-12,Philadelphia,2019-03-07,PHL International Airport,13:00,155
Hyundai Elantra,Standard,2019-03-12,Philadelphia,2019-03-07,Intercity Terminal,12:30,175
Nissan Altima,Standard,2019-03-12,Philadelphia,2019-03-07,30th Street Station,12:30,125
Toyota Corolla,Standard,2019-03-12,Philadelphia,2019-03-07,Intercity Terminal,12:30,155
Toyota Prius,Standard,2019-03-12,Philadelphia,2019-03-07,Intercity Terminal,12:30,155
Ford Fusion,Standard,2019-03-12,,2019-03-07,PHL International Airport,13:00,185
Chevrolet Equinox,Full-size,2019-03-14,Toronto,2019-03-11,Toronto Pearson International Airport,09:30,129
Hyundai Tucson,Full-size,2019-03-14,Toronto,2019-03-11,Toronto Pearson International Airport,09:30,111
Subaru Forester,Full-size,2019-03-14,Toronto,2019-03-11,Toronto Pearson International Airport,09:30,138
Chevrolet Equinox,Full-size,2019-03-14,,2019-03-11,Toronto Pearson International Airport,09:30,129
Chevrolet Equinox,Full-size,2019-03-11,New York,2019-03-08,Port Authority Station,09:30,123
Hyundai Tucson,Full-size,2019-03-11,New York,2019-03-08,Port Authority Station,09:30,126
Ford Escape,Full-size,2019-03-11,New York,2019-03-08,JFK International Airport,10:00,129
Subaru Forester,Full-size,2019-03-11,New York,2019-03-08,JFK International Airport,10:00,147
Chevrolet Equinox,Full-size,2019-03-11,,2019-03-08,Port Authority Station,09:30,123
Chevrolet Cruze,Standard,2019-03-13,Philadelphia,2019-03-11,30th Street Station,11:00,64
Ford Fusion,Standard,2019-03-13,Philadelphia,2019-03-11,30th Street Station,11:00,54
Hyundai Elantra,Standard,2019-03-13,Philadelphia,2019-03-11,Intercity Terminal,11:00,64
Nissan Altima,Standard,2019-03-13,Philadelphia,2019-03-11,30th Street Station,11:00,66
Nissan Sentra,Standard,2019-03-13,Philadelphia,2019-03-11,30th Street Station,11:00,66
Toyota Corolla,Standard,2019-03-13,Philadelphia,2019-03-11,Intercity Terminal,11:00,58
Toyota Prius,Standard,2019-03-13,Philadelphia,2019-03-11,Intercity Terminal,11:00,58
Chevrolet Cruze,Standard,2019-03-13,,2019-03-11,30th Street Station,11:00,64
Nissan Altima,Standard,2019-03-12,New York,2019-03-07,Port Authority Station,12:00,130
Toyota Camry,Standard,2019-03-12,New York,2019-03-07,JFK International Airport,12:00,155
Toyota Corolla,Standard,2019-03-12,New York,2019-03-07,Grand Central Station,12:00,140
Toyota Prius,Standard,2019-03-12,New York,2019-03-07,Port Authority Station,12:00,155
Toyota Corolla,Standard,2019-03-12,,2019-03-07,Grand Central Station,12:00,140
Hyundai Tucson,Full-size,2019-03-02,Anaheim,2019-03-01,Anaheim Intermodal Center,10:00,48
Nissan Rogue,Full-size,2019-03-02,Anaheim,2019-03-01,Anaheim Intermodal Center,10:00,47
Toyota Highlander,Full-size,2019-03-02,Anaheim,2019-03-01,Anaheim Intermodal Center,10:00,34
Ford Escape,Full-size,2019-03-02,Anaheim,2019-03-01,John Wayne Airport,09:30,48
Subaru Forester,Full-size,2019-03-02,Anaheim,2019-03-01,John Wayne Airport,09:30,42
Nissan Rogue,Full-size,2019-03-02,,2019-03-01,Anaheim Intermodal Center,10:00,47
Honda Accord,Standard,2019-03-09,New York,2019-03-06,Grand Central Station,15:30,90
Honda Civic,Standard,2019-03-09,New York,2019-03-06,JFK International Airport,15:30,93
Hyundai Elantra,Standard,2019-03-09,New York,2019-03-06,Port Authority Station,15:30,96
