city,date,humidity,precipitation,temperature,wind
Philadelphia,2019-03-06,48,26,94,12
Gilroy,2019-03-08,40,20,85,9
Paris,2019-03-02,33,16,72,1
Washington D.C.,2019-03-07,27,20,81,2
Washington D.C.,2019-03-05,51,28,82,12
Los Angeles,2019-03-11,51,23,86,7
Moraga,2019-03-13,20,5,73,6
Cupertino,2019-03-05,23,15,76,2
Richmond,2019-03-13,18,4,83,7
Valley Ford,2019-03-03,22,13,91,9
Duncans Mills,2019-03-01,21,13,77,10
Brentwood,2019-03-01,17,3,77,10
Bolinas,2019-03-01,50,28,85,6
Healdsburg,2019-03-01,19,9,71,8
Graton,2019-03-01,37,25,76,12
Sacramento,2019-03-11,61,26,84,7
Emeryville,2019-03-01,33,17,86,11
American Canyon,2019-03-01,28,10,83,3
Tomales,2019-03-02,34,21,75,4
Fairfax,2019-03-06,17,12,91,11
Delhi,2019-03-14,13,7,96,6
"Olema, California",2019-03-02,25,9,88,9
Newark,2019-03-05,38,23,90,5
Fremont,2019-03-13,28,15,72,3
Sebastopol,2019-03-12,19,7,93,1
Lagunitas,2019-03-05,23,10,92,11
Los Altos,2019-03-02,42,17,94,5
Half Moon Bay,2019-03-01,42,18,81,4
Pescadero,2019-03-02,24,18,76,8
Fresno,2019-03-09,27,25,93,5
Cloverdale,2019-03-04,26,24,71,1
Fresno,2019-03-10,36,13,90,8
Seattle,2019-03-09,13,14,64,5
Philadelphia,2019-03-13,17,3,86,12
Oakley,2019-03-02,18,3,93,11
Sacramento,2019-03-09,31,23,92,9
Anaheim,2019-03-08,16,9,86,6
Sacramento,2019-03-14,18,16,92,1
Anaheim,2019-03-10,27,9,76,8
Anaheim,2019-03-13,27,20,90,12
Sacramento,2019-03-03,23,14,87,2
Fresno,2019-03-14,16,2,84,3
Benicia,2019-03-06,25,24,85,9
Benicia,2019-03-12,22,4,73,10
Bolinas,2019-03-04,32,12,85,1
San Anselmo,2019-03-13,16,2,83,1
Tomales,2019-03-11,25,23,89,2
Alameda,2019-03-05,22,7,79,9
San Pablo,2019-03-04,49,18,80,12
Larkspur,2019-03-10,42,20,85,12
Burlingame,2019-03-01,17,2,81,12
San Bruno,2019-03-02,58,21,77,4
Pinole,2019-03-01,26,18,91,6
Castro Valley,2019-03-09,15,7,86,4
Santa Rosa,2019-03-09,41,26,92,8
Dixon,2019-03-12,28,21,93,4
Sebastopol,2019-03-11,18,6,75,7
Long Beach,2019-03-10,50,20,75,11
Hayward,2019-03-10,30,14,80,8
Brentwood,2019-03-08,29,19,86,3
Novato,2019-03-04,19,7,87,5
Atherton,2019-03-04,24,10,78,6
Woodside,2019-03-01,23,6,78,11
Moraga,2019-03-09,19,3,86,1
Walnut Creek,2019-03-02,55,26,76,6
Lagunitas,2019-03-02,24,17,87,5
Graton,2019-03-09,38,19,89,4
Millbrae,2019-03-03,20,23,73,7
Menlo Park,2019-03-11,37,19,71,7
Oakland,2019-03-14,27,22,84,5
San Ramon,2019-03-07,17,5,74,12
San Lorenzo,2019-03-01,19,3,76,1
Valley Ford,2019-03-12,34,11,92,1
Novato,2019-03-09,16,1,80,5
Berkeley,2019-03-14,30,16,81,10
Antioch,2019-03-07,15,0,71,4
Oakley,2019-03-04,33,11,75,10
Fremont,2019-03-12,21,10,73,5
San Mateo,2019-03-14,27,18,87,1
Saratoga,2019-03-08,22,19,81,2
Pleasanton,2019-03-04,29,13,78,1
Santa Rosa,2019-03-02,41,27,86,9
Foster City,2019-03-10,16,5,72,3
Windsor,2019-03-11,64,28,89,12
Oakland,2019-03-05,30,15,92,1
Gilroy,2019-03-14,20,9,72,5
Walnut Creek,2019-03-10,45,26,91,11
Berkeley,2019-03-09,41,24,74,4
Redwood City,2019-03-11,29,25,79,5
Union City,2019-03-08,32,25,86,7
El Sobrante,2019-03-06,22,9,76,12
Guerneville,2019-03-01,28,11,89,2
Kenwood,2019-03-05,25,27,90,10
Kenwood,2019-03-01,41,23,92,8
Montara,2019-03-01,20,8,89,8
Stanford,2019-03-01,47,29,73,5
Alamo,2019-03-01,32,12,81,3
Novato,2019-03-12,21,6,77,9
Novato,2019-03-02,15,1,71,3
Discovery Bay,2019-03-12,25,23,70,11
Discovery Bay,2019-03-10,28,15,85,11
Moraga,2019-03-07,21,12,73,4
Morgan Hill,2019-03-04,44,29,72,6
Lafayette,2019-03-06,16,1,86,4
Bolinas,2019-03-06,38,22,92,7
Larkspur,2019-03-03,46,23,85,4
Petaluma,2019-03-06,31,10,91,9
Union City,2019-03-06,37,19,71,3
Union City,2019-03-09,15,1,79,8
Clayton,2019-03-14,20,6,72,10
Tiburon,2019-03-05,51,20,94,11
Calistoga,2019-03-05,28,12,73,5
San Bruno,2019-03-08,33,10,91,11
Fresno,2019-03-03,31,18,77,8
Inverness,2019-03-10,18,3,90,7
Alamo,2019-03-04,31,24,94,1
Discovery Bay,2019-03-09,18,11,89,6
"Olema, California",2019-03-13,14,14,90,7
American Canyon,2019-03-11,26,16,87,12
Cotati,2019-03-13,16,1,76,6
Palo Alto,2019-03-14,17,7,82,12
Brisbane,2019-03-01,56,26,78,12
Duncans Mills,2019-03-05,15,1,90,11
Montara,2019-03-14,38,21,77,5
Eldridge,2019-03-14,27,23,73,1
Marshall,2019-03-04,38,17,86,7
Pittsburg,2019-03-01,15,3,87,6
Woodside,2019-03-05,41,26,86,4
South San Francisco,2019-03-01,16,1,83,6
Pescadero,2019-03-08,35,20,94,6
Pescadero,2019-03-14,21,16,73,2
Burlingame,2019-03-12,20,3,78,9
Burlingame,2019-03-04,31,14,72,4
Forestville,2019-03-09,27,25,78,4
Pleasanton,2019-03-06,17,13,77,2
Fremont,2019-03-07,37,21,79,10
Valley Ford,2019-03-14,33,24,92,2
Cotati,2019-03-01,17,5,86,8
El Sobrante,2019-03-01,49,24,70,5
Santa Clara,2019-03-06,30,18,89,6
Richmond,2019-03-11,40,28,75,8
Hercules,2019-03-03,16,2,86,3
Los Altos,2019-03-05,17,2,78,1
Alamo,2019-03-02,20,19,82,12
Pacifica,2019-03-08,26,17,75,10
Hayward,2019-03-09,22,14,70,9
Antioch,2019-03-14,24,13,74,1
Cloverdale,2019-03-01,16,2,88,3
Larkspur,2019-03-01,58,25,86,2
Albany,2019-03-03,24,9,92,2
Gilroy,2019-03-09,16,4,79,12
Alamo,2019-03-13,18,3,71,3
Sebastopol,2019-03-01,34,22,91,6
Dixon,2019-03-01,27,9,77,7
San Ramon,2019-03-02,38,13,88,5
San Bruno,2019-03-13,43,17,79,8
Menlo Park,2019-03-01,15,0,76,3
Geyserville,2019-03-01,18,16,90,5
Hayward,2019-03-06,20,6,78,12
Muir Beach,2019-03-07,37,27,82,2
Duncans Mills,2019-03-08,16,3,91,11
Bolinas,2019-03-11,34,16,94,12
Danville,2019-03-11,23,25,87,11
Brentwood,2019-03-05,24,10,81,4
Muir Beach,2019-03-03,21,4,88,8
San Anselmo,2019-03-03,37,22,76,11
Pittsburg,2019-03-10,47,21,77,5
Eldridge,2019-03-05,35,13,88,4
Morgan Hill,2019-03-11,26,14,82,3
El Cerrito,2019-03-04,42,29,93,3
Brentwood,2019-03-04,16,3,77,9
Cotati,2019-03-10,26,10,70,12
Belmont,2019-03-12,15,1,92,3
Redwood City,2019-03-02,68,29,89,4
Castro Valley,2019-03-13,16,1,70,1
St. Helena,2019-03-10,17,8,72,2
Pleasant Hill,2019-03-12,60,25,77,7
Novato,2019-03-01,23,12,91,1
Gilroy,2019-03-05,22,14,91,12
Gilroy,2019-03-03,22,7,86,9
Santa Rosa,2019-03-03,30,14,73,10
Martinez,2019-03-10,43,20,79,1
Mill Valley,2019-03-05,48,23,76,9
Pleasant Hill,2019-03-11,15,0,93,6
Palo Alto,2019-03-10,17,2,87,10
Gilroy,2019-03-07,10,13,93,4
Gilroy,2019-03-04,40,21,87,6
San Ramon,2019-03-14,33,18,93,8
Santa Rosa,2019-03-12,15,0,83,1
El Cerrito,2019-03-06,31,26,72,7
Castro Valley,2019-03-10,25,14,76,10
Oakland,2019-03-09,40,19,89,7
Martinez,2019-03-02,27,23,73,11
Novato,2019-03-14,35,28,82,1
Campbell,2019-03-07,28,28,85,4
Los Gatos,2019-03-03,31,22,70,8
Campbell,2019-03-10,41,25,89,9
Los Gatos,2019-03-11,19,4,71,7
Martinez,2019-03-08,4,25,94,12
Redwood City,2019-03-09,25,11,93,3
Martinez,2019-03-03,22,21,90,11
St. Helena,2019-03-05,34,26,85,11
Sunnyvale,2019-03-14,16,2,83,8
Concord,2019-03-04,28,18,80,5
Cotati,2019-03-07,15,1,89,8
Los Altos,2019-03-11,47,28,73,3
San Lorenzo,2019-03-03,43,23,78,9
Mexico City,2019-03-03,18,7,102,12
Vancouver,2019-03-11,26,22,66,8
Seattle,2019-03-02,13,23,70,13
Duncans Mills,2019-03-11,19,4,91,7
Atherton,2019-03-13,30,11,80,10
Novato,2019-03-06,32,20,71,10
Tiburon,2019-03-09,17,27,82,8
San Rafael,2019-03-09,25,9,90,10
East Palo Alto,2019-03-01,41,19,92,5
Pescadero,2019-03-01,15,0,86,1
Montara,2019-03-05,16,2,87,3
Glen Ellen,2019-03-04,26,15,90,11
Duncans Mills,2019-03-07,34,13,87,4
Calistoga,2019-03-12,15,0,80,9
San Leandro,2019-03-01,16,1,83,1
San Diego,2019-03-10,15,1,87,4
Pinole,2019-03-12,50,17,70,6
Mexico City,2019-03-08,15,6,102,11
San Rafael,2019-03-08,23,8,74,1
Long Beach,2019-03-08,24,10,80,5
Duncans Mills,2019-03-03,37,20,93,7
Mexico City,2019-03-05,18,3,87,2
Muir Beach,2019-03-10,36,22,92,2
Mexico City,2019-03-06,15,4,95,3
Morgan Hill,2019-03-12,25,10,87,8
