address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
"Peter Jay Sharp Building, 30 Lafayette Avenue, Brooklyn",Music,New York,3/2/2019,BAM Howard Gilman Opera House,Madonna,Pop,18:00,
"1 Tennis Place, Forest Hills",Music,New York,3/2/2019,Forest Hills Stadium,Outlaw Music Festival,Country,20:00,
500 Terry A Francois Boulevard Suite 73,Music,San Francisco,3/11/2019,Chase Center Experience,Cher,Pop,20:00,
100 Park Boulevard,Sports,San Diego,3/3/2019,Petco Park,Padres Vs Brewers,Baseball,20:00,
100 Park Boulevard,Sports,San Diego,3/3/2019,Petco Park,Padres Vs Diamondbacks,Baseball,20:30,
100 Park Boulevard,Sports,San Diego,3/3/2019,Petco Park,Padres Vs Rays,Baseball,20:30,
1145 Coleman Avenue,Sports,San Jose,3/3/2019,Avaya Stadium,Cruz Azul Vs Atlas,Football,18:30,
1 AMB Drive Northwest,Sports,Atlanta,3/11/2019,Mercedes-Benz Stadium,Falcons Vs Jaguars,American Football,18:00,
755 Hank Aaron Drive Southeast,Sports,Atlanta,3/11/2019,Georgia State Stadium,Panthers Vs Jaguars,Basketball,20:00,
755 Hank Aaron Drive Southeast,Sports,Atlanta,3/11/2019,Georgia State Stadium,Panthers Vs Mountaineers,Basketball,19:00,
1 AMB Drive Northwest,Sports,Atlanta,3/11/2019,Mercedes-Benz Stadium,United Vs Revolution,Football,20:30,
177 North Avenue Northwest,Sports,Atlanta,3/11/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulldogs,American Football,19:00,
177 North Avenue Northwest,Sports,Atlanta,3/11/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,American Football,18:30,
177 North Avenue Northwest,Sports,Atlanta,3/11/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Panthers,American Football,18:00,
177 North Avenue Northwest,Sports,Atlanta,3/11/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Wolfpack,American Football,20:00,
2000 East Gene Autry Way,Sports,Anaheim,3/6/2019,Angel Stadium of Anaheim,Angels Vs Astros,Baseball,19:30,
2000 East Gene Autry Way,Sports,Anaheim,3/6/2019,Angel Stadium of Anaheim,Angels Vs Mariners,Baseball,20:00,
2000 East Gene Autry Way,Sports,Anaheim,3/14/2019,Angel Stadium of Anaheim,Angels Vs Orioles,Baseball,20:30,
2000 East Gene Autry Way,Sports,Anaheim,3/9/2019,Angel Stadium of Anaheim,Angels Vs Red Sox,Baseball,19:30,
2000 East Gene Autry Way,Sports,Anaheim,3/9/2019,Angel Stadium of Anaheim,Angels Vs Tigers,Baseball,19:30,
"1 Tennis Place, Forest Hills",Music,New York,3/14/2019,Forest Hills Stadium,Chemical Brothers,Rock,19:00,
"1 Tennis Place, Forest Hills",Music,New York,3/14/2019,Forest Hills Stadium,Jethro Tull,Rock,18:30,
"17 Eastern Parkway, Brooklyn",Music,New York,3/14/2019,Murmrr,Low,Rock,19:30,
235 West 46th Street,Music,New York,3/14/2019,Sony Hall,Panteon Rococo,Rock,19:00,
89 South Street,Music,New York,3/14/2019,Pier 17,Squeeze,Rock,18:30,
89 South Street,Music,New York,3/14/2019,Pier 17,The Struts,Rock,19:00,
235 West 46th Street,Music,New York,3/14/2019,Sony Hall,Vertical Horizon,Rock,19:30,
1145 Coleman Avenue,Sports,San Jose,3/11/2019,Avaya Stadium,Cruz Azul Vs Atlas,Football,19:30,
123-01 Roosevelt Avenue,Sports,New York,3/8/2019,Citi Field,Mets Vs Indians,Baseball,19:30,
123-01 Roosevelt Avenue,Sports,New York,3/8/2019,Citi Field,Mets Vs Phillies,Baseball,18:00,
123-01 Roosevelt Avenue,Sports,New York,3/8/2019,Citi Field,Mets Vs Rockies,Baseball,20:30,
1 East 161 Street,Sports,New York,3/8/2019,Yankee Stadium,Nycfc Vs Dynamo,Baseball,18:30,
1 East 161 Street,Sports,New York,3/8/2019,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,18:30,
1 East 161 Street,Sports,New York,3/8/2019,Yankee Stadium,Nycfc Vs Sporting Kc,Baseball,19:00,
1 East 161 Street,Sports,New York,3/8/2019,Yankee Stadium,Nycfc Vs Union,Baseball,19:30,
1 East 161 Street,Sports,New York,3/8/2019,Yankee Stadium,Revolution Vs Nycfc,Baseball,18:00,
1 East 161 Street,Sports,New York,3/8/2019,Yankee Stadium,Yankees Vs Angels,Baseball,20:00,
1 Citizens Bank Way,Sports,Philadelphia,3/13/2019,Citizens Bank Park,Phillies Vs Braves,Baseball,19:00,
1 Citizens Bank Way,Sports,Philadelphia,3/13/2019,Citizens Bank Park,Phillies Vs White Sox,Baseball,18:30,
200 East Cermak Road,Sports,Chicago,3/13/2019,Wintrust Arena,Sky Vs Fever,Basketball,18:30,
1 AMB Drive Northwest,Sports,Atlanta,3/12/2019,Mercedes-Benz Stadium,Falcons Vs Jaguars,American Football,18:30,
755 Hank Aaron Drive Southeast,Sports,Atlanta,3/12/2019,Georgia State Stadium,Panthers Vs Mountaineers,Basketball,18:30,
177 North Avenue Northwest,Sports,Atlanta,3/12/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulls,American Football,19:30,
177 North Avenue Northwest,Sports,Atlanta,3/12/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Panthers,American Football,18:30,
89 South Street,Music,New York,3/7/2019,Pier 17,Ben Harper,Blues,18:00,
"52-19 Flushing Avenue, Maspeth",Music,New York,3/7/2019,Knockdown Center,Blowout Music Festival,Hip Hop,19:00,
"64 North 9th Street, Brooklyn",Music,New York,3/7/2019,Rough Trade NYC,Crooked Colours,Electronica,19:00,
89 South Street,Music,New York,3/7/2019,Pier 17,Greensky Bluegrass,Blues,20:00,
235 West 46th Street,Music,New York,3/7/2019,Sony Hall,Jamey Johnson,Country,20:00,
235 West 46th Street,Music,New York,3/7/2019,Sony Hall,Laura Osnes,Classical,18:30,
"17 Eastern Parkway, Brooklyn",Music,New York,3/7/2019,Murmrr,Low,Rock,19:00,
235 West 46th Street,Music,New York,3/7/2019,Sony Hall,Lyfe Jennings,Blues,20:30,
235 West 46th Street,Music,New York,3/7/2019,Sony Hall,Shanice,Blues,20:00,
401 West Van Buren Street,Music,Phoenix,3/8/2019,The Van Buren,Greensky Bluegrass,Blues,19:30,
123-01 Roosevelt Avenue,Sports,New York,3/2/2019,Citi Field,Mets Vs Dodgers,Baseball,19:00,
123-01 Roosevelt Avenue,Sports,New York,3/2/2019,Citi Field,Mets Vs Indians,Baseball,18:00,
1 East 161 Street,Sports,New York,3/2/2019,Yankee Stadium,Nycfc Vs Red Bulls,Baseball,18:30,
1 East 161 Street,Sports,New York,3/2/2019,Yankee Stadium,Nycfc Vs Sporting Kc,Baseball,18:30,
1 East 161 Street,Sports,New York,3/2/2019,Yankee Stadium,Nycfc Vs Timbers,Baseball,20:00,
1 East 161 Street,Sports,New York,3/2/2019,Yankee Stadium,Nycfc Vs Union,Baseball,20:30,
1 East 161 Street,Sports,New York,3/2/2019,Yankee Stadium,Nycfc Vs United,Baseball,18:00,
1 East 161 Street,Sports,New York,3/2/2019,Yankee Stadium,Yankees Vs Angels,Baseball,18:00,
"261 Driggs Avenue, Brooklyn",Music,New York,3/11/2019,Warsaw,Amber Run Brooklyn,Pop,18:30,
89 South Street,Music,New York,3/11/2019,Pier 17,Ben Harper,Blues,20:30,
89 South Street,Music,New York,3/11/2019,Pier 17,Blackbear,Hip Hop,20:00,
"52-19 Flushing Avenue, Maspeth",Music,New York,3/11/2019,Knockdown Center,Blowout Music Festival,Hip Hop,19:30,
"64 North 9th Street, Brooklyn",Music,New York,3/11/2019,Rough Trade NYC,Crooked Colours,Electronica,19:30,
3608 33rd Street,Music,New York,3/11/2019,Melrose Ballroom,Esscalation Music Festival,Electronica,18:30,
881 7th Avenue,Music,New York,3/11/2019,Stern Auditorium / Perelman Stage,Joe Hisaishi,Classical,20:00,
"141 Prospect Park West, Brooklyn",Music,New York,3/11/2019,Prospect Park Bandshell,Mac Demarco,Blues,18:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/9/2019,Dodger Stadium,Dodgers Vs Giants,Baseball,19:30,
3911 Figueroa Street,Sports,Los Angeles,3/9/2019,LA Memorial Coliseum,Rams Vs Cardinals,American Football,18:30,
1111 South Figueroa Street,Sports,Los Angeles,3/9/2019,STAPLES Center,Sparks Vs Mystics,Basketball,18:00,
1111 South Figueroa Street,Sports,Los Angeles,3/9/2019,STAPLES Center,Sparks Vs Storm,Basketball,19:00,
1111 South Figueroa Street,Sports,Los Angeles,3/9/2019,STAPLES Center,Sparks Vs Wings,Basketball,19:00,
3911 Figueroa Street,Sports,Los Angeles,3/9/2019,LA Memorial Coliseum,Usc Vs Oregon,American Football,20:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/4/2019,Nationals Park,Nationals Vs Braves,Baseball,19:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/4/2019,Nationals Park,Nationals Vs Brewers,Baseball,19:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/4/2019,Nationals Park,Nationals Vs Orioles,Baseball,18:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/4/2019,Nationals Park,Nationals Vs Rockies,Baseball,18:30,
89 South Street,Music,New York,3/14/2019,Pier 17,Ben Harper,Blues,18:30,
89 South Street,Music,New York,3/14/2019,Pier 17,Blackbear,Hip Hop,19:30,
"52-19 Flushing Avenue, Maspeth",Music,New York,3/14/2019,Knockdown Center,Blowout Music Festival,Hip Hop,18:00,
235 West 46th Street,Music,New York,3/14/2019,Sony Hall,Buddy Guy,Blues,20:00,
235 West 46th Street,Music,New York,3/14/2019,Sony Hall,Chris Botti,Jazz,20:30,
235 West 46th Street,Music,New York,3/14/2019,Sony Hall,Jamey Johnson,Country,18:30,
881 7th Avenue,Music,New York,3/14/2019,Stern Auditorium / Perelman Stage,Joe Hisaishi,Classical,20:00,
2000 East Gene Autry Way,Sports,Anaheim,3/2/2019,Angel Stadium of Anaheim,Angels Vs Astros,Baseball,18:30,
2000 East Gene Autry Way,Sports,Anaheim,3/2/2019,Angel Stadium of Anaheim,Angels Vs Mariners,Baseball,18:30,
2000 East Gene Autry Way,Sports,Anaheim,3/2/2019,Angel Stadium of Anaheim,Angels Vs Orioles,Baseball,19:30,
2000 East Gene Autry Way,Sports,Anaheim,3/2/2019,Angel Stadium of Anaheim,Angels Vs White Sox,Baseball,18:00,
2000 East Gene Autry Way,Sports,Anaheim,3/2/2019,Angel Stadium of Anaheim,La Angels Vs Houston,Baseball,18:00,
1844 Southwest Morrison Street,Sports,Portland,3/12/2019,Providence Park,Portland Thorns Vs Houston,Football,20:30,
1844 Southwest Morrison Street,Sports,Portland,3/12/2019,Providence Park,Timbers Vs Dc United,Football,19:00,
201 Van Ness Avenue,Music,San Francisco,3/6/2019,San Francisco Symphony,Carmina Burana,Classical,20:30,
500 Terry A Francois Boulevard Suite 73,Music,San Francisco,3/6/2019,Chase Center Experience,Celine Dion,Pop,19:00,
777 Valencia Street,Music,San Francisco,3/6/2019,The Chapel,Okkervil River,Country,18:00,
3911 Figueroa Street,Sports,Los Angeles,3/3/2019,LA Memorial Coliseum,Trojans Vs Bulldogs,American Football,20:30,
3911 Figueroa Street,Sports,Los Angeles,3/5/2019,LA Memorial Coliseum,Usc Vs Oregon,American Football,20:30,
3911 Figueroa Street,Sports,Los Angeles,3/1/2019,LA Memorial Coliseum,Usc Vs Ucla,American Football,20:30,
3911 Figueroa Street,Sports,Los Angeles,3/7/2019,LA Memorial Coliseum,Usc Vs Utah,American Football,19:00,
2227 Piedmont Avenue,Sports,Berkeley,3/9/2019,California Memorial Stadium,Golden Bears Vs Cougars,American Football,18:00,
2227 Piedmont Avenue,Sports,Berkeley,3/10/2019,California Memorial Stadium,Golden Bears Vs Trojans,American Football,20:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/8/2019,Dodger Stadium,Dodgers Vs Cubs,Baseball,19:30,
1000 Vin Scully Ave,Sports,Los Angeles,3/8/2019,Dodger Stadium,Dodgers Vs Rockies,Baseball,18:00,
235 West 46th Street,Music,New York,3/13/2019,Sony Hall,Westside Gunn,Hip Hop,18:30,
1250 1st Avenue South,Sports,Seattle,3/7/2019,T-Mobile Park,Mariners Vs Tigers,Baseball,20:30,
1250 1st Avenue South,Sports,Seattle,3/7/2019,T-Mobile Park,Mariners Vs White Sox,Baseball,19:00,
1100 Oak Drive SE,Sports,Washington D.C.,3/7/2019,Entertainment & Sports Arena,Mystics Vs Sun,Basketball,19:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/7/2019,Nationals Park,Nationals Vs Diamondbacks,Baseball,18:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/7/2019,Nationals Park,Nationals Vs Indians,Baseball,19:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/7/2019,Nationals Park,Nationals Vs Orioles,Baseball,18:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/7/2019,Nationals Park,Nationals Vs Phillies,Baseball,20:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/7/2019,Nationals Park,Nationals Vs Rockies,Baseball,18:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/7/2019,Nationals Park,Nationals Vs Royals,Baseball,19:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/7/2019,Nationals Park,Nationals Vs White Sox,Baseball,18:00,
1100 Oak Drive SE,Sports,Washington D.C.,3/7/2019,Entertainment & Sports Arena,Washington Vs Ny Liberty,Basketball,18:30,
"52-19 Flushing Avenue, Maspeth",Music,New York,3/8/2019,Knockdown Center,Blowout Music Festival,Hip Hop,18:00,
2901 East Hastings Street,Music,Vancouver,3/1/2019,PNE Amphitheatre,Zz Top,Blues,18:00,
"Brisbane, California 94005, United States",Music,Brisbane,3/10/2019,Brisbane Community Park,Star City Music Festival,Blues,20:30,
5500 Phinney Avenue North,,Seattle,3/3/2019,Flamingo Lot,Greensky Bluegrass,,19:00,
777 Pacific Boulevard,,Vancouver,3/4/2019,BC Place,Whitecaps Vs Kansas City,,20:00,
"261 Driggs Avenue, Brooklyn",,New York,3/3/2019,Warsaw,Thee Oh Sees,,18:00,
235 West 46th Street,,New York,3/2/2019,Sony Hall,Lyfe Jennings,,20:30,
29 East Allen Street 2nd Floor,,Philadelphia,3/8/2019,The Foundry,The Lemonheads,,19:30,
1 AMB Drive Northwest,,Atlanta,3/5/2019,Mercedes-Benz Stadium,Falcons Vs Buccaneers,,20:30,
1530 Disneyland Monrail System,,Anaheim,3/11/2019,Crossroads at House of Blues Anaheim,Brown Sabbath,,18:00,
420 Mason Street,,San Francisco,3/3/2019,August Hall,Allan Rayman,,20:00,
177 North Avenue Northwest,,Atlanta,3/6/2019,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,,19:00,
1234 West 7th Street,,Los Angeles,3/2/2019,The Teragram Ballroom,Murder City Devils,,20:30,
123-01 Roosevelt Avenue,,New York,3/10/2019,Citi Field,Mets Vs Rockies,,18:30,
Holmesdale Road,,London,3/7/2019,Selhurst Park Stadium,Crystal Palace Vs Norwich,,19:00,
1517 21st Street,,Sacramento,3/1/2019,Holy Diver,Yunger,,18:30,
1 East 161 Street,,New York,3/13/2019,Yankee Stadium,Nycfc Vs Timbers,,20:00,
800 Occidental Avenue South,,Seattle,3/1/2019,CenturyLink Field,Sounders Vs Red Bulls,,18:30,
"17 Eastern Parkway, Brooklyn",,New York,3/4/2019,Murmrr,Kishi Bashi,,20:30,
1844 Southwest Morrison Street,,Portland,3/3/2019,Providence Park,Timbers Vs Dc United,,18:00,
"17 Eastern Parkway, Brooklyn",,New York,3/13/2019,Murmrr,The Paper Kites,,20:30,
448 South Main Street,,Los Angeles,3/8/2019,Regent Theater DTLA,Jordan Rakei,,19:30,
"33 Pearl Street Southwest, Washington, District of Columbia 20024, United States",,Washington D.C.,3/1/2019,Pearl Street Warehouse,Nicole Belanus Washington,,19:30,
1 East 161 Street,,New York,3/3/2019,Yankee Stadium,Yankees Vs Indians,,18:00,
24 Willie Mays Plaza,,San Francisco,3/7/2019,Oracle Park,Giants Vs Brewers,,20:00,
401 East Jefferson Street,,Phoenix,3/2/2019,Chase Field,Diamondbacks Vs Dodgers,,20:30,
1 Citizens Bank Way,,Philadelphia,3/5/2019,Citizens Bank Park,Phillies Vs Braves,,20:00,
"1 Tennis Place, Forest Hills",,New York,3/5/2019,Forest Hills Stadium,Outlaw Music Festival,,18:00,
178 Junction Road,,London,3/6/2019,Boston Music Room,Crystal Lake,,19:00,
2000 East Gene Autry Way,,Anaheim,3/2/2019,Angel Stadium of Anaheim,La Angels Vs Houston,,18:00,
1 East 161 Street,,New York,3/14/2019,Yankee Stadium,Yankees Vs Rays,,20:30,
3180 Peachtree Road Northeast,,Atlanta,3/13/2019,Peachtree Road United Methodist Church,Atlanta Summer Organ Festival,,20:30,
333 West 35th Street,,Chicago,3/8/2019,Guaranteed Rate Field,White Sox Vs Astros,,19:30,
451 Queensbridge Road,,London,3/1/2019,The Victoria Dalston,Imperial Daze,,18:00,
2891 University Avenue,,San Diego,3/9/2019,The Observatory North Park,Aly And Aj,,20:30,
"141 Prospect Park West, Brooklyn",,New York,3/10/2019,Prospect Park Bandshell,Mac Demarco,,18:00,
29 East Allen Street 2nd Floor,,Philadelphia,3/6/2019,The Foundry,Tuxedo,,19:00,
2033 West North Avenue,,Chicago,3/2/2019,Chop Shop,The Buttertones,,20:30,
1 East 161 Street,,New York,3/10/2019,Yankee Stadium,Yankees Vs Rays,,20:30,
1 East 161 Street,,New York,3/4/2019,Yankee Stadium,Nycfc Vs Earthquakes,,18:00,
235 West 46th Street,,New York,3/2/2019,Sony Hall,Chris Botti,,19:30,
401 East Jefferson Street,,Phoenix,3/13/2019,Chase Field,Diamondbacks Vs Giants,,20:00,
3939 South Figueroa Street,,Los Angeles,3/12/2019,Banc of California Stadium,Lafc Vs Rapids,,20:30,
235 West 46th Street,,New York,3/10/2019,Sony Hall,Buddy Guy,,19:30,
1111 Southwest Broadway,,Portland,3/12/2019,Newmark Theatre,Friends,,18:00,
235 West 46th Street,,New York,3/7/2019,Sony Hall,Shanice,,20:00,
"17 Eastern Parkway, Brooklyn",,New York,3/11/2019,Murmrr,Low,,20:30,
2901 East Hastings Street,,Vancouver,3/10/2019,PNE Amphitheatre,Styx,,18:30,
2000 East Gene Autry Way,,Anaheim,3/4/2019,Angel Stadium of Anaheim,Angels Vs Mariners,,20:00,
235 West 46th Street,,New York,3/3/2019,Sony Hall,Buddy Guy,,19:00,
1250 1st Avenue South,,Seattle,3/1/2019,T-Mobile Park,Mariners Vs Rays,,19:30,
333 West 35th Street,,Chicago,3/2/2019,Guaranteed Rate Field,White Sox Vs Yankees,,18:30,
333 West 35th Street,,Chicago,3/4/2019,Guaranteed Rate Field,White Sox Vs Angels,,20:00,
1111 South Figueroa Street,,Los Angeles,3/9/2019,STAPLES Center,Sparks Vs Storm,,19:00,
130 North Central Avenue,,Phoenix,3/12/2019,Valley Bar,The Chats,,20:30,
235 West 46th Street,,New York,3/11/2019,Sony Hall,Vivian Green,,18:30,
235 West 46th Street,,New York,3/4/2019,Sony Hall,Laura Osnes,,18:30,
235 West 46th Street,,New York,3/13/2019,Sony Hall,Vertical Horizon,,20:00,
24 Willie Mays Plaza,,San Francisco,3/13/2019,Oracle Park,Giants Vs Phillies,,19:30,
200 South 3rd Street,,Las Vegas,3/1/2019,Downtown Las Vegas Events Center - DLVEC,Life Is Beautiful Festival,,18:00,
2891 University Avenue,,San Diego,3/9/2019,The Observatory North Park,Psychedelic Furs,,19:30,
2891 University Avenue,,San Diego,3/4/2019,The Observatory North Park,The Struts,,18:00,
1250 1st Avenue South,,Seattle,3/6/2019,T-Mobile Park,Mariners Vs Rangers,,18:30,
235 West 46th Street,,New York,3/4/2019,Sony Hall,Jamey Johnson,,18:30,
1 Lincoln Financial Field Way,,Philadelphia,3/9/2019,Lincoln Financial Field,Owls Vs Yellow Jackets,,19:00,
24 Willie Mays Plaza,,San Francisco,3/8/2019,Oracle Park,Giants Vs Rockies,,19:00,
235 West 46th Street,,New York,3/12/2019,Sony Hall,Buddy Guy,,18:30,
420 Mason Street,,San Francisco,3/13/2019,August Hall,Matt Corby,,20:30,
100 Park Boulevard,,San Diego,3/12/2019,Petco Park,Padres Vs Orioles,,18:30,
100 Park Boulevard,,San Diego,3/3/2019,Petco Park,Padres Vs Diamondbacks,,20:30,
123-01 Roosevelt Avenue,Sports,New York,3/13/2019,Citi Field,Mets Vs Diamondbacks,Baseball,20:00,
123-01 Roosevelt Avenue,Sports,New York,3/13/2019,Citi Field,Mets Vs Pirates,Baseball,20:00,
1 East 161 Street,Sports,New York,3/13/2019,Yankee Stadium,Nycfc Vs Dynamo,Baseball,19:00,
1 East 161 Street,Sports,New York,3/13/2019,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,19:30,
1 East 161 Street,Sports,New York,3/13/2019,Yankee Stadium,Nycfc Vs Timbers,Baseball,20:00,
1 East 161 Street,Sports,New York,3/13/2019,Yankee Stadium,Revolution Vs Nycfc,Baseball,20:00,
1 East 161 Street,Sports,New York,3/13/2019,Yankee Stadium,Yankees Vs Diamondbacks,Baseball,20:30,
1 East 161 Street,Sports,New York,3/13/2019,Yankee Stadium,Yankees Vs Rangers,Baseball,20:30,
1060 West Addison Street,Sports,Chicago,3/11/2019,Wrigley Field,Cubs Vs Brewers,Baseball,19:00,
1060 West Addison Street,Sports,Chicago,3/11/2019,Wrigley Field,Cubs Vs Giants,Baseball,19:30,
1060 West Addison Street,Sports,Chicago,3/11/2019,Wrigley Field,Cubs Vs Padres,Baseball,20:30,
200 East Cermak Road,Sports,Chicago,3/11/2019,Wintrust Arena,Sky Vs Fever,Basketball,19:30,
333 West 35th Street,Sports,Chicago,3/11/2019,Guaranteed Rate Field,White Sox Vs Angels,Baseball,19:30,
333 West 35th Street,Sports,Chicago,3/11/2019,Guaranteed Rate Field,White Sox Vs Astros,Baseball,18:00,
333 West 35th Street,Sports,Chicago,3/11/2019,Guaranteed Rate Field,White Sox Vs Rangers,Baseball,19:00,
2033 West North Avenue,Music,Chicago,3/11/2019,Chop Shop,The Buttertones,Rock,18:30,
2367 Shattuck Avenue,Music,Berkeley,3/12/2019,Cornerstone Craft Beer & Live Music,Nattali Rize,Blues,19:30,
5970 Santa Monica Boulevard,Music,Los Angeles,3/1/2019,Masonic Lodge at Hollywood Forever,Jordan Rakei,Jazz,19:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/11/2019,Dodger Stadium,Dodgers Vs Cubs,Baseball,19:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/11/2019,Dodger Stadium,Dodgers Vs Diamondbacks,Baseball,20:00,
3939 South Figueroa Street,Sports,Los Angeles,3/11/2019,Banc of California Stadium,Lafc Vs Toronto Fc,Football,20:00,
3911 Figueroa Street,Sports,Los Angeles,3/11/2019,LA Memorial Coliseum,Rams Vs Cardinals,American Football,19:00,
1111 South Figueroa Street,Sports,Los Angeles,3/11/2019,STAPLES Center,Sparks Vs Wings,Basketball,19:30,
3911 Figueroa Street,Sports,Los Angeles,3/11/2019,LA Memorial Coliseum,Trojans Vs Bulldogs,American Football,18:00,
3911 Figueroa Street,Sports,Los Angeles,3/11/2019,LA Memorial Coliseum,Usc Vs Utah,American Football,18:30,
1 Blue Jays Way,Sports,Toronto,3/2/2019,Rogers Centre,Blue Jays Vs Astros,Baseball,19:00,
1 Blue Jays Way,Sports,Toronto,3/2/2019,Rogers Centre,Blue Jays Vs Rays,Baseball,18:00,
1 Blue Jays Way,Sports,Toronto,3/2/2019,Rogers Centre,Blue Jays Vs Royals,Baseball,18:00,
170 Princes' Boulevard,Sports,Toronto,3/2/2019,BMO Field,Toronto Fc Vs Rapids,Football,19:00,
1000 Vin Scully Ave,Sports,Los Angeles,3/5/2019,Dodger Stadium,Dodgers Vs Cubs,Baseball,18:30,
1000 Vin Scully Ave,Sports,Los Angeles,3/5/2019,Dodger Stadium,Dodgers Vs Marlins,Baseball,20:30,
1111 South Figueroa Street,Sports,Los Angeles,3/5/2019,STAPLES Center,Sparks Vs Lynx,Basketball,19:30,
1111 South Figueroa Street,Sports,Los Angeles,3/5/2019,STAPLES Center,Sparks Vs Mystics,Basketball,18:30,
3911 Figueroa Street,Sports,Los Angeles,3/5/2019,LA Memorial Coliseum,Usc Vs Ucla,American Football,18:30,
"17 Eastern Parkway, Brooklyn",Music,New York,3/7/2019,Murmrr,The Paper Kites,Rock,19:00,
"261 Driggs Avenue, Brooklyn",Music,New York,3/7/2019,Warsaw,Thee Oh Sees,Rock,19:30,
2367 Shattuck Avenue,Music,Berkeley,3/10/2019,Cornerstone Craft Beer & Live Music,Fidlar,Rock,20:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/9/2019,Nationals Park,Nationals Vs Phillies,Baseball,18:30,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/13/2019,Nationals Park,Nationals Vs Rockies,Baseball,20:00,
1500 South Capitol Street Southeast,Sports,Washington D.C.,3/14/2019,Nationals Park,Nationals Vs Royals,Baseball,19:00,
235 West 46th Street,Music,New York,3/3/2019,Sony Hall,Jamey Johnson,Country,18:30,
1234 West 7th Street,Music,Los Angeles,3/9/2019,The Teragram Ballroom,Girl In Red,Pop,18:30,
1600 Garden Highway,Music,Sacramento,3/10/2019,Discovery Park,Aftershock Festival,Rock,19:30,
1234 West 7th Street,Music,Los Angeles,3/13/2019,The Teragram Ballroom,Guided By Voices,Rock,19:30,
448 South Main Street,Music,Los Angeles,3/13/2019,Regent Theater DTLA,Jordan Rakei,Jazz,19:00,
1234 West 7th Street,Music,Los Angeles,3/13/2019,The Teragram Ballroom,Murder City Devils,Rock,18:00,
448 South Main Street,Music,Los Angeles,3/13/2019,Regent Theater DTLA,Starset,Rock,20:00,
448 South Main Street,Music,Los Angeles,3/13/2019,Regent Theater DTLA,The Acid,Electronica,19:30,
2891 University Avenue,Music,San Diego,3/4/2019,The Observatory North Park,Local Natives,Rock,20:00,
2891 University Avenue,Music,San Diego,3/4/2019,The Observatory North Park,Psychedelic Furs,Rock,19:30,
3090 Polk Avenue,Music,San Diego,3/4/2019,The Irenic,Pup,Rock,18:00,
2891 University Avenue,Music,San Diego,3/4/2019,The Observatory North Park,The Struts,Rock,18:00,
24 Willie Mays Plaza,Sports,San Francisco,3/7/2019,Oracle Park,Giants Vs Brewers,Baseball,20:00,
24 Willie Mays Plaza,Sports,San Francisco,3/7/2019,Oracle Park,Giants Vs Dodgers,Baseball,19:00,
24 Willie Mays Plaza,Sports,San Francisco,3/7/2019,Oracle Park,Giants Vs Marlins,Baseball,19:00,
24 Willie Mays Plaza,Sports,San Francisco,3/7/2019,Oracle Park,Giants Vs Phillies,Baseball,18:00,
"141 Prospect Park West, Brooklyn",Music,New York,3/1/2019,Prospect Park Bandshell,The National,Rock,19:30,
89 South Street,Music,New York,3/1/2019,Pier 17,The Struts,Rock,18:00,
235 West 46th Street,Music,New York,3/1/2019,Sony Hall,Vertical Horizon,Rock,20:30,
29 East Allen Street,Music,Philadelphia,3/12/2019,The Fillmore Philadelphia,Conan Gray,Pop,20:00,
29 East Allen Street 2nd Floor,Music,Philadelphia,3/12/2019,The Foundry,Girl In Red,Pop,19:00,
29 East Allen Street 2nd Floor,Music,Philadelphia,3/12/2019,The Foundry,Lights,Electronica,18:00,
1200 Callowhill Street,Music,Philadelphia,3/12/2019,Underground Arts,The Melvins,Rock,19:30,
858 North Broad Street,Music,Philadelphia,3/12/2019,The Met Philadelphia,Toto,Pop,20:30,
